,id,elapsed_time,total_time,remaining_time,XG_2000,RF_50,LM_pred,Lasso
5523,76,4772400,7552500,2780100,2785475.5,2779905.6,2470826.97076,2766906.8363
113,76,56100,7552500,7496400,7500346.5,5894372.4,5678371.06122,4189109.08627
5932,204,0,2567700,2567700,1347053.875,1451515.2,2190984.73621,1465914.98806
5616,220,20400,2714040,2693640,1855584.375,1744082.4,1588129.4696,2014014.68715
4190,203,1248900,1897500,648600,646588.5625,643498.8,0.0,581513.735018
3116,141,2744100,7406100,4662000,4690200.5,4652163.6,4562888.02979,4824724.74053
7743,98,6421080,7319880,898800,903842.0,923931.6,1137708.77679,1217895.26333
8393,196,2907780,3281700,373920,380952.375,374041.2,400993.2724,596674.993065
5314,156,2635680,2639280,3600,3155.84667969,11275.2,686106.194092,-206481.756137
6486,63,4244220,6232860,1988640,2084794.375,2036925.6,219171791.613,2299138.07632
2305,98,1845180,7319880,5474700,5526258.5,5434057.2,7073640.94147,5322435.01272
5305,214,24420,341760,317340,224409.3125,413796.0,81513.0880127,278226.29985
1924,83,1263420,1818000,554580,560357.125,784404.0,390071.523254,671953.539258
7052,151,3467400,3643800,176400,172386.296875,201862.8,271147.545227,-73126.1737215
4759,131,3459900,6825900,3366000,3347880.5,3364328.4,3624435.47284,3277633.29207
4432,63,2540880,6232860,3691980,3654102.0,3696292.8,0.0,3804823.57254
6798,75,5332500,6135000,802500,804273.25,814578.0,479632.960022,896081.679762
7568,75,5916660,6135000,218340,509843.25,761479.2,376054.62738,-94511.1364778
5104,103,4112820,4719960,607140,611486.875,617425.2,6718268446.24,779849.989379
8017,22,112980,810360,697380,673656.1875,529096.8,0.0,867.33435026
1184,129,1184400,1188000,3600,0.0,738069.6,0.0,-1309153.40178
2752,156,619440,2639280,2019840,1960137.125,2002527.6,1996410.94128,1514420.34974
5425,63,3401940,6232860,2830920,2816475.75,2827119.6,3616028.6568,2939648.66752
5917,220,180060,2714040,2533980,2309512.0,2262228.0,1854966.37256,2562838.9271
4167,163,117840,548880,431040,1078014.25,747074.4,0.0,332420.415202
115,146,70560,6670800,6600240,6554480.5,6336732.0,5387938.68274,4638556.21952
8899,58,907560,992100,84540,83816.4765625,85449.6,98414.9945068,-266077.705408
1291,66,1261200,4817700,3556500,3555764.25,3660246.0,3116969.93378,3435851.91929
7500,13,1308240,2525940,1217700,1079704.875,1210970.4,338437.07312,788310.313031
7932,220,1936440,2714040,777600,770258.375,776222.4,857252.530884,794609.898061
3093,130,1540380,3083940,1543560,1554621.5,1536349.2,1088144.13153,1908335.25425
7625,63,5218140,6232860,1014720,1076826.625,989508.0,0.0,916030.640077
1564,110,1391040,5579400,4188360,4179242.5,4190973.6,3830677.84967,3705594.95532
1295,66,1269600,4817700,3548100,3553247.75,3655881.6,3265613.98676,3432254.67375
3817,182,242580,915060,672480,656554.6875,843854.4,0.0,-185292.492334
4014,203,1147080,1897500,750420,742408.125,742614.0,0.0,809812.776942
660,84,464940,3714840,3249900,3186312.0,3030194.4,4289633.36554,3381238.90173
6473,218,1974480,1974480,0,7498.94628906,85323.6,0.0,-240400.433552
2979,67,2667840,3120480,452640,594306.9375,452506.8,885407.557434,881106.3069
4356,107,1441800,4991760,3549960,3561999.25,3552132.0,3401248.94891,3449750.65301
4442,156,1998000,2639280,641280,644108.125,638332.8,1053231.7652,736973.85342
3743,73,847500,1303500,456000,499961.0625,707866.8,562261.075684,1022294.08378
20,67,300,3120480,3120180,3221509.5,2975694.0,0.0,2386880.65868
4474,135,3333660,5649480,2315820,2406819.25,2268874.8,2380779.48108,2263477.12367
8269,196,2768520,3281700,513180,502783.0625,518146.8,0.0,471435.088904
4539,151,1342740,3643800,2301060,2403222.75,2298529.2,2640729.77222,2717811.55932
1050,118,329820,459900,130080,477225.90625,791954.4,472211.181152,408985.573081
6299,146,5444400,6670800,1226400,1374871.25,1249135.2,0.0,1485618.76547
869,110,727680,5579400,4851720,4739588.0,4552510.8,3466537.26019,3036190.20776
2959,114,99480,1201080,1101600,853162.75,1069630.8,1999979.9566,1522729.04712
3069,72,2061960,2385960,324000,946207.0625,462580.8,1593686.22198,1126479.21908
4107,0,1330860,1560960,230100,311043.96875,243190.8,1304470.77802,1076954.83771
7931,15,1100820,1822860,722040,713815.4375,732715.2,383955.534851,723930.115189
1201,77,73320,3257040,3183720,3121024.0,3195441.6,1290575.65881,1983845.0894
313,91,14460,1030200,1015740,1172153.25,1228723.2,2776924.13708,3020054.03673
7885,42,113880,953340,839460,675166.3125,524226.0,1836576.02826,1270141.64171
4297,213,284520,3206820,2922300,2951387.75,2919201.6,3619049.94348,3719960.68005
3788,130,2147460,3083940,936480,906668.625,916435.2,18600744924.6,1094767.00262
1250,140,1051320,1300140,248820,240604.4375,247075.2,448710.21167,855805.048436
8477,139,24600,273900,249300,159472.875,249744.0,497682.765015,385657.467233
2193,101,272460,655020,382560,417661.625,538590.0,537719.887268,165153.942315
8450,224,335580,648060,312480,290040.84375,267134.4,0.0,-218182.525579
7001,204,1026180,2567700,1541520,1539131.875,1543593.6,1481496.58746,1550021.97584
5771,134,3652980,3656580,3600,273219.9375,470667.6,149002.461853,-228542.119838
1651,97,292800,294600,1800,516502.28125,1300563.6,2383159.0509,2498096.62216
8458,37,393000,736020,343020,346802.125,335773.2,894739.959534,779449.18231
4877,130,3055140,3083940,28800,13241.4667969,39412.8,0.0,-98097.9349032
5090,19,16740,608940,592200,711380.4375,985076.4,518031.836487,274965.046674
8426,65,7193040,7544400,351360,338583.90625,345211.2,172694.465698,184954.547593
2509,153,34080,1618560,1584480,1916718.125,1951242.0,863994.455811,1659034.37307
