,elapsed_time,total_time,remaining_time,XG_2000,RF_50,LM_pred,Lasso
5523,4772400,7552500,2780100,2785475.5,2781024.0,2470826.97076,2766906.8363
113,56100,7552500,7496400,7500346.5,6228264.0,5678371.06122,4189109.08627
5932,0,2567700,2567700,1347053.875,1350696.0,2190984.73621,1465914.98806
5616,20400,2714040,2693640,1855584.375,2134774.8,1588129.4696,2014014.68715
4190,1248900,1897500,648600,646588.5625,643480.8,0.0,581513.735018
3116,2744100,7406100,4662000,4690200.5,4661595.6,4562888.02979,4824724.74053
7743,6421080,7319880,898800,903842.0,896454.0,1137708.77679,1217895.26333
8393,2907780,3281700,373920,380952.375,373807.2,400993.2724,596674.993065
5314,2635680,2639280,3600,3155.84667969,14875.2,686106.194092,-206481.756137
6486,4244220,6232860,1988640,2084794.375,2021361.6,219171791.613,2299138.07632
2305,1845180,7319880,5474700,5526258.5,5380204.8,7073640.94147,5322435.01272
5305,24420,341760,317340,224409.3125,528370.8,81513.0880127,278226.29985
1924,1263420,1818000,554580,560357.125,556861.2,390071.523254,671953.539258
7052,3467400,3643800,176400,172386.296875,192160.8,271147.545227,-73126.1737215
4759,3459900,6825900,3366000,3347880.5,3354812.4,3624435.47284,3277633.29207
4432,2540880,6232860,3691980,3654102.0,3688821.6,0.0,3804823.57254
6798,5332500,6135000,802500,804273.25,809134.8,479632.960022,896081.679762
7568,5916660,6135000,218340,509843.25,870716.4,376054.62738,-94511.1364778
5104,4112820,4719960,607140,611486.875,599527.2,6718268446.24,779849.989379
8017,112980,810360,697380,673656.1875,613183.2,0.0,867.33435026
1184,1184400,1188000,3600,0.0,247231.2,0.0,-1309153.40178
2752,619440,2639280,2019840,1960137.125,2015521.2,1996410.94128,1514420.34974
5425,3401940,6232860,2830920,2816475.75,2774784.0,3616028.6568,2939648.66752
5917,180060,2714040,2533980,2309512.0,2450584.8,1854966.37256,2562838.9271
4167,117840,548880,431040,1078014.25,768592.8,0.0,332420.415202
115,70560,6670800,6600240,6554480.5,6295932.0,5387938.68274,4638556.21952
8899,907560,992100,84540,83816.4765625,83096.4,98414.9945068,-266077.705408
1291,1261200,4817700,3556500,3555764.25,3513962.4,3116969.93378,3435851.91929
7500,1308240,2525940,1217700,1079704.875,1209735.6,338437.07312,788310.313031
7932,1936440,2714040,777600,770258.375,780700.8,857252.530884,794609.898061
3093,1540380,3083940,1543560,1554621.5,1527160.8,1088144.13153,1908335.25425
7625,5218140,6232860,1014720,1076826.625,986262.0,0.0,916030.640077
1564,1391040,5579400,4188360,4179242.5,4187583.6,3830677.84967,3705594.95532
1295,1269600,4817700,3548100,3553247.75,3515962.8,3265613.98676,3432254.67375
3817,242580,915060,672480,656554.6875,799563.6,0.0,-185292.492334
4014,1147080,1897500,750420,742408.125,753873.6,0.0,809812.776942
660,464940,3714840,3249900,3186312.0,3113914.8,4289633.36554,3381238.90173
6473,1974480,1974480,0,7498.94628906,97657.2,0.0,-240400.433552
2979,2667840,3120480,452640,594306.9375,418234.8,885407.557434,881106.3069
4356,1441800,4991760,3549960,3561999.25,3553502.4,3401248.94891,3449750.65301
4442,1998000,2639280,641280,644108.125,643161.6,1053231.7652,736973.85342
3743,847500,1303500,456000,499961.0625,477992.4,562261.075684,1022294.08378
20,300,3120480,3120180,3221509.5,2981882.4,0.0,2386880.65868
4474,3333660,5649480,2315820,2406819.25,2252325.6,2380779.48108,2263477.12367
8269,2768520,3281700,513180,502783.0625,514688.4,0.0,471435.088904
4539,1342740,3643800,2301060,2403222.75,2312095.2,2640729.77222,2717811.55932
1050,329820,459900,130080,477225.90625,779312.4,472211.181152,408985.573081
6299,5444400,6670800,1226400,1374871.25,1303776.0,0.0,1485618.76547
869,727680,5579400,4851720,4739588.0,4640828.4,3466537.26019,3036190.20776
2959,99480,1201080,1101600,853162.75,932452.8,1999979.9566,1522729.04712
3069,2061960,2385960,324000,946207.0625,330178.8,1593686.22198,1126479.21908
4107,1330860,1560960,230100,311043.96875,238912.8,1304470.77802,1076954.83771
7931,1100820,1822860,722040,713815.4375,731986.8,383955.534851,723930.115189
1201,73320,3257040,3183720,3121024.0,3159428.4,1290575.65881,1983845.0894
313,14460,1030200,1015740,1172153.25,2010535.2,2776924.13708,3020054.03673
7885,113880,953340,839460,675166.3125,617373.6,1836576.02826,1270141.64171
4297,284520,3206820,2922300,2951387.75,2918442.0,3619049.94348,3719960.68005
3788,2147460,3083940,936480,906668.625,954109.2,18600744924.6,1094767.00262
1250,1051320,1300140,248820,240604.4375,243261.6,448710.21167,855805.048436
8477,24600,273900,249300,159472.875,223068.0,497682.765015,385657.467233
2193,272460,655020,382560,417661.625,459304.8,537719.887268,165153.942315
8450,335580,648060,312480,290040.84375,262816.8,0.0,-218182.525579
7001,1026180,2567700,1541520,1539131.875,1550362.8,1481496.58746,1550021.97584
5771,3652980,3656580,3600,273219.9375,536270.4,149002.461853,-228542.119838
1651,292800,294600,1800,516502.28125,526660.8,2383159.0509,2498096.62216
8458,393000,736020,343020,346802.125,334363.2,894739.959534,779449.18231
4877,3055140,3083940,28800,13241.4667969,38120.4,0.0,-98097.9349032
5090,16740,608940,592200,711380.4375,926486.4,518031.836487,274965.046674
8426,7193040,7544400,351360,338583.90625,347948.4,172694.465698,184954.547593
2509,34080,1618560,1584480,1916718.125,1878531.6,863994.455811,1659034.37307
3077,2489160,7299960,4810800,4854390.5,4811232.0,4631418.01245,4990373.66036
7585,5790300,6825900,1035600,1071079.5,1024218.0,1260876.73291,1081420.59827
2324,737280,6232860,5495580,5497234.0,5486312.4,0.0,5376354.39789
3066,2591760,7406100,4814340,4834664.0,4824460.8,5176381.11005,5071284.61852
696,511380,3714840,3203460,3276687.5,3131955.6,3166865.44177,3582800.27459
6852,1814940,2496960,682020,627375.625,624850.8,606338.458557,41638.438798
4234,247140,3206820,2959680,2913685.5,2950184.4,3633580.99445,3640775.69407
9021,715500,736020,20520,59733.234375,23422.8,0.0,366827.027311
3636,2502720,3996240,1493520,1546277.875,1463821.2,1991268.7876,1464750.59906
