,id,timestamp,state,resource,next_state,next_time,next_dur,elapsed_time,total_time,remaining_time,history
0,68,1325455200,1,2,1,1325459700,4500,0,262800,262800,1
1,61,1325455200,4,5,4,1325472600,17400,0,6225300,6225300,4
2,111,1325458800,0,11,0,1325480400,21600,0,3974400,3974400,0
3,68,1325459700,1,2,1,1325502000,42300,4500,262800,258300,1_1
4,61,1325472600,4,5,18,1325491200,18600,17400,6225300,6207900,4_4
5,66,1325480400,3,4,3,1325489400,9000,0,4817700,4817700,3
6,129,1325480400,26,16,26,1325520000,39600,0,1188000,1188000,26
7,111,1325480400,0,14,0,1325505600,25200,21600,3974400,3952800,0_0_0
8,111,1325480400,0,11,0,1325480400,0,21600,3974400,3952800,0_0
9,150,1325482200,41,38,41,1325512800,30600,0,626340,626340,41
10,120,1325487600,7,12,7,1325512800,25200,0,576000,576000,7
11,138,1325487600,10,13,10,1325494800,7200,0,1785600,1785600,10
12,66,1325489400,3,4,4,1326194700,705300,9000,4817700,4808700,3_3
13,61,1325491200,18,19,18,1325494800,3600,36000,6225300,6189300,4_4_18
14,128,1325492100,2,3,2,1325499300,7200,0,346200,346200,2
15,138,1325494800,10,13,10,1325584320,89520,7200,1785600,1778400,10_10
16,61,1325494800,18,19,34,1326315060,820260,39600,6225300,6185700,4_4_18_18
17,149,1325494860,10,13,10,1325515380,20520,0,223140,223140,10
18,67,1325499300,2,3,3,1325499600,300,0,3120480,3120480,2
19,128,1325499300,2,3,9,1325505600,6300,7200,346200,339000,2_2
20,67,1325499600,3,4,3,1325501400,1800,300,3120480,3120180,2_3
21,67,1325501400,3,4,3,1325503200,1800,2100,3120480,3118380,2_3_3
22,68,1325502000,1,2,1,1325505600,3600,46800,262800,216000,1_1_1
23,67,1325503200,3,4,2,1325505600,2400,3900,3120480,3116580,2_3_3_3
24,68,1325505600,1,2,1,1325505600,0,50400,262800,212400,1_1_1_1
25,111,1325505600,0,14,0,1325505600,0,46800,3974400,3927600,0_0_0_0
26,67,1325505600,2,3,3,1325512800,7200,6300,3120480,3114180,2_3_3_3_2
27,111,1325505600,0,14,0,1325512800,7200,46800,3974400,3927600,0_0_0_0_0
28,68,1325505600,1,2,1,1325513400,7800,50400,262800,212400,1_1_1_1_1
29,128,1325505600,9,3,9,1325512800,7200,13500,346200,332700,2_2_9
30,120,1325512800,7,12,7,1325512800,0,25200,576000,550800,7_7
31,128,1325512800,9,3,9,1325603040,90240,20700,346200,325500,2_2_9_9
32,67,1325512800,3,3,3,1325516400,3600,13500,3120480,3106980,2_3_3_3_2_3_3
33,111,1325512800,0,14,0,1325527200,14400,54000,3974400,3920400,0_0_0_0_0_0
34,150,1325512800,41,38,1,1325541600,28800,30600,626340,595740,41_41
35,120,1325512800,7,8,7,1325540400,27600,25200,576000,550800,7_7_7
36,67,1325512800,3,4,3,1325512800,0,13500,3120480,3106980,2_3_3_3_2_3
37,68,1325513400,1,2,5,1325566800,53400,58200,262800,204600,1_1_1_1_1_1
38,149,1325515380,10,13,10,1325566740,51360,20520,223140,202620,10_10
39,67,1325516400,3,3,1,1326791880,1275480,17100,3120480,3103380,2_3_3_3_2_3_3_3
40,129,1325520000,26,16,8,1325764680,244680,39600,1188000,1148400,26_26
41,51,1325523600,14,17,14,1325526600,3000,0,280800,280800,14
42,51,1325526600,14,17,14,1325526600,0,3000,280800,277800,14_14
43,51,1325526600,14,17,14,1325529900,3300,3000,280800,277800,14_14_14
44,146,1325527200,16,0,16,1325528340,1140,0,6670800,6670800,16
45,111,1325527200,0,11,0,1325566800,39600,68400,3974400,3906000,0_0_0_0_0_0_0
46,146,1325528340,16,0,16,1325530380,2040,1140,6670800,6669660,16_16
