id,remainingTime,prediction
Case1,1560960.0,1560960.0
Case1,1538220.0,1538220.0
Case1,1538160.0,1538160.0
Case1,1534680.0,1534680.0
Case1,1533660.0,1533660.0
Case1,1532340.0,1540432.13773
Case1,1532340.0,1537711.09455
Case1,1519320.0,1536326.29243
Case1,1424400.0,1525392.20872
Case1,1419000.0,1458471.26469
Case1,1356120.0,1433592.50713
Case1,1355580.0,1367791.66565
Case1,262800.0,1354361.0231
Case1,262800.0,681900.907342
Case1,258300.0,444584.167665
Case1,258300.0,391403.680226
Case1,230100.0,365600.37431
Case1,230100.0,320521.857641
Case1,229620.0,307934.879456
Case1,228120.0,297801.610322
Case1,225600.0,288633.040118
Case1,213780.0,279868.137398
Case1,213780.0,263132.200815
Case1,207180.0,258584.110771
Case1,64860.0,248305.756808
Case1,61260.0,107060.880036
Case1,46140.0,99929.985601
Case1,44220.0,82001.1667195
Case1,39720.0,77322.2693099
Case1,31680.0,70450.0932668
Case1,3600.0,60385.664296
Case1,0.0,30943.0913631
Case10,1447140.0,1447140.0
Case10,1432800.0,1432800.0
Case10,1432500.0,1432500.0
Case10,1431900.0,1431900.0
Case10,1402560.0,1402560.0
Case10,1400340.0,1427897.63298
Case10,1400340.0,1408208.81525
Case10,1387020.0,1405605.23525
Case10,1386660.0,1391654.67625
Case10,1362480.0,1390201.34833
Case10,1360860.0,1366204.86981
Case10,1359360.0,1363753.35226
Case10,1326420.0,1361780.3532
Case10,1321500.0,1329332.13969
Case10,1321380.0,1321191.02159
Case10,1313760.0,1323281.79744
Case10,1313400.0,1313451.79275
Case10,1276260.0,1315046.59226
Case10,1241280.0,1276005.9969
Case10,1234260.0,1243422.44953
Case10,1234200.0,1236157.00447
Case10,1227120.0,1233965.45101
Case10,1227060.0,1226919.729
Case10,1194600.0,1226815.42397
Case10,1030680.0,1196074.83331
Case10,1016760.0,1036298.90832
Case10,1015200.0,1021776.14658
Case10,1014420.0,1019856.96077
Case10,1007880.0,1018755.22666
Case10,976380.0,1011877.8779
Case10,925560.0,980029.472981
Case10,916440.0,928956.960953
Case10,746940.0,919607.20874
Case10,741780.0,751277.019697
Case10,741600.0,745888.89198
Case10,734760.0,745520.891531
Case10,733080.0,738467.525001
Case10,730260.0,736608.250488
Case10,570600.0,733613.657546
Case10,561600.0,574470.889055
Case10,406260.0,565282.813757
Case10,381240.0,410148.068489
Case10,294060.0,384919.58995
Case10,288060.0,297562.431147
Case10,44520.0,291433.587245
Case10,38640.0,48603.2610421
Case10,3600.0,42592.9923583
Case10,0.0,3600.00197403
Case100,2555640.0,2555640.0
Case100,2552760.0,2552760.0
Case100,2534760.0,2534760.0
Case100,2520360.0,2520360.0
Case100,2506680.0,2506680.0
Case100,2491200.0,2512043.32272
Case100,2491140.0,2495321.87338
Case100,2487300.0,2494201.46859
Case100,2391300.0,2489691.33019
Case100,2389980.0,2408056.76864
Case100,849480.0,2401223.16771
Case100,849420.0,1835587.91876
Case100,844800.0,1163005.81374
Case100,843480.0,1064758.93997
Case100,843420.0,1016550.16881
Case100,841500.0,986536.148675
Case100,678540.0,963384.177563
Case100,678120.0,791108.854925
Case100,678120.0,776168.264282
Case100,661860.0,764644.472029
Case100,415980.0,739601.969866
Case100,411780.0,494390.330833
Case100,157320.0,482032.187334
Case100,147420.0,226080.854584
Case100,25380.0,209440.486107
Case100,21780.0,83005.6233387
Case100,60.0,74210.114207
Case100,0.0,48195.251348
Case101,1059180.0,1059180.0
Case101,1054620.0,1054620.0
Case101,1052520.0,1052520.0
Case101,1043820.0,1043820.0
Case101,1043760.0,1043760.0
Case101,1041060.0,1046027.11556
Case101,1041000.0,1042719.78397
Case101,1036440.0,1042221.56891
Case101,1036440.0,1037560.57787
Case101,1017120.0,1037336.33634
Case101,1015080.0,1019576.59993
Case101,1012320.0,1016855.57176
Case101,1012260.0,1013722.88043
Case101,1000200.0,1013458.02457
Case101,1000140.0,1000074.12256
Case101,991800.0,1001160.89612
Case101,991620.0,992702.848177
Case101,987120.0,992422.953784
Case101,918300.0,987862.536334
Case101,914700.0,922214.589619
Case101,223200.0,918356.155918
Case101,217200.0,369544.028442
Case101,96300.0,296618.038678
Case101,90900.0,148890.638283
Case101,90900.0,135954.686108
Case101,65700.0,130789.300858
Case101,65400.0,100977.759062
Case101,54000.0,97450.1091814
Case101,50400.0,83230.5090672
Case101,49500.0,77292.3727994
Case101,48660.0,74373.3761327
Case101,48540.0,71759.3441794
Case101,3600.0,70063.947954
Case101,0.0,23970.8360169
Case102,1326000.0,1326000.0
Case102,1309860.0,1309860.0
Case102,1307640.0,1307640.0
Case102,1294620.0,1294620.0
Case102,1260000.0,1260000.0
Case102,1251240.0,1273686.64612
Case102,1248000.0,1258032.6092
Case102,1247100.0,1252787.43173
Case102,1244100.0,1250850.42407
Case102,1241280.0,1247159.38545
Case102,1241280.0,1243939.10752
Case102,1235040.0,1243550.31597
Case102,1222320.0,1237091.15706
Case102,1207860.0,1224225.03025
Case102,1207800.0,1209599.40403
Case102,1196940.0,1209322.04744
Case102,1186080.0,1198283.23947
Case102,1173300.0,1187353.08001
Case102,1173300.0,1173095.88598
Case102,1159200.0,1174340.48366
Case102,1155600.0,1159021.25985
Case102,1155600.0,1155439.30327
Case102,1155600.0,1155451.24292
Case102,1155360.0,1155470.24003
Case102,1153440.0,1155248.04427
Case102,1150860.0,1153344.59238
Case102,1150800.0,1150742.87687
Case102,1149120.0,1150718.97661
Case102,1132380.0,1149047.25525
Case102,1126140.0,1132295.56411
Case102,1092600.0,1126072.82168
Case102,1087860.0,1092476.20503
Case102,694800.0,1087741.07327
Case102,690300.0,716214.072772
Case102,473280.0,708676.533987
Case102,469140.0,486511.028286
Case102,435600.0,481560.913201
Case102,431100.0,446732.199029
Case102,228120.0,441628.086451
Case102,222960.0,228120.002101
Case102,192900.0,231966.628222
Case102,190800.0,201308.580359
Case102,190800.0,198890.198896
Case102,177600.0,198596.040656
Case102,151020.0,185024.385558
Case102,148200.0,151020.000671
Case102,147480.0,154948.191445
Case102,147360.0,153980.111337
Case102,147060.0,153622.737933
