id,Event_1,Event_2,Event_3,Event_4,Event_5,remainingTime,prediction
113,8,8,27,27,67,16560.0,2252781.2
116,79,79,79,79,75,573600.0,671278.8
118,38,38,48,48,48,134940.0,2826702.54
127,48,48,48,48,2,1343160.0,1158274.42
134,8,8,8,8,2,86400.0,1547076.06
140,38,38,2,2,67,856860.0,2305669.4
145,22,22,33,33,22,1819080.0,1334369.44
147,22,22,33,33,33,97380.0,751123.462857
156,54,54,54,54,54,1222020.0,598708.8
179,75,75,57,57,83,3397200.0,793669.2
187,152,152,134,134,144,4087860.0,5096456.4
192,111,111,45,45,13,1656600.0,3463660.2
198,38,38,27,27,27,6093540.0,2057353.52857
208,54,54,17,17,54,3319680.0,1074783.2
209,48,48,33,33,33,739140.0,1414263.97286
210,27,27,48,48,48,1050840.0,1923033.12
225,75,75,75,75,75,7024980.0,654273.6
23,38,38,2,2,27,3149820.0,819667.3
236,79,79,79,79,18,238200.0,343734.0
24,8,8,8,8,67,3601440.0,3104736.2
244,79,79,79,79,79,406080.0,670206.0
245,17,17,17,57,57,2703360.0,1202264.6
246,54,54,17,17,54,470760.0,1074783.2
255,33,33,18,18,137,488280.0,1364658.8
260,27,27,27,27,27,4744980.0,2064742.8
263,22,22,22,22,22,1620060.0,1610277.98571
267,2,2,48,48,48,7256700.0,3090128.32
271,8,8,8,8,8,6660000.0,2535295.76
272,17,17,54,54,54,1421820.0,1362504.4
28,48,48,48,48,2,3519420.0,1158274.42
36,27,27,38,38,8,1510200.0,2921936.68
37,33,54,54,33,33,1937580.0,958699.68
4,8,8,27,67,27,75660.0,1765600.0
43,22,22,33,18,33,386040.0,1402387.92
46,38,38,27,27,38,201540.0,1880325.50857
52,33,33,22,22,22,638460.0,1150792.34
60,22,22,137,137,33,400020.0,1052248.2
61,17,17,17,17,17,3622980.0,1054576.8
62,22,22,22,22,22,2434860.0,1610277.98571
64,38,38,8,8,27,255600.0,1982703.96
70,17,17,17,17,17,3195360.0,1054576.8
81,18,18,18,18,18,33600.0,310637.84
92,48,48,48,48,48,1905540.0,3062371.14
