"Id","concept:name_1","lifecycle:transition_1","org:resource_1","Activity_1","Resource_1","Work_Order_Qty_1","Part_Desc__1","Worker_ID_1","Report_Type_1","Qty_Completed_1","Qty_Rejected_1","Qty_for_MRB_1","concept:name_2","lifecycle:transition_2","org:resource_2","Activity_2","Resource_2","Work_Order_Qty_2","Part_Desc__2","Worker_ID_2","Report_Type_2","Qty_Completed_2","Qty_Rejected_2","Qty_for_MRB_2","concept:name_3","lifecycle:transition_3","org:resource_3","Activity_3","Resource_3","Work_Order_Qty_3","Part_Desc__3","Worker_ID_3","Report_Type_3","Qty_Completed_3","Qty_Rejected_3","Qty_for_MRB_3","concept:name_4","lifecycle:transition_4","org:resource_4","Activity_4","Resource_4","Work_Order_Qty_4","Part_Desc__4","Worker_ID_4","Report_Type_4","Qty_Completed_4","Qty_Rejected_4","Qty_for_MRB_4","concept:name_5","lifecycle:transition_5","org:resource_5","Activity_5","Resource_5","Work_Order_Qty_5","Part_Desc__5","Worker_ID_5","Report_Type_5","Qty_Completed_5","Qty_Rejected_5","Qty_for_MRB_5","concept:name_6","lifecycle:transition_6","org:resource_6","Activity_6","Resource_6","Work_Order_Qty_6","Part_Desc__6","Worker_ID_6","Report_Type_6","Qty_Completed_6","Qty_Rejected_6","Qty_for_MRB_6","concept:name_7","lifecycle:transition_7","org:resource_7","Activity_7","Resource_7","Work_Order_Qty_7","Part_Desc__7","Worker_ID_7","Report_Type_7","Qty_Completed_7","Qty_Rejected_7","Qty_for_MRB_7","concept:name_8","lifecycle:transition_8","org:resource_8","Activity_8","Resource_8","Work_Order_Qty_8","Part_Desc__8","Worker_ID_8","Report_Type_8","Qty_Completed_8","Qty_Rejected_8","Qty_for_MRB_8","concept:name_9","lifecycle:transition_9","org:resource_9","Activity_9","Resource_9","Work_Order_Qty_9","Part_Desc__9","Worker_ID_9","Report_Type_9","Qty_Completed_9","Qty_Rejected_9","Qty_for_MRB_9","concept:name_10","lifecycle:transition_10","org:resource_10","Activity_10","Resource_10","Work_Order_Qty_10","Part_Desc__10","Worker_ID_10","Report_Type_10","Qty_Completed_10","Qty_Rejected_10","Qty_for_MRB_10","concept:name_11","lifecycle:transition_11","org:resource_11","Activity_11","Resource_11","Work_Order_Qty_11","Part_Desc__11","Worker_ID_11","Report_Type_11","Qty_Completed_11","Qty_Rejected_11","Qty_for_MRB_11","concept:name_12","lifecycle:transition_12","org:resource_12","Activity_12","Resource_12","Work_Order_Qty_12","Part_Desc__12","Worker_ID_12","Report_Type_12","Qty_Completed_12","Qty_Rejected_12","Qty_for_MRB_12","concept:name_13","lifecycle:transition_13","org:resource_13","Activity_13","Resource_13","Work_Order_Qty_13","Part_Desc__13","Worker_ID_13","Report_Type_13","Qty_Completed_13","Qty_Rejected_13","Qty_for_MRB_13","concept:name_14","lifecycle:transition_14","org:resource_14","Activity_14","Resource_14","Work_Order_Qty_14","Part_Desc__14","Worker_ID_14","Report_Type_14","Qty_Completed_14","Qty_Rejected_14","Qty_for_MRB_14","concept:name_15","lifecycle:transition_15","org:resource_15","Activity_15","Resource_15","Work_Order_Qty_15","Part_Desc__15","Worker_ID_15","Report_Type_15","Qty_Completed_15","Qty_Rejected_15","Qty_for_MRB_15","concept:name_16","lifecycle:transition_16","org:resource_16","Activity_16","Resource_16","Work_Order_Qty_16","Part_Desc__16","Worker_ID_16","Report_Type_16","Qty_Completed_16","Qty_Rejected_16","Qty_for_MRB_16","remainingTime"
"1","9","10","8","9","11","4","5","8","12","13","7","7","9","1","8","9","11","4","5","8","12","13","7","7","9","10","8","9","11","4","5","8","6","13","7","7","9","1","8","9","11","4","5","8","6","13","7","7","9","10","14","9","11","4","5","14","12","7","7","7","9","1","14","9","11","4","5","14","12","7","7","7","9","10","14","9","11","4","5","14","6","15","7","7","9","1","14","9","11","4","5","14","6","15","7","7","17","10","16","17","18","4","5","16","6","19","13","7","17","1","16","17","18","4","5","16","6","19","13","7","21","10","20","21","22","4","5","20","6","19","7","7","21","1","20","21","22","4","5","20","6","19","7","7","0","10","2","0","3","4","5","2","6","7","7","7","0","10","2","0","3","4","5","2","6","7","7","7","0","1","2","0","3","4","5","2","6","7","7","7","0","1","2","0","3","4","5","2","6","7","7","7","258300.0"
"10","23","10","29","23","25","26","27","29","12","13","7","7","31","10","30","31","18","26","27","30","6","7","7","7","23","1","29","23","25","26","27","29","12","13","7","7","31","1","30","31","18","26","27","30","6","7","7","7","23","10","24","23","25","26","27","24","12","7","7","7","23","1","24","23","25","26","27","24","12","7","7","7","23","10","24","23","25","26","27","24","6","32","7","7","23","1","24","23","25","26","27","24","6","32","7","7","23","10","33","23","25","26","27","33","6","34","7","7","23","1","33","23","25","26","27","33","6","34","7","7","23","10","29","23","25","26","27","29","6","35","7","7","23","1","29","23","25","26","27","29","6","35","7","7","23","10","24","23","25","26","27","24","12","13","7","7","23","1","24","23","25","26","27","24","12","13","7","7","23","10","24","23","25","26","27","24","6","28","7","7","23","1","24","23","25","26","27","24","6","28","7","7","1313760.0"
"100","39","10","38","39","40","36","37","38","6","41","7","7","39","1","38","39","40","36","37","38","6","41","7","7","39","10","42","39","40","36","37","42","6","43","7","7","39","1","42","39","40","36","37","42","6","43","7","7","39","10","38","39","40","36","37","38","12","13","7","7","39","1","38","39","40","36","37","38","12","13","7","7","39","10","38","39","40","36","37","38","6","32","7","7","39","1","38","39","40","36","37","38","6","32","7","7","17","10","30","17","18","36","37","30","6","36","7","7","17","1","30","17","18","36","37","30","6","36","7","7","21","10","20","21","22","36","37","20","6","36","7","7","21","1","20","21","22","36","37","20","6","36","7","7","44","10","20","44","45","36","37","20","6","36","7","7","44","1","20","44","45","36","37","20","6","36","7","7","0","10","2","0","3","36","37","2","6","36","7","7","0","1","2","0","3","36","37","2","6","36","7","7","841500.0"
"101","49","10","38","49","40","47","48","38","12","7","7","7","49","1","38","49","40","47","48","38","12","7","7","7","39","10","38","39","40","47","48","38","12","7","7","7","39","1","38","39","40","47","48","38","12","7","7","7","39","10","38","39","40","47","48","38","50","7","7","7","39","1","38","39","40","47","48","38","50","7","7","7","39","10","38","39","40","47","48","38","6","41","7","7","39","1","38","39","40","47","48","38","6","41","7","7","39","10","33","39","40","47","48","33","6","32","7","7","39","1","33","39","40","47","48","33","6","32","7","7","39","10","46","39","40","47","48","46","6","28","7","7","39","1","46","39","40","47","48","46","6","28","7","7","39","10","46","39","40","47","48","46","12","7","7","7","39","1","46","39","40","47","48","46","12","7","7","7","39","10","46","39","40","47","48","46","6","47","7","7","39","1","46","39","40","47","48","46","6","47","7","7","991800.0"
"102","39","10","38","39","40","51","27","38","12","7","7","7","39","1","38","39","40","51","27","38","12","7","7","7","39","10","38","39","40","51","27","38","12","7","7","7","39","1","38","39","40","51","27","38","12","7","7","7","39","10","46","39","40","51","27","46","12","7","7","7","39","1","46","39","40","51","27","46","12","7","7","7","39","10","46","39","40","51","27","46","12","7","7","7","17","10","52","17","18","51","27","52","6","7","7","7","17","1","52","17","18","51","27","52","6","7","7","7","39","1","46","39","40","51","27","46","12","7","7","7","39","10","46","39","40","51","27","46","6","28","7","7","39","1","46","39","40","51","27","46","6","28","7","7","39","10","38","39","40","51","27","38","6","19","7","7","39","1","38","39","40","51","27","38","6","19","7","7","39","10","33","39","40","51","27","33","6","41","7","7","39","1","33","39","40","51","27","33","6","41","7","7","1196940.0"
"103","39","10","38","39","40","53","54","38","50","7","7","7","39","1","38","39","40","53","54","38","50","7","7","7","39","10","46","39","40","53","54","46","12","7","7","7","39","1","46","39","40","53","54","46","12","7","7","7","39","10","38","39","40","53","54","38","12","7","7","7","39","1","38","39","40","53","54","38","12","7","7","7","39","10","46","39","40","53","54","46","12","7","7","7","39","1","46","39","40","53","54","46","12","7","7","7","39","10","46","39","40","53","54","46","6","55","7","7","39","1","46","39","40","53","54","46","6","55","7","7","17","10","30","17","18","53","54","30","6","7","7","7","39","10","38","39","40","53","54","38","6","15","7","7","39","1","38","39","40","53","54","38","6","15","7","7","17","1","30","17","18","53","54","30","6","7","7","7","17","10","30","17","18","53","54","30","6","7","7","7","17","1","30","17","18","53","54","30","6","7","7","7","319440.0"
"106","39","10","46","39","40","57","37","46","12","7","7","7","39","1","46","39","40","57","37","46","12","7","7","7","39","10","38","39","40","57","37","38","6","57","7","7","39","1","38","39","40","57","37","38","6","57","7","7","17","10","30","17","18","57","37","30","6","57","7","7","17","1","30","17","18","57","37","30","6","57","7","7","21","10","20","21","22","57","37","20","6","57","7","7","21","1","20","21","22","57","37","20","6","57","7","7","44","10","2","44","45","57","37","2","6","57","7","7","44","1","2","44","45","57","37","2","6","57","7","7","56","10","30","56","18","57","37","30","6","7","7","7","56","1","30","56","18","57","37","30","6","7","7","7","59","10","58","59","59","57","37","58","6","57","7","7","59","1","58","59","59","57","37","58","6","57","7","7","56","10","30","56","18","57","37","30","6","57","7","7","56","1","30","56","18","57","37","30","6","57","7","7","0.0"
"108","9","10","33","9","11","61","62","33","12","13","7","7","9","1","33","9","11","61","62","33","12","13","7","7","9","10","42","9","11","61","62","42","12","13","7","7","17","10","52","17","18","61","62","52","6","7","7","7","17","1","52","17","18","61","62","52","6","7","7","7","9","1","42","9","11","61","62","42","12","13","7","7","9","10","42","9","11","61","62","42","6","63","7","7","9","1","42","9","11","61","62","42","6","63","7","7","17","10","52","17","18","61","62","52","6","55","13","7","17","1","52","17","18","61","62","52","6","55","13","7","21","10","20","21","22","61","62","20","6","55","7","7","21","1","20","21","22","61","62","20","6","55","7","7","44","10","64","44","45","61","62","64","6","7","7","7","44","1","64","44","45","61","62","64","6","7","7","7","44","10","60","44","45","61","62","60","6","55","7","7","44","1","60","44","45","61","62","60","6","55","7","7","728580.0"
"109","9","10","8","9","11","65","66","8","12","7","7","7","9","10","14","9","11","65","66","14","12","67","7","7","9","1","8","9","11","65","66","8","12","7","7","7","9","1","14","9","11","65","66","14","12","67","7","7","17","10","30","17","18","65","66","30","6","68","7","7","9","10","42","9","11","65","66","42","12","13","7","7","9","1","42","9","11","65","66","42","12","13","7","7","9","10","42","9","11","65","66","42","6","69","7","7","17","1","30","17","18","65","66","30","6","68","7","7","9","1","42","9","11","65","66","42","6","69","7","7","9","10","8","9","11","65","66","8","6","70","7","7","17","10","30","17","18","65","66","30","6","7","7","7","17","1","30","17","18","65","66","30","6","7","7","7","9","1","8","9","11","65","66","8","6","70","7","7","17","10","30","17","18","65","66","30","6","7","13","7","17","1","30","17","18","65","66","30","6","7","13","7","1694220.0"
"11","71","10","24","71","73","74","27","24","12","7","7","7","71","1","24","71","73","74","27","24","12","7","7","7","71","10","72","71","73","74","27","72","6","13","7","7","17","10","52","17","18","74","27","52","6","7","7","7","71","1","72","71","73","74","27","72","6","13","7","7","71","10","72","71","73","74","27","72","6","32","7","7","17","1","52","17","18","74","27","52","6","7","7","7","71","1","72","71","73","74","27","72","6","32","7","7","71","10","24","71","73","74","27","24","6","36","7","7","71","1","24","71","73","74","27","24","6","36","7","7","71","10","8","71","73","74","27","8","6","75","7","7","71","1","8","71","73","74","27","8","6","75","7","7","71","10","72","71","73","74","27","72","6","41","7","7","71","1","72","71","73","74","27","72","6","41","7","7","17","10","52","17","18","74","27","52","6","7","7","7","71","10","72","71","73","74","27","72","6","7","7","7","624960.0"
