"Id","concept:name_1","lifecycle:transition_1","org:resource_1","Activity_1","Resource_1","Work_Order_Qty_1","Part_Desc__1","Worker_ID_1","Report_Type_1","Qty_Completed_1","Qty_Rejected_1","Qty_for_MRB_1","concept:name_2","lifecycle:transition_2","org:resource_2","Activity_2","Resource_2","Work_Order_Qty_2","Part_Desc__2","Worker_ID_2","Report_Type_2","Qty_Completed_2","Qty_Rejected_2","Qty_for_MRB_2","concept:name_3","lifecycle:transition_3","org:resource_3","Activity_3","Resource_3","Work_Order_Qty_3","Part_Desc__3","Worker_ID_3","Report_Type_3","Qty_Completed_3","Qty_Rejected_3","Qty_for_MRB_3","concept:name_4","lifecycle:transition_4","org:resource_4","Activity_4","Resource_4","Work_Order_Qty_4","Part_Desc__4","Worker_ID_4","Report_Type_4","Qty_Completed_4","Qty_Rejected_4","Qty_for_MRB_4","concept:name_5","lifecycle:transition_5","org:resource_5","Activity_5","Resource_5","Work_Order_Qty_5","Part_Desc__5","Worker_ID_5","Report_Type_5","Qty_Completed_5","Qty_Rejected_5","Qty_for_MRB_5","concept:name_6","lifecycle:transition_6","org:resource_6","Activity_6","Resource_6","Work_Order_Qty_6","Part_Desc__6","Worker_ID_6","Report_Type_6","Qty_Completed_6","Qty_Rejected_6","Qty_for_MRB_6","concept:name_7","lifecycle:transition_7","org:resource_7","Activity_7","Resource_7","Work_Order_Qty_7","Part_Desc__7","Worker_ID_7","Report_Type_7","Qty_Completed_7","Qty_Rejected_7","Qty_for_MRB_7","concept:name_8","lifecycle:transition_8","org:resource_8","Activity_8","Resource_8","Work_Order_Qty_8","Part_Desc__8","Worker_ID_8","Report_Type_8","Qty_Completed_8","Qty_Rejected_8","Qty_for_MRB_8","concept:name_9","lifecycle:transition_9","org:resource_9","Activity_9","Resource_9","Work_Order_Qty_9","Part_Desc__9","Worker_ID_9","Report_Type_9","Qty_Completed_9","Qty_Rejected_9","Qty_for_MRB_9","concept:name_10","lifecycle:transition_10","org:resource_10","Activity_10","Resource_10","Work_Order_Qty_10","Part_Desc__10","Worker_ID_10","Report_Type_10","Qty_Completed_10","Qty_Rejected_10","Qty_for_MRB_10","concept:name_11","lifecycle:transition_11","org:resource_11","Activity_11","Resource_11","Work_Order_Qty_11","Part_Desc__11","Worker_ID_11","Report_Type_11","Qty_Completed_11","Qty_Rejected_11","Qty_for_MRB_11","concept:name_12","lifecycle:transition_12","org:resource_12","Activity_12","Resource_12","Work_Order_Qty_12","Part_Desc__12","Worker_ID_12","Report_Type_12","Qty_Completed_12","Qty_Rejected_12","Qty_for_MRB_12","concept:name_13","lifecycle:transition_13","org:resource_13","Activity_13","Resource_13","Work_Order_Qty_13","Part_Desc__13","Worker_ID_13","Report_Type_13","Qty_Completed_13","Qty_Rejected_13","Qty_for_MRB_13","concept:name_14","lifecycle:transition_14","org:resource_14","Activity_14","Resource_14","Work_Order_Qty_14","Part_Desc__14","Worker_ID_14","Report_Type_14","Qty_Completed_14","Qty_Rejected_14","Qty_for_MRB_14","concept:name_15","lifecycle:transition_15","org:resource_15","Activity_15","Resource_15","Work_Order_Qty_15","Part_Desc__15","Worker_ID_15","Report_Type_15","Qty_Completed_15","Qty_Rejected_15","Qty_for_MRB_15","concept:name_16","lifecycle:transition_16","org:resource_16","Activity_16","Resource_16","Work_Order_Qty_16","Part_Desc__16","Worker_ID_16","Report_Type_16","Qty_Completed_16","Qty_Rejected_16","Qty_for_MRB_16","concept:name_17","lifecycle:transition_17","org:resource_17","Activity_17","Resource_17","Work_Order_Qty_17","Part_Desc__17","Worker_ID_17","Report_Type_17","Qty_Completed_17","Qty_Rejected_17","Qty_for_MRB_17","concept:name_18","lifecycle:transition_18","org:resource_18","Activity_18","Resource_18","Work_Order_Qty_18","Part_Desc__18","Worker_ID_18","Report_Type_18","Qty_Completed_18","Qty_Rejected_18","Qty_for_MRB_18","concept:name_19","lifecycle:transition_19","org:resource_19","Activity_19","Resource_19","Work_Order_Qty_19","Part_Desc__19","Worker_ID_19","Report_Type_19","Qty_Completed_19","Qty_Rejected_19","Qty_for_MRB_19","concept:name_20","lifecycle:transition_20","org:resource_20","Activity_20","Resource_20","Work_Order_Qty_20","Part_Desc__20","Worker_ID_20","Report_Type_20","Qty_Completed_20","Qty_Rejected_20","Qty_for_MRB_20","remainingTime"
"1","10","11","9","10","12","4","5","9","13","14","8","8","10","1","9","10","12","4","5","9","13","14","8","8","10","11","9","10","12","4","5","9","6","14","8","8","10","1","9","10","12","4","5","9","6","14","8","8","10","11","15","10","12","4","5","15","13","8","8","8","10","1","15","10","12","4","5","15","13","8","8","8","10","11","15","10","12","4","5","15","6","7","8","8","10","1","15","10","12","4","5","15","6","7","8","8","17","11","16","17","18","4","5","16","6","19","14","8","17","1","16","17","18","4","5","16","6","19","14","8","21","11","20","21","22","4","5","20","6","19","8","8","21","1","20","21","22","4","5","20","6","19","8","8","0","11","2","0","3","4","5","2","6","8","8","8","0","11","2","0","3","4","5","2","6","8","8","8","0","1","2","0","3","4","5","2","6","8","8","8","0","1","2","0","3","4","5","2","6","8","8","8","0","11","2","0","3","4","5","2","6","14","8","8","0","11","2","0","3","4","5","2","6","7","8","8","24","11","23","24","25","4","5","23","13","8","8","8","0","1","2","0","3","4","5","2","6","7","8","8","228120.0"
"10","26","11","31","26","28","29","30","31","13","14","8","8","33","11","32","33","18","29","30","32","6","8","8","8","26","1","31","26","28","29","30","31","13","14","8","8","33","1","32","33","18","29","30","32","6","8","8","8","26","11","27","26","28","29","30","27","13","8","8","8","26","1","27","26","28","29","30","27","13","8","8","8","26","11","27","26","28","29","30","27","6","34","8","8","26","1","27","26","28","29","30","27","6","34","8","8","26","11","35","26","28","29","30","35","6","36","8","8","26","1","35","26","28","29","30","35","6","36","8","8","26","11","31","26","28","29","30","31","6","37","8","8","26","1","31","26","28","29","30","31","6","37","8","8","26","11","27","26","28","29","30","27","13","14","8","8","26","1","27","26","28","29","30","27","13","14","8","8","26","11","27","26","28","29","30","27","6","38","8","8","26","1","27","26","28","29","30","27","6","38","8","8","26","11","35","26","28","29","30","35","6","39","8","8","26","1","35","26","28","29","30","35","6","39","8","8","26","11","27","26","28","29","30","27","13","14","8","8","26","1","27","26","28","29","30","27","13","14","8","8","1234260.0"
"100","43","11","42","43","44","40","41","42","6","45","8","8","43","1","42","43","44","40","41","42","6","45","8","8","43","11","46","43","44","40","41","46","6","47","8","8","43","1","46","43","44","40","41","46","6","47","8","8","43","11","42","43","44","40","41","42","13","14","8","8","43","1","42","43","44","40","41","42","13","14","8","8","43","11","42","43","44","40","41","42","6","34","8","8","43","1","42","43","44","40","41","42","6","34","8","8","17","11","32","17","18","40","41","32","6","40","8","8","17","1","32","17","18","40","41","32","6","40","8","8","21","11","20","21","22","40","41","20","6","40","8","8","21","1","20","21","22","40","41","20","6","40","8","8","48","11","20","48","49","40","41","20","6","40","8","8","48","1","20","48","49","40","41","20","6","40","8","8","0","11","2","0","3","40","41","2","6","40","8","8","0","1","2","0","3","40","41","2","6","40","8","8","24","11","23","24","25","40","41","23","13","8","8","8","24","1","23","24","25","40","41","23","13","8","8","8","24","11","23","24","25","40","41","23","6","40","8","8","24","1","23","24","25","40","41","23","6","40","8","8","661860.0"
"101","52","11","42","52","44","50","51","42","13","8","8","8","52","1","42","52","44","50","51","42","13","8","8","8","43","11","42","43","44","50","51","42","13","8","8","8","43","1","42","43","44","50","51","42","13","8","8","8","43","11","42","43","44","50","51","42","53","8","8","8","43","1","42","43","44","50","51","42","53","8","8","8","43","11","42","43","44","50","51","42","6","45","8","8","43","1","42","43","44","50","51","42","6","45","8","8","43","11","35","43","44","50","51","35","6","34","8","8","43","1","35","43","44","50","51","35","6","34","8","8","43","11","54","43","44","50","51","54","6","38","8","8","43","1","54","43","44","50","51","54","6","38","8","8","43","11","54","43","44","50","51","54","13","8","8","8","43","1","54","43","44","50","51","54","13","8","8","8","43","11","54","43","44","50","51","54","6","50","8","8","43","1","54","43","44","50","51","54","6","50","8","8","17","11","32","17","18","50","51","32","6","50","8","8","17","1","32","17","18","50","51","32","6","50","8","8","48","11","20","48","49","50","51","20","6","50","8","8","48","1","20","48","49","50","51","20","6","50","8","8","914700.0"
"102","43","11","42","43","44","56","30","42","13","8","8","8","43","1","42","43","44","56","30","42","13","8","8","8","43","11","42","43","44","56","30","42","13","8","8","8","43","1","42","43","44","56","30","42","13","8","8","8","43","11","54","43","44","56","30","54","13","8","8","8","43","1","54","43","44","56","30","54","13","8","8","8","43","11","54","43","44","56","30","54","13","8","8","8","17","11","55","17","18","56","30","55","6","8","8","8","17","1","55","17","18","56","30","55","6","8","8","8","43","1","54","43","44","56","30","54","13","8","8","8","43","11","54","43","44","56","30","54","6","38","8","8","43","1","54","43","44","56","30","54","6","38","8","8","43","11","42","43","44","56","30","42","6","19","8","8","43","1","42","43","44","56","30","42","6","19","8","8","43","11","35","43","44","56","30","35","6","45","8","8","43","1","35","43","44","56","30","35","6","45","8","8","43","11","54","43","44","56","30","54","6","57","8","8","43","1","54","43","44","56","30","54","6","57","8","8","43","11","54","43","44","56","30","54","13","14","8","8","17","11","55","17","18","56","30","55","6","56","8","8","1159200.0"
"103","43","11","42","43","44","58","59","42","53","8","8","8","43","1","42","43","44","58","59","42","53","8","8","8","43","11","54","43","44","58","59","54","13","8","8","8","43","1","54","43","44","58","59","54","13","8","8","8","43","11","42","43","44","58","59","42","13","8","8","8","43","1","42","43","44","58","59","42","13","8","8","8","43","11","54","43","44","58","59","54","13","8","8","8","43","1","54","43","44","58","59","54","13","8","8","8","43","11","54","43","44","58","59","54","6","60","8","8","43","1","54","43","44","58","59","54","6","60","8","8","17","11","32","17","18","58","59","32","6","8","8","8","43","11","42","43","44","58","59","42","6","7","8","8","43","1","42","43","44","58","59","42","6","7","8","8","17","1","32","17","18","58","59","32","6","8","8","8","17","11","32","17","18","58","59","32","6","8","8","8","17","1","32","17","18","58","59","32","6","8","8","8","43","11","54","43","44","58","59","54","6","8","8","8","43","1","54","43","44","58","59","54","6","8","8","8","43","11","54","43","44","58","59","54","13","8","8","8","43","1","54","43","44","58","59","54","13","8","8","8","306720.0"
"108","10","11","35","10","12","62","63","35","13","14","8","8","10","1","35","10","12","62","63","35","13","14","8","8","10","11","46","10","12","62","63","46","13","14","8","8","17","11","55","17","18","62","63","55","6","8","8","8","17","1","55","17","18","62","63","55","6","8","8","8","10","1","46","10","12","62","63","46","13","14","8","8","10","11","46","10","12","62","63","46","6","64","8","8","10","1","46","10","12","62","63","46","6","64","8","8","17","11","55","17","18","62","63","55","6","60","14","8","17","1","55","17","18","62","63","55","6","60","14","8","21","11","20","21","22","62","63","20","6","60","8","8","21","1","20","21","22","62","63","20","6","60","8","8","48","11","65","48","49","62","63","65","6","8","8","8","48","1","65","48","49","62","63","65","6","8","8","8","48","11","61","48","49","62","63","61","6","60","8","8","48","1","61","48","49","62","63","61","6","60","8","8","0","11","61","0","3","62","63","61","6","8","8","8","0","11","61","0","3","62","63","61","6","60","8","8","0","1","61","0","3","62","63","61","6","60","8","8","0","1","61","0","3","62","63","61","6","8","8","8","711420.0"
"109","10","11","9","10","12","69","70","9","13","8","8","8","10","11","15","10","12","69","70","15","13","71","8","8","10","1","9","10","12","69","70","9","13","8","8","8","10","1","15","10","12","69","70","15","13","71","8","8","17","11","32","17","18","69","70","32","6","72","8","8","10","11","46","10","12","69","70","46","13","14","8","8","10","1","46","10","12","69","70","46","13","14","8","8","10","11","46","10","12","69","70","46","6","73","8","8","17","1","32","17","18","69","70","32","6","72","8","8","10","1","46","10","12","69","70","46","6","73","8","8","10","11","9","10","12","69","70","9","6","74","8","8","17","11","32","17","18","69","70","32","6","8","8","8","17","1","32","17","18","69","70","32","6","8","8","8","10","1","9","10","12","69","70","9","6","74","8","8","17","11","32","17","18","69","70","32","6","8","14","8","17","1","32","17","18","69","70","32","6","8","14","8","21","11","20","21","22","69","70","20","6","72","8","8","21","1","20","21","22","69","70","20","6","72","8","8","66","11","67","66","68","69","70","67","13","14","8","8","66","1","67","66","68","69","70","67","13","14","8","8","326280.0"
"11","75","11","27","75","77","78","30","27","13","8","8","8","75","1","27","75","77","78","30","27","13","8","8","8","75","11","76","75","77","78","30","76","6","14","8","8","17","11","55","17","18","78","30","55","6","8","8","8","75","1","76","75","77","78","30","76","6","14","8","8","75","11","76","75","77","78","30","76","6","34","8","8","17","1","55","17","18","78","30","55","6","8","8","8","75","1","76","75","77","78","30","76","6","34","8","8","75","11","27","75","77","78","30","27","6","40","8","8","75","1","27","75","77","78","30","27","6","40","8","8","75","11","9","75","77","78","30","9","6","79","8","8","75","1","9","75","77","78","30","9","6","79","8","8","75","11","76","75","77","78","30","76","6","45","8","8","75","1","76","75","77","78","30","76","6","45","8","8","17","11","55","17","18","78","30","55","6","8","8","8","75","11","76","75","77","78","30","76","6","8","8","8","75","11","76","75","77","78","30","76","13","8","8","8","17","1","55","17","18","78","30","55","6","8","8","8","75","1","76","75","77","78","30","76","6","8","8","8","75","1","76","75","77","78","30","76","13","8","8","8","620100.0"
"110","80","11","35","80","81","82","41","35","13","14","8","8","80","1","35","80","81","82","41","35","13","14","8","8","80","11","46","80","81","82","41","46","13","38","8","8","17","11","16","17","18","82","41","16","6","8","8","8","17","1","16","17","18","82","41","16","6","8","8","8","80","1","46","80","81","82","41","46","13","38","8","8","80","11","46","80","81","82","41","46","6","4","8","8","80","1","46","80","81","82","41","46","6","4","8","8","80","11","35","80","81","82","41","35","6","83","8","8","80","1","35","80","81","82","41","35","6","83","8","8","80","11","15","80","81","82","41","15","6","60","8","8","80","1","15","80","81","82","41","15","6","60","8","8","80","11","46","80","81","82","41","46","6","84","8","8","80","11","76","80","81","82","41","76","6","85","8","8","80","1","46","80","81","82","41","46","6","84","8","8","80","1","76","80","81","82","41","76","6","85","8","8","17","11","32","17","18","82","41","32","6","8","8","8","17","1","32","17","18","82","41","32","6","8","8","8","17","11","32","17","18","82","41","32","6","86","14","8","80","11","35","80","81","82","41","35","6","57","8","8","2084400.0"
