"Id","concept:name_1","lifecycle:transition_1","org:resource_1","Activity_1","Resource_1","Work_Order_Qty_1","Part_Desc__1","Worker_ID_1","Report_Type_1","Qty_Completed_1","Qty_Rejected_1","Qty_for_MRB_1","concept:name_2","lifecycle:transition_2","org:resource_2","Activity_2","Resource_2","Work_Order_Qty_2","Part_Desc__2","Worker_ID_2","Report_Type_2","Qty_Completed_2","Qty_Rejected_2","Qty_for_MRB_2","concept:name_3","lifecycle:transition_3","org:resource_3","Activity_3","Resource_3","Work_Order_Qty_3","Part_Desc__3","Worker_ID_3","Report_Type_3","Qty_Completed_3","Qty_Rejected_3","Qty_for_MRB_3","concept:name_4","lifecycle:transition_4","org:resource_4","Activity_4","Resource_4","Work_Order_Qty_4","Part_Desc__4","Worker_ID_4","Report_Type_4","Qty_Completed_4","Qty_Rejected_4","Qty_for_MRB_4","remainingTime"
"1","0","9","2","0","3","4","5","2","10","7","8","8","0","1","2","0","3","4","5","2","10","7","8","8","0","9","2","0","3","4","5","2","6","7","8","8","0","1","2","0","3","4","5","2","6","7","8","8","1534680.0"
"10","17","9","16","17","18","14","15","16","10","7","8","8","11","9","12","11","13","14","15","12","6","8","8","8","17","1","16","17","18","14","15","16","10","7","8","8","11","1","12","11","13","14","15","12","6","8","8","8","1431900.0"
"100","19","9","25","19","21","22","23","25","6","26","8","8","19","1","25","19","21","22","23","25","6","26","8","8","19","9","20","19","21","22","23","20","6","24","8","8","19","1","20","19","21","22","23","20","6","24","8","8","2520360.0"
"101","29","9","25","29","21","27","28","25","10","8","8","8","29","1","25","29","21","27","28","25","10","8","8","8","19","9","25","19","21","27","28","25","10","8","8","8","19","1","25","19","21","27","28","25","10","8","8","8","1043820.0"
"102","19","9","25","19","21","30","15","25","10","8","8","8","19","1","25","19","21","30","15","25","10","8","8","8","19","9","25","19","21","30","15","25","10","8","8","8","19","1","25","19","21","30","15","25","10","8","8","8","1294620.0"
"103","19","9","25","19","21","32","33","25","34","8","8","8","19","1","25","19","21","32","33","25","34","8","8","8","19","9","31","19","21","32","33","31","10","8","8","8","19","1","31","19","21","32","33","31","10","8","8","8","583740.0"
"104","35","9","20","35","36","37","5","20","10","7","8","8","35","1","20","35","36","37","5","20","10","7","8","8","35","9","20","35","36","37","5","20","6","38","8","8","35","1","20","35","36","37","5","20","6","38","8","8","97680.0"
"105","0","9","41","0","3","39","40","41","10","8","8","8","0","1","41","0","3","39","40","41","10","8","8","8","0","9","2","0","3","39","40","2","6","39","8","8","0","1","2","0","3","39","40","2","6","39","8","8","0.0"
"106","19","9","31","19","21","42","23","31","10","8","8","8","19","1","31","19","21","42","23","31","10","8","8","8","19","9","25","19","21","42","23","25","6","42","8","8","19","1","25","19","21","42","23","25","6","42","8","8","577620.0"
"108","0","9","46","0","3","39","45","46","10","7","8","8","0","1","46","0","3","39","45","46","10","7","8","8","0","9","20","0","3","39","45","20","10","7","8","8","43","9","44","43","13","39","45","44","6","8","8","8","959220.0"
"109","0","9","2","0","3","47","48","2","10","8","8","8","0","9","41","0","3","47","48","41","10","49","8","8","0","1","2","0","3","47","48","2","10","8","8","8","0","1","41","0","3","47","48","41","10","49","8","8","1732020.0"
"11","52","9","51","52","53","50","15","51","10","8","8","8","52","1","51","52","53","50","15","51","10","8","8","8","52","9","54","52","53","50","15","54","6","7","8","8","43","9","44","43","13","50","15","44","6","8","8","8","796260.0"
"110","57","9","46","57","58","56","23","46","10","7","8","8","57","1","46","57","58","56","23","46","10","7","8","8","57","9","20","57","58","56","23","20","10","59","8","8","43","9","55","43","13","56","23","55","6","8","8","8","2507280.0"
"111","60","9","2","60","3","61","5","2","10","7","8","8","60","1","2","60","3","61","5","2","10","7","8","8","60","9","2","60","3","61","5","2","6","62","8","8","60","1","2","60","3","61","5","2","6","62","8","8","1297020.0"
"112","17","9","54","17","18","63","23","54","10","8","8","8","17","1","54","17","18","63","23","54","10","8","8","8","17","9","16","17","18","63","23","16","10","7","8","8","17","1","16","17","18","63","23","16","10","7","8","8","1352760.0"
"113","65","9","2","65","36","64","5","2","10","8","8","8","65","1","2","65","36","64","5","2","10","8","8","8","35","9","20","35","36","64","5","20","10","64","8","8","35","1","20","35","36","64","5","20","10","64","8","8","70980.0"
"114","57","9","46","57","58","67","23","46","10","7","8","8","57","1","46","57","58","67","23","46","10","7","8","8","43","9","12","43","13","67","23","12","6","8","8","8","57","9","66","57","58","67","23","66","10","8","8","8","608040.0"
"115","0","9","2","0","3","68","23","2","10","8","8","8","0","1","2","0","3","68","23","2","10","8","8","8","0","9","20","0","3","68","23","20","6","47","8","8","0","1","20","0","3","68","23","20","6","47","8","8","1708260.0"
"116","69","9","70","69","71","72","73","70","10","8","8","8","69","1","70","69","71","72","73","70","10","8","8","8","69","9","70","69","71","72","73","70","6","74","8","8","69","1","70","69","71","72","73","70","6","74","8","8","573720.0"
"117","75","9","76","75","75","59","77","76","6","7","8","8","75","9","76","75","75","59","77","76","6","49","8","8","75","1","76","75","75","59","77","76","6","7","8","8","75","1","76","75","75","59","77","76","6","49","8","8","36060.0"
"118","57","9","78","57","58","4","23","78","10","8","8","8","57","1","78","57","58","4","23","78","10","8","8","8","57","9","46","57","58","4","23","46","10","7","8","8","57","1","46","57","58","4","23","46","10","7","8","8","135000.0"
"119","52","9","51","52","53","79","80","51","10","8","8","8","52","1","51","52","53","79","80","51","10","8","8","8","52","9","51","52","53","79","80","51","10","8","8","8","52","1","51","52","53","79","80","51","10","8","8","8","697680.0"
"12","81","9","54","81","18","82","15","54","10","8","8","8","81","1","54","81","18","82","15","54","10","8","8","8","81","9","51","81","18","82","15","51","10","7","8","8","81","1","51","81","18","82","15","51","10","7","8","8","1867860.0"
"120","35","9","20","35","36","83","5","20","10","84","8","8","35","1","20","35","36","83","5","20","10","84","8","8","35","9","78","35","36","83","5","78","10","7","8","8","35","1","78","35","36","83","5","78","10","7","8","8","1503900.0"
"121","35","9","20","35","36","86","87","20","10","7","8","8","35","1","20","35","36","86","87","20","10","7","8","8","35","9","20","35","36","86","87","20","6","24","8","8","11","9","85","11","13","86","87","85","6","86","8","8","1947780.0"
"122","35","9","78","35","36","86","87","78","10","7","8","8","35","1","78","35","36","86","87","78","10","7","8","8","35","9","78","35","36","86","87","78","6","24","8","8","35","1","78","35","36","86","87","78","6","24","8","8","2012460.0"
"123","0","9","78","0","3","88","5","78","10","8","8","8","0","1","78","0","3","88","5","78","10","8","8","8","0","9","2","0","3","88","5","2","10","8","8","8","0","1","2","0","3","88","5","2","10","8","8","8","309180.0"
"124","0","9","2","0","3","86","23","2","10","7","8","8","0","1","2","0","3","86","23","2","10","7","8","8","0","9","2","0","3","86","23","2","6","49","8","8","0","1","2","0","3","86","23","2","6","49","8","8","464520.0"
"125","57","9","46","57","58","89","23","46","10","8","8","8","57","1","46","57","58","89","23","46","10","8","8","8","57","9","41","57","58","89","23","41","10","7","8","8","57","1","41","57","58","89","23","41","10","7","8","8","14820.0"
"126","0","9","78","0","3","4","28","78","10","8","8","8","0","1","78","0","3","4","28","78","10","8","8","8","0","9","41","0","3","4","28","41","10","49","8","8","0","1","41","0","3","4","28","41","10","49","8","8","497340.0"
"127","57","9","46","57","58","90","23","46","10","49","8","8","57","1","46","57","58","90","23","46","10","49","8","8","57","9","46","57","58","90","23","46","6","84","8","8","57","1","46","57","58","90","23","46","6","84","8","8","1351140.0"
"129","19","9","25","19","21","59","91","25","10","8","8","8","43","9","44","43","13","59","91","44","10","8","8","8","43","1","44","43","13","59","91","44","10","8","8","8","19","1","25","19","21","59","91","25","10","8","8","8","1176600.0"
"13","81","9","16","81","18","67","15","16","10","8","8","8","81","1","16","81","18","67","15","16","10","8","8","8","81","9","16","81","18","67","15","16","6","49","8","8","81","1","16","81","18","67","15","16","6","49","8","8","71160.0"
"133","0","9","78","0","3","92","93","78","10","8","8","8","0","1","78","0","3","92","93","78","10","8","8","8","0","9","2","0","3","92","93","2","10","7","8","8","0","1","2","0","3","92","93","2","10","7","8","8","40800.0"
"134","0","9","2","0","3","92","93","2","10","8","8","8","0","1","2","0","3","92","93","2","10","8","8","8","0","9","2","0","3","92","93","2","10","7","8","8","0","1","2","0","3","92","93","2","10","7","8","8","107100.0"
"135","35","9","20","35","36","56","28","20","10","7","8","8","35","1","20","35","36","56","28","20","10","7","8","8","35","9","78","35","36","56","28","78","10","8","8","8","35","9","66","35","36","56","28","66","10","8","8","8","698520.0"
"136","57","9","46","57","58","94","23","46","10","49","8","8","57","1","46","57","58","94","23","46","10","49","8","8","57","9","46","57","58","94","23","46","6","86","8","8","57","1","46","57","58","94","23","46","6","86","8","8","5160.0"
"137","0","9","78","0","3","39","28","78","10","8","8","8","0","1","78","0","3","39","28","78","10","8","8","8","0","9","2","0","3","39","28","2","10","7","8","8","0","1","2","0","3","39","28","2","10","7","8","8","200340.0"
"138","0","9","41","0","3","79","5","41","10","8","8","8","0","1","41","0","3","79","5","41","10","8","8","8","0","9","2","0","3","79","5","2","10","7","8","8","0","1","2","0","3","79","5","2","10","7","8","8","136740.0"
"140","35","9","78","35","36","83","5","78","10","49","8","8","35","1","78","35","36","83","5","78","10","49","8","8","35","9","41","35","36","83","5","41","6","59","8","8","35","1","41","35","36","83","5","41","6","59","8","8","905280.0"
"142","43","9","44","43","13","22","23","44","6","8","8","8","43","1","44","43","13","22","23","44","6","8","8","8","43","9","44","43","13","22","23","44","6","22","8","8","43","1","44","43","13","22","23","44","6","22","8","8","0.0"
"144","75","9","97","75","75","7","5","97","6","7","8","8","75","1","97","75","75","7","5","97","6","7","8","8","95","9","96","95","13","7","5","96","6","7","8","8","95","1","96","95","13","7","5","96","6","7","8","8","0.0"
"145","98","9","25","98","21","99","100","25","10","49","8","8","98","1","25","98","21","99","100","25","10","49","8","8","98","9","31","98","21","99","100","31","6","27","8","8","98","1","31","98","21","99","100","31","6","27","8","8","1970820.0"
"146","75","9","76","75","75","101","23","76","6","101","8","8","75","1","76","75","75","101","23","76","6","101","8","8","95","9","44","95","13","101","23","44","6","101","8","8","95","1","44","95","13","101","23","44","6","101","8","8","0.0"
"147","98","9","25","98","21","102","103","25","10","7","8","8","98","1","25","98","21","102","103","25","10","7","8","8","98","9","31","98","21","102","103","31","10","8","8","8","98","1","31","98","21","102","103","31","10","8","8","8","97380.0"
"148","109","9","108","109","110","107","103","108","6","8","8","8","109","1","108","109","110","107","103","108","6","8","8","8","104","9","105","104","106","107","103","105","6","7","8","8","104","1","105","104","106","107","103","105","6","7","8","8","3455580.0"
"150","111","9","12","111","112","22","23","12","6","8","49","8","113","9","12","113","114","22","23","12","6","8","59","8","115","9","12","115","116","22","23","12","6","8","83","8","111","1","12","111","112","22","23","12","6","8","49","8","30720.0"
"153","69","9","70","69","71","117","28","70","10","8","8","8","69","1","70","69","71","117","28","70","10","8","8","8","69","9","70","69","71","117","28","70","6","84","8","8","69","1","70","69","71","117","28","70","6","84","8","8","274500.0"
"154","122","9","96","122","13","27","23","96","6","121","7","8","122","1","96","122","13","27","23","96","6","121","7","8","118","9","119","118","120","27","23","119","6","121","8","8","118","1","119","118","120","27","23","119","6","121","8","8","394200.0"
