"Id","concept:name_1","lifecycle:transition_1","org:resource_1","Activity_1","Resource_1","Work_Order_Qty_1","Part_Desc__1","Worker_ID_1","Report_Type_1","Qty_Completed_1","Qty_Rejected_1","Qty_for_MRB_1","concept:name_2","lifecycle:transition_2","org:resource_2","Activity_2","Resource_2","Work_Order_Qty_2","Part_Desc__2","Worker_ID_2","Report_Type_2","Qty_Completed_2","Qty_Rejected_2","Qty_for_MRB_2","concept:name_3","lifecycle:transition_3","org:resource_3","Activity_3","Resource_3","Work_Order_Qty_3","Part_Desc__3","Worker_ID_3","Report_Type_3","Qty_Completed_3","Qty_Rejected_3","Qty_for_MRB_3","concept:name_4","lifecycle:transition_4","org:resource_4","Activity_4","Resource_4","Work_Order_Qty_4","Part_Desc__4","Worker_ID_4","Report_Type_4","Qty_Completed_4","Qty_Rejected_4","Qty_for_MRB_4","concept:name_5","lifecycle:transition_5","org:resource_5","Activity_5","Resource_5","Work_Order_Qty_5","Part_Desc__5","Worker_ID_5","Report_Type_5","Qty_Completed_5","Qty_Rejected_5","Qty_for_MRB_5","concept:name_6","lifecycle:transition_6","org:resource_6","Activity_6","Resource_6","Work_Order_Qty_6","Part_Desc__6","Worker_ID_6","Report_Type_6","Qty_Completed_6","Qty_Rejected_6","Qty_for_MRB_6","concept:name_7","lifecycle:transition_7","org:resource_7","Activity_7","Resource_7","Work_Order_Qty_7","Part_Desc__7","Worker_ID_7","Report_Type_7","Qty_Completed_7","Qty_Rejected_7","Qty_for_MRB_7","concept:name_8","lifecycle:transition_8","org:resource_8","Activity_8","Resource_8","Work_Order_Qty_8","Part_Desc__8","Worker_ID_8","Report_Type_8","Qty_Completed_8","Qty_Rejected_8","Qty_for_MRB_8","concept:name_9","lifecycle:transition_9","org:resource_9","Activity_9","Resource_9","Work_Order_Qty_9","Part_Desc__9","Worker_ID_9","Report_Type_9","Qty_Completed_9","Qty_Rejected_9","Qty_for_MRB_9","remainingTime"
"1","11","1","10","11","12","4","5","10","13","8","9","9","11","14","10","11","12","4","5","10","13","8","9","9","11","1","10","11","12","4","5","10","6","8","9","9","11","14","10","11","12","4","5","10","6","8","9","9","11","1","15","11","12","4","5","15","13","9","9","9","11","14","15","11","12","4","5","15","13","9","9","9","11","1","15","11","12","4","5","15","6","16","9","9","11","14","15","11","12","4","5","15","6","16","9","9","0","1","2","0","3","4","5","2","6","7","8","9","1424400.0"
"10","17","1","23","17","19","20","21","23","13","8","9","9","25","1","24","25","3","20","21","24","6","9","9","9","17","14","23","17","19","20","21","23","13","8","9","9","25","14","24","25","3","20","21","24","6","9","9","9","17","1","26","17","19","20","21","26","13","9","9","9","17","14","26","17","19","20","21","26","13","9","9","9","17","1","26","17","19","20","21","26","6","27","9","9","17","14","26","17","19","20","21","26","6","27","9","9","17","1","18","17","19","20","21","18","6","22","9","9","1386660.0"
"100","31","1","30","31","32","28","29","30","6","33","9","9","31","14","30","31","32","28","29","30","6","33","9","9","31","1","34","31","32","28","29","34","6","35","9","9","31","14","34","31","32","28","29","34","6","35","9","9","31","1","30","31","32","28","29","30","13","8","9","9","31","14","30","31","32","28","29","30","13","8","9","9","31","1","30","31","32","28","29","30","6","27","9","9","31","14","30","31","32","28","29","30","6","27","9","9","0","1","24","0","3","28","29","24","6","28","9","9","2391300.0"
"101","38","1","30","38","32","36","37","30","13","9","9","9","38","14","30","38","32","36","37","30","13","9","9","9","31","1","30","31","32","36","37","30","13","9","9","9","31","14","30","31","32","36","37","30","13","9","9","9","31","1","30","31","32","36","37","30","39","9","9","9","31","14","30","31","32","36","37","30","39","9","9","9","31","1","30","31","32","36","37","30","6","33","9","9","31","14","30","31","32","36","37","30","6","33","9","9","31","1","18","31","32","36","37","18","6","27","9","9","1036440.0"
"102","31","1","30","31","32","41","21","30","13","9","9","9","31","14","30","31","32","41","21","30","13","9","9","9","31","1","30","31","32","41","21","30","13","9","9","9","31","14","30","31","32","41","21","30","13","9","9","9","31","1","42","31","32","41","21","42","13","9","9","9","31","14","42","31","32","41","21","42","13","9","9","9","31","1","42","31","32","41","21","42","13","9","9","9","0","1","40","0","3","41","21","40","6","9","9","9","0","14","40","0","3","41","21","40","6","9","9","9","1244100.0"
"103","31","1","30","31","32","43","44","30","39","9","9","9","31","14","30","31","32","43","44","30","39","9","9","9","31","1","42","31","32","43","44","42","13","9","9","9","31","14","42","31","32","43","44","42","13","9","9","9","31","1","30","31","32","43","44","30","13","9","9","9","31","14","30","31","32","43","44","30","13","9","9","9","31","1","42","31","32","43","44","42","13","9","9","9","31","14","42","31","32","43","44","42","13","9","9","9","31","1","42","31","32","43","44","42","6","45","9","9","505500.0"
"104","48","1","34","48","49","47","5","34","13","8","9","9","48","14","34","48","49","47","5","34","13","8","9","9","48","1","34","48","49","47","5","34","6","50","9","9","48","14","34","48","49","47","5","34","6","50","9","9","48","1","51","48","49","47","5","51","6","52","9","9","0","1","46","0","3","47","5","46","6","9","9","9","48","14","51","48","49","47","5","51","6","52","9","9","0","14","46","0","3","47","5","46","6","9","9","9","0","1","46","0","3","47","5","46","6","47","9","9","10440.0"
"106","31","1","42","31","32","56","29","42","13","9","9","9","31","14","42","31","32","56","29","42","13","9","9","9","31","1","30","31","32","56","29","30","6","56","9","9","31","14","30","31","32","56","29","30","6","56","9","9","0","1","24","0","3","56","29","24","6","56","9","9","0","14","24","0","3","56","29","24","6","56","9","9","58","1","57","58","59","56","29","57","6","56","9","9","58","14","57","58","59","56","29","57","6","56","9","9","53","1","54","53","55","56","29","54","6","56","9","9","253380.0"
"108","11","1","18","11","12","60","61","18","13","8","9","9","11","14","18","11","12","60","61","18","13","8","9","9","11","1","34","11","12","60","61","34","13","8","9","9","0","1","40","0","3","60","61","40","6","9","9","9","0","14","40","0","3","60","61","40","6","9","9","9","11","14","34","11","12","60","61","34","13","8","9","9","11","1","34","11","12","60","61","34","6","52","9","9","11","14","34","11","12","60","61","34","6","52","9","9","0","1","40","0","3","60","61","40","6","45","8","9","850020.0"
"109","11","1","10","11","12","62","63","10","13","9","9","9","11","1","15","11","12","62","63","15","13","65","9","9","11","14","10","11","12","62","63","10","13","9","9","9","11","14","15","11","12","62","63","15","13","65","9","9","0","1","24","0","3","62","63","24","6","64","9","9","11","1","34","11","12","62","63","34","13","8","9","9","11","14","34","11","12","62","63","34","13","8","9","9","11","1","34","11","12","62","63","34","6","66","9","9","0","14","24","0","3","62","63","24","6","64","9","9","1727100.0"
