"Id","concept:name_1","lifecycle:transition_1","org:resource_1","Activity_1","Resource_1","Work_Order_Qty_1","Part_Desc__1","Worker_ID_1","Report_Type_1","Qty_Completed_1","Qty_Rejected_1","Qty_for_MRB_1","concept:name_2","lifecycle:transition_2","org:resource_2","Activity_2","Resource_2","Work_Order_Qty_2","Part_Desc__2","Worker_ID_2","Report_Type_2","Qty_Completed_2","Qty_Rejected_2","Qty_for_MRB_2","concept:name_3","lifecycle:transition_3","org:resource_3","Activity_3","Resource_3","Work_Order_Qty_3","Part_Desc__3","Worker_ID_3","Report_Type_3","Qty_Completed_3","Qty_Rejected_3","Qty_for_MRB_3","concept:name_4","lifecycle:transition_4","org:resource_4","Activity_4","Resource_4","Work_Order_Qty_4","Part_Desc__4","Worker_ID_4","Report_Type_4","Qty_Completed_4","Qty_Rejected_4","Qty_for_MRB_4","concept:name_5","lifecycle:transition_5","org:resource_5","Activity_5","Resource_5","Work_Order_Qty_5","Part_Desc__5","Worker_ID_5","Report_Type_5","Qty_Completed_5","Qty_Rejected_5","Qty_for_MRB_5","concept:name_6","lifecycle:transition_6","org:resource_6","Activity_6","Resource_6","Work_Order_Qty_6","Part_Desc__6","Worker_ID_6","Report_Type_6","Qty_Completed_6","Qty_Rejected_6","Qty_for_MRB_6","concept:name_7","lifecycle:transition_7","org:resource_7","Activity_7","Resource_7","Work_Order_Qty_7","Part_Desc__7","Worker_ID_7","Report_Type_7","Qty_Completed_7","Qty_Rejected_7","Qty_for_MRB_7","concept:name_8","lifecycle:transition_8","org:resource_8","Activity_8","Resource_8","Work_Order_Qty_8","Part_Desc__8","Worker_ID_8","Report_Type_8","Qty_Completed_8","Qty_Rejected_8","Qty_for_MRB_8","concept:name_9","lifecycle:transition_9","org:resource_9","Activity_9","Resource_9","Work_Order_Qty_9","Part_Desc__9","Worker_ID_9","Report_Type_9","Qty_Completed_9","Qty_Rejected_9","Qty_for_MRB_9","concept:name_10","lifecycle:transition_10","org:resource_10","Activity_10","Resource_10","Work_Order_Qty_10","Part_Desc__10","Worker_ID_10","Report_Type_10","Qty_Completed_10","Qty_Rejected_10","Qty_for_MRB_10","remainingTime"
"1","11","12","10","11","13","4","5","10","14","8","9","9","11","1","10","11","13","4","5","10","14","8","9","9","11","12","10","11","13","4","5","10","6","8","9","9","11","1","10","11","13","4","5","10","6","8","9","9","11","12","15","11","13","4","5","15","14","9","9","9","11","1","15","11","13","4","5","15","14","9","9","9","11","12","15","11","13","4","5","15","6","16","9","9","11","1","15","11","13","4","5","15","6","16","9","9","0","12","2","0","3","4","5","2","6","7","8","9","0","1","2","0","3","4","5","2","6","7","8","9","1419000.0"
"10","17","12","23","17","19","20","21","23","14","8","9","9","25","12","24","25","3","20","21","24","6","9","9","9","17","1","23","17","19","20","21","23","14","8","9","9","25","1","24","25","3","20","21","24","6","9","9","9","17","12","26","17","19","20","21","26","14","9","9","9","17","1","26","17","19","20","21","26","14","9","9","9","17","12","26","17","19","20","21","26","6","27","9","9","17","1","26","17","19","20","21","26","6","27","9","9","17","12","18","17","19","20","21","18","6","22","9","9","17","1","18","17","19","20","21","18","6","22","9","9","1362480.0"
"100","31","12","30","31","32","28","29","30","6","33","9","9","31","1","30","31","32","28","29","30","6","33","9","9","31","12","34","31","32","28","29","34","6","35","9","9","31","1","34","31","32","28","29","34","6","35","9","9","31","12","30","31","32","28","29","30","14","8","9","9","31","1","30","31","32","28","29","30","14","8","9","9","31","12","30","31","32","28","29","30","6","27","9","9","31","1","30","31","32","28","29","30","6","27","9","9","0","12","24","0","3","28","29","24","6","28","9","9","0","1","24","0","3","28","29","24","6","28","9","9","2389980.0"
"101","38","12","30","38","32","36","37","30","14","9","9","9","38","1","30","38","32","36","37","30","14","9","9","9","31","12","30","31","32","36","37","30","14","9","9","9","31","1","30","31","32","36","37","30","14","9","9","9","31","12","30","31","32","36","37","30","39","9","9","9","31","1","30","31","32","36","37","30","39","9","9","9","31","12","30","31","32","36","37","30","6","33","9","9","31","1","30","31","32","36","37","30","6","33","9","9","31","12","18","31","32","36","37","18","6","27","9","9","31","1","18","31","32","36","37","18","6","27","9","9","1017120.0"
"102","31","12","30","31","32","41","21","30","14","9","9","9","31","1","30","31","32","41","21","30","14","9","9","9","31","12","30","31","32","41","21","30","14","9","9","9","31","1","30","31","32","41","21","30","14","9","9","9","31","12","40","31","32","41","21","40","14","9","9","9","31","1","40","31","32","41","21","40","14","9","9","9","31","12","40","31","32","41","21","40","14","9","9","9","0","12","42","0","3","41","21","42","6","9","9","9","0","1","42","0","3","41","21","42","6","9","9","9","31","1","40","31","32","41","21","40","14","9","9","9","1241280.0"
"103","31","12","30","31","32","43","44","30","39","9","9","9","31","1","30","31","32","43","44","30","39","9","9","9","31","12","40","31","32","43","44","40","14","9","9","9","31","1","40","31","32","43","44","40","14","9","9","9","31","12","30","31","32","43","44","30","14","9","9","9","31","1","30","31","32","43","44","30","14","9","9","9","31","12","40","31","32","43","44","40","14","9","9","9","31","1","40","31","32","43","44","40","14","9","9","9","31","12","40","31","32","43","44","40","6","45","9","9","31","1","40","31","32","43","44","40","6","45","9","9","495180.0"
"104","48","12","34","48","49","47","5","34","14","8","9","9","48","1","34","48","49","47","5","34","14","8","9","9","48","12","34","48","49","47","5","34","6","50","9","9","48","1","34","48","49","47","5","34","6","50","9","9","48","12","51","48","49","47","5","51","6","52","9","9","0","12","46","0","3","47","5","46","6","9","9","9","48","1","51","48","49","47","5","51","6","52","9","9","0","1","46","0","3","47","5","46","6","9","9","9","0","12","46","0","3","47","5","46","6","47","9","9","0","1","46","0","3","47","5","46","6","47","9","9","7680.0"
"106","31","12","40","31","32","56","29","40","14","9","9","9","31","1","40","31","32","56","29","40","14","9","9","9","31","12","30","31","32","56","29","30","6","56","9","9","31","1","30","31","32","56","29","30","6","56","9","9","0","12","24","0","3","56","29","24","6","56","9","9","0","1","24","0","3","56","29","24","6","56","9","9","58","12","57","58","59","56","29","57","6","56","9","9","58","1","57","58","59","56","29","57","6","56","9","9","53","12","54","53","55","56","29","54","6","56","9","9","53","1","54","53","55","56","29","54","6","56","9","9","251100.0"
"108","11","12","18","11","13","60","61","18","14","8","9","9","11","1","18","11","13","60","61","18","14","8","9","9","11","12","34","11","13","60","61","34","14","8","9","9","0","12","42","0","3","60","61","42","6","9","9","9","0","1","42","0","3","60","61","42","6","9","9","9","11","1","34","11","13","60","61","34","14","8","9","9","11","12","34","11","13","60","61","34","6","52","9","9","11","1","34","11","13","60","61","34","6","52","9","9","0","12","42","0","3","60","61","42","6","45","8","9","0","1","42","0","3","60","61","42","6","45","8","9","846180.0"
"109","11","12","10","11","13","62","63","10","14","9","9","9","11","12","15","11","13","62","63","15","14","65","9","9","11","1","10","11","13","62","63","10","14","9","9","9","11","1","15","11","13","62","63","15","14","65","9","9","0","12","24","0","3","62","63","24","6","66","9","9","11","12","34","11","13","62","63","34","14","8","9","9","11","1","34","11","13","62","63","34","14","8","9","9","11","12","34","11","13","62","63","34","6","64","9","9","0","1","24","0","3","62","63","24","6","66","9","9","11","1","34","11","13","62","63","34","6","64","9","9","1707420.0"
"11","67","12","26","67","68","69","21","26","14","9","9","9","67","1","26","67","68","69","21","26","14","9","9","9","67","12","70","67","68","69","21","70","6","8","9","9","0","12","42","0","3","69","21","42","6","9","9","9","67","1","70","67","68","69","21","70","6","8","9","9","67","12","70","67","68","69","21","70","6","27","9","9","0","1","42","0","3","69","21","42","6","9","9","9","67","1","70","67","68","69","21","70","6","27","9","9","67","12","26","67","68","69","21","26","6","28","9","9","67","1","26","67","68","69","21","26","6","28","9","9","743580.0"
"110","71","12","18","71","72","73","29","18","14","8","9","9","71","1","18","71","72","73","29","18","14","8","9","9","71","12","34","71","72","73","29","34","14","75","9","9","0","12","2","0","3","73","29","2","6","9","9","9","0","1","2","0","3","73","29","2","6","9","9","9","71","1","34","71","72","73","29","34","14","75","9","9","71","12","34","71","72","73","29","34","6","4","9","9","71","1","34","71","72","73","29","34","6","4","9","9","71","12","18","71","72","73","29","18","6","74","9","9","71","1","18","71","72","73","29","18","6","74","9","9","2433660.0"
"111","76","12","10","76","13","77","5","10","14","8","9","9","76","1","10","76","13","77","5","10","14","8","9","9","76","12","10","76","13","77","5","10","6","78","9","9","76","1","10","76","13","77","5","10","6","78","9","9","76","12","15","76","13","77","5","15","6","79","9","9","76","1","15","76","13","77","5","15","6","79","9","9","76","12","51","76","13","77","5","51","6","80","9","9","76","1","51","76","13","77","5","51","6","80","9","9","76","12","10","76","13","77","5","10","6","69","9","9","76","1","10","76","13","77","5","10","6","69","9","9","1210260.0"
"112","17","12","70","17","19","81","29","70","14","9","9","9","17","1","70","17","19","81","29","70","14","9","9","9","17","12","23","17","19","81","29","23","14","8","9","9","17","1","23","17","19","81","29","23","14","8","9","9","17","12","26","17","19","81","29","26","14","75","9","9","17","1","26","17","19","81","29","26","14","75","9","9","0","12","42","0","3","81","29","42","6","9","75","9","17","12","23","17","19","81","29","23","39","9","9","9","0","1","42","0","3","81","29","42","6","9","75","9","17","1","23","17","19","81","29","23","39","9","9","9","1297920.0"
"114","71","12","18","71","72","82","29","18","14","8","9","9","71","1","18","71","72","82","29","18","14","8","9","9","0","12","24","0","3","82","29","24","6","9","9","9","71","12","83","71","72","82","29","83","14","9","9","9","71","1","83","71","72","82","29","83","14","9","9","9","0","1","24","0","3","82","29","24","6","9","9","9","71","12","18","71","72","82","29","18","6","50","9","9","71","1","18","71","72","82","29","18","6","50","9","9","0","12","24","0","3","82","29","24","6","50","9","9","0","1","24","0","3","82","29","24","6","50","9","9","197340.0"
"115","11","12","10","11","13","84","29","10","14","9","9","9","11","1","10","11","13","84","29","10","14","9","9","9","11","12","34","11","13","84","29","34","6","62","9","9","11","1","34","11","13","84","29","34","6","62","9","9","11","12","10","11","13","84","29","10","6","85","9","9","11","1","10","11","13","84","29","10","6","85","9","9","11","12","10","11","13","84","29","10","14","9","9","9","11","1","10","11","13","84","29","10","14","9","9","9","11","12","10","11","13","84","29","10","6","86","9","9","0","12","42","0","3","84","29","42","6","9","9","9","1693800.0"
"116","92","12","91","92","93","88","89","91","14","9","9","9","92","1","91","92","93","88","89","91","14","9","9","9","92","12","91","92","93","88","89","91","6","94","9","9","92","1","91","92","93","88","89","91","6","94","9","9","92","12","95","92","93","88","89","95","6","36","9","9","92","1","95","92","93","88","89","95","6","36","9","9","97","12","96","97","97","88","89","96","6","90","9","9","97","1","96","97","97","88","89","96","6","90","9","9","92","12","91","92","93","88","89","91","6","65","9","9","87","12","2","87","3","88","89","2","6","90","9","9","519540.0"
"119","67","12","26","67","68","98","99","26","14","9","9","9","67","1","26","67","68","98","99","26","14","9","9","9","67","12","26","67","68","98","99","26","14","9","9","9","67","1","26","67","68","98","99","26","14","9","9","9","67","12","26","67","68","98","99","26","14","8","9","9","67","1","26","67","68","98","99","26","14","8","9","9","67","12","70","67","68","98","99","70","6","65","9","9","67","1","70","67","68","98","99","70","6","65","9","9","67","12","26","67","68","98","99","26","6","33","9","9","67","1","26","67","68","98","99","26","6","33","9","9","343980.0"
"12","100","12","70","100","19","101","21","70","14","9","9","9","100","1","70","100","19","101","21","70","14","9","9","9","100","12","26","100","19","101","21","26","14","8","9","9","100","1","26","100","19","101","21","26","14","8","9","9","25","12","24","25","3","101","21","24","6","9","9","9","25","1","24","25","3","101","21","24","6","9","9","9","100","12","26","100","19","101","21","26","6","33","9","9","100","1","26","100","19","101","21","26","6","33","9","9","100","12","70","100","19","101","21","70","6","45","9","9","100","1","70","100","19","101","21","70","6","45","9","9","1795320.0"
