"Id","concept:name_1","lifecycle:transition_1","org:resource_1","Activity_1","Resource_1","Work_Order_Qty_1","Part_Desc__1","Worker_ID_1","Report_Type_1","Qty_Completed_1","Qty_Rejected_1","Qty_for_MRB_1","concept:name_2","lifecycle:transition_2","org:resource_2","Activity_2","Resource_2","Work_Order_Qty_2","Part_Desc__2","Worker_ID_2","Report_Type_2","Qty_Completed_2","Qty_Rejected_2","Qty_for_MRB_2","concept:name_3","lifecycle:transition_3","org:resource_3","Activity_3","Resource_3","Work_Order_Qty_3","Part_Desc__3","Worker_ID_3","Report_Type_3","Qty_Completed_3","Qty_Rejected_3","Qty_for_MRB_3","concept:name_4","lifecycle:transition_4","org:resource_4","Activity_4","Resource_4","Work_Order_Qty_4","Part_Desc__4","Worker_ID_4","Report_Type_4","Qty_Completed_4","Qty_Rejected_4","Qty_for_MRB_4","concept:name_5","lifecycle:transition_5","org:resource_5","Activity_5","Resource_5","Work_Order_Qty_5","Part_Desc__5","Worker_ID_5","Report_Type_5","Qty_Completed_5","Qty_Rejected_5","Qty_for_MRB_5","concept:name_6","lifecycle:transition_6","org:resource_6","Activity_6","Resource_6","Work_Order_Qty_6","Part_Desc__6","Worker_ID_6","Report_Type_6","Qty_Completed_6","Qty_Rejected_6","Qty_for_MRB_6","concept:name_7","lifecycle:transition_7","org:resource_7","Activity_7","Resource_7","Work_Order_Qty_7","Part_Desc__7","Worker_ID_7","Report_Type_7","Qty_Completed_7","Qty_Rejected_7","Qty_for_MRB_7","concept:name_8","lifecycle:transition_8","org:resource_8","Activity_8","Resource_8","Work_Order_Qty_8","Part_Desc__8","Worker_ID_8","Report_Type_8","Qty_Completed_8","Qty_Rejected_8","Qty_for_MRB_8","concept:name_9","lifecycle:transition_9","org:resource_9","Activity_9","Resource_9","Work_Order_Qty_9","Part_Desc__9","Worker_ID_9","Report_Type_9","Qty_Completed_9","Qty_Rejected_9","Qty_for_MRB_9","concept:name_10","lifecycle:transition_10","org:resource_10","Activity_10","Resource_10","Work_Order_Qty_10","Part_Desc__10","Worker_ID_10","Report_Type_10","Qty_Completed_10","Qty_Rejected_10","Qty_for_MRB_10","concept:name_11","lifecycle:transition_11","org:resource_11","Activity_11","Resource_11","Work_Order_Qty_11","Part_Desc__11","Worker_ID_11","Report_Type_11","Qty_Completed_11","Qty_Rejected_11","Qty_for_MRB_11","concept:name_12","lifecycle:transition_12","org:resource_12","Activity_12","Resource_12","Work_Order_Qty_12","Part_Desc__12","Worker_ID_12","Report_Type_12","Qty_Completed_12","Qty_Rejected_12","Qty_for_MRB_12","remainingTime"
"1","10","11","9","10","12","4","5","9","13","14","8","8","10","1","9","10","12","4","5","9","13","14","8","8","10","11","9","10","12","4","5","9","6","14","8","8","10","1","9","10","12","4","5","9","6","14","8","8","10","11","15","10","12","4","5","15","13","8","8","8","10","1","15","10","12","4","5","15","13","8","8","8","10","11","15","10","12","4","5","15","6","16","8","8","10","1","15","10","12","4","5","15","6","16","8","8","18","11","17","18","19","4","5","17","6","7","14","8","18","1","17","18","19","4","5","17","6","7","14","8","0","11","2","0","3","4","5","2","6","7","8","8","0","1","2","0","3","4","5","2","6","7","8","8","1355580.0"
"10","20","11","21","20","22","23","24","21","13","14","8","8","27","11","26","27","19","23","24","26","6","8","8","8","20","1","21","20","22","23","24","21","13","14","8","8","27","1","26","27","19","23","24","26","6","8","8","8","20","11","28","20","22","23","24","28","13","8","8","8","20","1","28","20","22","23","24","28","13","8","8","8","20","11","28","20","22","23","24","28","6","29","8","8","20","1","28","20","22","23","24","28","6","29","8","8","20","11","30","20","22","23","24","30","6","31","8","8","20","1","30","20","22","23","24","30","6","31","8","8","20","11","21","20","22","23","24","21","6","25","8","8","20","1","21","20","22","23","24","21","6","25","8","8","1359360.0"
"100","35","11","34","35","36","32","33","34","6","37","8","8","35","1","34","35","36","32","33","34","6","37","8","8","35","11","38","35","36","32","33","38","6","39","8","8","35","1","38","35","36","32","33","38","6","39","8","8","35","11","34","35","36","32","33","34","13","14","8","8","35","1","34","35","36","32","33","34","13","14","8","8","35","11","34","35","36","32","33","34","6","29","8","8","35","1","34","35","36","32","33","34","6","29","8","8","18","11","26","18","19","32","33","26","6","32","8","8","18","1","26","18","19","32","33","26","6","32","8","8","0","11","2","0","3","32","33","2","6","32","8","8","0","1","2","0","3","32","33","2","6","32","8","8","849420.0"
"101","44","11","34","44","36","41","42","34","13","8","8","8","44","1","34","44","36","41","42","34","13","8","8","8","35","11","34","35","36","41","42","34","13","8","8","8","35","1","34","35","36","41","42","34","13","8","8","8","35","11","34","35","36","41","42","34","45","8","8","8","35","1","34","35","36","41","42","34","45","8","8","8","35","11","34","35","36","41","42","34","6","37","8","8","35","1","34","35","36","41","42","34","6","37","8","8","35","11","30","35","36","41","42","30","6","29","8","8","35","1","30","35","36","41","42","30","6","29","8","8","35","11","40","35","36","41","42","40","6","43","8","8","35","1","40","35","36","41","42","40","6","43","8","8","1012320.0"
"102","35","11","34","35","36","46","24","34","13","8","8","8","35","1","34","35","36","46","24","34","13","8","8","8","35","11","34","35","36","46","24","34","13","8","8","8","35","1","34","35","36","46","24","34","13","8","8","8","35","11","40","35","36","46","24","40","13","8","8","8","35","1","40","35","36","46","24","40","13","8","8","8","35","11","40","35","36","46","24","40","13","8","8","8","18","11","47","18","19","46","24","47","6","8","8","8","18","1","47","18","19","46","24","47","6","8","8","8","35","1","40","35","36","46","24","40","13","8","8","8","35","11","40","35","36","46","24","40","6","43","8","8","35","1","40","35","36","46","24","40","6","43","8","8","1235040.0"
"103","35","11","34","35","36","48","49","34","45","8","8","8","35","1","34","35","36","48","49","34","45","8","8","8","35","11","40","35","36","48","49","40","13","8","8","8","35","1","40","35","36","48","49","40","13","8","8","8","35","11","34","35","36","48","49","34","13","8","8","8","35","1","34","35","36","48","49","34","13","8","8","8","35","11","40","35","36","48","49","40","13","8","8","8","35","1","40","35","36","48","49","40","13","8","8","8","35","11","40","35","36","48","49","40","6","50","8","8","35","1","40","35","36","48","49","40","6","50","8","8","18","11","26","18","19","48","49","26","6","8","8","8","35","11","34","35","36","48","49","34","6","16","8","8","494880.0"
"104","53","11","38","53","54","52","5","38","13","14","8","8","53","1","38","53","54","52","5","38","13","14","8","8","53","11","38","53","54","52","5","38","6","55","8","8","53","1","38","53","54","52","5","38","6","55","8","8","53","11","56","53","54","52","5","56","6","57","8","8","18","11","58","18","19","52","5","58","6","8","8","8","53","1","56","53","54","52","5","56","6","57","8","8","18","1","58","18","19","52","5","58","6","8","8","8","18","11","58","18","19","52","5","58","6","52","8","8","18","1","58","18","19","52","5","58","6","52","8","8","0","11","51","0","3","52","5","51","6","52","8","8","0","1","51","0","3","52","5","51","6","52","8","8","0.0"
"106","35","11","40","35","36","60","33","40","13","8","8","8","35","1","40","35","36","60","33","40","13","8","8","8","35","11","34","35","36","60","33","34","6","60","8","8","35","1","34","35","36","60","33","34","6","60","8","8","18","11","26","18","19","60","33","26","6","60","8","8","18","1","26","18","19","60","33","26","6","60","8","8","0","11","2","0","3","60","33","2","6","60","8","8","0","1","2","0","3","60","33","2","6","60","8","8","62","11","61","62","63","60","33","61","6","60","8","8","62","1","61","62","63","60","33","61","6","60","8","8","59","11","26","59","19","60","33","26","6","8","8","8","59","1","26","59","19","60","33","26","6","8","8","8","68880.0"
"108","10","11","30","10","12","64","65","30","13","14","8","8","10","1","30","10","12","64","65","30","13","14","8","8","10","11","38","10","12","64","65","38","13","14","8","8","18","11","47","18","19","64","65","47","6","8","8","8","18","1","47","18","19","64","65","47","6","8","8","8","10","1","38","10","12","64","65","38","13","14","8","8","10","11","38","10","12","64","65","38","6","57","8","8","10","1","38","10","12","64","65","38","6","57","8","8","18","11","47","18","19","64","65","47","6","50","14","8","18","1","47","18","19","64","65","47","6","50","14","8","0","11","2","0","3","64","65","2","6","50","8","8","0","1","2","0","3","64","65","2","6","50","8","8","829200.0"
"109","10","11","9","10","12","66","67","9","13","8","8","8","10","11","15","10","12","66","67","15","13","68","8","8","10","1","9","10","12","66","67","9","13","8","8","8","10","1","15","10","12","66","67","15","13","68","8","8","18","11","26","18","19","66","67","26","6","69","8","8","10","11","38","10","12","66","67","38","13","14","8","8","10","1","38","10","12","66","67","38","13","14","8","8","10","11","38","10","12","66","67","38","6","70","8","8","18","1","26","18","19","66","67","26","6","69","8","8","10","1","38","10","12","66","67","38","6","70","8","8","10","11","9","10","12","66","67","9","6","71","8","8","18","11","26","18","19","66","67","26","6","8","8","8","1706400.0"
