"Id","concept:name_1","lifecycle:transition_1","org:resource_1","Activity_1","Resource_1","Work_Order_Qty_1","Part_Desc__1","Worker_ID_1","Report_Type_1","Qty_Completed_1","Qty_Rejected_1","Qty_for_MRB_1","concept:name_2","lifecycle:transition_2","org:resource_2","Activity_2","Resource_2","Work_Order_Qty_2","Part_Desc__2","Worker_ID_2","Report_Type_2","Qty_Completed_2","Qty_Rejected_2","Qty_for_MRB_2","concept:name_3","lifecycle:transition_3","org:resource_3","Activity_3","Resource_3","Work_Order_Qty_3","Part_Desc__3","Worker_ID_3","Report_Type_3","Qty_Completed_3","Qty_Rejected_3","Qty_for_MRB_3","concept:name_4","lifecycle:transition_4","org:resource_4","Activity_4","Resource_4","Work_Order_Qty_4","Part_Desc__4","Worker_ID_4","Report_Type_4","Qty_Completed_4","Qty_Rejected_4","Qty_for_MRB_4","concept:name_5","lifecycle:transition_5","org:resource_5","Activity_5","Resource_5","Work_Order_Qty_5","Part_Desc__5","Worker_ID_5","Report_Type_5","Qty_Completed_5","Qty_Rejected_5","Qty_for_MRB_5","concept:name_6","lifecycle:transition_6","org:resource_6","Activity_6","Resource_6","Work_Order_Qty_6","Part_Desc__6","Worker_ID_6","Report_Type_6","Qty_Completed_6","Qty_Rejected_6","Qty_for_MRB_6","concept:name_7","lifecycle:transition_7","org:resource_7","Activity_7","Resource_7","Work_Order_Qty_7","Part_Desc__7","Worker_ID_7","Report_Type_7","Qty_Completed_7","Qty_Rejected_7","Qty_for_MRB_7","remainingTime"
"1","0","1","9","0","3","4","5","9","10","11","8","8","0","12","9","0","3","4","5","9","10","11","8","8","0","1","9","0","3","4","5","9","6","11","8","8","0","12","9","0","3","4","5","9","6","11","8","8","0","1","2","0","3","4","5","2","10","8","8","8","0","12","2","0","3","4","5","2","10","8","8","8","0","1","2","0","3","4","5","2","6","7","8","8","1532340.0"
"10","13","1","19","13","15","16","17","19","10","11","8","8","21","1","20","21","22","16","17","20","6","8","8","8","13","12","19","13","15","16","17","19","10","11","8","8","21","12","20","21","22","16","17","20","6","8","8","8","13","1","14","13","15","16","17","14","10","8","8","8","13","12","14","13","15","16","17","14","10","8","8","8","13","1","14","13","15","16","17","14","6","18","8","8","1400340.0"
"100","23","1","24","23","25","26","27","24","6","28","8","8","23","12","24","23","25","26","27","24","6","28","8","8","23","1","29","23","25","26","27","29","6","30","8","8","23","12","29","23","25","26","27","29","6","30","8","8","23","1","24","23","25","26","27","24","10","11","8","8","23","12","24","23","25","26","27","24","10","11","8","8","23","1","24","23","25","26","27","24","6","18","8","8","2491140.0"
"101","33","1","24","33","25","31","32","24","10","8","8","8","33","12","24","33","25","31","32","24","10","8","8","8","23","1","24","23","25","31","32","24","10","8","8","8","23","12","24","23","25","31","32","24","10","8","8","8","23","1","24","23","25","31","32","24","34","8","8","8","23","12","24","23","25","31","32","24","34","8","8","8","23","1","24","23","25","31","32","24","6","28","8","8","1041000.0"
"102","23","1","24","23","25","36","17","24","10","8","8","8","23","12","24","23","25","36","17","24","10","8","8","8","23","1","24","23","25","36","17","24","10","8","8","8","23","12","24","23","25","36","17","24","10","8","8","8","23","1","35","23","25","36","17","35","10","8","8","8","23","12","35","23","25","36","17","35","10","8","8","8","23","1","35","23","25","36","17","35","10","8","8","8","1248000.0"
"103","23","1","24","23","25","37","38","24","34","8","8","8","23","12","24","23","25","37","38","24","34","8","8","8","23","1","35","23","25","37","38","35","10","8","8","8","23","12","35","23","25","37","38","35","10","8","8","8","23","1","24","23","25","37","38","24","10","8","8","8","23","12","24","23","25","37","38","24","10","8","8","8","23","1","35","23","25","37","38","35","10","8","8","8","534960.0"
"104","39","1","29","39","41","42","5","29","10","11","8","8","39","12","29","39","41","42","5","29","10","11","8","8","39","1","29","39","41","42","5","29","6","44","8","8","39","12","29","39","41","42","5","29","6","44","8","8","39","1","40","39","41","42","5","40","6","43","8","8","46","1","45","46","22","42","5","45","6","8","8","8","39","12","40","39","41","42","5","40","6","43","8","8","81720.0"
"106","23","1","35","23","25","50","27","35","10","8","8","8","23","12","35","23","25","50","27","35","10","8","8","8","23","1","24","23","25","50","27","24","6","50","8","8","23","12","24","23","25","50","27","24","6","50","8","8","46","1","20","46","22","50","27","20","6","50","8","8","46","12","20","46","22","50","27","20","6","50","8","8","47","1","48","47","49","50","27","48","6","50","8","8","271620.0"
"108","0","1","53","0","3","51","52","53","10","11","8","8","0","12","53","0","3","51","52","53","10","11","8","8","0","1","29","0","3","51","52","29","10","11","8","8","46","1","54","46","22","51","52","54","6","8","8","8","46","12","54","46","22","51","52","54","6","8","8","8","0","12","29","0","3","51","52","29","10","11","8","8","0","1","29","0","3","51","52","29","6","43","8","8","951240.0"
"109","0","1","9","0","3","55","56","9","10","8","8","8","0","1","2","0","3","55","56","2","10","57","8","8","0","12","9","0","3","55","56","9","10","8","8","8","0","12","2","0","3","55","56","2","10","57","8","8","46","1","20","46","22","55","56","20","6","58","8","8","0","1","29","0","3","55","56","29","10","11","8","8","0","12","29","0","3","55","56","29","10","11","8","8","1727520.0"
"11","60","1","14","60","61","59","17","14","10","8","8","8","60","12","14","60","61","59","17","14","10","8","8","8","60","1","62","60","61","59","17","62","6","11","8","8","46","1","54","46","22","59","17","54","6","8","8","8","60","12","62","60","61","59","17","62","6","11","8","8","60","1","62","60","61","59","17","62","6","18","8","8","46","12","54","46","22","59","17","54","6","8","8","8","793020.0"
"110","63","1","53","63","64","65","27","53","10","11","8","8","63","12","53","63","64","65","27","53","10","11","8","8","63","1","29","63","64","65","27","29","10","66","8","8","46","1","67","46","22","65","27","67","6","8","8","8","46","12","67","46","22","65","27","67","6","8","8","8","63","12","29","63","64","65","27","29","10","66","8","8","63","1","29","63","64","65","27","29","6","4","8","8","2497860.0"
"111","68","1","9","68","3","69","5","9","10","11","8","8","68","12","9","68","3","69","5","9","10","11","8","8","68","1","9","68","3","69","5","9","6","71","8","8","68","12","9","68","3","69","5","9","6","71","8","8","68","1","2","68","3","69","5","2","6","72","8","8","68","12","2","68","3","69","5","2","6","72","8","8","68","1","40","68","3","69","5","40","6","70","8","8","1262520.0"
"112","13","1","62","13","15","73","27","62","10","8","8","8","13","12","62","13","15","73","27","62","10","8","8","8","13","1","19","13","15","73","27","19","10","11","8","8","13","12","19","13","15","73","27","19","10","11","8","8","13","1","14","13","15","73","27","14","10","66","8","8","13","12","14","13","15","73","27","14","10","66","8","8","46","1","54","46","22","73","27","54","6","8","66","8","1305240.0"
"113","75","1","9","75","41","74","5","9","10","8","8","8","75","12","9","75","41","74","5","9","10","8","8","8","39","1","29","39","41","74","5","29","10","74","8","8","39","12","29","39","41","74","5","29","10","74","8","8","46","1","45","46","22","74","5","45","6","74","8","8","46","12","45","46","22","74","5","45","6","74","8","8","47","1","48","47","49","74","5","48","6","74","8","8","1440.0"
"114","63","1","53","63","64","76","27","53","10","11","8","8","63","12","53","63","64","76","27","53","10","11","8","8","46","1","20","46","22","76","27","20","6","8","8","8","63","1","77","63","64","76","27","77","10","8","8","8","63","12","77","63","64","76","27","77","10","8","8","8","46","12","20","46","22","76","27","20","6","8","8","8","63","1","53","63","64","76","27","53","6","44","8","8","560880.0"
"115","0","1","9","0","3","78","27","9","10","8","8","8","0","12","9","0","3","78","27","9","10","8","8","8","0","1","29","0","3","78","27","29","6","55","8","8","0","12","29","0","3","78","27","29","6","55","8","8","0","1","9","0","3","78","27","9","6","79","8","8","0","12","9","0","3","78","27","9","6","79","8","8","0","1","9","0","3","78","27","9","10","8","8","8","1700700.0"
"116","86","1","85","86","87","82","83","85","10","8","8","8","86","12","85","86","87","82","83","85","10","8","8","8","86","1","85","86","87","82","83","85","6","88","8","8","86","12","85","86","87","82","83","85","6","88","8","8","86","1","89","86","87","82","83","89","6","31","8","8","86","12","89","86","87","82","83","89","6","31","8","8","80","1","81","80","80","82","83","81","6","84","8","8","547140.0"
"118","63","1","40","63","64","4","27","40","10","8","8","8","63","12","40","63","64","4","27","40","10","8","8","8","63","1","53","63","64","4","27","53","10","11","8","8","63","12","53","63","64","4","27","53","10","11","8","8","63","1","53","63","64","4","27","53","6","90","8","8","63","12","53","63","64","4","27","53","6","90","8","8","46","1","54","46","22","4","27","54","6","90","11","8","4980.0"
"119","60","1","14","60","61","91","92","14","10","8","8","8","60","12","14","60","61","91","92","14","10","8","8","8","60","1","14","60","61","91","92","14","10","8","8","8","60","12","14","60","61","91","92","14","10","8","8","8","60","1","14","60","61","91","92","14","10","11","8","8","60","12","14","60","61","91","92","14","10","11","8","8","60","1","62","60","61","91","92","62","6","57","8","8","576120.0"
