"Id","concept:name_1","lifecycle:transition_1","org:resource_1","Activity_1","Resource_1","Work_Order_Qty_1","Part_Desc__1","Worker_ID_1","Report_Type_1","Qty_Completed_1","Qty_Rejected_1","Qty_for_MRB_1","concept:name_2","lifecycle:transition_2","org:resource_2","Activity_2","Resource_2","Work_Order_Qty_2","Part_Desc__2","Worker_ID_2","Report_Type_2","Qty_Completed_2","Qty_Rejected_2","Qty_for_MRB_2","concept:name_3","lifecycle:transition_3","org:resource_3","Activity_3","Resource_3","Work_Order_Qty_3","Part_Desc__3","Worker_ID_3","Report_Type_3","Qty_Completed_3","Qty_Rejected_3","Qty_for_MRB_3","concept:name_4","lifecycle:transition_4","org:resource_4","Activity_4","Resource_4","Work_Order_Qty_4","Part_Desc__4","Worker_ID_4","Report_Type_4","Qty_Completed_4","Qty_Rejected_4","Qty_for_MRB_4","concept:name_5","lifecycle:transition_5","org:resource_5","Activity_5","Resource_5","Work_Order_Qty_5","Part_Desc__5","Worker_ID_5","Report_Type_5","Qty_Completed_5","Qty_Rejected_5","Qty_for_MRB_5","concept:name_6","lifecycle:transition_6","org:resource_6","Activity_6","Resource_6","Work_Order_Qty_6","Part_Desc__6","Worker_ID_6","Report_Type_6","Qty_Completed_6","Qty_Rejected_6","Qty_for_MRB_6","concept:name_7","lifecycle:transition_7","org:resource_7","Activity_7","Resource_7","Work_Order_Qty_7","Part_Desc__7","Worker_ID_7","Report_Type_7","Qty_Completed_7","Qty_Rejected_7","Qty_for_MRB_7","concept:name_8","lifecycle:transition_8","org:resource_8","Activity_8","Resource_8","Work_Order_Qty_8","Part_Desc__8","Worker_ID_8","Report_Type_8","Qty_Completed_8","Qty_Rejected_8","Qty_for_MRB_8","remainingTime"
"1","0","10","9","0","3","4","5","9","11","12","8","8","0","1","9","0","3","4","5","9","11","12","8","8","0","10","9","0","3","4","5","9","6","12","8","8","0","1","9","0","3","4","5","9","6","12","8","8","0","10","2","0","3","4","5","2","11","8","8","8","0","1","2","0","3","4","5","2","11","8","8","8","0","10","2","0","3","4","5","2","6","7","8","8","0","1","2","0","3","4","5","2","6","7","8","8","1519320.0"
"10","13","10","19","13","15","16","17","19","11","12","8","8","21","10","20","21","22","16","17","20","6","8","8","8","13","1","19","13","15","16","17","19","11","12","8","8","21","1","20","21","22","16","17","20","6","8","8","8","13","10","14","13","15","16","17","14","11","8","8","8","13","1","14","13","15","16","17","14","11","8","8","8","13","10","14","13","15","16","17","14","6","18","8","8","13","1","14","13","15","16","17","14","6","18","8","8","1387020.0"
"100","23","10","24","23","25","26","27","24","6","28","8","8","23","1","24","23","25","26","27","24","6","28","8","8","23","10","29","23","25","26","27","29","6","30","8","8","23","1","29","23","25","26","27","29","6","30","8","8","23","10","24","23","25","26","27","24","11","12","8","8","23","1","24","23","25","26","27","24","11","12","8","8","23","10","24","23","25","26","27","24","6","18","8","8","23","1","24","23","25","26","27","24","6","18","8","8","2487300.0"
"101","33","10","24","33","25","31","32","24","11","8","8","8","33","1","24","33","25","31","32","24","11","8","8","8","23","10","24","23","25","31","32","24","11","8","8","8","23","1","24","23","25","31","32","24","11","8","8","8","23","10","24","23","25","31","32","24","34","8","8","8","23","1","24","23","25","31","32","24","34","8","8","8","23","10","24","23","25","31","32","24","6","28","8","8","23","1","24","23","25","31","32","24","6","28","8","8","1036440.0"
"102","23","10","24","23","25","37","17","24","11","8","8","8","23","1","24","23","25","37","17","24","11","8","8","8","23","10","24","23","25","37","17","24","11","8","8","8","23","1","24","23","25","37","17","24","11","8","8","8","23","10","38","23","25","37","17","38","11","8","8","8","23","1","38","23","25","37","17","38","11","8","8","8","23","10","38","23","25","37","17","38","11","8","8","8","35","10","36","35","22","37","17","36","6","8","8","8","1247100.0"
"103","23","10","24","23","25","39","40","24","34","8","8","8","23","1","24","23","25","39","40","24","34","8","8","8","23","10","38","23","25","39","40","38","11","8","8","8","23","1","38","23","25","39","40","38","11","8","8","8","23","10","24","23","25","39","40","24","11","8","8","8","23","1","24","23","25","39","40","24","11","8","8","8","23","10","38","23","25","39","40","38","11","8","8","8","23","1","38","23","25","39","40","38","11","8","8","8","505500.0"
"104","43","10","29","43","44","42","5","29","11","12","8","8","43","1","29","43","44","42","5","29","11","12","8","8","43","10","29","43","44","42","5","29","6","45","8","8","43","1","29","43","44","42","5","29","6","45","8","8","43","10","46","43","44","42","5","46","6","47","8","8","35","10","41","35","22","42","5","41","6","8","8","8","43","1","46","43","44","42","5","46","6","47","8","8","35","1","41","35","22","42","5","41","6","8","8","8","78900.0"
"106","23","10","38","23","25","51","27","38","11","8","8","8","23","1","38","23","25","51","27","38","11","8","8","8","23","10","24","23","25","51","27","24","6","51","8","8","23","1","24","23","25","51","27","24","6","51","8","8","35","10","20","35","22","51","27","20","6","51","8","8","35","1","20","35","22","51","27","20","6","51","8","8","48","10","49","48","50","51","27","49","6","51","8","8","48","1","49","48","50","51","27","49","6","51","8","8","267240.0"
"108","0","10","54","0","3","52","53","54","11","12","8","8","0","1","54","0","3","52","53","54","11","12","8","8","0","10","29","0","3","52","53","29","11","12","8","8","35","10","36","35","22","52","53","36","6","8","8","8","35","1","36","35","22","52","53","36","6","8","8","8","0","1","29","0","3","52","53","29","11","12","8","8","0","10","29","0","3","52","53","29","6","47","8","8","0","1","29","0","3","52","53","29","6","47","8","8","938940.0"
"109","0","10","9","0","3","55","56","9","11","8","8","8","0","10","2","0","3","55","56","2","11","58","8","8","0","1","9","0","3","55","56","9","11","8","8","8","0","1","2","0","3","55","56","2","11","58","8","8","35","10","20","35","22","55","56","20","6","59","8","8","0","10","29","0","3","55","56","29","11","12","8","8","0","1","29","0","3","55","56","29","11","12","8","8","0","10","29","0","3","55","56","29","6","57","8","8","1727460.0"
