"Fix EDM","137"
"ID4851","197"
"Flat Grinding - Machine 11","35"
"ID4167","14"
"Housing","47"
"Piston","125"
"ID4163","16"
"Setup - Machine 8","48"
"Cable Head","5"
"131","211"
"325","232"
"Wheel Shaft","174"
"ID4287","52"
"Setup - Machine 4","257"
"Grinding Rework","242"
"492","88"
"24","51"
"25","98"
"26","169"
"27","46"
"20","89"
"21","78"
"22","142"
"23","196"
"Grinding Rework - Machine 12","158"
"198","244"
"28","92"
"3","50"
"Punch Holder","164"
"94","199"
"0","7"
"Milling - Machine 10","173"
"ID4355","120"
"4","34"
"400","160"
"ID4445","154"
"8","15"
"163","217"
"Machine 2 - Round Grinding","121"
"Tube","269"
"Plug","111"
"Spur Gear","27"
"Drum","263"
"D","6"
"Wire Cut - Machine 13","166"
"Bearing","218"
"Blade","227"
"Wire Cut - Machine 18","204"
"Machine 16 - Milling","226"
"Turn & Mill. & Screw Assem - Machine 9","202"
"Fastener","209"
"260","256"
"125","178"
"Punch Plate","172"
"Electrical Contact","65"
"Cutting Wheel","177"
"Barrel","223"
"Fix - Machine 15M","246"
"Clamp","97"
"Grinding Rework - Machine 27","157"
"59","126"
"Flange Bolt","207"
"55","84"
"54","100"
"57","272"
"16","66"
"51","182"
"50","64"
"53","181"
"52","53"
"Disc","219"
"Rework Milling - Machine 28","134"
"Oven","268"
"Machine 1 - Lapping","3"
"ID0997","45"
"Ring","122"
"ID4360","127"
"290","115"
"Machine 8 - Turning & Milling","41"
"ID4718","90"
"56","186"
"Machine 22 - Milling","195"
"200","161"
"313","208"
"ID4493","81"
"ID4491","146"
"ID4872","99"
"117","238"
"ID4385","151"
"Change Version - Machine 22","194"
"Locker","118"
"82","265"
"83","85"
"80","113"
"81","187"
"84","184"
"Ballnut","38"
"ID4783","240"
"Turning Q.C.","30"
"Machine 10 - Grinding","72"
"108","190"
"Packing","56"
"ID3998","267"
"7","42"
"Turning - Machine 9","104"
"Nitration Q.C.","213"
"Machine 11 - Grinding","36"
"Turning - Machine 4","83"
"Turning - Machine 5","200"
"Turning - Machine 8","123"
"Machine 6 - Turning & Milling","76"
"300","82"
"ID4861","206"
"ID0998","20"
"Stress Relief","266"
"ID4641","71"
"305","270"
"Round Grinding - Machine 2","119"
"Round Grinding - Machine 3","155"
"S","11"
"Lapping - Machine 1","0"
"100","73"
"105","201"
"Hinge","264"
"39","58"
"38","222"
"Turning & Milling - Machine 8","40"
"ID4794","32"
"Adjusting Nut","54"
"Turning & Milling - Machine 4","9"
"Turning & Milling - Machine 5","109"
"Turning & Milling - Machine 6","75"
"30","79"
"37","33"
"36","80"
"35","117"
"34","87"
"Grinding Rework - Machine 2","152"
"Round Grinding - Machine 23","215"
"Milling Q.C.","139"
"Machine 15 - Turning","143"
"Turn & Mill. & Screw Assem - Machine 10","243"
"Turning & Milling - Machine 10","70"
"Machine 9 - Turning & Milling","25"
"Machine 14 - Milling","131"
"Machine 12 - Grinding","107"
"Final Inspection Q.C.","59"
"150","147"
"Spinner","230"
"Assembly 1","253"
"45","231"
"ID4326","224"
"Flange","179"
"60","124"
"61","116"
"63","221"
"64","220"
"65","260"
"66","188"
"69","105"
"250","153"
"251","26"
"170","171"
"Machine 23 - Turning","216"
"Slip Ring Adapter","168"
"ID4890","193"
"Round Grinding - Manual","94"
"185","198"
"Bushing","62"
"start","1"
"180","170"
"2","67"
"Deburring - Manual","128"
"ID4528","60"
"ID4529","43"
"507","273"
"Round Grinding - Q.C.","175"
"500","77"
"179","210"
"Cast","245"
"B","49"
"complete","13"
"Machine 18 - Wire Cutting","205"
"ID0420","251"
"73","252"
"160","274"
"6","103"
"Cylinder","102"
"Machine 5 - Turning & Milling","110"
"168","180"
"315","233"
"Drill","145"
"90","91"
"225","228"
"SETUP     Turning & Milling - Machine 5","241"
"161","96"
"221","191"
"Turning & Milling - Machine 9","23"
"11","44"
"10","4"
"13","63"
"12","93"
"15","61"
"14","55"
"17","31"
"ID4882","2"
"19","74"
"18","37"
"Shim","203"
"ID4799","149"
"ID3767","136"
"720","261"
"32","114"
"O-Ring","236"
"Machine 17 - Sinking","138"
"Machine 4 - Turning & Milling","10"
"31","69"
"151","150"
"Quality Check 1","18"
"153","237"
"155","254"
"600","144"
"Compound Dies","234"
"189","271"
"557","159"
"Machine 7- Laser Marking","22"
"ID3846","28"
"230","259"
"Socket","167"
"Wheel","249"
"ID4429","86"
"Machine 3 - Round Grinding","156"
"48","141"
"49","68"
"47","189"
"ID4932","8"
"Manual Deburring","129"
"43","248"
"40","101"
"41","255"
"1","12"
"Laser Marking - Machine 7","21"
"320","212"
"ID4132","24"
"5","108"
"Milling - Machine 16","225"
"Milling - Machine 14","130"
"9","19"
"Gauge","176"
"85","183"
"Machine 27 - Grinding","95"
"ID4219","39"
"144","165"
"ID4622","148"
"ID4820","57"
"Adapter","262"
"ID3641","133"
"148","192"
"ID4291","140"
"75","229"
"132","235"
"Turning & Milling Q.C.","17"
"70","250"
"Locknut","239"
"29","247"
"79","185"
"78","132"
"350","163"
"ID0937","112"
"Round Grinding - Machine 12","106"
"ID4109","214"
"Manual Milling - Machine 28","135"
"Spindle","258"
"ID4618","29"
"33","162"
