"Id","Latest_concept:name","Latest_lifecycle:transition","Latest_org:resource","Latest_Activity","Latest_Resource","Latest_Work_Order_Qty","Latest_Part_Desc_","Latest_Worker_ID","Latest_Report_Type","Latest_Qty_Completed","Latest_Qty_Rejected","Latest_Qty_for_MRB","remainingTime"
"1","0","1","2","0","0","3","4","2","5","6","7","7","0.0"
"10","0","1","2","0","0","8","9","2","5","10","7","7","0.0"
"100","11","1","12","11","13","14","15","12","5","14","7","7","0.0"
"101","0","1","2","0","0","16","17","2","5","18","7","7","0.0"
"102","0","1","2","0","0","19","9","2","5","20","7","7","0.0"
"103","0","1","2","0","0","21","22","2","5","23","7","7","0.0"
"104","24","1","25","24","26","27","4","25","5","27","7","7","0.0"
"105","28","1","29","28","30","31","32","29","5","31","7","7","0.0"
"106","11","1","12","11","13","33","15","12","5","33","7","7","0.0"
"107","34","1","35","34","36","37","4","35","38","39","7","7","0.0"
"108","11","1","40","11","13","31","41","40","5","42","7","7","0.0"
"109","0","1","43","0","0","23","44","43","5","45","7","7","0.0"
"11","46","1","12","46","13","47","9","12","5","7","48","7","0.0"
"110","11","1","12","11","13","49","15","12","5","50","7","7","0.0"
"111","28","1","51","28","30","52","4","51","5","16","7","7","0.0"
"112","11","1","40","11","13","53","15","40","5","54","7","7","0.0"
"113","24","1","55","24","26","56","4","55","5","56","7","7","0.0"
"114","46","1","12","46","13","37","15","12","5","7","7","7","0.0"
"115","0","1","2","0","0","57","15","2","5","58","7","7","0.0"
"116","11","1","40","11","13","59","60","40","5","61","62","7","0.0"
"117","63","1","64","63","13","48","65","64","5","48","7","7","0.0"
"118","46","1","40","46","13","3","15","40","5","6","39","7","0.0"
"119","34","1","35","34","36","66","67","35","5","68","7","7","0.0"
"12","0","1","2","0","0","69","9","2","5","69","7","7","0.0"
"120","11","1","64","11","13","62","4","64","5","7","70","7","0.0"
"121","71","1","72","71","73","74","75","72","38","7","7","7","0.0"
"122","0","1","2","0","0","74","75","2","5","74","7","7","0.0"
"123","24","1","25","24","26","76","4","25","5","77","7","7","0.0"
"124","0","1","2","0","0","74","15","2","5","74","7","7","0.0"
"125","78","1","79","78","80","81","15","79","5","62","7","7","0.0"
"126","0","1","2","0","0","3","17","2","5","6","7","7","0.0"
"127","11","1","12","11","13","82","15","12","5","83","7","7","0.0"
"129","24","1","55","24","26","48","84","55","5","48","7","7","0.0"
"13","11","1","12","11","13","37","9","12","5","37","7","7","0.0"
"130","78","1","85","78","80","86","15","85","5","68","7","7","0.0"
"133","28","1","51","28","30","87","88","51","5","89","7","7","0.0"
