"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Event_10","Event_11","Event_12","Event_13","Event_14","Latest_concept:name","Latest_lifecycle:transition","Latest_org:resource","Latest_Activity","Latest_Resource","Latest_Work_Order_Qty","Latest_Part_Desc_","Latest_Worker_ID","Latest_Report_Type","Latest_Qty_Completed","Latest_Qty_Rejected","Latest_Qty_for_MRB","remainingTime"
"1","8","8","8","8","14","14","14","14","16","16","20","20","2","2","0","1","2","0","3","4","5","2","6","7","7","7","262800.0"
"10","28","29","28","29","24","24","24","24","32","32","28","28","24","24","23","13","24","23","25","26","27","24","11","12","7","7","1321500.0"
"100","39","39","43","43","39","39","39","39","29","29","20","20","20","20","35","13","20","35","36","37","38","20","6","37","7","7","843480.0"
"101","39","39","39","39","39","39","39","39","32","32","45","45","45","45","40","13","45","40","41","46","47","45","11","7","7","7","1000200.0"
"102","39","39","39","39","45","45","45","52","52","45","45","45","39","39","40","13","39","40","41","51","27","39","6","19","7","7","1207860.0"
"103","39","39","45","45","39","39","45","45","45","45","29","39","39","29","17","13","29","17","18","53","54","29","6","7","7","7","483720.0"
"106","45","45","39","39","29","29","20","20","2","2","29","29","57","57","56","13","57","56","56","58","38","57","6","58","7","7","43500.0"
"108","32","32","43","52","52","43","43","43","52","52","20","20","60","60","35","13","60","35","36","61","62","60","6","7","7","7","807120.0"
"109","8","14","8","14","29","43","43","43","29","43","8","29","29","8","9","13","8","9","10","64","65","8","6","66","7","7","1696740.0"
"11","24","24","71","52","71","71","52","71","24","24","8","8","71","71","70","13","71","70","72","73","27","71","6","42","7","7","699000.0"
"110","32","32","43","16","16","43","43","43","32","32","14","14","43","71","75","1","71","75","76","77","38","71","6","78","7","7","2285520.0"
"111","8","8","8","8","14","14","86","86","8","8","14","14","81","81","30","13","81","30","18","82","5","81","6","82","7","7","1180260.0"
"112","71","71","28","28","24","24","52","28","52","28","28","28","24","24","23","13","24","23","25","88","38","24","6","50","7","7","1266180.0"
"114","32","32","29","90","90","29","32","32","29","29","29","29","29","29","17","13","29","17","18","89","38","29","6","7","7","7","0.0"
"115","8","8","43","43","8","8","8","8","8","52","52","52","52","8","9","13","8","9","10","91","38","8","6","92","7","7","1681920.0"
"116","60","60","60","60","99","99","57","57","60","16","16","60","60","60","94","13","60","94","95","96","97","60","6","79","7","7","490320.0"
"119","24","24","24","24","24","24","71","71","24","24","24","24","24","24","70","13","24","70","72","101","102","24","6","103","7","7","171060.0"
"12","71","71","24","24","29","29","24","24","71","71","28","28","71","71","104","13","71","104","25","105","27","71","6","63","7","7","1587720.0"
"120","43","43","86","86","32","32","81","81","20","20","20","20","99","99","106","13","99","106","107","108","5","99","11","7","7","7","81900.0"
"121","43","43","43","112","112","43","86","81","81","86","43","45","45","43","9","13","43","9","10","93","111","43","11","7","7","7","1201920.0"
"122","86","86","86","86","86","86","86","16","16","86","81","81","20","20","21","13","20","21","22","93","111","20","6","93","7","7","1780620.0"
"123","86","86","8","8","8","8","14","14","14","14","8","8","8","8","9","13","8","9","10","113","5","8","6","67","7","7","217380.0"
"124","8","8","8","8","86","86","14","14","52","52","20","20","90","90","0","13","90","0","3","93","38","90","6","93","7","7","321240.0"
"126","86","86","14","14","8","52","8","8","52","8","52","52","20","20","21","13","20","21","22","4","47","20","6","19","7","7","206340.0"
"127","32","32","32","32","14","14","43","43","29","29","32","32","43","43","75","1","43","75","76","115","38","43","11","7","7","7","1249440.0"
"129","39","52","52","39","39","39","45","45","52","52","20","20","52","52","0","13","52","0","18","50","118","52","6","50","7","7","939360.0"
"13","28","28","28","28","24","24","57","57","29","29","99","99","29","29","59","13","29","59","18","89","27","29","6","89","7","7","0.0"
"135","43","43","86","90","90","86","43","43","43","43","43","43","86","86","109","13","86","109","110","77","47","86","6","55","7","7","601080.0"
"138","14","14","8","8","8","8","14","14","86","86","16","16","16","16","17","13","16","17","18","101","5","16","6","7","67","7","13380.0"
"140","86","86","14","14","81","81","2","2","20","20","120","120","120","120","119","13","120","119","121","108","5","120","6","67","7","7","230220.0"
"145","39","39","45","45","39","39","39","39","29","29","20","20","20","20","0","13","20","0","3","117","122","20","6","117","7","7","840300.0"
"147","39","39","45","45","45","45","39","57","57","39","52","52","127","52","59","1","52","59","18","124","125","52","6","126","7","7","2580.0"
"148","133","133","136","136","52","52","140","140","52","52","52","52","52","52","130","13","52","130","131","132","125","52","6","12","7","7","0.0"
"155","45","45","45","45","45","45","45","29","29","45","29","29","2","2","21","13","2","21","22","141","38","2","6","142","7","7","233280.0"
"156","71","71","71","71","71","71","71","71","71","71","29","29","29","29","59","13","29","59","18","144","145","29","6","7","7","7","754560.0"
"163","146","146","52","52","52","52","52","52","28","28","52","52","146","146","56","13","146","56","56","147","97","146","6","15","7","7","5061840.0"
"17","39","39","39","39","39","39","39","149","39","39","39","149","148","148","123","13","148","123","143","73","97","148","6","51","7","7","2677680.0"
