"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Event_10","Event_11","Event_12","Event_13","Event_14","Event_15","Event_16","Latest_concept:name","Latest_lifecycle:transition","Latest_org:resource","Latest_Activity","Latest_Resource","Latest_Work_Order_Qty","Latest_Part_Desc_","Latest_Worker_ID","Latest_Report_Type","Latest_Qty_Completed","Latest_Qty_Rejected","Latest_Qty_for_MRB","remainingTime"
"1","8","8","8","8","14","14","14","14","16","16","20","20","2","2","2","2","0","1","2","0","3","4","5","2","6","7","7","7","258300.0"
"10","29","30","29","30","24","24","24","24","33","33","29","29","24","24","24","24","23","1","24","23","25","26","27","24","6","28","7","7","1313760.0"
"100","38","38","42","42","38","38","38","38","30","30","20","20","20","20","2","2","0","1","2","0","3","36","37","2","6","36","7","7","841500.0"
"101","38","38","38","38","38","38","38","38","33","33","46","46","46","46","46","46","39","1","46","39","40","47","48","46","6","47","7","7","991800.0"
"102","38","38","38","38","46","46","46","52","52","46","46","46","38","38","33","33","39","1","33","39","40","51","27","33","6","41","7","7","1196940.0"
"103","38","38","46","46","38","38","46","46","46","46","30","38","38","30","30","30","17","1","30","17","18","53","54","30","6","7","7","7","319440.0"
"106","46","46","38","38","30","30","20","20","2","2","30","30","58","58","30","30","56","1","30","56","18","57","37","30","6","57","7","7","0.0"
"108","33","33","42","52","52","42","42","42","52","52","20","20","64","64","60","60","44","1","60","44","45","61","62","60","6","55","7","7","728580.0"
"109","8","14","8","14","30","42","42","42","30","42","8","30","30","8","30","30","17","1","30","17","18","65","66","30","6","7","13","7","1694220.0"
"11","24","24","72","52","72","72","52","72","24","24","8","8","72","72","52","72","71","10","72","71","73","74","27","72","6","7","7","7","624960.0"
"110","33","33","42","16","16","42","42","42","33","33","14","14","42","72","42","72","76","1","72","76","77","78","37","72","6","79","7","7","2259720.0"
"111","8","8","8","8","14","14","86","86","8","8","14","14","88","88","8","8","9","1","8","9","11","82","5","8","12","13","7","7","479160.0"
"112","72","72","29","29","24","24","52","29","52","29","29","29","24","24","33","33","23","1","33","23","25","89","37","33","6","90","7","7","1219560.0"
"115","8","8","42","42","8","8","8","8","8","52","52","52","52","8","2","2","44","1","2","44","45","91","37","2","6","92","7","7","1501680.0"
"116","64","64","64","64","100","100","58","58","64","16","16","64","64","64","64","64","95","1","64","95","96","97","98","64","6","80","7","7","202080.0"
"119","24","24","24","24","24","24","72","72","24","24","24","24","24","24","33","33","71","1","33","71","73","102","103","33","6","13","7","7","133020.0"
"12","72","72","24","24","30","30","24","24","72","72","29","29","72","72","29","29","105","1","29","105","25","106","27","29","6","55","7","7","1566060.0"
"120","42","42","86","86","33","33","88","88","20","20","20","20","100","100","100","100","107","1","100","107","108","109","5","100","12","7","7","7","75900.0"
"121","42","42","42","113","113","42","86","88","88","86","42","46","46","42","8","8","9","1","8","9","11","93","112","8","12","7","7","7","1177680.0"
"122","86","86","86","86","86","86","86","16","16","86","88","88","20","20","20","2","44","10","2","44","45","93","112","2","6","93","7","7","1778460.0"
"123","86","86","8","8","8","8","14","14","14","14","8","8","8","8","8","8","9","1","8","9","11","116","5","8","12","13","7","7","212760.0"
"124","8","8","8","8","86","86","14","14","52","52","20","20","118","118","52","52","56","1","52","56","18","93","37","52","6","7","7","7","218640.0"
"126","86","86","14","14","8","52","8","8","52","8","52","52","20","20","2","2","0","1","2","0","3","4","48","2","6","7","7","7","171900.0"
"127","33","33","33","33","14","14","42","42","30","30","33","33","42","42","42","2","0","10","2","0","3","119","37","2","6","7","7","7","1235880.0"
"129","38","52","52","38","38","38","46","46","52","52","20","20","52","52","58","58","59","1","58","59","59","28","122","58","6","28","7","7","115860.0"
"135","42","42","86","118","118","86","42","42","42","42","42","42","86","86","8","8","110","1","8","110","111","78","48","8","6","123","7","7","502680.0"
"138","14","14","8","8","8","8","14","14","86","86","16","16","16","16","16","16","17","1","16","17","18","102","5","16","6","81","13","7","10680.0"
"140","86","86","14","14","88","88","2","2","20","20","125","125","125","125","125","125","124","1","125","124","126","109","5","125","6","7","7","7","228000.0"
"145","38","38","46","46","38","38","38","38","30","30","20","20","20","20","30","30","56","1","30","56","18","121","127","30","6","7","7","7","598980.0"
"147","38","38","46","46","46","46","38","58","58","38","52","52","132","52","132","52","56","1","52","56","18","129","130","52","6","131","7","7","0.0"
"155","46","46","46","46","46","46","46","30","30","46","30","30","2","2","20","20","21","1","20","21","22","92","37","20","6","133","7","7","229800.0"
"156","72","72","72","72","72","72","72","72","72","72","30","30","30","30","30","30","17","1","30","17","18","136","137","30","6","90","7","7","754440.0"
"163","139","139","52","52","52","52","52","52","29","29","52","52","139","139","52","52","56","1","52","56","18","138","98","52","6","67","7","7","5060940.0"
"17","38","38","38","38","38","38","38","140","38","38","38","140","142","142","38","38","128","1","38","128","134","74","98","38","6","13","7","7","2674620.0"
"174","42","42","33","52","33","33","52","33","118","118","46","46","42","42","33","33","76","1","33","76","77","84","37","33","6","63","7","7","852480.0"
"177","20","20","144","144","144","144","125","125","16","16","16","16","16","16","16","16","56","1","16","56","18","143","5","16","6","7","35","7","6194100.0"
"178","147","147","125","125","100","100","100","2","20","100","2","20","100","125","100","125","145","1","125","145","126","146","5","125","6","135","7","7","4959120.0"
"18","8","8","8","8","86","86","8","8","8","8","8","8","86","14","86","86","110","10","86","110","111","151","5","86","6","70","7","7","6107400.0"
"182","30","30","64","64","30","30","30","30","58","58","30","30","113","113","20","20","21","1","20","21","22","152","37","20","6","67","7","7","261240.0"
"185","24","24","64","64","58","58","58","58","52","52","52","52","52","52","20","20","21","1","20","21","22","32","5","20","6","41","7","7","7066980.0"
"187","2","2","144","144","125","125","147","147","144","144","125","125","147","147","144","144","148","1","144","148","149","154","5","144","6","79","7","7","3921840.0"
"188","20","2","2","2","20","2","20","20","30","30","159","159","147","147","147","147","148","1","147","148","149","156","157","147","6","135","7","7","507840.0"
"19","14","14","16","16","8","8","16","16","20","20","2","2","2","2","144","144","148","1","144","148","149","155","5","144","12","7","7","7","165120.0"
"192","161","161","52","52","24","24","52","24","52","24","24","24","72","72","52","24","23","10","24","23","25","154","130","24","6","28","7","7","1493520.0"
"194","24","24","24","52","24","52","24","52","52","24","72","72","29","52","52","29","71","1","29","71","73","102","164","29","6","41","7","7","2117520.0"
"195","52","52","2","2","20","20","20","2","20","2","2","2","125","125","144","144","124","1","144","124","126","116","165","144","12","7","7","7","447180.0"
"198","86","86","42","42","42","42","52","86","86","52","8","8","86","86","118","118","110","1","118","110","111","74","5","118","6","133","7","7","6012240.0"
"199","2","2","20","2","2","2","20","20","20","147","2","147","147","147","147","147","124","1","147","124","126","166","5","147","6","19","7","7","7475880.0"
"20","14","14","30","14","14","30","33","33","33","33","33","33","86","86","42","42","9","1","42","9","11","167","168","42","6","41","7","7","3136080.0"
"201","88","88","88","88","38","38","38","38","38","38","38","38","38","38","38","38","128","1","38","128","134","141","169","38","50","7","7","7","3933300.0"
"206","30","30","20","20","20","20","100","100","100","100","30","30","30","30","171","171","59","1","171","59","59","79","172","171","6","4","7","7","950400.0"
"207","86","42","86","42","86","42","86","42","42","42","33","33","42","86","86","42","76","1","42","76","77","173","174","42","12","7","7","7","1641600.0"
"208","72","72","29","29","72","72","72","72","24","24","29","29","72","72","24","24","71","1","24","71","73","63","5","24","6","67","7","7","3193140.0"
