"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Event_10","Event_11","Event_12","Event_13","Event_14","Event_15","Event_16","Event_17","Event_18","Event_19","Latest_concept:name","Latest_lifecycle:transition","Latest_org:resource","Latest_Activity","Latest_Resource","Latest_Work_Order_Qty","Latest_Part_Desc_","Latest_Worker_ID","Latest_Report_Type","Latest_Qty_Completed","Latest_Qty_Rejected","Latest_Qty_for_MRB","remainingTime"
"1","8","8","8","8","14","14","14","14","16","16","20","20","23","23","23","23","23","23","2","0","1","2","0","3","4","5","2","6","7","7","7","229620.0"
"10","31","32","31","32","27","27","27","27","35","35","31","31","27","27","27","27","35","35","27","26","1","27","26","28","29","30","27","6","11","7","7","1241280.0"
"100","42","42","46","46","42","42","42","42","32","32","20","20","20","20","23","23","2","2","2","0","1","2","0","3","40","41","2","13","40","7","7","678120.0"
"101","42","42","42","42","42","42","42","42","35","35","54","54","54","54","54","54","32","32","20","48","1","20","48","49","50","51","20","13","50","7","7","918300.0"
"102","42","42","42","42","54","54","54","56","56","54","54","54","42","42","35","35","54","54","54","43","1","54","43","44","55","30","54","6","11","7","7","1173300.0"
"103","42","42","54","54","42","42","54","54","54","54","32","42","42","32","32","32","54","54","54","43","1","54","43","44","58","59","54","6","7","7","7","310980.0"
"108","35","35","46","56","56","46","46","46","56","56","20","20","65","65","61","61","61","61","61","24","12","61","24","25","62","63","61","13","60","7","7","712740.0"
"109","8","14","8","14","32","46","46","46","32","46","8","32","32","8","32","32","20","20","67","66","1","67","66","68","69","70","67","6","11","7","7","331020.0"
"11","27","27","76","56","76","76","56","76","27","27","8","8","76","76","56","76","76","56","76","75","12","76","75","77","78","30","76","13","7","7","7","620460.0"
"110","35","35","46","16","16","46","46","46","35","35","14","14","46","76","46","76","32","32","32","17","1","32","17","18","80","41","32","13","81","11","7","2084760.0"
"111","8","8","8","8","14","14","92","92","8","8","14","14","94","94","8","8","14","14","35","9","1","35","9","10","87","5","35","13","88","7","7","431760.0"
"112","76","76","31","31","27","27","56","31","56","31","31","31","27","27","35","35","31","31","31","26","1","31","26","28","96","41","31","13","97","7","7","1209000.0"
"115","8","8","46","46","8","8","8","8","8","56","56","56","56","8","23","23","23","23","23","48","1","23","48","49","99","41","23","13","100","7","7","1439700.0"
"116","65","65","65","65","109","109","110","110","65","16","16","65","65","65","65","65","65","65","65","104","1","65","104","105","106","107","65","13","7","7","7","58440.0"
"119","27","27","27","27","27","27","76","76","27","27","27","27","27","27","35","35","27","27","35","75","1","35","75","77","39","114","35","13","37","7","7","72240.0"
"12","76","76","27","27","32","32","27","27","76","76","31","31","76","76","31","31","31","31","76","116","1","76","116","28","117","30","76","13","57","7","7","1533780.0"
"120","46","46","92","92","35","35","94","94","20","20","20","20","109","109","109","109","67","67","67","0","1","67","0","3","57","5","67","13","7","7","7","62220.0"
"121","46","46","46","123","123","46","92","94","94","92","46","54","54","46","8","8","8","8","94","17","1","94","17","18","101","122","94","13","47","7","7","1137780.0"
"122","92","92","92","92","92","92","92","16","16","92","94","94","20","20","20","23","20","23","20","24","1","20","24","25","101","122","20","13","101","7","7","1763640.0"
"123","92","92","8","8","8","8","14","14","14","14","8","8","8","8","8","8","14","14","14","9","1","14","9","10","126","5","14","13","108","7","7","204060.0"
"124","8","8","8","8","92","92","14","14","56","56","20","20","128","128","56","56","56","56","110","111","1","110","111","111","101","41","110","13","101","7","7","3600.0"
"126","92","92","14","14","8","56","8","8","56","8","56","56","20","20","23","23","20","23","20","24","12","20","24","25","4","51","20","13","7","7","7","143160.0"
"127","35","35","35","35","14","14","46","46","32","32","35","35","46","46","46","23","46","54","23","24","12","23","24","25","129","41","23","13","7","7","7","1231380.0"
"129","42","56","56","42","42","42","54","54","56","56","20","20","56","56","110","110","56","56","20","21","1","20","21","22","38","132","20","13","38","7","7","2640.0"
"135","46","46","92","128","128","92","46","46","46","46","46","46","92","92","8","8","35","35","35","118","1","35","118","119","80","51","35","13","88","7","7","477420.0"
"140","92","92","14","14","94","94","23","23","20","20","67","67","67","67","67","67","65","65","134","66","1","134","66","68","57","5","134","13","7","7","7","32940.0"
"145","42","42","54","54","42","42","42","42","32","32","20","20","20","20","32","32","137","137","137","136","1","137","136","138","131","139","137","13","115","7","7","328080.0"
"155","54","54","54","54","54","54","54","32","32","54","32","32","23","23","20","20","23","23","32","113","1","32","113","18","103","41","32","13","7","7","7","213840.0"
"156","76","76","76","76","76","76","76","76","76","76","32","32","32","32","32","32","2","2","61","24","1","61","24","25","145","146","61","13","98","7","7","517440.0"
"163","148","148","56","56","56","56","56","56","31","31","56","56","148","148","56","56","56","56","56","113","1","56","113","18","147","107","56","13","115","7","7","5009640.0"
"17","42","42","42","42","42","42","42","151","42","42","42","151","150","150","42","42","151","151","150","140","1","150","140","142","78","107","150","13","108","7","7","2622480.0"
"174","46","46","35","56","35","35","56","35","128","128","54","54","46","46","35","35","56","56","56","17","1","56","17","18","90","41","56","13","108","7","7","790320.0"
"177","20","20","134","134","134","134","67","67","16","16","16","16","16","16","16","16","109","109","110","111","1","110","111","111","152","5","110","13","45","7","7","3978900.0"
"178","2","2","67","67","109","109","109","23","20","109","23","20","109","67","109","67","134","134","65","154","1","65","154","155","156","5","65","13","7","7","7","4929780.0"
