"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Event_10","Event_11","Event_12","Event_13","Event_14","Event_15","Event_16","Event_17","Event_18","Event_19","Event_20","Latest_concept:name","Latest_lifecycle:transition","Latest_org:resource","Latest_Activity","Latest_Resource","Latest_Work_Order_Qty","Latest_Part_Desc_","Latest_Worker_ID","Latest_Report_Type","Latest_Qty_Completed","Latest_Qty_Rejected","Latest_Qty_for_MRB","remainingTime"
"1","9","9","9","9","15","15","15","15","16","16","20","20","2","2","2","2","2","2","23","2","0","1","2","0","3","4","5","2","6","7","8","8","228120.0"
"10","31","32","31","32","27","27","27","27","35","35","31","31","27","27","27","27","35","35","27","27","26","1","27","26","28","29","30","27","13","14","8","8","1234260.0"
"100","42","42","46","46","42","42","42","42","32","32","20","20","20","20","2","2","23","23","23","23","24","1","23","24","25","40","41","23","6","40","8","8","661860.0"
"101","42","42","42","42","42","42","42","42","35","35","54","54","54","54","54","54","32","32","20","20","48","1","20","48","49","50","51","20","6","50","8","8","914700.0"
"102","42","42","42","42","54","54","54","55","55","54","54","54","42","42","35","35","54","54","54","55","17","11","55","17","18","56","30","55","6","56","8","8","1159200.0"
"103","42","42","54","54","42","42","54","54","54","54","32","42","42","32","32","32","54","54","54","54","43","1","54","43","44","58","59","54","13","8","8","8","306720.0"
"108","35","35","46","55","55","46","46","46","55","55","20","20","65","65","61","61","61","61","61","61","0","1","61","0","3","62","63","61","6","8","8","8","711420.0"
"109","9","15","9","15","32","46","46","46","32","46","9","32","32","9","32","32","20","20","67","67","66","1","67","66","68","69","70","67","13","14","8","8","326280.0"
"11","27","27","76","55","76","76","55","76","27","27","9","9","76","76","55","76","76","55","76","76","75","1","76","75","77","78","30","76","13","8","8","8","620100.0"
"110","35","35","46","16","16","46","46","46","35","35","15","15","46","76","46","76","32","32","32","35","80","11","35","80","81","82","41","35","6","57","8","8","2084400.0"
"111","9","9","9","9","15","15","91","91","9","9","15","15","93","93","9","9","15","15","35","35","87","11","35","87","12","88","5","35","6","8","8","8","431220.0"
"112","76","76","31","31","27","27","55","31","55","31","31","31","27","27","35","35","31","31","31","31","26","1","31","26","28","96","41","31","6","97","8","8","1181520.0"
"115","9","9","46","46","9","9","9","9","9","55","55","55","55","9","2","2","2","2","2","2","48","1","2","48","49","99","41","2","6","100","8","8","1435380.0"
"116","65","65","65","65","109","109","110","110","65","16","16","65","65","65","65","65","65","65","65","65","104","1","65","104","105","106","107","65","6","8","8","8","53580.0"
"119","27","27","27","27","27","27","76","76","27","27","27","27","27","27","35","35","27","27","35","35","75","1","35","75","77","39","114","35","6","37","8","8","38160.0"
"12","76","76","27","27","32","32","27","27","76","76","31","31","76","76","31","31","31","31","76","76","116","1","76","116","28","117","30","76","6","57","8","8","1523940.0"
"120","46","46","91","91","35","35","93","93","20","20","20","20","109","109","109","109","67","67","67","67","24","1","67","24","25","57","5","67","6","8","8","8","61740.0"
"121","46","46","46","123","123","46","91","93","93","91","46","54","54","46","9","9","9","9","93","93","17","1","93","17","18","101","122","93","6","47","8","8","1135500.0"
"122","91","91","91","91","91","91","91","16","16","91","93","93","20","20","20","2","20","2","20","20","0","1","20","0","3","101","122","20","6","101","8","8","1759680.0"
"123","91","91","9","9","9","9","15","15","15","15","9","9","9","9","9","9","15","15","15","93","17","11","93","17","18","126","5","93","6","8","37","8","199320.0"
"124","9","9","9","9","91","91","15","15","55","55","20","20","128","128","55","55","55","55","110","110","111","1","110","111","111","101","41","110","6","101","8","8","0.0"
"126","91","91","15","15","9","55","9","9","55","9","55","55","20","20","2","2","20","2","20","2","0","1","2","0","3","4","51","2","6","19","8","8","140880.0"
