"Id","Event_1","Event_2","Event_3","Event_4","Latest_concept:name","Latest_lifecycle:transition","Latest_org:resource","Latest_Activity","Latest_Resource","Latest_Work_Order_Qty","Latest_Part_Desc_","Latest_Worker_ID","Latest_Report_Type","Latest_Qty_Completed","Latest_Qty_Rejected","Latest_Qty_for_MRB","remainingTime"
"1","2","2","2","2","0","1","2","0","3","4","5","2","6","7","8","8","1534680.0"
"10","16","12","16","12","11","1","12","11","13","14","15","12","6","8","8","8","1431900.0"
"100","25","25","20","20","19","1","20","19","21","22","23","20","6","24","8","8","2520360.0"
"101","25","25","25","25","19","1","25","19","21","27","28","25","10","8","8","8","1043820.0"
"102","25","25","25","25","19","1","25","19","21","30","15","25","10","8","8","8","1294620.0"
"103","25","25","31","31","19","1","31","19","21","32","33","31","10","8","8","8","583740.0"
"104","20","20","20","20","35","1","20","35","36","37","5","20","6","38","8","8","97680.0"
"105","41","41","2","2","0","1","2","0","3","39","40","2","6","39","8","8","0.0"
"106","31","31","25","25","19","1","25","19","21","42","23","25","6","42","8","8","577620.0"
"108","46","46","20","44","43","9","44","43","13","39","45","44","6","8","8","8","959220.0"
"109","2","41","2","41","0","1","41","0","3","47","48","41","10","49","8","8","1732020.0"
"11","51","51","54","44","43","9","44","43","13","50","15","44","6","8","8","8","796260.0"
"110","46","46","20","55","43","9","55","43","13","56","23","55","6","8","8","8","2507280.0"
"111","2","2","2","2","60","1","2","60","3","61","5","2","6","62","8","8","1297020.0"
"112","54","54","16","16","17","1","16","17","18","63","23","16","10","7","8","8","1352760.0"
"113","2","2","20","20","35","1","20","35","36","64","5","20","10","64","8","8","70980.0"
"114","46","46","12","66","57","9","66","57","58","67","23","66","10","8","8","8","608040.0"
"115","2","2","20","20","0","1","20","0","3","68","23","20","6","47","8","8","1708260.0"
"116","70","70","70","70","69","1","70","69","71","72","73","70","6","74","8","8","573720.0"
"117","76","76","76","76","75","1","76","75","75","59","77","76","6","49","8","8","36060.0"
"118","78","78","46","46","57","1","46","57","58","4","23","46","10","7","8","8","135000.0"
"119","51","51","51","51","52","1","51","52","53","79","80","51","10","8","8","8","697680.0"
"12","54","54","51","51","81","1","51","81","18","82","15","51","10","7","8","8","1867860.0"
"120","20","20","78","78","35","1","78","35","36","83","5","78","10","7","8","8","1503900.0"
"121","20","20","20","85","11","9","85","11","13","86","87","85","6","86","8","8","1947780.0"
"122","78","78","78","78","35","1","78","35","36","86","87","78","6","24","8","8","2012460.0"
"123","78","78","2","2","0","1","2","0","3","88","5","2","10","8","8","8","309180.0"
"124","2","2","2","2","0","1","2","0","3","86","23","2","6","49","8","8","464520.0"
"125","46","46","41","41","57","1","41","57","58","89","23","41","10","7","8","8","14820.0"
"126","78","78","41","41","0","1","41","0","3","4","28","41","10","49","8","8","497340.0"
"127","46","46","46","46","57","1","46","57","58","90","23","46","6","84","8","8","1351140.0"
"129","25","44","44","25","19","1","25","19","21","59","91","25","10","8","8","8","1176600.0"
"13","16","16","16","16","81","1","16","81","18","67","15","16","6","49","8","8","71160.0"
"133","78","78","2","2","0","1","2","0","3","92","93","2","10","7","8","8","40800.0"
"134","2","2","2","2","0","1","2","0","3","92","93","2","10","7","8","8","107100.0"
"135","20","20","78","66","35","9","66","35","36","56","28","66","10","8","8","8","698520.0"
"136","46","46","46","46","57","1","46","57","58","94","23","46","6","86","8","8","5160.0"
"137","78","78","2","2","0","1","2","0","3","39","28","2","10","7","8","8","200340.0"
"138","41","41","2","2","0","1","2","0","3","79","5","2","10","7","8","8","136740.0"
"140","78","78","41","41","35","1","41","35","36","83","5","41","6","59","8","8","905280.0"
"142","44","44","44","44","43","1","44","43","13","22","23","44","6","22","8","8","0.0"
"144","97","97","96","96","95","1","96","95","13","7","5","96","6","7","8","8","0.0"
"145","25","25","31","31","98","1","31","98","21","99","100","31","6","27","8","8","1970820.0"
"146","76","76","44","44","95","1","44","95","13","101","23","44","6","101","8","8","0.0"
"147","25","25","31","31","98","1","31","98","21","102","103","31","10","8","8","8","97380.0"
"148","108","108","105","105","104","1","105","104","106","107","103","105","6","7","8","8","3455580.0"
"150","12","12","12","12","111","1","12","111","112","22","23","12","6","8","49","8","30720.0"
"153","70","70","70","70","69","1","70","69","71","117","28","70","6","84","8","8","274500.0"
"154","96","96","119","119","118","1","119","118","120","27","23","119","6","121","8","8","394200.0"
"155","31","31","31","31","19","1","31","19","21","89","23","31","6","8","8","8","562920.0"
"156","54","54","54","54","17","1","54","17","18","94","124","54","6","79","8","8","1275000.0"
"163","97","97","44","44","95","1","44","95","13","125","73","44","6","102","8","8","6326280.0"
"17","25","25","25","25","98","1","25","98","123","50","73","25","10","8","8","8","2740620.0"
"174","20","20","46","44","43","9","44","43","13","62","23","44","10","8","8","8","946020.0"
"175","44","44","44","44","122","1","44","122","13","126","127","44","6","8","7","8","0.0"
"177","132","132","129","129","128","1","129","128","130","131","5","129","10","8","8","8","7034820.0"
"178","137","137","135","135","128","1","135","128","130","136","5","135","10","8","8","8","6185700.0"
"179","139","139","55","55","95","1","55","95","13","125","5","55","6","4","8","8","3534000.0"
"18","2","2","2","2","35","1","2","35","36","141","5","2","6","142","8","8","6226380.0"
"182","12","12","70","70","143","1","70","143","144","145","23","70","6","8","8","8","1900140.0"
"185","51","51","70","70","140","1","70","140","71","146","5","70","6","8","8","8","7394940.0"
"187","148","148","129","129","115","1","129","115","116","147","5","129","10","8","8","8","4094760.0"
"188","132","148","148","148","133","9","148","133","134","149","150","148","6","8","8","8","3116580.0"
"189","55","55","55","55","43","1","55","43","13","142","152","55","6","8","7","8","212400.0"
"19","41","41","55","55","43","1","55","43","13","37","5","55","10","8","8","8","2047620.0"
"190","76","76","96","96","95","1","96","95","13","153","154","96","6","26","8","8","3007500.0"
"192","108","108","44","44","43","1","44","43","13","147","103","44","6","8","8","8","3984900.0"
"194","51","51","51","44","43","9","44","43","13","79","155","44","10","8","8","8","2277600.0"
"195","44","44","148","148","111","1","148","111","112","88","156","148","6","8","8","8","910200.0"
"196","55","55","70","70","140","1","70","140","71","79","5","70","6","8","8","8","125460.0"
"198","78","78","20","20","35","1","20","35","36","50","5","20","10","7","8","8","6100740.0"
"199","148","148","132","148","133","9","148","133","134","157","5","148","6","8","8","8","7511400.0"
"20","41","41","12","41","0","9","41","0","3","159","160","41","6","142","8","8","3235980.0"
"200","85","85","139","139","140","1","139","140","71","47","5","139","6","8","8","8","1577760.0"
"201","96","96","96","96","43","1","96","43","13","67","77","96","6","162","8","8","4147200.0"
"203","12","12","132","132","113","1","132","113","114","83","163","132","6","83","8","8","321960.0"
"205","139","139","139","139","69","1","139","69","71","74","164","139","6","8","8","8","102600.0"
"206","12","12","132","132","113","1","132","113","114","101","165","132","6","101","8","8","2127900.0"
"207","78","20","78","20","57","1","20","57","58","166","167","20","10","7","8","8","1792800.0"
"208","54","54","16","16","52","1","16","52","53","162","5","16","10","8","8","8","3664500.0"
"209","46","46","31","31","57","1","31","57","58","168","23","31","10","8","8","8","739140.0"
"21","41","41","20","20","0","1","20","0","3","131","160","20","6","169","8","8","3436440.0"
"210","20","20","46","46","57","1","46","57","58","170","15","46","10","7","8","8","1050900.0"
"211","12","12","135","135","113","1","135","113","114","171","15","135","6","74","8","8","536100.0"
"212","46","46","46","46","57","1","46","57","58","172","23","46","10","49","8","8","1143360.0"
"214","46","46","46","46","57","1","46","57","58","125","23","46","6","173","8","8","1501740.0"
"215","31","31","31","31","19","1","31","19","21","174","23","31","6","107","8","8","1006980.0"
"218","179","179","176","176","175","1","176","175","177","178","167","176","6","99","8","8","539940.0"
"219","132","132","132","132","133","1","132","133","134","181","5","132","6","39","8","8","1063500.0"
"22","54","54","16","16","17","1","16","17","18","83","23","16","10","49","8","8","494160.0"
"223","31","44","31","31","19","9","31","19","21","181","23","31","10","8","8","8","2111940.0"
"224","55","55","55","55","43","1","55","43","13","79","163","55","10","8","8","8","285600.0"
"225","139","139","139","139","113","1","139","113","114","182","5","139","6","183","8","8","7084800.0"
