"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Latest_concept:name","Latest_lifecycle:transition","Latest_org:resource","Latest_Activity","Latest_Resource","Latest_Work_Order_Qty","Latest_Part_Desc_","Latest_Worker_ID","Latest_Report_Type","Latest_Qty_Completed","Latest_Qty_Rejected","Latest_Qty_for_MRB","remainingTime"
"1","10","10","10","10","15","15","15","15","2","0","1","2","0","3","4","5","2","6","7","8","9","1424400.0"
"10","23","24","23","24","26","26","26","26","18","17","1","18","17","19","20","21","18","6","22","9","9","1386660.0"
"100","30","30","34","34","30","30","30","30","24","0","1","24","0","3","28","29","24","6","28","9","9","2391300.0"
"101","30","30","30","30","30","30","30","30","18","31","1","18","31","32","36","37","18","6","27","9","9","1036440.0"
"102","30","30","30","30","42","42","42","40","40","0","14","40","0","3","41","21","40","6","9","9","9","1244100.0"
"103","30","30","42","42","30","30","42","42","42","31","1","42","31","32","43","44","42","6","45","9","9","505500.0"
"104","34","34","34","34","51","46","51","46","46","0","1","46","0","3","47","5","46","6","47","9","9","10440.0"
"106","42","42","30","30","24","24","57","57","54","53","1","54","53","55","56","29","54","6","56","9","9","253380.0"
"108","18","18","34","40","40","34","34","34","40","0","1","40","0","3","60","61","40","6","45","8","9","850020.0"
"109","10","15","10","15","24","34","34","34","24","0","14","24","0","3","62","63","24","6","64","9","9","1727100.0"
"11","26","26","70","40","70","70","40","70","26","67","1","26","67","68","69","21","26","6","28","9","9","763380.0"
"110","18","18","34","2","2","34","34","34","18","71","1","18","71","72","73","29","18","6","74","9","9","2470320.0"
"111","10","10","10","10","15","15","51","51","10","76","1","10","76","12","77","5","10","6","69","9","9","1249920.0"
"112","70","70","23","23","26","26","40","23","40","0","14","40","0","3","81","29","40","6","9","75","9","1299240.0"
"114","18","18","24","83","83","24","18","18","24","0","1","24","0","3","82","29","24","6","50","9","9","201840.0"
"115","10","10","34","34","10","10","10","10","10","11","1","10","11","12","84","29","10","6","85","9","9","1696260.0"
"116","88","88","88","88","93","93","94","94","88","87","1","88","87","89","90","91","88","6","65","9","9","521880.0"
"119","26","26","26","26","26","26","70","70","26","67","1","26","67","68","97","98","26","6","33","9","9","381540.0"
"12","70","70","26","26","24","24","26","26","70","99","1","70","99","19","100","21","70","6","45","9","9","1830540.0"
"120","34","34","51","51","18","18","46","46","57","58","1","57","58","59","101","5","57","6","102","9","9","589140.0"
"121","34","34","34","104","104","34","51","46","46","25","14","46","25","3","86","103","46","6","35","9","9","1917960.0"
"122","51","51","51","51","51","51","51","2","2","0","14","2","0","3","86","103","2","6","9","9","9","1937400.0"
"123","51","51","10","10","10","10","15","15","15","11","1","15","11","12","105","5","15","6","80","9","9","278040.0"
"124","10","10","10","10","51","51","15","15","40","0","1","40","0","3","86","29","40","6","86","9","9","390720.0"
"125","18","18","15","15","24","15","15","24","51","71","1","51","71","72","107","29","51","6","101","9","9","2640.0"
"126","51","51","15","15","10","40","10","10","40","0","14","40","0","3","4","37","40","6","9","8","9","493200.0"
"127","18","18","18","18","15","15","34","34","24","0","1","24","0","3","109","29","24","6","9","9","9","1297320.0"
"129","30","40","40","30","30","30","42","42","40","0","1","40","0","3","75","111","40","6","75","9","9","1044660.0"
"13","23","23","23","23","26","26","94","94","24","25","1","24","25","3","82","21","24","6","82","9","9","17520.0"
"135","34","34","51","83","83","51","34","34","34","48","1","34","48","49","73","37","34","13","9","9","9","635460.0"
"138","15","15","10","10","10","10","15","15","51","48","1","51","48","49","97","5","51","6","101","9","9","81420.0"
"140","51","51","15","15","46","46","54","54","57","113","1","57","113","114","101","5","57","6","75","9","9","261360.0"
"145","30","30","42","42","30","30","30","30","24","25","1","24","25","3","115","116","24","6","115","9","9","1786440.0"
"147","30","30","42","42","42","42","30","94","94","95","14","94","95","95","118","119","94","6","120","9","9","46980.0"
"148","123","123","126","126","40","40","130","130","40","121","14","40","121","3","122","119","40","6","8","9","9","49080.0"
"153","88","88","88","88","40","40","40","40","94","95","1","94","95","95","131","37","94","6","102","9","9","3600.0"
"155","42","42","42","42","42","42","42","24","24","0","14","24","0","3","107","29","24","6","9","9","9","392460.0"
"156","70","70","70","70","70","70","70","70","70","17","1","70","17","19","133","134","70","6","9","9","9","1136880.0"
"163","136","136","40","40","40","40","40","40","23","117","1","23","117","132","135","91","23","39","9","9","9","5212200.0"
"17","30","30","30","30","30","30","30","137","30","117","14","30","117","132","69","91","30","6","9","9","9","2732640.0"
"174","34","34","18","40","18","18","40","18","83","71","1","83","71","72","78","29","83","6","102","9","9","927420.0"
"177","57","57","139","139","139","139","142","142","2","121","1","2","121","3","138","5","2","6","9","9","9","6286500.0"
"178","144","144","142","142","93","93","93","54","57","113","1","57","113","114","143","5","57","6","9","9","9","5064900.0"
"179","93","93","2","2","94","94","88","88","2","121","1","2","121","3","135","5","2","6","9","9","9","81600.0"
"18","10","10","10","10","51","51","10","10","10","48","1","10","48","49","150","5","10","6","105","9","9","6177600.0"
"182","24","24","88","88","24","24","24","24","94","95","1","94","95","95","151","29","94","6","101","9","9","1791240.0"
"185","26","26","88","88","94","94","94","94","40","121","1","40","121","3","27","5","40","6","101","9","9","7341000.0"
"187","54","54","139","139","142","142","144","144","139","145","1","139","145","146","152","5","139","6","92","9","9","4040280.0"
"188","57","54","54","54","57","54","57","57","24","0","1","24","0","3","153","154","24","6","36","9","9","1827900.0"
"189","2","2","2","2","2","2","2","2","2","121","1","2","121","3","16","156","2","6","8","9","9","54000.0"
"19","15","15","2","2","10","10","2","2","57","58","1","57","58","59","47","5","57","6","47","9","9","1909500.0"
"190","94","94","46","46","46","46","46","46","46","0","1","46","0","3","112","157","46","6","9","9","9","6720.0"
"192","123","123","40","40","26","26","40","26","40","0","14","40","0","3","152","119","40","6","9","9","9","1574640.0"
"194","26","26","26","40","26","40","26","40","40","0","14","40","0","3","97","158","40","6","9","9","9","2192940.0"
"195","40","40","54","54","57","57","57","54","57","113","14","57","113","114","105","159","57","6","97","9","9","854820.0"
"198","51","51","34","34","34","34","40","51","51","48","14","51","48","49","69","5","51","13","8","9","9","6071400.0"
"199","54","54","57","54","54","54","57","57","57","113","14","57","113","114","161","5","57","6","9","9","9","7498740.0"
"20","15","15","24","15","15","24","18","18","18","11","1","18","11","12","163","164","18","13","65","9","9","3206100.0"
"200","104","104","93","93","46","46","46","46","94","95","1","94","95","95","62","5","94","6","8","9","9","1300500.0"
"201","46","46","46","46","30","30","30","30","30","117","1","30","117","132","82","166","30","6","65","9","9","4015320.0"
"203","24","24","57","57","54","54","57","57","54","113","1","54","113","114","101","168","54","6","101","9","9","82440.0"
"206","24","24","57","57","57","57","93","93","93","87","1","93","87","89","169","170","93","6","4","9","9","1268880.0"
"207","51","34","51","34","51","34","51","34","34","71","1","34","71","72","171","172","34","6","35","9","9","1720800.0"
"208","70","70","23","23","70","70","70","70","26","67","1","26","67","68","52","5","26","13","65","9","9","3288000.0"
"209","18","18","42","42","42","42","51","51","18","71","1","18","71","72","173","29","18","6","105","9","9","708840.0"
"21","15","15","34","34","24","10","10","10","10","11","14","10","11","12","138","164","10","6","92","9","9","3413400.0"
"210","34","34","18","18","18","18","34","34","18","71","1","18","71","72","176","21","18","6","28","9","9","967920.0"
"211","24","24","142","142","144","144","54","54","57","113","1","57","113","114","177","21","57","6","178","9","9","481560.0"
