"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Event_10","Latest_concept:name","Latest_lifecycle:transition","Latest_org:resource","Latest_Activity","Latest_Resource","Latest_Work_Order_Qty","Latest_Part_Desc_","Latest_Worker_ID","Latest_Report_Type","Latest_Qty_Completed","Latest_Qty_Rejected","Latest_Qty_for_MRB","remainingTime"
"1","10","10","10","10","15","15","15","15","2","2","0","1","2","0","3","4","5","2","6","7","8","9","1419000.0"
"10","23","24","23","24","26","26","26","26","18","18","17","1","18","17","19","20","21","18","6","22","9","9","1362480.0"
"100","30","30","34","34","30","30","30","30","24","24","0","1","24","0","3","28","29","24","6","28","9","9","2389980.0"
"101","30","30","30","30","30","30","30","30","18","18","31","1","18","31","32","36","37","18","6","27","9","9","1017120.0"
"102","30","30","30","30","40","40","40","42","42","40","31","1","40","31","32","41","21","40","14","9","9","9","1241280.0"
"103","30","30","40","40","30","30","40","40","40","40","31","1","40","31","32","43","44","40","6","45","9","9","495180.0"
"104","34","34","34","34","51","46","51","46","46","46","0","1","46","0","3","47","5","46","6","47","9","9","7680.0"
"106","40","40","30","30","24","24","57","57","54","54","53","1","54","53","55","56","29","54","6","56","9","9","251100.0"
"108","18","18","34","42","42","34","34","34","42","42","0","1","42","0","3","60","61","42","6","45","8","9","846180.0"
"109","10","15","10","15","24","34","34","34","24","34","11","1","34","11","13","62","63","34","6","64","9","9","1707420.0"
"11","26","26","70","42","70","70","42","70","26","26","67","1","26","67","68","69","21","26","6","28","9","9","743580.0"
"110","18","18","34","2","2","34","34","34","18","18","71","1","18","71","72","73","29","18","6","74","9","9","2433660.0"
"111","10","10","10","10","15","15","51","51","10","10","76","1","10","76","13","77","5","10","6","69","9","9","1210260.0"
"112","70","70","23","23","26","26","42","23","42","23","17","1","23","17","19","81","29","23","39","9","9","9","1297920.0"
"114","18","18","24","83","83","24","18","18","24","24","0","1","24","0","3","82","29","24","6","50","9","9","197340.0"
"115","10","10","34","34","10","10","10","10","10","42","0","12","42","0","3","84","29","42","6","9","9","9","1693800.0"
"116","91","91","91","91","95","95","96","96","91","2","87","12","2","87","3","88","89","2","6","90","9","9","519540.0"
"119","26","26","26","26","26","26","70","70","26","26","67","1","26","67","68","98","99","26","6","33","9","9","343980.0"
"12","70","70","26","26","24","24","26","26","70","70","100","1","70","100","19","101","21","70","6","45","9","9","1795320.0"
"120","34","34","51","51","18","18","46","46","57","57","58","1","57","58","59","102","5","57","6","103","9","9","585000.0"
"121","34","34","34","105","105","34","51","46","46","51","48","1","51","48","49","85","104","51","14","9","9","9","1910400.0"
"122","51","51","51","51","51","51","51","2","2","51","48","1","51","48","49","85","104","51","6","35","9","9","1933440.0"
"123","51","51","10","10","10","10","15","15","15","15","11","1","15","11","13","106","5","15","6","80","9","9","251820.0"
"124","10","10","10","10","51","51","15","15","42","42","0","1","42","0","3","85","29","42","6","85","9","9","384780.0"
"125","18","18","15","15","24","15","15","24","51","51","71","1","51","71","72","108","29","51","6","102","9","9","0.0"
"126","51","51","15","15","10","42","10","10","42","10","11","1","10","11","13","4","37","10","6","16","9","9","481560.0"
"127","18","18","18","18","15","15","34","34","24","24","0","1","24","0","3","110","29","24","6","9","9","9","1293480.0"
"129","30","42","42","30","30","30","40","40","42","42","0","1","42","0","3","75","112","42","6","75","9","9","1038660.0"
"13","23","23","23","23","26","26","96","96","24","24","25","1","24","25","3","82","21","24","6","82","9","9","14340.0"
"135","34","34","51","83","83","51","34","34","34","34","48","1","34","48","49","73","37","34","14","9","9","9","635400.0"
"138","15","15","10","10","10","10","15","15","51","51","48","1","51","48","49","98","5","51","6","102","9","9","74040.0"
"140","51","51","15","15","46","46","54","54","57","57","114","1","57","114","115","102","5","57","6","75","9","9","254460.0"
