"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Event_10","Event_11","Event_12","Latest_concept:name","Latest_lifecycle:transition","Latest_org:resource","Latest_Activity","Latest_Resource","Latest_Work_Order_Qty","Latest_Part_Desc_","Latest_Worker_ID","Latest_Report_Type","Latest_Qty_Completed","Latest_Qty_Rejected","Latest_Qty_for_MRB","remainingTime"
"1","9","9","9","9","15","15","15","15","17","17","2","2","0","1","2","0","3","4","5","2","6","7","8","8","1355580.0"
"10","21","26","21","26","28","28","28","28","30","30","21","21","20","1","21","20","22","23","24","21","6","25","8","8","1359360.0"
"100","34","34","38","38","34","34","34","34","26","26","2","2","0","1","2","0","3","32","33","2","6","32","8","8","849420.0"
"101","34","34","34","34","34","34","34","34","30","30","40","40","35","1","40","35","36","41","42","40","6","43","8","8","1012320.0"
"102","34","34","34","34","40","40","40","47","47","40","40","40","35","1","40","35","36","46","24","40","6","43","8","8","1235040.0"
"103","34","34","40","40","34","34","40","40","40","40","26","34","35","11","34","35","36","48","49","34","6","16","8","8","494880.0"
"104","38","38","38","38","56","58","56","58","58","58","51","51","0","1","51","0","3","52","5","51","6","52","8","8","0.0"
"106","40","40","34","34","26","26","2","2","61","61","26","26","59","1","26","59","19","60","33","26","6","8","8","8","68880.0"
"108","30","30","38","47","47","38","38","38","47","47","2","2","0","1","2","0","3","64","65","2","6","50","8","8","829200.0"
"109","9","15","9","15","26","38","38","38","26","38","9","26","18","11","26","18","19","66","67","26","6","8","8","8","1706400.0"
"11","28","28","75","47","75","75","47","75","28","28","9","9","72","1","9","72","73","74","24","9","6","55","8","8","718440.0"
"110","30","30","38","17","17","38","38","38","30","30","15","15","76","1","15","76","77","78","33","15","6","50","8","8","2410860.0"
"111","9","9","9","9","15","15","56","56","9","9","15","15","80","1","15","80","12","81","5","15","6","41","8","8","1195020.0"
"112","75","75","21","21","28","28","47","21","47","21","21","21","20","1","21","20","22","85","33","21","13","43","8","8","1282380.0"
"114","30","30","26","51","51","26","30","30","26","26","26","26","18","1","26","18","19","86","33","26","6","8","14","8","138180.0"
"115","9","9","38","38","9","9","9","9","9","47","47","47","18","11","47","18","19","87","33","47","6","87","8","8","1688400.0"
"116","91","91","91","91","96","96","97","97","91","17","17","91","90","1","91","90","92","93","94","91","6","68","8","8","514500.0"
"119","28","28","28","28","28","28","75","75","28","28","28","28","72","1","28","72","73","100","101","28","6","102","8","8","256680.0"
