"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Latest_concept:name","Latest_lifecycle:transition","Latest_org:resource","Latest_Activity","Latest_Resource","Latest_Work_Order_Qty","Latest_Part_Desc_","Latest_Worker_ID","Latest_Report_Type","Latest_Qty_Completed","Latest_Qty_Rejected","Latest_Qty_for_MRB","remainingTime"
"1","9","9","9","9","2","2","2","0","1","2","0","3","4","5","2","6","7","8","8","1532340.0"
"10","19","20","19","20","14","14","14","13","1","14","13","15","16","17","14","6","18","8","8","1400340.0"
"100","24","24","29","29","24","24","24","23","1","24","23","25","26","27","24","6","18","8","8","2491140.0"
"101","24","24","24","24","24","24","24","23","1","24","23","25","31","32","24","6","28","8","8","1041000.0"
"102","24","24","24","24","35","35","35","23","1","35","23","25","36","17","35","10","8","8","8","1248000.0"
"103","24","24","35","35","24","24","35","23","1","35","23","25","37","38","35","10","8","8","8","534960.0"
"104","29","29","29","29","40","45","40","39","12","40","39","41","42","5","40","6","43","8","8","81720.0"
"106","35","35","24","24","20","20","48","47","1","48","47","49","50","27","48","6","50","8","8","271620.0"
"108","53","53","29","54","54","29","29","0","1","29","0","3","51","52","29","6","43","8","8","951240.0"
"109","9","2","9","2","20","29","29","0","12","29","0","3","55","56","29","10","11","8","8","1727520.0"
"11","14","14","62","54","62","62","54","46","12","54","46","22","59","17","54","6","8","8","8","793020.0"
"110","53","53","29","67","67","29","29","63","1","29","63","64","65","27","29","6","4","8","8","2497860.0"
"111","9","9","9","9","2","2","40","68","1","40","68","3","69","5","40","6","70","8","8","1262520.0"
"112","62","62","19","19","14","14","54","46","1","54","46","22","73","27","54","6","8","66","8","1305240.0"
"113","9","9","29","29","45","45","48","47","1","48","47","49","74","5","48","6","74","8","8","1440.0"
"114","53","53","20","77","77","20","53","63","1","53","63","64","76","27","53","6","44","8","8","560880.0"
"115","9","9","29","29","9","9","9","0","1","9","0","3","78","27","9","10","8","8","8","1700700.0"
"116","85","85","85","85","89","89","81","80","1","81","80","80","82","83","81","6","84","8","8","547140.0"
"118","40","40","53","53","53","53","54","46","1","54","46","22","4","27","54","6","90","11","8","4980.0"
"119","14","14","14","14","14","14","62","60","1","62","60","61","91","92","62","6","57","8","8","576120.0"
"12","62","62","14","14","20","20","14","93","1","14","93","15","94","17","14","6","28","8","8","1861200.0"
"120","29","29","40","40","53","53","45","46","1","45","46","22","95","5","45","6","96","11","8","606960.0"
"121","29","29","29","98","98","29","40","39","1","40","39","41","79","97","40","10","8","8","8","1922760.0"
"122","40","40","40","40","40","40","40","39","1","40","39","41","79","97","40","6","30","8","8","1946700.0"
"123","40","40","9","9","9","9","2","0","1","2","0","3","99","5","2","6","8","8","8","289320.0"
"124","9","9","9","9","40","40","2","0","1","2","0","3","79","27","2","6","90","8","8","457560.0"
"125","53","53","2","2","20","2","2","63","12","2","63","64","101","27","2","6","102","8","8","5460.0"
"126","40","40","2","2","9","54","9","0","12","9","0","3","4","32","9","10","8","8","8","493380.0"
"127","53","53","53","53","2","2","29","63","1","29","63","64","103","27","29","6","104","8","8","1336140.0"
"129","24","54","54","24","24","24","35","23","1","35","23","25","66","105","35","6","57","8","8","1083120.0"
"13","19","19","19","19","14","14","81","80","1","81","80","80","76","17","81","6","76","8","8","42120.0"
"133","40","40","9","9","9","9","2","0","1","2","0","3","106","107","2","6","108","8","8","33480.0"
"134","9","9","9","9","2","2","9","0","1","9","0","3","106","107","9","6","110","8","8","21720.0"
"135","29","29","40","77","77","40","29","39","1","29","39","41","65","32","29","10","8","8","8","659640.0"
"137","40","40","9","9","2","2","67","46","1","67","46","22","51","32","67","6","8","8","8","3300.0"
"138","2","2","9","9","9","9","2","0","1","2","0","3","91","5","2","6","26","8","8","110220.0"
"140","40","40","2","2","45","45","112","47","1","112","47","49","95","5","112","6","66","8","8","847560.0"
"145","24","24","35","35","24","24","24","113","1","24","113","25","114","115","24","6","102","8","8","1808940.0"
"147","24","24","35","35","35","35","24","113","1","24","113","25","116","117","24","6","118","8","8","67080.0"
"148","121","121","124","124","54","54","119","80","1","119","80","80","120","117","119","6","11","8","8","53580.0"
"150","20","20","20","20","20","20","20","127","1","20","127","22","26","27","20","6","8","8","8","60.0"
"153","85","85","85","85","54","54","54","127","1","54","127","22","133","32","54","6","96","8","8","60900.0"
"154","45","45","136","136","45","45","81","80","1","81","80","80","31","27","81","6","88","8","8","3600.0"
"155","35","35","35","35","35","35","35","23","1","35","23","25","101","27","35","6","114","8","8","402720.0"
"156","62","62","62","62","62","62","62","13","1","62","13","15","140","141","62","6","96","8","8","1198980.0"
"163","143","143","54","54","54","54","54","21","1","54","21","22","142","83","54","6","102","8","8","6238380.0"
"17","24","24","24","24","24","24","24","113","1","24","113","139","59","83","24","6","8","8","8","2737560.0"
"174","29","29","53","54","53","53","54","46","12","54","46","22","71","27","54","10","8","8","8","942000.0"
"177","48","48","150","150","150","150","145","144","1","145","144","146","147","5","145","6","79","8","8","7031760.0"
"178","153","153","145","145","89","89","89","151","1","89","151","87","152","5","89","6","8","8","8","5072820.0"
"179","89","89","67","67","81","81","85","154","1","85","154","155","142","5","85","6","8","8","8","248100.0"
"18","9","9","9","9","40","40","9","39","1","9","39","41","156","5","9","10","8","8","8","6178560.0"
"182","20","20","85","85","20","20","20","46","1","20","46","22","157","27","20","6","8","66","8","1816560.0"
"185","14","14","85","85","81","81","81","80","12","81","80","80","18","5","81","6","95","8","8","7371600.0"
"187","112","112","150","150","145","145","153","131","1","153","131","132","158","5","153","6","42","8","8","4079400.0"
"188","48","112","112","112","48","112","48","148","1","48","148","149","159","160","48","6","161","8","8","3106980.0"
"189","67","67","67","67","67","67","67","127","1","67","127","22","7","162","67","6","8","8","8","151200.0"
"19","2","2","67","67","9","9","67","46","1","67","46","22","42","5","67","6","42","8","8","1972920.0"
"190","81","81","45","45","45","45","45","127","1","45","127","22","111","163","45","6","8","8","8","126600.0"
"192","121","121","54","54","14","14","54","46","1","54","46","22","158","117","54","6","8","8","8","1580340.0"
"194","14","14","14","54","14","54","14","60","1","14","60","61","91","164","14","10","66","8","8","2224500.0"
"195","54","54","112","112","48","48","48","148","1","48","148","149","99","165","48","6","91","8","8","868920.0"
"196","67","67","85","85","45","45","81","80","1","81","80","80","91","5","81","6","66","8","8","3600.0"
"198","40","40","29","29","29","29","54","46","1","54","46","22","59","5","54","6","8","11","8","6071940.0"
"199","112","112","48","112","112","112","48","148","12","48","148","149","166","5","48","6","167","8","8","7500000.0"
"20","2","2","20","2","2","20","53","0","1","53","0","3","168","169","53","6","76","8","8","3210360.0"
"200","98","98","89","89","45","45","45","127","1","45","127","22","55","5","45","6","8","11","8","1529700.0"
"201","45","45","45","45","24","24","24","113","1","24","113","139","76","171","24","10","11","8","8","4028580.0"
"203","20","20","48","48","112","112","48","129","1","48","129","130","95","172","48","6","95","8","8","156660.0"
"205","89","89","89","89","20","20","81","80","1","81","80","80","88","173","81","6","57","8","8","3600.0"
"206","20","20","48","48","48","48","89","86","1","89","86","87","174","175","89","10","8","8","8","1274520.0"
"207","40","29","40","29","40","29","40","63","12","40","63","64","176","177","40","10","8","8","8","1727100.0"
"208","62","62","19","19","62","62","62","60","1","62","60","61","43","5","62","6","57","8","8","3305340.0"
