"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Latest_concept:name","Latest_lifecycle:transition","Latest_org:resource","Latest_Activity","Latest_Resource","Latest_Work_Order_Qty","Latest_Part_Desc_","Latest_Worker_ID","Latest_Report_Type","Latest_Qty_Completed","Latest_Qty_Rejected","Latest_Qty_for_MRB","remainingTime"
"1","9","9","9","9","2","2","2","2","0","1","2","0","3","4","5","2","6","7","8","8","1519320.0"
"10","19","20","19","20","14","14","14","14","13","1","14","13","15","16","17","14","6","18","8","8","1387020.0"
"100","24","24","29","29","24","24","24","24","23","1","24","23","25","26","27","24","6","18","8","8","2487300.0"
"101","24","24","24","24","24","24","24","24","23","1","24","23","25","31","32","24","6","28","8","8","1036440.0"
"102","24","24","24","24","38","38","38","36","35","10","36","35","22","37","17","36","6","8","8","8","1247100.0"
"103","24","24","38","38","24","24","38","38","23","1","38","23","25","39","40","38","11","8","8","8","505500.0"
"104","29","29","29","29","46","41","46","41","35","1","41","35","22","42","5","41","6","8","8","8","78900.0"
"106","38","38","24","24","20","20","49","49","48","1","49","48","50","51","27","49","6","51","8","8","267240.0"
"108","54","54","29","36","36","29","29","29","0","1","29","0","3","52","53","29","6","47","8","8","938940.0"
"109","9","2","9","2","20","29","29","29","0","10","29","0","3","55","56","29","6","57","8","8","1727460.0"
"11","14","14","61","36","61","61","36","61","60","1","61","60","62","63","17","61","6","18","8","8","769740.0"
"110","54","54","29","68","68","29","29","29","64","1","29","64","65","66","27","29","6","4","8","8","2486520.0"
"111","9","9","9","9","2","2","46","46","69","1","46","69","3","70","5","46","6","71","8","8","1250040.0"
"112","61","61","19","19","14","14","36","19","13","10","19","13","15","74","27","19","34","8","8","8","1300740.0"
"113","9","9","29","29","41","41","49","49","48","1","49","48","50","75","5","49","6","75","8","8","0.0"
"114","54","54","20","78","78","20","54","54","64","1","54","64","65","77","27","54","6","45","8","8","533760.0"
"115","9","9","29","29","9","9","9","9","0","1","9","0","3","79","27","9","11","8","8","8","1696320.0"
"116","86","86","86","86","90","90","82","82","81","1","82","81","81","83","84","82","6","85","8","8","543540.0"
"118","46","46","54","54","54","54","36","36","35","1","36","35","22","4","27","36","6","91","12","8","0.0"
"119","14","14","14","14","14","14","61","61","60","1","61","60","62","92","93","61","6","58","8","8","556020.0"
"12","61","61","14","14","20","20","14","14","94","1","14","94","15","95","17","14","6","28","8","8","1830660.0"
"120","29","29","46","46","54","54","41","41","35","1","41","35","22","96","5","41","6","97","12","8","603240.0"
"121","29","29","29","99","99","29","46","41","21","10","41","21","22","80","98","41","6","30","8","8","1921560.0"
"122","46","46","46","46","46","46","46","68","35","10","68","35","22","80","98","68","6","8","8","8","1942800.0"
"123","46","46","9","9","9","9","2","2","0","1","2","0","3","100","5","2","6","8","8","8","284520.0"
"124","9","9","9","9","46","46","2","2","0","1","2","0","3","80","27","2","6","91","8","8","440640.0"
"125","54","54","2","2","20","2","2","20","35","1","20","35","22","102","27","20","6","8","8","8","5160.0"
"126","46","46","2","2","9","36","9","9","0","10","9","0","3","4","32","9","6","7","8","8","493320.0"
"127","54","54","54","54","2","2","29","29","64","1","29","64","65","104","27","29","6","105","8","8","1298100.0"
"129","24","36","36","24","24","24","38","38","23","1","38","23","25","67","106","38","6","58","8","8","1076700.0"
"13","19","19","19","19","14","14","82","82","81","1","82","81","81","77","17","82","6","77","8","8","38520.0"
"133","46","46","9","9","9","9","2","2","0","1","2","0","3","107","108","2","6","109","8","8","0.0"
"134","9","9","9","9","2","2","9","9","0","1","9","0","3","107","108","9","6","111","8","8","0.0"
"135","29","29","46","78","78","46","29","29","43","1","29","43","44","66","32","29","11","8","8","8","641040.0"
"137","46","46","9","9","2","2","68","68","35","1","68","35","22","52","32","68","6","8","8","8","0.0"
"138","2","2","9","9","9","9","2","2","0","1","2","0","3","92","5","2","6","26","8","8","81540.0"
"140","46","46","2","2","41","41","113","113","48","1","113","48","50","96","5","113","6","67","8","8","843060.0"
"145","24","24","38","38","24","24","24","24","114","1","24","114","25","115","116","24","6","103","8","8","1806660.0"
"147","24","24","38","38","38","38","24","82","81","10","82","81","81","117","118","82","6","119","8","8","50580.0"
"148","122","122","125","125","36","36","120","120","81","1","120","81","81","121","118","120","6","12","8","8","49980.0"
"150","20","20","20","20","20","20","20","20","128","1","20","128","22","26","27","20","6","8","8","8","0.0"
"153","86","86","86","86","36","36","36","36","128","1","36","128","22","134","32","36","6","97","8","8","58800.0"
"154","41","41","137","137","41","41","82","82","81","1","82","81","81","31","27","82","6","89","8","8","0.0"
"155","38","38","38","38","38","38","38","20","35","10","20","35","22","102","27","20","6","8","8","8","393840.0"
"156","61","61","61","61","61","61","61","61","13","1","61","13","15","141","142","61","6","97","8","8","1189560.0"
"163","144","144","36","36","36","36","36","36","21","1","36","21","22","143","84","36","6","103","8","8","6231180.0"
"17","24","24","24","24","24","24","24","145","114","10","145","114","140","63","84","145","6","77","8","8","2732700.0"
"174","29","29","54","36","54","54","36","54","64","1","54","64","65","72","27","54","6","28","8","8","929760.0"
"177","49","49","152","152","152","152","147","147","146","1","147","146","148","149","5","147","6","80","8","8","7009320.0"
"178","154","154","147","147","90","90","90","113","150","10","113","150","151","153","5","113","6","8","8","8","5065320.0"
"179","90","90","68","68","82","82","86","86","156","1","86","156","157","143","5","86","6","8","8","8","240600.0"
"18","9","9","9","9","46","46","9","9","43","1","9","43","44","158","5","9","11","8","8","8","6177600.0"
"182","20","20","86","86","20","20","20","20","35","1","20","35","22","159","27","20","6","8","67","8","1812060.0"
"185","14","14","86","86","82","82","82","82","81","1","82","81","81","18","5","82","6","8","8","8","7371600.0"
"187","113","113","152","152","147","147","154","154","132","1","154","132","133","160","5","154","6","42","8","8","4040580.0"
"188","49","113","113","113","49","113","49","49","150","1","49","150","151","161","162","49","6","163","8","8","3103380.0"
"189","68","68","68","68","68","68","68","68","128","1","68","128","22","7","164","68","6","8","8","8","129600.0"
"19","2","2","68","68","9","9","68","68","35","1","68","35","22","42","5","68","6","42","8","8","1968120.0"
"190","82","82","41","41","41","41","41","41","128","1","41","128","22","112","165","41","6","8","8","8","122100.0"
"192","122","122","36","36","14","14","36","14","13","10","14","13","15","160","118","14","11","8","8","8","1579620.0"
"194","14","14","14","36","14","36","14","36","35","10","36","35","22","92","166","36","6","8","8","8","2204280.0"
"195","36","36","113","113","49","49","49","113","130","10","113","130","131","100","167","113","6","95","8","8","866820.0"
"196","68","68","86","86","41","41","82","82","81","1","82","81","81","92","5","82","6","67","8","8","0.0"
"198","46","46","29","29","29","29","36","46","43","10","46","43","44","63","5","46","11","12","8","8","6071460.0"
"199","113","113","49","113","113","113","49","49","150","10","49","150","151","168","5","49","6","8","8","8","7500000.0"
"20","2","2","20","2","2","20","54","54","0","1","54","0","3","170","171","54","6","77","8","8","3206160.0"
"200","99","99","90","90","41","41","41","41","128","1","41","128","22","55","5","41","6","8","12","8","1525200.0"
"201","41","41","41","41","24","24","24","24","114","1","24","114","140","77","173","24","11","12","8","8","4015380.0"
"203","20","20","49","49","113","113","49","49","130","1","49","130","131","96","174","49","6","96","8","8","155100.0"
"205","90","90","90","90","20","20","82","82","81","1","82","81","81","89","175","82","6","58","8","8","0.0"
"206","20","20","49","49","49","49","90","90","87","1","90","87","88","176","177","90","11","8","8","8","1268880.0"
"207","46","29","46","29","46","29","46","29","64","1","29","64","65","178","179","29","6","97","8","8","1720800.0"
"208","61","61","19","19","61","61","61","61","60","1","61","60","62","47","5","61","6","58","8","8","3288840.0"
"209","54","54","38","38","38","38","46","46","64","1","46","64","65","180","27","46","34","8","8","8","709620.0"
"21","2","2","29","29","20","9","9","9","0","1","9","0","3","149","171","9","6","8","8","8","3428520.0"
"210","29","29","54","54","54","54","29","29","64","1","29","64","65","183","17","29","6","52","8","8","984600.0"
"211","20","20","147","147","154","154","113","113","150","1","113","150","151","184","17","113","6","8","8","8","517500.0"
"212","54","54","54","54","54","20","54","20","35","1","20","35","22","186","27","20","6","8","8","8","1127640.0"
"214","54","54","54","54","2","29","2","29","64","1","29","64","65","143","27","29","6","187","8","8","1449240.0"
"215","38","38","38","38","154","154","20","20","35","1","20","35","22","188","27","20","6","8","8","8","949440.0"
"218","191","191","195","195","195","195","191","191","190","1","191","190","192","193","179","191","6","186","8","8","424200.0"
"219","49","49","49","49","147","147","152","152","146","1","152","146","148","189","5","152","11","8","8","8","723420.0"
"22","61","61","19","19","19","19","19","19","13","1","19","13","15","96","27","19","11","8","8","8","488580.0"
"223","38","36","38","38","38","38","36","38","23","1","38","23","25","189","27","38","6","7","8","8","2099520.0"
"225","90","90","90","90","90","90","90","90","155","1","90","155","88","196","5","90","6","8","8","8","6919740.0"
"228","38","38","38","38","38","38","20","20","35","1","20","35","22","4","27","20","6","91","12","8","465360.0"
"229","38","36","36","38","29","29","38","38","23","1","38","23","25","37","27","38","6","97","8","8","573360.0"
"23","46","46","2","2","29","29","41","41","35","10","41","35","22","47","98","41","6","80","12","8","3112800.0"
"230","54","54","54","54","54","54","54","20","35","10","20","35","22","200","17","20","6","96","8","8","4503120.0"
"231","49","49","147","147","147","147","152","86","146","10","86","146","148","77","5","86","6","103","8","8","635760.0"
"232","41","46","41","90","46","90","86","86","150","1","86","150","151","96","5","86","6","97","8","8","759300.0"
"233","61","19","61","19","19","19","9","9","201","1","9","201","15","37","27","9","6","91","8","8","959940.0"
"234","36","36","36","36","125","125","203","203","202","1","203","202","204","117","205","203","6","8","8","8","4799160.0"
"235","68","68","68","14","68","14","14","14","60","1","14","60","62","47","206","14","11","8","8","8","2985600.0"
"236","86","86","86","86","20","90","20","90","87","1","90","87","88","77","17","90","6","8","8","8","220200.0"
"237","20","20","2","2","20","20","20","20","35","1","20","35","22","207","208","20","6","8","67","8","5455560.0"
"238","54","54","29","29","29","29","54","54","0","1","54","0","3","211","56","54","6","39","8","8","3866400.0"
"239","54","54","46","29","46","20","20","29","64","1","29","64","65","112","27","29","11","58","8","8","1250460.0"
"24","9","9","9","9","41","41","113","113","48","1","113","48","50","47","98","113","6","80","8","8","3507180.0"
"240","54","54","29","29","46","46","54","54","64","1","54","64","65","212","213","54","6","39","8","8","1102380.0"
"241","46","46","46","46","2","2","36","54","64","10","54","64","65","112","27","54","11","12","8","8","320940.0"
"242","54","54","54","54","2","2","29","29","64","1","29","64","65","92","17","29","6","18","8","8","715440.0"
"243","54","54","29","36","29","29","36","29","64","1","29","64","65","4","17","29","6","91","8","8","1094280.0"
"244","86","86","86","86","86","86","86","86","214","1","86","214","157","96","5","86","6","8","8","8","378300.0"
"245","19","19","19","68","68","19","19","19","13","1","19","13","15","96","5","19","11","12","8","8","2642160.0"
"246","61","61","19","19","61","61","36","36","35","1","36","35","22","169","215","36","6","57","58","8","404400.0"
"248","19","19","19","19","61","61","113","113","150","1","113","150","151","37","32","113","6","8","8","8","716940.0"
"249","38","38","38","38","36","36","38","38","23","1","38","23","25","216","27","38","6","26","8","8","758700.0"
"25","46","46","46","46","46","46","29","29","43","1","29","43","44","47","98","29","11","12","8","8","3041100.0"
"250","218","218","218","218","68","218","68","218","217","1","218","217","219","101","220","218","6","7","8","8","550800.0"
"251","46","46","9","9","9","9","68","68","35","1","68","35","22","96","5","68","6","96","8","8","3820440.0"
"252","54","54","54","20","54","20","20","20","35","1","20","35","22","80","27","20","6","8","8","8","409380.0"
"253","61","61","61","61","20","19","20","20","35","10","20","35","22","112","221","20","6","52","12","8","575700.0"
"254","49","49","49","49","49","49","113","113","130","1","113","130","131","222","17","113","6","223","8","8","167460.0"
"255","38","38","20","20","49","49","20","20","128","1","20","128","22","92","53","20","6","92","8","8","394680.0"
"256","38","38","9","9","54","54","36","36","21","1","36","21","22","63","224","36","6","63","8","8","3010200.0"
"257","54","54","9","9","46","46","78","78","43","1","78","43","44","143","5","78","6","77","8","8","6780960.0"
"258","54","54","54","54","29","29","29","29","64","1","29","64","65","55","27","29","11","8","8","8","1531140.0"
