"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Event_10","remainingTime"
"1","10","10","10","10","15","15","15","15","2","2","1419000.0"
"10","23","24","23","24","26","26","26","26","18","18","1362480.0"
"100","30","30","34","34","30","30","30","30","24","24","2389980.0"
"101","30","30","30","30","30","30","30","30","18","18","1017120.0"
"102","30","30","30","30","40","40","40","42","42","40","1241280.0"
"103","30","30","40","40","30","30","40","40","40","40","495180.0"
"104","34","34","34","34","51","46","51","46","46","46","7680.0"
"106","40","40","30","30","24","24","57","57","54","54","251100.0"
"108","18","18","34","42","42","34","34","34","42","42","846180.0"
"109","10","15","10","15","24","34","34","34","24","34","1707420.0"
"11","26","26","70","42","70","70","42","70","26","26","743580.0"
"110","18","18","34","2","2","34","34","34","18","18","2433660.0"
"111","10","10","10","10","15","15","51","51","10","10","1210260.0"
"112","70","70","23","23","26","26","42","23","42","23","1297920.0"
"114","18","18","24","83","83","24","18","18","24","24","197340.0"
"115","10","10","34","34","10","10","10","10","10","42","1693800.0"
"116","91","91","91","91","95","95","96","96","91","2","519540.0"
"119","26","26","26","26","26","26","70","70","26","26","343980.0"
"12","70","70","26","26","24","24","26","26","70","70","1795320.0"
"120","34","34","51","51","18","18","46","46","57","57","585000.0"
"121","34","34","34","105","105","34","51","46","46","51","1910400.0"
"122","51","51","51","51","51","51","51","2","2","51","1933440.0"
"123","51","51","10","10","10","10","15","15","15","15","251820.0"
"124","10","10","10","10","51","51","15","15","42","42","384780.0"
"125","18","18","15","15","24","15","15","24","51","51","0.0"
"126","51","51","15","15","10","42","10","10","42","10","481560.0"
"127","18","18","18","18","15","15","34","34","24","24","1293480.0"
"129","30","42","42","30","30","30","40","40","42","42","1038660.0"
"13","23","23","23","23","26","26","96","96","24","24","14340.0"
"135","34","34","51","83","83","51","34","34","34","34","635400.0"
"138","15","15","10","10","10","10","15","15","51","51","74040.0"
"140","51","51","15","15","46","46","54","54","57","57","254460.0"
"145","30","30","40","40","30","30","30","30","24","24","1786380.0"
"147","30","30","40","40","40","40","30","96","96","30","43140.0"
"148","124","124","127","127","42","42","130","130","42","42","49080.0"
"153","91","91","91","91","42","42","42","42","96","96","0.0"
"155","40","40","40","40","40","40","40","24","24","40","379260.0"
"156","70","70","70","70","70","70","70","70","70","70","1102740.0"
"163","136","136","42","42","42","42","42","42","23","23","5212140.0"
"17","30","30","30","30","30","30","30","137","30","30","2732580.0"
"174","34","34","18","42","18","18","42","18","83","83","923280.0"
"177","57","57","139","139","139","139","142","142","2","2","6280500.0"
"178","145","145","142","142","95","95","95","54","57","95","5053500.0"
"179","95","95","2","2","96","96","91","91","2","2","74400.0"
"18","10","10","10","10","51","51","10","10","10","10","6154860.0"
"182","24","24","91","91","24","24","24","24","96","96","1787640.0"
"185","26","26","91","91","96","96","96","96","42","42","7338420.0"
"187","54","54","139","139","142","142","145","145","139","139","4008060.0"
"188","57","54","54","54","57","54","57","57","24","24","1827660.0"
"189","2","2","2","2","2","2","2","2","2","2","43800.0"
"19","15","15","2","2","10","10","2","2","57","57","1906380.0"
"190","96","96","46","46","46","46","46","46","46","46","0.0"
"192","124","124","42","42","26","26","42","26","42","26","1574580.0"
"194","26","26","26","42","26","42","26","42","42","26","2186280.0"
"195","42","42","54","54","57","57","57","54","57","54","850920.0"
"198","51","51","34","34","34","34","42","51","51","42","6067860.0"
"199","54","54","57","54","54","54","57","57","57","145","7498680.0"
"20","15","15","24","15","15","24","18","18","18","18","3191160.0"
"200","105","105","95","95","46","46","46","46","96","96","1296900.0"
"201","46","46","46","46","30","30","30","30","30","30","4001880.0"
"203","24","24","57","57","54","54","57","57","54","54","80700.0"
"206","24","24","57","57","57","57","95","95","95","95","1242720.0"
"207","51","34","51","34","51","34","51","34","34","34","1708200.0"
"208","70","70","23","23","70","70","70","70","26","26","3257400.0"
"209","18","18","40","40","40","40","51","51","18","18","670440.0"
"21","15","15","34","34","24","10","10","10","10","24","3413400.0"
"210","34","34","18","18","18","18","34","34","18","18","930780.0"
"211","24","24","142","142","145","145","54","54","57","57","458940.0"
"212","18","18","18","18","18","24","18","24","34","34","1093440.0"
"214","18","18","18","18","15","34","15","34","24","24","1443660.0"
"215","40","40","40","40","145","145","24","24","24","24","944880.0"
"218","184","184","188","188","188","188","184","184","42","42","350040.0"
"219","57","57","57","57","142","142","139","139","142","142","714780.0"
"22","70","70","23","23","23","23","23","23","70","70","448080.0"
"223","40","42","40","40","40","40","42","40","34","34","2053980.0"
"225","95","95","95","95","95","95","95","95","95","95","6912000.0"
"228","40","40","40","40","40","40","24","24","24","24","377760.0"
"229","40","42","42","40","34","34","40","40","42","42","566580.0"
"23","51","51","15","15","34","34","46","46","51","46","3110760.0"
"230","18","18","18","18","18","18","18","24","24","18","4483200.0"
"231","57","57","142","142","142","142","139","91","139","91","617820.0"
"232","46","51","46","95","51","95","91","91","91","91","594240.0"
"233","70","23","70","23","23","23","10","10","42","42","914940.0"
"234","42","42","42","42","127","127","200","200","127","127","4727160.0"
"235","2","2","2","26","2","26","26","26","26","26","2574420.0"
"236","91","91","91","91","24","95","24","95","91","91","177600.0"
"237","24","24","15","15","24","24","24","24","57","54","4849020.0"
"238","18","18","34","34","34","34","18","18","15","15","3864300.0"
"239","18","18","51","34","51","24","24","34","18","18","1203780.0"
"24","10","10","10","10","46","46","54","54","207","95","3134880.0"
"240","18","18","34","34","51","51","18","18","34","34","1070040.0"
"241","51","51","51","51","15","15","42","18","42","18","310740.0"
"242","18","18","18","18","15","15","34","34","18","18","668940.0"
"243","18","18","34","42","34","34","42","34","24","24","1029180.0"
"244","91","91","91","91","91","91","91","91","91","42","309600.0"
"245","23","23","23","2","2","23","23","23","23","23","2637120.0"
"246","70","70","23","23","70","70","42","42","54","54","398340.0"
"248","23","23","23","23","70","70","54","54","46","46","692040.0"
"249","40","40","40","40","42","42","40","40","40","40","566820.0"
"25","51","51","51","51","51","51","34","34","34","34","3034980.0"
"250","216","216","216","216","2","216","2","216","216","216","475200.0"
"251","51","51","10","10","10","10","2","2","57","57","3816780.0"
"252","18","18","18","24","18","24","24","24","18","18","299100.0"
"253","70","70","70","70","24","23","24","24","23","24","572100.0"
"254","57","57","57","57","57","57","54","54","24","24","152880.0"
"255","40","40","24","24","57","57","24","24","96","96","0.0"
"256","40","40","10","10","18","18","42","42","40","40","3002400.0"
"257","18","18","10","10","51","51","83","83","34","34","6745200.0"
"258","18","18","18","18","34","34","34","34","34","34","1504140.0"
"259","70","70","70","70","26","26","18","18","70","70","6107400.0"
"26","15","15","18","18","18","18","10","10","10","10","3537000.0"
"260","34","34","34","34","34","34","18","18","34","34","4551300.0"
"261","40","40","40","40","24","24","30","30","24","24","585000.0"
"262","15","15","34","34","34","34","24","24","24","24","187260.0"
"263","30","30","30","30","30","42","30","30","42","30","1605600.0"
"264","83","83","83","34","83","34","18","18","24","24","191820.0"
"265","40","40","40","40","40","40","40","40","40","40","866400.0"
"266","2","2","51","51","10","10","51","2","51","51","7296780.0"
"267","15","15","18","18","18","18","15","24","24","15","7214880.0"
"268","40","40","40","24","40","24","40","24","24","40","1799100.0"
"269","40","40","40","42","40","40","42","40","40","40","1637280.0"
"27","40","40","40","40","40","40","40","40","40","40","425760.0"
"271","10","10","10","10","10","10","51","46","51","46","6600240.0"
"272","23","23","70","70","70","70","23","24","23","24","1390740.0"
"273","23","23","23","26","26","24","23","24","57","57","1483680.0"
"274","30","30","30","42","42","30","30","42","95","30","133740.0"
"277","216","216","46","46","91","91","91","91","91","91","308640.0"
"28","18","18","18","18","15","24","24","15","24","24","3347040.0"
"29","26","26","70","70","23","23","70","70","70","70","3422340.0"
"3","15","2","15","2","10","10","2","2","57","57","1528320.0"
