"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Event_10","Event_11","Event_12","Event_13","Event_14","remainingTime"
"1","8","8","8","8","14","14","14","14","16","16","20","20","2","2","262800.0"
"10","28","29","28","29","24","24","24","24","32","32","28","28","24","24","1321500.0"
"100","39","39","43","43","39","39","39","39","29","29","20","20","20","20","843480.0"
"101","39","39","39","39","39","39","39","39","32","32","45","45","45","45","1000200.0"
"102","39","39","39","39","45","45","45","52","52","45","45","45","39","39","1207860.0"
"103","39","39","45","45","39","39","45","45","45","45","29","39","39","29","483720.0"
"106","45","45","39","39","29","29","20","20","2","2","29","29","57","57","43500.0"
"108","32","32","43","52","52","43","43","43","52","52","20","20","60","60","807120.0"
"109","8","14","8","14","29","43","43","43","29","43","8","29","29","8","1696740.0"
"11","24","24","71","52","71","71","52","71","24","24","8","8","71","71","699000.0"
"110","32","32","43","16","16","43","43","43","32","32","14","14","43","71","2285520.0"
"111","8","8","8","8","14","14","86","86","8","8","14","14","81","81","1180260.0"
"112","71","71","28","28","24","24","52","28","52","28","28","28","24","24","1266180.0"
"114","32","32","29","90","90","29","32","32","29","29","29","29","29","29","0.0"
"115","8","8","43","43","8","8","8","8","8","52","52","52","52","8","1681920.0"
"116","60","60","60","60","99","99","57","57","60","16","16","60","60","60","490320.0"
"119","24","24","24","24","24","24","71","71","24","24","24","24","24","24","171060.0"
"12","71","71","24","24","29","29","24","24","71","71","28","28","71","71","1587720.0"
"120","43","43","86","86","32","32","81","81","20","20","20","20","99","99","81900.0"
"121","43","43","43","112","112","43","86","81","81","86","43","45","45","43","1201920.0"
"122","86","86","86","86","86","86","86","16","16","86","81","81","20","20","1780620.0"
"123","86","86","8","8","8","8","14","14","14","14","8","8","8","8","217380.0"
"124","8","8","8","8","86","86","14","14","52","52","20","20","90","90","321240.0"
"126","86","86","14","14","8","52","8","8","52","8","52","52","20","20","206340.0"
"127","32","32","32","32","14","14","43","43","29","29","32","32","43","43","1249440.0"
"129","39","52","52","39","39","39","45","45","52","52","20","20","52","52","939360.0"
"13","28","28","28","28","24","24","57","57","29","29","99","99","29","29","0.0"
"135","43","43","86","90","90","86","43","43","43","43","43","43","86","86","601080.0"
"138","14","14","8","8","8","8","14","14","86","86","16","16","16","16","13380.0"
"140","86","86","14","14","81","81","2","2","20","20","120","120","120","120","230220.0"
"145","39","39","45","45","39","39","39","39","29","29","20","20","20","20","840300.0"
"147","39","39","45","45","45","45","39","57","57","39","52","52","127","52","2580.0"
"148","133","133","136","136","52","52","140","140","52","52","52","52","52","52","0.0"
"155","45","45","45","45","45","45","45","29","29","45","29","29","2","2","233280.0"
"156","71","71","71","71","71","71","71","71","71","71","29","29","29","29","754560.0"
"163","146","146","52","52","52","52","52","52","28","28","52","52","146","146","5061840.0"
"17","39","39","39","39","39","39","39","149","39","39","39","149","148","148","2677680.0"
"174","43","43","32","52","32","32","52","32","90","90","45","45","43","43","877020.0"
