"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Event_10","Event_11","Event_12","Event_13","Event_14","Event_15","Event_16","remainingTime"
"1","8","8","8","8","14","14","14","14","16","16","20","20","2","2","2","2","258300.0"
"10","29","30","29","30","24","24","24","24","33","33","29","29","24","24","24","24","1313760.0"
"100","38","38","42","42","38","38","38","38","30","30","20","20","20","20","2","2","841500.0"
"101","38","38","38","38","38","38","38","38","33","33","46","46","46","46","46","46","991800.0"
"102","38","38","38","38","46","46","46","52","52","46","46","46","38","38","33","33","1196940.0"
"103","38","38","46","46","38","38","46","46","46","46","30","38","38","30","30","30","319440.0"
"106","46","46","38","38","30","30","20","20","2","2","30","30","58","58","30","30","0.0"
"108","33","33","42","52","52","42","42","42","52","52","20","20","64","64","60","60","728580.0"
"109","8","14","8","14","30","42","42","42","30","42","8","30","30","8","30","30","1694220.0"
"11","24","24","72","52","72","72","52","72","24","24","8","8","72","72","52","72","624960.0"
"110","33","33","42","16","16","42","42","42","33","33","14","14","42","72","42","72","2259720.0"
"111","8","8","8","8","14","14","86","86","8","8","14","14","88","88","8","8","479160.0"
"112","72","72","29","29","24","24","52","29","52","29","29","29","24","24","33","33","1219560.0"
"115","8","8","42","42","8","8","8","8","8","52","52","52","52","8","2","2","1501680.0"
"116","64","64","64","64","100","100","58","58","64","16","16","64","64","64","64","64","202080.0"
"119","24","24","24","24","24","24","72","72","24","24","24","24","24","24","33","33","133020.0"
"12","72","72","24","24","30","30","24","24","72","72","29","29","72","72","29","29","1566060.0"
"120","42","42","86","86","33","33","88","88","20","20","20","20","100","100","100","100","75900.0"
"121","42","42","42","113","113","42","86","88","88","86","42","46","46","42","8","8","1177680.0"
"122","86","86","86","86","86","86","86","16","16","86","88","88","20","20","20","2","1778460.0"
"123","86","86","8","8","8","8","14","14","14","14","8","8","8","8","8","8","212760.0"
"124","8","8","8","8","86","86","14","14","52","52","20","20","118","118","52","52","218640.0"
"126","86","86","14","14","8","52","8","8","52","8","52","52","20","20","2","2","171900.0"
"127","33","33","33","33","14","14","42","42","30","30","33","33","42","42","42","2","1235880.0"
"129","38","52","52","38","38","38","46","46","52","52","20","20","52","52","58","58","115860.0"
"135","42","42","86","118","118","86","42","42","42","42","42","42","86","86","8","8","502680.0"
"138","14","14","8","8","8","8","14","14","86","86","16","16","16","16","16","16","10680.0"
"140","86","86","14","14","88","88","2","2","20","20","125","125","125","125","125","125","228000.0"
"145","38","38","46","46","38","38","38","38","30","30","20","20","20","20","30","30","598980.0"
"147","38","38","46","46","46","46","38","58","58","38","52","52","132","52","132","52","0.0"
"155","46","46","46","46","46","46","46","30","30","46","30","30","2","2","20","20","229800.0"
"156","72","72","72","72","72","72","72","72","72","72","30","30","30","30","30","30","754440.0"
"163","139","139","52","52","52","52","52","52","29","29","52","52","139","139","52","52","5060940.0"
"17","38","38","38","38","38","38","38","140","38","38","38","140","142","142","38","38","2674620.0"
"174","42","42","33","52","33","33","52","33","118","118","46","46","42","42","33","33","852480.0"
"177","20","20","144","144","144","144","125","125","16","16","16","16","16","16","16","16","6194100.0"
"178","147","147","125","125","100","100","100","2","20","100","2","20","100","125","100","125","4959120.0"
"18","8","8","8","8","86","86","8","8","8","8","8","8","86","14","86","86","6107400.0"
"182","30","30","64","64","30","30","30","30","58","58","30","30","113","113","20","20","261240.0"
"185","24","24","64","64","58","58","58","58","52","52","52","52","52","52","20","20","7066980.0"
"187","2","2","144","144","125","125","147","147","144","144","125","125","147","147","144","144","3921840.0"
"188","20","2","2","2","20","2","20","20","30","30","159","159","147","147","147","147","507840.0"
"19","14","14","16","16","8","8","16","16","20","20","2","2","2","2","144","144","165120.0"
"192","161","161","52","52","24","24","52","24","52","24","24","24","72","72","52","24","1493520.0"
"194","24","24","24","52","24","52","24","52","52","24","72","72","29","52","52","29","2117520.0"
"195","52","52","2","2","20","20","20","2","20","2","2","2","125","125","144","144","447180.0"
"198","86","86","42","42","42","42","52","86","86","52","8","8","86","86","118","118","6012240.0"
"199","2","2","20","2","2","2","20","20","20","147","2","147","147","147","147","147","7475880.0"
"20","14","14","30","14","14","30","33","33","33","33","33","33","86","86","42","42","3136080.0"
"201","88","88","88","88","38","38","38","38","38","38","38","38","38","38","38","38","3933300.0"
"206","30","30","20","20","20","20","100","100","100","100","30","30","30","30","171","171","950400.0"
"207","86","42","86","42","86","42","86","42","42","42","33","33","42","86","86","42","1641600.0"
"208","72","72","29","29","72","72","72","72","24","24","29","29","72","72","24","24","3193140.0"
"209","33","33","46","46","46","46","86","86","33","33","42","42","30","30","20","20","221760.0"
"21","14","14","42","42","30","8","8","8","8","30","8","33","33","33","42","42","3282300.0"
"210","42","42","33","33","33","33","42","42","33","33","30","30","42","42","33","33","867600.0"
"211","30","30","125","125","147","147","2","2","20","20","30","30","30","30","58","58","3600.0"
"212","33","33","33","33","33","30","33","30","42","42","33","33","30","30","30","30","697200.0"
"214","33","33","33","33","14","42","14","42","30","30","33","33","33","33","14","42","1400280.0"
"215","46","46","46","46","147","147","30","30","30","30","20","20","20","20","20","20","751260.0"
"218","190","190","194","194","194","194","190","190","52","52","58","58","20","52","20","52","0.0"
"219","20","20","20","20","125","125","144","144","125","125","125","125","147","147","88","88","562260.0"
"22","72","72","29","29","29","29","29","29","72","72","88","88","20","20","20","20","339420.0"
"223","46","52","46","46","46","46","52","46","42","42","46","46","52","52","20","20","1497720.0"
"225","100","100","100","100","100","100","100","100","100","100","2","2","2","2","2","2","6006900.0"
"228","46","46","46","46","46","46","30","30","30","30","30","30","2","20","2","20","285360.0"
"229","46","52","52","46","42","42","46","46","52","52","20","20","20","2","20","2","380280.0"
"23","86","86","14","14","42","42","88","88","86","88","88","86","86","86","20","20","3018180.0"
"230","33","33","33","33","33","33","33","30","30","33","42","42","33","30","30","33","4403580.0"
"231","20","20","125","125","125","125","144","64","144","64","16","16","16","16","16","16","340800.0"
"232","88","86","88","100","86","100","64","64","64","64","64","64","64","64","64","64","515760.0"
"233","72","29","72","29","29","29","8","8","52","52","20","20","20","20","72","72","609300.0"
"234","52","52","52","52","159","159","204","204","159","159","52","52","52","52","86","86","3752580.0"
"235","16","16","16","24","16","24","24","24","24","24","24","24","16","16","24","24","2408760.0"
