"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Event_10","Event_11","Event_12","Event_13","Event_14","Event_15","Event_16","Event_17","Event_18","Event_19","remainingTime"
"1","8","8","8","8","14","14","14","14","16","16","20","20","23","23","23","23","23","23","2","229620.0"
"10","31","32","31","32","27","27","27","27","35","35","31","31","27","27","27","27","35","35","27","1241280.0"
"100","42","42","46","46","42","42","42","42","32","32","20","20","20","20","23","23","2","2","2","678120.0"
"101","42","42","42","42","42","42","42","42","35","35","54","54","54","54","54","54","32","32","20","918300.0"
"102","42","42","42","42","54","54","54","56","56","54","54","54","42","42","35","35","54","54","54","1173300.0"
"103","42","42","54","54","42","42","54","54","54","54","32","42","42","32","32","32","54","54","54","310980.0"
"108","35","35","46","56","56","46","46","46","56","56","20","20","65","65","61","61","61","61","61","712740.0"
"109","8","14","8","14","32","46","46","46","32","46","8","32","32","8","32","32","20","20","67","331020.0"
"11","27","27","76","56","76","76","56","76","27","27","8","8","76","76","56","76","76","56","76","620460.0"
"110","35","35","46","16","16","46","46","46","35","35","14","14","46","76","46","76","32","32","32","2084760.0"
"111","8","8","8","8","14","14","92","92","8","8","14","14","94","94","8","8","14","14","35","431760.0"
"112","76","76","31","31","27","27","56","31","56","31","31","31","27","27","35","35","31","31","31","1209000.0"
"115","8","8","46","46","8","8","8","8","8","56","56","56","56","8","23","23","23","23","23","1439700.0"
"116","65","65","65","65","109","109","110","110","65","16","16","65","65","65","65","65","65","65","65","58440.0"
"119","27","27","27","27","27","27","76","76","27","27","27","27","27","27","35","35","27","27","35","72240.0"
"12","76","76","27","27","32","32","27","27","76","76","31","31","76","76","31","31","31","31","76","1533780.0"
"120","46","46","92","92","35","35","94","94","20","20","20","20","109","109","109","109","67","67","67","62220.0"
"121","46","46","46","123","123","46","92","94","94","92","46","54","54","46","8","8","8","8","94","1137780.0"
"122","92","92","92","92","92","92","92","16","16","92","94","94","20","20","20","23","20","23","20","1763640.0"
"123","92","92","8","8","8","8","14","14","14","14","8","8","8","8","8","8","14","14","14","204060.0"
"124","8","8","8","8","92","92","14","14","56","56","20","20","128","128","56","56","56","56","110","3600.0"
"126","92","92","14","14","8","56","8","8","56","8","56","56","20","20","23","23","20","23","20","143160.0"
"127","35","35","35","35","14","14","46","46","32","32","35","35","46","46","46","23","46","54","23","1231380.0"
"129","42","56","56","42","42","42","54","54","56","56","20","20","56","56","110","110","56","56","20","2640.0"
"135","46","46","92","128","128","92","46","46","46","46","46","46","92","92","8","8","35","35","35","477420.0"
"140","92","92","14","14","94","94","23","23","20","20","67","67","67","67","67","67","65","65","134","32940.0"
"145","42","42","54","54","42","42","42","42","32","32","20","20","20","20","32","32","137","137","137","328080.0"
"155","54","54","54","54","54","54","54","32","32","54","32","32","23","23","20","20","23","23","32","213840.0"
"156","76","76","76","76","76","76","76","76","76","76","32","32","32","32","32","32","2","2","61","517440.0"
"163","148","148","56","56","56","56","56","56","31","31","56","56","148","148","56","56","56","56","56","5009640.0"
"17","42","42","42","42","42","42","42","151","42","42","42","151","150","150","42","42","151","151","150","2622480.0"
"174","46","46","35","56","35","35","56","35","128","128","54","54","46","46","35","35","56","56","56","790320.0"
"177","20","20","134","134","134","134","67","67","16","16","16","16","16","16","16","16","109","109","110","3978900.0"
"178","2","2","67","67","109","109","109","23","20","109","23","20","109","67","109","67","134","134","65","4929780.0"
"18","8","8","8","8","92","92","8","8","8","8","8","8","92","14","92","92","14","92","8","6092040.0"
"182","32","32","65","65","32","32","32","32","110","110","32","32","123","123","20","20","23","23","32","113400.0"
"185","27","27","65","65","110","110","110","110","56","56","56","56","56","56","20","20","20","20","56","5175600.0"
"187","23","23","134","134","67","67","2","2","134","134","67","67","2","2","134","134","109","109","2","3891240.0"
"188","20","23","23","23","20","23","20","20","32","32","137","137","2","2","2","2","61","61","2","460860.0"
"19","14","14","16","16","8","8","16","16","20","20","23","23","23","23","134","134","109","109","2","139320.0"
"192","167","167","56","56","27","27","56","27","56","27","27","27","76","76","56","27","56","27","31","1482480.0"
"194","27","27","27","56","27","56","27","56","56","27","76","76","31","56","56","31","27","27","8","2044800.0"
"195","56","56","23","23","20","20","20","23","20","23","23","23","67","67","134","134","134","134","65","316860.0"
"198","92","92","46","46","46","46","56","92","92","56","8","8","92","92","128","128","8","8","94","5899140.0"
"199","23","23","20","23","23","23","20","20","20","2","23","2","2","2","2","2","23","23","67","7442160.0"
"20","14","14","32","14","14","32","35","35","35","35","35","35","92","92","46","46","35","35","32","3058440.0"
"201","94","94","94","94","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","3781920.0"
"206","32","32","20","20","20","20","109","109","109","109","32","32","32","32","181","181","65","65","65","723600.0"
"207","92","46","92","46","92","46","92","46","46","46","35","35","46","92","92","46","92","92","92","1619220.0"
"208","76","76","31","31","76","76","76","76","27","27","31","31","76","76","27","27","94","94","20","3111600.0"
"209","35","35","54","54","54","54","92","92","35","35","46","46","32","32","20","20","20","20","32","132300.0"
"21","14","14","46","46","32","8","8","8","8","32","8","35","35","35","46","46","35","8","32","3245220.0"
"210","46","46","35","35","35","35","46","46","35","35","32","32","46","46","35","35","32","32","32","831360.0"
"212","35","35","35","35","35","32","35","32","46","46","35","35","32","32","32","32","20","20","20","320580.0"
"214","35","35","35","35","14","46","14","46","32","32","35","35","35","35","14","46","14","46","32","1359240.0"
"215","54","54","54","54","2","2","32","32","32","32","20","20","20","20","20","20","20","20","32","180660.0"
"219","20","20","20","20","67","67","134","134","67","67","67","67","2","2","94","94","94","94","110","90000.0"
"22","76","76","31","31","31","31","31","31","76","76","94","94","20","20","20","20","65","65","65","331680.0"
"223","54","56","54","54","54","54","56","54","46","46","54","54","56","56","20","20","23","23","23","1386000.0"
"225","109","109","109","109","109","109","109","109","109","109","23","23","23","23","23","23","2","2","23","5879700.0"
"228","54","54","54","54","54","54","32","32","32","32","32","32","23","20","23","20","32","32","32","141660.0"
"229","54","56","56","54","46","46","54","54","56","56","20","20","20","23","20","23","56","56","56","57600.0"
"23","92","92","14","14","46","46","94","94","92","94","94","92","92","92","20","20","20","20","65","2926080.0"
"230","35","35","35","35","35","35","35","32","32","35","46","46","35","32","32","35","8","8","128","4388880.0"
"231","20","20","67","67","67","67","134","65","134","65","16","16","16","16","16","16","16","16","16","327000.0"
"232","94","92","94","109","92","109","65","65","65","65","65","65","65","65","65","65","65","65","65","511800.0"
"233","76","31","76","31","31","31","8","8","56","56","20","20","20","20","76","76","76","76","56","605580.0"
"234","56","56","56","56","137","137","201","201","137","137","56","56","56","56","92","92","8","8","14","3724740.0"
"235","16","16","16","27","16","27","27","27","27","27","27","27","16","16","27","27","76","76","76","2378760.0"
"237","32","32","14","14","32","32","32","32","20","23","20","23","2","2","2","2","65","65","2","4254720.0"
"238","35","35","46","46","46","46","35","35","14","14","14","32","14","32","14","14","35","35","32","3780600.0"
"239","35","35","92","46","92","32","32","46","35","35","32","32","32","32","20","20","20","20","32","383940.0"
"24","8","8","8","8","94","94","23","23","210","109","109","210","94","94","67","23","20","20","67","466800.0"
"240","35","35","46","46","92","92","35","35","46","46","92","92","23","23","32","32","20","20","23","722160.0"
"241","92","92","92","92","14","14","56","35","56","35","35","35","56","56","20","20","20","20","56","48600.0"
"242","35","35","35","35","14","14","46","46","35","35","56","56","56","56","23","23","54","20","20","427440.0"
"243","35","35","46","56","46","46","56","46","32","32","20","20","20","20","134","134","134","134","32","256560.0"
"244","65","65","65","65","65","65","65","65","65","56","65","65","65","65","56","65","56","56","56","131700.0"
"245","31","31","31","16","16","31","31","31","31","31","76","76","76","76","94","94","20","20","23","694800.0"
"246","76","76","31","31","76","76","56","56","23","23","20","20","23","23","20","20","56","56","148","3600.0"
"248","31","31","31","31","76","76","23","23","94","94","20","20","20","20","23","20","20","23","2","620340.0"
"249","54","54","54","54","56","56","54","54","54","54","8","8","56","56","20","20","20","20","109","412620.0"
"25","92","92","92","92","92","92","46","46","46","46","92","92","16","16","20","20","23","23","23","2593680.0"
"250","220","220","220","220","16","220","16","220","220","220","220","220","20","20","16","16","16","16","16","145200.0"
"251","92","92","8","8","8","8","16","16","20","20","16","16","23","23","210","210","16","16","16","196500.0"
"252","35","35","35","32","35","32","32","32","35","35","32","32","20","20","20","20","32","32","94","63540.0"
"253","76","76","76","76","32","31","32","32","31","32","20","20","20","20","20","20","20","20","23","435600.0"
"256","54","54","8","8","35","35","56","56","54","54","42","42","42","42","42","42","35","35","54","2944200.0"
"257","35","35","8","8","92","92","128","128","46","46","92","92","46","46","92","92","35","8","35","6518400.0"
"258","35","35","35","35","46","46","46","46","46","46","46","46","35","35","32","32","32","32","20","486720.0"
"259","76","76","76","76","27","27","35","35","76","76","27","27","27","27","35","35","27","27","35","5974440.0"
"26","14","14","35","35","35","35","8","8","8","8","94","94","109","109","20","20","65","65","65","3144540.0"
"260","46","46","46","46","46","46","35","35","46","46","76","76","32","35","32","35","14","14","32","4399920.0"
"261","54","54","54","54","32","32","42","42","32","32","23","23","20","20","23","23","110","110","32","60.0"
"262","14","14","46","46","46","46","32","32","32","32","20","20","20","20","23","23","23","20","23","178560.0"
"263","42","42","42","42","42","56","42","42","56","42","42","42","42","42","54","56","54","56","20","1516440.0"
"264","128","128","128","46","128","46","35","35","32","32","14","14","92","92","35","35","128","32","128","105360.0"
"265","54","54","54","54","54","54","54","54","54","54","32","32","20","20","20","20","109","109","109","248820.0"
"266","16","16","92","92","8","8","92","16","92","92","16","56","56","92","8","8","8","8","92","7235640.0"
"267","14","14","35","35","35","35","14","32","32","14","46","46","46","46","76","76","8","32","32","7052400.0"
"268","54","54","54","32","54","32","54","32","32","54","54","54","109","109","56","56","54","56","54","1532340.0"
"269","54","54","54","56","54","54","56","54","54","54","56","54","54","56","54","56","56","54","56","1567860.0"
"27","54","54","54","54","54","54","54","54","54","54","54","54","54","54","32","32","109","109","109","235680.0"
"271","8","8","8","8","8","8","92","94","92","94","8","94","94","8","94","92","92","23","94","6513540.0"
"272","31","31","76","76","76","76","31","32","31","32","20","20","32","20","20","32","20","20","134","162360.0"
"273","31","31","31","27","27","32","31","32","20","20","20","20","20","20","65","65","109","109","109","154560.0"
"274","42","42","42","56","56","42","42","56","109","42","56","109","109","109","109","109","56","56","20","50100.0"
"277","220","220","94","94","65","65","65","65","65","65","65","65","65","65","65","65","65","65","148","48540.0"
"28","35","35","35","35","14","32","32","14","32","32","14","14","54","54","32","92","32","92","8","2815980.0"
"29","27","27","76","76","31","31","76","76","76","76","76","76","94","94","23","23","235","76","235","2719440.0"
"3","14","16","14","16","8","8","16","16","20","20","20","20","2","134","2","134","134","134","134","185160.0"
"31","8","8","8","8","8","8","46","46","16","16","16","16","20","20","65","65","61","61","23","1262580.0"
"32","35","35","92","92","46","46","92","92","14","14","92","94","94","94","92","94","35","8","35","2256540.0"
"33","35","35","32","35","32","35","35","35","14","14","46","46","32","32","32","32","20","20","32","690660.0"
"34","27","27","31","31","31","31","8","8","27","56","27","56","20","20","20","20","20","109","109","1775940.0"
"35","92","92","35","35","46","92","46","92","16","16","16","16","2","2","20","20","61","61","67","477300.0"
"36","46","46","92","92","8","8","8","8","94","46","94","46","46","46","92","92","8","8","94","1395180.0"
"37","54","76","76","54","54","54","35","35","237","237","54","54","54","54","8","8","20","20","32","1358340.0"
"38","14","14","92","92","8","8","8","8","8","8","8","8","54","54","54","54","14","14","92","4736220.0"
"39","76","76","76","56","56","76","76","56","76","56","76","76","27","27","76","76","76","56","56","357420.0"
"4","8","8","46","94","46","46","94","46","92","92","8","8","94","94","20","20","94","20","94","60.0"
"40","31","31","76","76","31","31","31","31","31","31","8","8","32","32","23","23","20","20","110","42780.0"
"41","31","31","31","32","31","31","32","31","76","76","20","20","94","94","20","20","20","20","134","458280.0"
"42","35","35","35","35","32","32","14","14","42","42","35","32","35","14","32","32","32","20","20","405000.0"
"43","42","42","54","32","54","32","54","54","42","42","32","32","20","20","20","20","32","32","110","3600.0"
"44","27","27","76","76","76","76","27","27","27","27","76","76","8","8","76","76","8","32","32","1964040.0"
"46","92","92","46","46","92","35","92","35","35","35","56","56","20","20","20","56","56","20","56","65460.0"
"47","42","42","42","32","42","42","32","42","42","42","42","42","32","32","23","23","20","20","20","477240.0"
"48","14","14","8","8","8","8","56","56","14","14","56","56","20","20","20","20","65","65","109","3046680.0"
"49","54","16","54","16","54","54","123","123","32","32","109","109","32","32","20","20","20","20","110","30780.0"
"52","54","54","42","42","42","42","42","42","42","42","42","42","42","42","42","42","32","23","32","393240.0"
"53","54","54","42","42","42","42","42","42","42","42","42","42","54","56","54","56","54","54","56","819600.0"
"54","92","92","14","14","8","8","8","56","56","8","14","14","56","56","20","20","20","20","56","147600.0"
"55","27","27","76","76","76","76","56","31","56","31","27","27","76","76","31","31","27","27","56","2477700.0"
"6","54","54","54","54","42","42","42","42","54","54","54","54","32","32","42","32","32","42","54","1571760.0"
"60","42","42","20","20","54","54","56","42","56","42","54","54","56","56","56","56","20","20","23","44640.0"
"61","31","31","31","31","31","31","8","8","31","56","31","56","76","76","31","56","31","31","56","3381660.0"
"62","42","42","42","42","42","42","42","42","42","42","42","42","32","32","32","32","20","20","20","686640.0"
"63","46","46","46","46","92","16","16","92","35","8","35","35","35","14","14","8","16","16","109","3709260.0"
"66","42","42","42","42","32","32","20","20","20","20","201","201","32","32","20","20","20","20","110","33960.0"
"67","92","92","92","92","8","8","8","8","14","14","8","8","76","76","8","16","16","8","14","4406940.0"
"7","14","14","8","8","14","14","92","92","8","8","8","8","32","32","20","20","20","32","20","114420.0"
"70","31","31","31","31","31","31","31","31","31","31","31","31","76","76","31","31","31","31","76","2843640.0"
"72","42","42","42","42","32","32","23","23","20","20","20","23","20","23","110","110","110","110","32","60.0"
"73","8","8","92","92","14","14","46","46","92","92","8","8","8","32","32","8","14","54","14","836520.0"
"75","54","54","54","54","42","42","42","42","54","54","54","54","94","94","20","20","23","23","109","357600.0"
"77","76","76","76","76","31","31","31","31","76","76","27","16","16","27","76","76","31","31","76","1340640.0"
"78","92","92","92","92","8","8","46","46","92","92","92","92","35","35","35","35","14","14","46","2331960.0"
"80","46","46","46","46","56","56","20","20","23","23","20","20","134","134","134","2","134","67","2","66600.0"
"82","92","92","92","92","46","46","46","46","56","56","20","20","23","23","20","20","23","23","67","59340.0"
"83","92","92","92","92","14","14","46","46","92","56","56","92","8","8","46","46","56","56","23","58200.0"
"84","42","42","42","42","42","42","42","42","42","42","32","32","54","54","32","32","20","20","20","601560.0"
"87","14","14","8","8","8","32","8","32","54","92","54","8","92","35","8","35","32","32","54","3043860.0"
"89","8","8","14","14","46","46","46","46","8","8","8","8","8","35","35","35","35","8","32","77640.0"
"9","76","76","31","31","31","31","32","32","20","20","20","20","109","109","109","109","20","20","56","128400.0"
"90","35","35","14","14","46","46","8","8","8","35","35","128","128","8","128","128","8","35","35","152220.0"
"91","92","92","14","14","14","46","14","46","32","32","35","35","8","8","14","14","46","46","8","411780.0"
"92","35","35","35","35","35","35","32","32","32","32","32","32","65","65","65","65","65","65","65","537060.0"
"93","54","54","54","54","42","42","42","42","42","42","16","16","263","263","76","76","27","27","76","1382880.0"
"95","46","46","8","8","32","14","32","14","46","46","8","8","32","128","14","32","14","128","8","2523540.0"
"97","56","56","2","2","23","23","23","23","23","23","20","20","20","20","56","56","56","56","110","31200.0"
