"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Event_10","Event_11","Event_12","Event_13","Event_14","Event_15","Event_16","Event_17","Event_18","Event_19","Event_20","remainingTime"
"1","9","9","9","9","15","15","15","15","16","16","20","20","2","2","2","2","2","2","23","2","228120.0"
"10","31","32","31","32","27","27","27","27","35","35","31","31","27","27","27","27","35","35","27","27","1234260.0"
"100","42","42","46","46","42","42","42","42","32","32","20","20","20","20","2","2","23","23","23","23","661860.0"
"101","42","42","42","42","42","42","42","42","35","35","54","54","54","54","54","54","32","32","20","20","914700.0"
"102","42","42","42","42","54","54","54","55","55","54","54","54","42","42","35","35","54","54","54","55","1159200.0"
"103","42","42","54","54","42","42","54","54","54","54","32","42","42","32","32","32","54","54","54","54","306720.0"
"108","35","35","46","55","55","46","46","46","55","55","20","20","65","65","61","61","61","61","61","61","711420.0"
"109","9","15","9","15","32","46","46","46","32","46","9","32","32","9","32","32","20","20","67","67","326280.0"
"11","27","27","76","55","76","76","55","76","27","27","9","9","76","76","55","76","76","55","76","76","620100.0"
"110","35","35","46","16","16","46","46","46","35","35","15","15","46","76","46","76","32","32","32","35","2084400.0"
"111","9","9","9","9","15","15","91","91","9","9","15","15","93","93","9","9","15","15","35","35","431220.0"
"112","76","76","31","31","27","27","55","31","55","31","31","31","27","27","35","35","31","31","31","31","1181520.0"
"115","9","9","46","46","9","9","9","9","9","55","55","55","55","9","2","2","2","2","2","2","1435380.0"
"116","65","65","65","65","109","109","110","110","65","16","16","65","65","65","65","65","65","65","65","65","53580.0"
"119","27","27","27","27","27","27","76","76","27","27","27","27","27","27","35","35","27","27","35","35","38160.0"
"12","76","76","27","27","32","32","27","27","76","76","31","31","76","76","31","31","31","31","76","76","1523940.0"
"120","46","46","91","91","35","35","93","93","20","20","20","20","109","109","109","109","67","67","67","67","61740.0"
"121","46","46","46","123","123","46","91","93","93","91","46","54","54","46","9","9","9","9","93","93","1135500.0"
"122","91","91","91","91","91","91","91","16","16","91","93","93","20","20","20","2","20","2","20","20","1759680.0"
"123","91","91","9","9","9","9","15","15","15","15","9","9","9","9","9","9","15","15","15","93","199320.0"
"124","9","9","9","9","91","91","15","15","55","55","20","20","128","128","55","55","55","55","110","110","0.0"
"126","91","91","15","15","9","55","9","9","55","9","55","55","20","20","2","2","20","2","20","2","140880.0"
"127","35","35","35","35","15","15","46","46","32","32","35","35","46","46","46","2","46","54","2","54","1212780.0"
"129","42","55","55","42","42","42","54","54","55","55","20","20","55","55","110","110","55","55","20","20","0.0"
"135","46","46","91","128","128","91","46","46","46","46","46","46","91","91","9","9","35","35","35","35","448920.0"
"140","91","91","15","15","93","93","2","2","20","20","67","67","67","67","67","67","65","65","135","110","32580.0"
"145","42","42","54","54","42","42","42","42","32","32","20","20","20","20","32","32","137","137","137","137","320880.0"
"155","54","54","54","54","54","54","54","32","32","54","32","32","2","2","20","20","2","2","32","32","207960.0"
"156","76","76","76","76","76","76","76","76","76","76","32","32","32","32","32","32","23","23","61","61","512760.0"
"163","148","148","55","55","55","55","55","55","31","31","55","55","148","148","55","55","55","55","55","55","5007840.0"
"17","42","42","42","42","42","42","42","151","42","42","42","151","150","150","42","42","151","151","150","150","2591460.0"
"174","46","46","35","55","35","35","55","35","128","128","54","54","46","46","35","35","55","55","55","55","788460.0"
"177","20","20","135","135","135","135","67","67","16","16","16","16","16","16","16","16","109","109","110","110","3975300.0"
"178","23","23","67","67","109","109","109","2","20","109","2","20","109","67","109","67","135","135","65","65","4905480.0"
"18","9","9","9","9","91","91","9","9","9","9","9","9","91","15","91","91","15","91","9","9","6092040.0"
"182","32","32","65","65","32","32","32","32","110","110","32","32","123","123","20","20","2","2","32","32","84780.0"
"185","27","27","65","65","110","110","110","110","55","55","55","55","55","55","20","20","20","20","55","55","5170920.0"
"187","2","2","135","135","67","67","23","23","135","135","67","67","23","23","135","135","109","109","23","23","3880620.0"
"188","20","2","2","2","20","2","20","20","32","32","137","137","23","23","23","23","61","61","23","32","452640.0"
"19","15","15","16","16","9","9","16","16","20","20","2","2","2","2","135","135","109","109","23","23","112020.0"
"192","167","167","55","55","27","27","55","27","55","27","27","27","76","76","55","27","55","27","31","31","1462080.0"
"194","27","27","27","55","27","55","27","55","55","27","76","76","31","55","55","31","27","27","9","9","2030400.0"
"195","55","55","2","2","20","20","20","2","20","2","2","2","67","67","135","135","135","135","65","65","285120.0"
"198","91","91","46","46","46","46","55","91","91","55","9","9","91","91","128","128","9","9","93","93","5896500.0"
"199","2","2","20","2","2","2","20","20","20","23","2","23","23","23","23","23","2","2","67","16","7437300.0"
"20","15","15","32","15","15","32","35","35","35","35","35","35","91","91","46","46","35","35","32","15","3057000.0"
"201","93","93","93","93","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","3777660.0"
