"Id","Event_1","Event_2","Event_3","Event_4","remainingTime"
"1","2","2","2","2","1534680.0"
"10","16","12","16","12","1431900.0"
"100","25","25","20","20","2520360.0"
"101","25","25","25","25","1043820.0"
"102","25","25","25","25","1294620.0"
"103","25","25","31","31","583740.0"
"104","20","20","20","20","97680.0"
"105","41","41","2","2","0.0"
"106","31","31","25","25","577620.0"
"108","46","46","20","44","959220.0"
"109","2","41","2","41","1732020.0"
"11","51","51","54","44","796260.0"
"110","46","46","20","55","2507280.0"
"111","2","2","2","2","1297020.0"
"112","54","54","16","16","1352760.0"
"113","2","2","20","20","70980.0"
"114","46","46","12","66","608040.0"
"115","2","2","20","20","1708260.0"
"116","70","70","70","70","573720.0"
"117","76","76","76","76","36060.0"
"118","78","78","46","46","135000.0"
"119","51","51","51","51","697680.0"
"12","54","54","51","51","1867860.0"
"120","20","20","78","78","1503900.0"
"121","20","20","20","85","1947780.0"
"122","78","78","78","78","2012460.0"
"123","78","78","2","2","309180.0"
"124","2","2","2","2","464520.0"
"125","46","46","41","41","14820.0"
"126","78","78","41","41","497340.0"
"127","46","46","46","46","1351140.0"
"129","25","44","44","25","1176600.0"
"13","16","16","16","16","71160.0"
"133","78","78","2","2","40800.0"
"134","2","2","2","2","107100.0"
"135","20","20","78","66","698520.0"
"136","46","46","46","46","5160.0"
"137","78","78","2","2","200340.0"
"138","41","41","2","2","136740.0"
"140","78","78","41","41","905280.0"
"142","44","44","44","44","0.0"
"144","97","97","96","96","0.0"
"145","25","25","31","31","1970820.0"
"146","76","76","44","44","0.0"
"147","25","25","31","31","97380.0"
"148","108","108","105","105","3455580.0"
"150","12","12","12","12","30720.0"
"153","70","70","70","70","274500.0"
"154","96","96","119","119","394200.0"
"155","31","31","31","31","562920.0"
"156","54","54","54","54","1275000.0"
"163","97","97","44","44","6326280.0"
"17","25","25","25","25","2740620.0"
"174","20","20","46","44","946020.0"
"175","44","44","44","44","0.0"
"177","132","132","129","129","7034820.0"
"178","137","137","135","135","6185700.0"
"179","139","139","55","55","3534000.0"
"18","2","2","2","2","6226380.0"
"182","12","12","70","70","1900140.0"
"185","51","51","70","70","7394940.0"
"187","148","148","129","129","4094760.0"
"188","132","148","148","148","3116580.0"
"189","55","55","55","55","212400.0"
"19","41","41","55","55","2047620.0"
"190","76","76","96","96","3007500.0"
"192","108","108","44","44","3984900.0"
"194","51","51","51","44","2277600.0"
"195","44","44","148","148","910200.0"
"196","55","55","70","70","125460.0"
"198","78","78","20","20","6100740.0"
"199","148","148","132","148","7511400.0"
"20","41","41","12","41","3235980.0"
"200","85","85","139","139","1577760.0"
"201","96","96","96","96","4147200.0"
"203","12","12","132","132","321960.0"
"205","139","139","139","139","102600.0"
"206","12","12","132","132","2127900.0"
"207","78","20","78","20","1792800.0"
"208","54","54","16","16","3664500.0"
"209","46","46","31","31","739140.0"
"21","41","41","20","20","3436440.0"
"210","20","20","46","46","1050900.0"
"211","12","12","135","135","536100.0"
"212","46","46","46","46","1143360.0"
"214","46","46","46","46","1501740.0"
"215","31","31","31","31","1006980.0"
"218","179","179","176","176","539940.0"
"219","132","132","132","132","1063500.0"
"22","54","54","16","16","494160.0"
"223","31","44","31","31","2111940.0"
"224","55","55","55","55","285600.0"
"225","139","139","139","139","7084800.0"
"227","76","76","44","44","0.0"
"228","31","31","31","31","480600.0"
"229","31","44","44","31","630000.0"
"23","78","78","41","41","3151620.0"
"230","46","46","46","46","4696200.0"
"231","132","132","135","135","668640.0"
"232","96","78","96","139","1313940.0"
"233","54","16","54","16","989340.0"
"234","44","44","44","44","4870260.0"
"235","55","55","55","51","3181920.0"
"236","70","70","70","70","263700.0"
"237","12","12","41","41","5532600.0"
"238","46","46","20","20","3927600.0"
"239","46","46","78","20","1261740.0"
"24","2","2","2","2","3617820.0"
"240","46","46","20","20","1159140.0"
"241","78","78","78","78","863100.0"
"242","46","46","46","46","754800.0"
"243","46","46","20","44","1116420.0"
"244","70","70","70","70","406080.0"
"245","16","16","16","55","2707800.0"
"246","54","54","16","16","523200.0"
"248","16","16","16","16","830280.0"
"249","31","31","31","31","833100.0"
"25","78","78","78","78","3520140.0"
"250","198","198","198","198","630000.0"
"251","78","78","2","2","3895620.0"
"252","46","46","46","12","495600.0"
"253","54","54","54","54","583500.0"
"254","132","132","132","132","325500.0"
"255","31","31","12","12","899220.0"
"256","31","31","2","2","3048960.0"
"257","46","46","2","2","6799920.0"
"258","46","46","46","46","1638600.0"
"259","54","54","54","54","6167100.0"
"26","41","41","46","46","3637440.0"
"260","20","20","20","20","4745040.0"
"261","31","31","31","31","610080.0"
"262","41","41","20","20","220140.0"
"263","25","25","25","25","1666920.0"
"264","66","66","66","20","248460.0"
"265","31","31","31","31","1222500.0"
"266","55","55","78","78","7376760.0"
"267","41","41","46","46","7256760.0"
"268","31","31","31","12","1865820.0"
"269","31","31","31","44","1717860.0"
"27","31","31","31","31","518100.0"
"271","2","2","2","2","6660000.0"
"272","16","16","54","54","1421880.0"
"273","16","16","16","51","1907760.0"
"274","25","25","25","44","150900.0"
"277","198","198","96","96","562440.0"
"28","46","46","46","46","3521700.0"
"29","51","51","54","54","3616980.0"
"3","41","55","41","55","1580340.0"
"30","20","55","55","20","95220.0"
"31","2","2","2","2","3198480.0"
"32","46","46","78","78","2530800.0"
"33","46","46","12","46","1975920.0"
"34","51","51","16","16","2005560.0"
"35","78","78","46","46","2432040.0"
"36","20","20","78","78","1512540.0"
"37","31","54","54","31","1937640.0"
"38","41","41","78","78","4820880.0"
"39","54","54","54","44","457620.0"
"4","2","2","20","96","82560.0"
"40","16","16","54","54","1217940.0"
"41","16","16","16","12","1652460.0"
"42","46","46","46","46","496800.0"
"43","25","25","31","12","387600.0"
"44","51","51","54","54","2151900.0"
"45","46","46","20","20","636540.0"
"46","78","78","20","20","205380.0"
"47","25","25","25","12","1420200.0"
"48","41","41","2","2","3160020.0"
"49","31","55","31","55","1268580.0"
"5","31","31","31","31","0.0"
"50","31","31","31","31","1459620.0"
"52","31","31","25","25","638520.0"
"53","31","31","25","25","890880.0"
"54","78","78","41","41","294240.0"
"55","51","51","54","54","3297180.0"
"56","25","25","31","76","44340.0"
"58","70","70","70","70","904980.0"
"59","46","46","78","78","416040.0"
"6","31","31","31","31","1795140.0"
"60","25","25","132","132","409200.0"
"61","16","16","16","16","3623040.0"
"62","25","25","25","25","2434920.0"
"63","20","20","20","20","4246320.0"
"64","78","78","2","2","256200.0"
"65","16","16","12","12","691260.0"
"66","25","25","25","25","1800000.0"
"67","78","78","78","78","4638360.0"
"68","224","224","223","223","163800.0"
"69","31","31","76","76","35880.0"
"7","41","41","2","2","358200.0"
"70","16","16","16","16","3245640.0"
"71","54","54","54","54","606180.0"
"72","25","25","25","25","671400.0"
"73","2","2","78","78","941040.0"
"74","76","76","44","44","27960.0"
"75","31","31","31","31","1621200.0"
"76","70","70","76","76","33540.0"
"77","54","54","54","54","1787760.0"
"78","78","78","78","78","2552520.0"
"79","44","44","135","135","383040.0"
"80","20","20","20","20","2052480.0"
"81","12","12","12","12","79740.0"
"82","78","78","78","78","1594620.0"
"83","78","78","78","78","425640.0"
"84","25","25","25","25","1092480.0"
"85","46","46","46","46","48840.0"
"86","46","46","66","66","161340.0"
"87","41","41","2","2","3155280.0"
"89","2","2","41","41","317340.0"
"9","54","54","16","16","1841160.0"
"90","46","46","41","41","436620.0"
"91","78","78","41","41","530340.0"
"92","46","46","46","46","1905600.0"
"93","31","31","31","31","3770640.0"
"95","20","20","2","2","2659380.0"
"96","44","44","44","44","140340.0"
"97","44","44","137","137","924420.0"
"98","44","44","66","66","64800.0"
"99","12","12","12","12","567300.0"
