"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","remainingTime"
"1","10","10","10","10","15","15","15","15","2","1424400.0"
"10","23","24","23","24","26","26","26","26","18","1386660.0"
"100","30","30","34","34","30","30","30","30","24","2391300.0"
"101","30","30","30","30","30","30","30","30","18","1036440.0"
"102","30","30","30","30","42","42","42","40","40","1244100.0"
"103","30","30","42","42","30","30","42","42","42","505500.0"
"104","34","34","34","34","51","46","51","46","46","10440.0"
"106","42","42","30","30","24","24","57","57","54","253380.0"
"108","18","18","34","40","40","34","34","34","40","850020.0"
"109","10","15","10","15","24","34","34","34","24","1727100.0"
"11","26","26","70","40","70","70","40","70","26","763380.0"
"110","18","18","34","2","2","34","34","34","18","2470320.0"
"111","10","10","10","10","15","15","51","51","10","1249920.0"
"112","70","70","23","23","26","26","40","23","40","1299240.0"
"114","18","18","24","83","83","24","18","18","24","201840.0"
"115","10","10","34","34","10","10","10","10","10","1696260.0"
"116","88","88","88","88","93","93","94","94","88","521880.0"
"119","26","26","26","26","26","26","70","70","26","381540.0"
"12","70","70","26","26","24","24","26","26","70","1830540.0"
"120","34","34","51","51","18","18","46","46","57","589140.0"
"121","34","34","34","104","104","34","51","46","46","1917960.0"
"122","51","51","51","51","51","51","51","2","2","1937400.0"
"123","51","51","10","10","10","10","15","15","15","278040.0"
"124","10","10","10","10","51","51","15","15","40","390720.0"
"125","18","18","15","15","24","15","15","24","51","2640.0"
"126","51","51","15","15","10","40","10","10","40","493200.0"
"127","18","18","18","18","15","15","34","34","24","1297320.0"
"129","30","40","40","30","30","30","42","42","40","1044660.0"
"13","23","23","23","23","26","26","94","94","24","17520.0"
"135","34","34","51","83","83","51","34","34","34","635460.0"
"138","15","15","10","10","10","10","15","15","51","81420.0"
"140","51","51","15","15","46","46","54","54","57","261360.0"
"145","30","30","42","42","30","30","30","30","24","1786440.0"
"147","30","30","42","42","42","42","30","94","94","46980.0"
"148","123","123","126","126","40","40","130","130","40","49080.0"
"153","88","88","88","88","40","40","40","40","94","3600.0"
"155","42","42","42","42","42","42","42","24","24","392460.0"
"156","70","70","70","70","70","70","70","70","70","1136880.0"
"163","136","136","40","40","40","40","40","40","23","5212200.0"
"17","30","30","30","30","30","30","30","137","30","2732640.0"
"174","34","34","18","40","18","18","40","18","83","927420.0"
"177","57","57","139","139","139","139","142","142","2","6286500.0"
"178","144","144","142","142","93","93","93","54","57","5064900.0"
"179","93","93","2","2","94","94","88","88","2","81600.0"
"18","10","10","10","10","51","51","10","10","10","6177600.0"
"182","24","24","88","88","24","24","24","24","94","1791240.0"
"185","26","26","88","88","94","94","94","94","40","7341000.0"
"187","54","54","139","139","142","142","144","144","139","4040280.0"
"188","57","54","54","54","57","54","57","57","24","1827900.0"
"189","2","2","2","2","2","2","2","2","2","54000.0"
"19","15","15","2","2","10","10","2","2","57","1909500.0"
"190","94","94","46","46","46","46","46","46","46","6720.0"
"192","123","123","40","40","26","26","40","26","40","1574640.0"
"194","26","26","26","40","26","40","26","40","40","2192940.0"
"195","40","40","54","54","57","57","57","54","57","854820.0"
"198","51","51","34","34","34","34","40","51","51","6071400.0"
"199","54","54","57","54","54","54","57","57","57","7498740.0"
"20","15","15","24","15","15","24","18","18","18","3206100.0"
"200","104","104","93","93","46","46","46","46","94","1300500.0"
"201","46","46","46","46","30","30","30","30","30","4015320.0"
"203","24","24","57","57","54","54","57","57","54","82440.0"
"206","24","24","57","57","57","57","93","93","93","1268880.0"
"207","51","34","51","34","51","34","51","34","34","1720800.0"
"208","70","70","23","23","70","70","70","70","26","3288000.0"
"209","18","18","42","42","42","42","51","51","18","708840.0"
"21","15","15","34","34","24","10","10","10","10","3413400.0"
"210","34","34","18","18","18","18","34","34","18","967920.0"
"211","24","24","142","142","144","144","54","54","57","481560.0"
"212","18","18","18","18","18","24","18","24","34","1117500.0"
"214","18","18","18","18","15","34","15","34","24","1447800.0"
"215","42","42","42","42","144","144","24","24","24","949380.0"
"218","184","184","188","188","188","188","184","184","40","357600.0"
"219","57","57","57","57","142","142","139","139","142","723120.0"
"22","70","70","23","23","23","23","23","23","70","469680.0"
"223","42","40","42","42","42","42","40","42","34","2060580.0"
"225","93","93","93","93","93","93","93","93","93","6916500.0"
"228","42","42","42","42","42","42","24","24","24","380700.0"
"229","42","40","40","42","34","34","42","42","40","572520.0"
"23","51","51","15","15","34","34","46","46","51","3111600.0"
"230","18","18","18","18","18","18","18","24","24","4502460.0"
"231","57","57","142","142","142","142","139","88","139","635520.0"
"232","46","51","46","93","51","93","88","88","88","597840.0"
"233","70","23","70","23","23","23","10","10","40","924180.0"
"234","40","40","40","40","126","126","200","200","126","4755960.0"
"235","2","2","2","26","2","26","26","26","26","2612400.0"
"236","88","88","88","88","24","93","24","93","88","205200.0"
"237","24","24","15","15","24","24","24","24","57","4851720.0"
"238","18","18","34","34","34","34","18","18","15","3864360.0"
"239","18","18","51","34","51","24","24","34","18","1223100.0"
"24","10","10","10","10","46","46","54","54","208","3142800.0"
"240","18","18","34","34","51","51","18","18","34","1101600.0"
"241","51","51","51","51","15","15","40","18","40","313380.0"
"242","18","18","18","18","15","15","34","34","18","671880.0"
"243","18","18","34","40","34","34","40","34","24","1036740.0"
"244","88","88","88","88","88","88","88","88","88","324180.0"
"245","23","23","23","2","2","23","23","23","23","2642100.0"
"246","70","70","23","23","70","70","40","40","54","400860.0"
"248","23","23","23","23","70","70","54","54","46","695640.0"
"249","42","42","42","42","40","40","42","42","42","597180.0"
"25","51","51","51","51","51","51","34","34","34","3041040.0"
"250","216","216","216","216","2","216","2","216","216","496800.0"
"251","51","51","10","10","10","10","2","2","57","3817500.0"
"252","18","18","18","24","18","24","24","24","18","323880.0"
"253","70","70","70","70","24","23","24","24","23","573240.0"
"254","57","57","57","57","57","57","54","54","24","154740.0"
"255","42","42","24","24","57","57","24","24","94","3600.0"
"256","42","42","10","10","18","18","40","40","42","3009600.0"
"257","18","18","10","10","51","51","83","83","34","6780960.0"
"258","18","18","18","18","34","34","34","34","34","1520340.0"
"259","70","70","70","70","26","26","18","18","70","6112200.0"
"26","15","15","18","18","18","18","10","10","10","3554760.0"
"260","34","34","34","34","34","34","18","18","34","4580100.0"
"261","42","42","42","42","24","24","30","30","24","586260.0"
"262","15","15","34","34","34","34","24","24","24","187440.0"
"263","30","30","30","30","30","40","30","30","40","1609200.0"
"264","83","83","83","34","83","34","18","18","24","192840.0"
"265","42","42","42","42","42","42","42","42","42","868320.0"
"266","2","2","51","51","10","10","51","2","51","7297080.0"
"267","15","15","18","18","18","18","15","24","24","7226160.0"
"268","42","42","42","24","42","24","42","24","24","1807140.0"
"269","42","42","42","40","42","42","40","42","42","1651380.0"
"27","42","42","42","42","42","42","42","42","42","441960.0"
"271","10","10","10","10","10","10","51","46","51","6625020.0"
"272","23","23","70","70","70","70","23","24","23","1392900.0"
"273","23","23","23","26","26","24","23","24","57","1492620.0"
"274","30","30","30","40","40","30","30","40","93","133800.0"
"277","216","216","46","46","88","88","88","88","88","327540.0"
"28","18","18","18","18","15","24","24","15","24","3347820.0"
"29","26","26","70","70","23","23","70","70","70","3476340.0"
"3","15","2","15","2","10","10","2","2","57","1529520.0"
"30","34","2","2","34","83","83","51","51","15","29100.0"
"31","10","10","10","10","10","10","34","34","2","2706180.0"
"32","18","18","51","51","34","34","51","51","15","2449200.0"
"33","18","18","24","18","24","18","18","18","15","1954260.0"
"34","26","26","23","23","23","23","10","10","26","1965480.0"
"35","51","51","18","18","34","51","34","51","2","2329200.0"
"36","34","34","51","51","10","10","10","10","46","1486500.0"
"37","42","70","70","42","42","42","18","18","233","1879200.0"
"38","15","15","51","51","10","10","10","10","10","4798440.0"
"39","70","70","70","40","40","70","70","40","70","439020.0"
"4","10","10","34","46","34","34","46","34","51","73440.0"
"40","23","23","70","70","23","23","23","23","23","1189440.0"
"41","23","23","23","24","23","23","24","23","70","1621680.0"
"42","18","18","18","18","24","24","15","15","30","456960.0"
"43","30","30","42","24","42","24","42","42","30","376380.0"
"44","26","26","70","70","70","70","26","26","26","2114880.0"
"45","18","18","34","34","34","34","24","24","42","150420.0"
"46","51","51","34","34","51","18","51","18","18","181140.0"
"47","30","30","30","24","30","30","24","30","30","1389600.0"
"48","15","15","10","10","10","10","40","40","15","3127320.0"
"49","42","2","42","2","42","42","104","104","24","1032420.0"
"50","42","42","42","42","42","42","42","42","24","1215300.0"
"52","42","42","30","30","30","30","30","30","30","583680.0"
"53","42","42","30","30","30","30","30","30","30","878760.0"
"54","51","51","15","15","10","10","10","40","40","244320.0"
"55","26","26","70","70","70","70","40","23","40","3260700.0"
"56","30","30","42","94","94","42","42","42","24","18420.0"
"58","88","88","88","88","93","93","88","88","24","65400.0"
"59","18","18","51","51","34","34","24","24","83","168120.0"
"6","42","42","42","42","30","30","30","30","42","1658880.0"
"60","30","30","57","57","42","42","40","30","40","234000.0"
"61","23","23","23","23","23","23","10","10","23","3570360.0"
"62","30","30","30","30","30","30","30","30","30","2402820.0"
"63","34","34","34","34","51","2","2","51","18","4048800.0"
"64","51","51","10","10","34","34","10","10","10","60480.0"
"65","23","23","24","24","70","70","23","23","18","43500.0"
"66","30","30","30","30","24","24","57","57","57","855300.0"
"67","51","51","51","51","10","10","10","10","15","4610940.0"
"68","245","245","248","248","40","40","94","94","40","1800.0"
"7","15","15","10","10","15","15","51","51","10","277920.0"
"70","23","23","23","23","23","23","23","23","23","3112140.0"
"71","70","70","70","70","94","94","24","24","57","20520.0"
"72","30","30","30","30","24","24","54","54","57","179580.0"
"73","10","10","51","51","15","15","34","34","51","889200.0"
"75","42","42","42","42","30","30","30","30","42","1567200.0"
"77","70","70","70","70","23","23","23","23","70","1492020.0"
"78","51","51","51","51","10","10","34","34","51","2493060.0"
"79","40","40","142","142","54","54","57","57","40","210600.0"
"80","34","34","34","34","40","40","57","57","54","176400.0"
"82","51","51","51","51","34","34","34","34","40","1459140.0"
"83","51","51","51","51","15","15","34","34","51","378780.0"
"84","30","30","30","30","30","30","30","30","30","1041900.0"
"85","18","18","18","18","34","104","42","34","104","22740.0"
"86","18","18","83","83","34","34","18","18","83","107760.0"
"87","15","15","10","10","10","24","10","24","42","3101820.0"
"89","10","10","15","15","34","34","34","34","10","278460.0"
"9","70","70","23","23","23","23","24","24","57","1695960.0"
"90","18","18","15","15","34","34","10","10","10","298860.0"
"91","51","51","15","15","15","34","15","34","24","498180.0"
"92","18","18","18","18","18","18","24","24","24","1865460.0"
"93","42","42","42","42","30","30","30","30","30","3754200.0"
"95","34","34","10","10","24","15","24","15","34","2623740.0"
"96","40","40","40","40","54","54","54","83","54","80820.0"
"97","40","40","144","144","54","54","54","54","54","890700.0"
"99","24","24","24","24","24","24","54","54","57","315960.0"
