"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Event_10","Event_11","Event_12","remainingTime"
"1","9","9","9","9","15","15","15","15","17","17","2","2","1355580.0"
"10","21","26","21","26","28","28","28","28","30","30","21","21","1359360.0"
"100","34","34","38","38","34","34","34","34","26","26","2","2","849420.0"
"101","34","34","34","34","34","34","34","34","30","30","40","40","1012320.0"
"102","34","34","34","34","40","40","40","47","47","40","40","40","1235040.0"
"103","34","34","40","40","34","34","40","40","40","40","26","34","494880.0"
"104","38","38","38","38","56","58","56","58","58","58","51","51","0.0"
"106","40","40","34","34","26","26","2","2","61","61","26","26","68880.0"
"108","30","30","38","47","47","38","38","38","47","47","2","2","829200.0"
"109","9","15","9","15","26","38","38","38","26","38","9","26","1706400.0"
"11","28","28","75","47","75","75","47","75","28","28","9","9","718440.0"
"110","30","30","38","17","17","38","38","38","30","30","15","15","2410860.0"
"111","9","9","9","9","15","15","56","56","9","9","15","15","1195020.0"
"112","75","75","21","21","28","28","47","21","47","21","21","21","1282380.0"
"114","30","30","26","51","51","26","30","30","26","26","26","26","138180.0"
"115","9","9","38","38","9","9","9","9","9","47","47","47","1688400.0"
"116","91","91","91","91","96","96","97","97","91","17","17","91","514500.0"
"119","28","28","28","28","28","28","75","75","28","28","28","28","256680.0"
"12","75","75","28","28","26","26","28","28","75","75","21","21","1771740.0"
"120","38","38","56","56","30","30","58","58","2","2","2","2","144000.0"
"121","38","38","38","109","109","38","56","58","58","56","38","40","1215840.0"
"122","56","56","56","56","56","56","56","17","17","56","58","58","1786860.0"
"123","56","56","9","9","9","9","15","15","15","15","9","9","224760.0"
"124","9","9","9","9","56","56","15","15","47","47","2","2","376800.0"
"126","56","56","15","15","9","47","9","9","47","9","47","47","457620.0"
"127","30","30","30","30","15","15","38","38","26","26","30","30","1264620.0"
"129","34","47","47","34","34","34","40","40","47","47","2","2","940320.0"
"13","21","21","21","21","28","28","97","97","26","26","96","96","11820.0"
"135","38","38","56","51","51","56","38","38","38","38","38","38","622560.0"
"138","15","15","9","9","9","9","15","15","56","56","17","17","15180.0"
"140","56","56","15","15","58","58","61","61","2","2","116","116","233340.0"
"145","34","34","40","40","34","34","34","34","26","26","2","2","1693740.0"
"147","34","34","40","40","40","40","34","97","97","34","47","47","21780.0"
"148","125","125","128","128","47","47","132","132","47","47","47","47","4440.0"
"155","40","40","40","40","40","40","40","26","26","40","26","26","374400.0"
"156","75","75","75","75","75","75","75","75","75","75","26","26","1093920.0"
"163","140","140","47","47","47","47","47","47","21","21","47","47","5065440.0"
"17","34","34","34","34","34","34","34","141","34","34","34","141","2709300.0"
"174","38","38","30","47","30","30","47","30","51","51","40","40","902940.0"
"177","2","2","143","143","143","143","116","116","17","17","17","17","6265500.0"
"178","145","145","116","116","96","96","96","61","2","96","61","2","5039280.0"
"179","96","96","17","17","97","97","91","91","17","17","97","97","24000.0"
"18","9","9","9","9","56","56","9","9","9","9","9","9","6139560.0"
"182","26","26","91","91","26","26","26","26","97","97","26","26","1060320.0"
"185","28","28","91","91","97","97","97","97","47","47","47","47","7322400.0"
"187","61","61","143","143","116","116","145","145","143","143","116","116","3993360.0"
"188","2","61","61","61","2","61","2","2","26","26","128","128","784980.0"
"189","17","17","17","17","17","17","17","17","17","17","97","97","0.0"
"19","15","15","17","17","9","9","17","17","2","2","61","61","293820.0"
"192","125","125","47","47","28","28","47","28","47","28","28","28","1549080.0"
"194","28","28","28","47","28","47","28","47","47","28","75","75","2140320.0"
"195","47","47","61","61","2","2","2","61","2","61","61","61","797280.0"
"198","56","56","38","38","38","38","47","56","56","47","9","9","6039720.0"
"199","61","61","2","61","61","61","2","2","2","145","61","145","7498200.0"
"20","15","15","26","15","15","26","30","30","30","30","30","30","3183720.0"
"200","109","109","96","96","58","58","58","58","97","97","116","116","4500.0"
"201","58","58","58","58","34","34","34","34","34","34","34","34","4001580.0"
"203","26","26","2","2","61","61","2","2","61","61","97","97","21780.0"
"206","26","26","2","2","2","2","96","96","96","96","26","26","1167000.0"
"207","56","38","56","38","56","38","56","38","38","38","30","30","1674060.0"
"208","75","75","21","21","75","75","75","75","28","28","21","21","3249900.0"
"209","30","30","40","40","40","40","56","56","30","30","38","38","652680.0"
"21","15","15","38","38","26","9","9","9","9","26","9","30","3312000.0"
"210","38","38","30","30","30","30","38","38","30","30","26","26","926700.0"
"211","26","26","116","116","145","145","61","61","2","2","26","26","291360.0"
"212","30","30","30","30","30","26","30","26","38","38","30","30","1065420.0"
"214","30","30","30","30","15","38","15","38","26","26","30","30","1439520.0"
"215","40","40","40","40","145","145","26","26","26","26","2","2","760200.0"
"218","187","187","191","191","191","191","187","187","47","47","97","97","42600.0"
"219","2","2","2","2","116","116","143","143","116","116","116","116","695760.0"
"22","75","75","21","21","21","21","21","21","75","75","58","58","353520.0"
"223","40","47","40","40","40","40","47","40","38","38","40","40","2019360.0"
"225","96","96","96","96","96","96","96","96","96","96","61","61","6048000.0"
"228","40","40","40","40","40","40","26","26","26","26","26","26","311880.0"
"229","40","47","47","40","38","38","40","40","47","47","2","2","390120.0"
"23","56","56","15","15","38","38","58","58","56","58","58","56","3097020.0"
"230","30","30","30","30","30","30","30","26","26","30","38","38","4437540.0"
"231","2","2","116","116","116","116","143","91","143","91","17","17","415200.0"
"232","58","56","58","96","56","96","91","91","91","91","91","91","584760.0"
"233","75","21","75","21","21","21","9","9","47","47","2","2","847680.0"
"234","47","47","47","47","128","128","203","203","128","128","47","47","4417560.0"
"235","17","17","17","28","17","28","28","28","28","28","28","28","2497200.0"
"236","91","91","91","91","26","96","26","96","91","91","91","91","115320.0"
"237","26","26","15","15","26","26","26","26","2","61","2","61","4840080.0"
"238","30","30","38","38","38","38","30","30","15","15","15","26","3863760.0"
"239","30","30","56","38","56","26","26","38","30","30","26","26","1078020.0"
"24","9","9","9","9","58","58","61","61","211","96","96","211","3128400.0"
"240","30","30","38","38","56","56","30","30","38","38","56","56","1055700.0"
"241","56","56","56","56","15","15","47","30","47","30","30","30","291480.0"
"242","30","30","30","30","15","15","38","38","30","30","47","47","604860.0"
"243","30","30","38","47","38","38","47","38","26","26","2","2","410700.0"
"244","91","91","91","91","91","91","91","91","91","47","91","91","308400.0"
"245","21","21","21","17","17","21","21","21","21","21","75","75","2410200.0"
"246","75","75","21","21","75","75","47","47","61","61","2","2","371160.0"
"248","21","21","21","21","75","75","61","61","58","58","2","2","669060.0"
"249","40","40","40","40","47","47","40","40","40","40","9","9","551400.0"
"25","56","56","56","56","56","56","38","38","38","38","56","56","3024600.0"
"250","219","219","219","219","17","219","17","219","219","219","219","219","284460.0"
"251","56","56","9","9","9","9","17","17","2","2","17","17","3792300.0"
"252","30","30","30","26","30","26","26","26","30","30","26","26","294000.0"
"253","75","75","75","75","26","21","26","26","21","26","2","2","482760.0"
