"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Event_10","Event_11","Event_12","Event_13","remainingTime"
"1","8","8","8","8","14","14","14","14","16","16","20","20","2","262800.0"
"10","28","29","28","29","24","24","24","24","32","32","28","28","24","1326420.0"
"100","39","39","43","43","39","39","39","39","29","29","20","20","20","844800.0"
"101","39","39","39","39","39","39","39","39","32","32","45","45","45","1012260.0"
"102","39","39","39","39","45","45","45","52","52","45","45","45","39","1222320.0"
"103","39","39","45","45","39","39","45","45","45","45","29","39","39","484380.0"
"106","45","45","39","39","29","29","20","20","2","2","29","29","57","47100.0"
"108","32","32","43","52","52","43","43","43","52","52","20","20","60","811620.0"
"109","8","14","8","14","29","43","43","43","29","43","8","29","29","1701540.0"
"11","24","24","71","52","71","71","52","71","24","24","8","8","71","703500.0"
"110","32","32","43","16","16","43","43","43","32","32","14","14","43","2323680.0"
"111","8","8","8","8","14","14","85","85","8","8","14","14","80","1184760.0"
"112","71","71","28","28","24","24","52","28","52","28","28","28","24","1272240.0"
"114","32","32","29","89","89","29","32","32","29","29","29","29","29","480.0"
"115","8","8","43","43","8","8","8","8","8","52","52","52","52","1685400.0"
"116","60","60","60","60","98","98","57","57","60","16","16","60","60","514440.0"
"119","24","24","24","24","24","24","71","71","24","24","24","24","24","205260.0"
"12","71","71","24","24","29","29","24","24","71","71","28","28","71","1612440.0"
"120","43","43","85","85","32","32","80","80","20","20","20","20","98","94260.0"
"121","43","43","43","111","111","43","85","80","80","85","43","45","45","1211340.0"
"122","85","85","85","85","85","85","85","16","16","85","80","80","20","1785120.0"
"123","85","85","8","8","8","8","14","14","14","14","8","8","8","224700.0"
"124","8","8","8","8","85","85","14","14","52","52","20","20","89","322080.0"
"126","85","85","14","14","8","52","8","8","52","8","52","52","20","206400.0"
"127","32","32","32","32","14","14","43","43","29","29","32","32","43","1249560.0"
"129","39","52","52","39","39","39","45","45","52","52","20","20","52","940260.0"
"13","28","28","28","28","24","24","57","57","29","29","98","98","29","4500.0"
"135","43","43","85","89","89","85","43","43","43","43","43","43","85","620820.0"
"138","14","14","8","8","8","8","14","14","85","85","16","16","16","15180.0"
"140","85","85","14","14","80","80","2","2","20","20","119","119","119","233280.0"
"145","39","39","45","45","39","39","39","39","29","29","20","20","20","843000.0"
"147","39","39","45","45","45","45","39","57","57","39","52","52","124","13200.0"
"148","130","130","133","133","52","52","137","137","52","52","52","52","52","3180.0"
"155","45","45","45","45","45","45","45","29","29","45","29","29","2","234540.0"
"156","71","71","71","71","71","71","71","71","71","71","29","29","29","755460.0"
"163","145","145","52","52","52","52","52","52","28","28","52","52","145","5065440.0"
"17","39","39","39","39","39","39","39","148","39","39","39","148","147","2709300.0"
"174","43","43","32","52","32","32","52","32","89","89","45","45","43","890040.0"
"177","20","20","150","150","150","150","119","119","16","16","16","16","16","6200100.0"
"178","153","153","119","119","98","98","98","2","20","98","2","20","98","4990680.0"
"179","98","98","16","16","57","57","60","60","16","16","57","57","16","2400.0"
"18","8","8","8","8","85","85","8","8","8","8","8","8","85","6137400.0"
"182","29","29","60","60","29","29","29","29","57","57","29","29","111","754440.0"
"185","24","24","60","60","57","57","57","57","52","52","52","52","52","7083600.0"
"187","2","2","150","150","119","119","153","153","150","150","119","119","153","3993300.0"
"188","20","2","2","2","20","2","20","20","29","29","133","133","153","527940.0"
"19","14","14","16","16","8","8","16","16","20","20","2","2","2","243060.0"
"192","130","130","52","52","24","24","52","24","52","24","24","24","71","1533000.0"
"194","24","24","24","52","24","52","24","52","52","24","71","71","28","2138880.0"
"195","52","52","2","2","20","20","20","2","20","2","2","2","119","488040.0"
"198","85","85","43","43","43","43","52","85","85","52","8","8","85","6039240.0"
"199","2","2","20","2","2","2","20","20","20","153","2","153","153","7498080.0"
"20","14","14","29","14","14","29","32","32","32","32","32","32","85","3173460.0"
"200","111","111","98","98","80","80","80","80","57","57","119","119","119","0.0"
"201","80","80","80","80","39","39","39","39","39","39","39","39","39","3954240.0"
"203","29","29","20","20","2","2","20","20","2","2","57","57","29","780.0"
"206","29","29","20","20","20","20","98","98","98","98","29","29","29","1015500.0"
"207","85","43","85","43","85","43","85","43","43","43","32","32","43","1659600.0"
"208","71","71","28","28","71","71","71","71","24","24","28","28","71","3239220.0"
"209","32","32","45","45","45","45","85","85","32","32","43","43","29","493320.0"
"21","14","14","43","43","29","8","8","8","8","29","8","32","32","3294000.0"
"210","43","43","32","32","32","32","43","43","32","32","29","29","43","925200.0"
"211","29","29","119","119","153","153","2","2","20","20","29","29","29","133020.0"
"212","32","32","32","32","32","29","32","29","43","43","32","32","29","1041060.0"
"214","32","32","32","32","14","43","14","43","29","29","32","32","32","1439520.0"
"215","45","45","45","45","153","153","29","29","29","29","20","20","20","760140.0"
"218","192","192","196","196","196","196","192","192","52","52","57","57","20","5160.0"
"219","20","20","20","20","119","119","150","150","119","119","119","119","153","695700.0"
"22","71","71","28","28","28","28","28","28","71","71","80","80","20","349800.0"
"223","45","52","45","45","45","45","52","45","43","43","45","45","52","1965600.0"
"225","98","98","98","98","98","98","98","98","98","98","2","2","2","6026880.0"
"228","45","45","45","45","45","45","29","29","29","29","29","29","2","296940.0"
"229","45","52","52","45","43","43","45","45","52","52","20","20","20","390060.0"
"23","85","85","14","14","43","43","80","80","85","80","80","85","85","3096540.0"
"230","32","32","32","32","32","32","32","29","29","32","43","43","32","4435800.0"
"231","20","20","119","119","119","119","150","60","150","60","16","16","16","413400.0"
"232","80","85","80","98","85","98","60","60","60","60","60","60","60","537360.0"
"233","71","28","71","28","28","28","8","8","52","52","20","20","20","845100.0"
"234","52","52","52","52","133","133","206","206","133","133","52","52","52","4413180.0"
"235","16","16","16","24","16","24","24","24","24","24","24","24","16","2496600.0"
"236","60","60","60","60","29","98","29","98","60","60","60","60","29","54420.0"
"237","29","29","14","14","29","29","29","29","20","2","20","2","153","4344600.0"
"238","32","32","43","43","43","43","32","32","14","14","14","29","14","3859860.0"
"239","32","32","85","43","85","29","29","43","32","32","29","29","29","555240.0"
"24","8","8","8","8","80","80","2","2","214","98","98","214","80","2809140.0"
"240","32","32","43","43","85","85","32","32","43","43","85","85","2","781200.0"
"241","85","85","85","85","14","14","52","32","52","32","32","32","52","237600.0"
"242","32","32","32","32","14","14","43","43","32","32","52","52","52","604500.0"
"243","32","32","43","52","43","43","52","43","29","29","20","20","20","410700.0"
"244","60","60","60","60","60","60","60","60","60","52","60","60","60","303720.0"
"245","28","28","28","16","16","28","28","28","28","28","71","71","71","2410140.0"
"246","71","71","28","28","71","71","52","52","2","2","20","20","2","349200.0"
"248","28","28","28","28","71","71","2","2","80","80","20","20","20","669060.0"
"249","45","45","45","45","52","52","45","45","45","45","8","8","52","519900.0"
"25","85","85","85","85","85","85","43","43","43","43","85","85","16","2860200.0"
"250","224","224","224","224","16","224","16","224","224","224","224","224","20","210480.0"
"251","85","85","8","8","8","8","16","16","20","20","16","16","2","772080.0"
"252","32","32","32","29","32","29","29","29","32","32","29","29","20","234000.0"
"253","71","71","71","71","29","28","29","29","28","29","20","20","20","482760.0"
"254","20","20","20","20","20","20","2","2","29","29","57","57","29","60.0"
"256","45","45","8","8","32","32","52","52","45","45","39","39","39","2991060.0"
"257","32","32","8","8","85","85","89","89","43","43","85","85","43","6685320.0"
"258","32","32","32","32","43","43","43","43","43","43","43","43","32","1486200.0"
"259","71","71","71","71","24","24","32","32","71","71","24","24","24","6066660.0"
"26","14","14","32","32","32","32","8","8","8","8","80","80","98","3503280.0"
"260","43","43","43","43","43","43","32","32","43","43","71","71","29","4515480.0"
"261","45","45","45","45","29","29","39","39","29","29","2","2","20","510600.0"
"262","14","14","43","43","43","43","29","29","29","29","20","20","20","183900.0"
"263","39","39","39","39","39","52","39","39","52","39","39","39","39","1534320.0"
"264","89","89","89","43","89","43","32","32","29","29","14","14","85","155220.0"
"265","45","45","45","45","45","45","45","45","45","45","29","29","20","272940.0"
"266","16","16","85","85","8","8","85","16","85","85","16","52","52","7285200.0"
"267","14","14","32","32","32","32","14","29","29","14","43","43","43","7149600.0"
"268","45","45","45","29","45","29","45","29","29","45","45","45","98","1774860.0"
"269","45","45","45","52","45","45","52","45","45","45","52","45","45","1632360.0"
"27","45","45","45","45","45","45","45","45","45","45","45","45","45","263880.0"
"271","8","8","8","8","8","8","85","80","85","80","8","80","80","6565500.0"
"272","28","28","71","71","71","71","28","29","28","29","20","20","29","345780.0"
"273","28","28","28","24","24","29","28","29","20","20","20","20","20","194400.0"
"274","39","39","39","52","52","39","39","52","98","39","52","98","98","131400.0"
"277","224","224","80","80","60","60","60","60","60","60","60","60","60","104340.0"
"28","32","32","32","32","14","29","29","14","29","29","14","14","45","2939040.0"
"29","24","24","71","71","28","28","71","71","71","71","71","71","80","2957640.0"
"3","14","16","14","16","8","8","16","16","20","20","20","20","153","207180.0"
"31","8","8","8","8","8","8","43","43","16","16","16","16","20","2687580.0"
"32","32","32","85","85","43","43","85","85","14","14","85","80","80","2386680.0"
"33","32","32","29","32","29","32","32","32","14","14","43","43","29","1906020.0"
"34","24","24","28","28","28","28","8","8","24","52","24","52","20","1784400.0"
"35","85","85","32","32","43","85","43","85","16","16","16","16","153","2315940.0"
"36","43","43","85","85","8","8","8","8","80","43","80","43","43","1457340.0"
"37","45","71","71","45","45","45","32","32","240","240","45","45","45","1758060.0"
"38","14","14","85","85","8","8","8","8","8","8","8","8","45","4765380.0"
"39","71","71","71","52","52","71","71","52","71","52","71","71","24","431040.0"
"4","8","8","43","80","43","43","80","43","85","85","8","8","80","14580.0"
"40","28","28","71","71","28","28","28","28","28","28","8","8","29","1141080.0"
"41","28","28","28","29","28","28","29","28","71","71","20","20","80","1321080.0"
"42","32","32","32","32","29","29","14","14","39","39","32","29","32","410340.0"
"43","39","39","45","29","45","29","45","45","39","39","29","29","20","124320.0"
"44","24","24","71","71","71","71","24","24","24","24","71","71","8","2052840.0"
"45","32","32","43","43","43","43","29","29","45","45","29","29","29","2220.0"
"46","85","85","43","43","85","32","85","32","32","32","52","52","20","123000.0"
"47","39","39","39","29","39","39","29","39","39","39","39","39","29","1274760.0"
"48","14","14","8","8","8","8","52","52","14","14","52","52","20","3105960.0"
"49","45","16","45","16","45","45","111","111","29","29","98","98","29","595980.0"
"50","45","45","45","45","45","45","45","45","29","29","20","20","20","261120.0"
"52","45","45","39","39","39","39","39","39","39","39","39","39","39","573480.0"
"53","45","45","39","39","39","39","39","39","39","39","39","39","45","842400.0"
