"Id","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","remainingTime"
"1","9","9","9","9","2","2","2","2","1519320.0"
"10","19","20","19","20","14","14","14","14","1387020.0"
"100","24","24","29","29","24","24","24","24","2487300.0"
"101","24","24","24","24","24","24","24","24","1036440.0"
"102","24","24","24","24","38","38","38","36","1247100.0"
"103","24","24","38","38","24","24","38","38","505500.0"
"104","29","29","29","29","46","41","46","41","78900.0"
"106","38","38","24","24","20","20","49","49","267240.0"
"108","54","54","29","36","36","29","29","29","938940.0"
"109","9","2","9","2","20","29","29","29","1727460.0"
"11","14","14","61","36","61","61","36","61","769740.0"
"110","54","54","29","68","68","29","29","29","2486520.0"
"111","9","9","9","9","2","2","46","46","1250040.0"
"112","61","61","19","19","14","14","36","19","1300740.0"
"113","9","9","29","29","41","41","49","49","0.0"
"114","54","54","20","78","78","20","54","54","533760.0"
"115","9","9","29","29","9","9","9","9","1696320.0"
"116","86","86","86","86","90","90","82","82","543540.0"
"118","46","46","54","54","54","54","36","36","0.0"
"119","14","14","14","14","14","14","61","61","556020.0"
"12","61","61","14","14","20","20","14","14","1830660.0"
"120","29","29","46","46","54","54","41","41","603240.0"
"121","29","29","29","99","99","29","46","41","1921560.0"
"122","46","46","46","46","46","46","46","68","1942800.0"
"123","46","46","9","9","9","9","2","2","284520.0"
"124","9","9","9","9","46","46","2","2","440640.0"
"125","54","54","2","2","20","2","2","20","5160.0"
"126","46","46","2","2","9","36","9","9","493320.0"
"127","54","54","54","54","2","2","29","29","1298100.0"
"129","24","36","36","24","24","24","38","38","1076700.0"
"13","19","19","19","19","14","14","82","82","38520.0"
"133","46","46","9","9","9","9","2","2","0.0"
"134","9","9","9","9","2","2","9","9","0.0"
"135","29","29","46","78","78","46","29","29","641040.0"
"137","46","46","9","9","2","2","68","68","0.0"
"138","2","2","9","9","9","9","2","2","81540.0"
"140","46","46","2","2","41","41","113","113","843060.0"
"145","24","24","38","38","24","24","24","24","1806660.0"
"147","24","24","38","38","38","38","24","82","50580.0"
"148","122","122","125","125","36","36","120","120","49980.0"
"150","20","20","20","20","20","20","20","20","0.0"
"153","86","86","86","86","36","36","36","36","58800.0"
"154","41","41","137","137","41","41","82","82","0.0"
"155","38","38","38","38","38","38","38","20","393840.0"
"156","61","61","61","61","61","61","61","61","1189560.0"
"163","144","144","36","36","36","36","36","36","6231180.0"
"17","24","24","24","24","24","24","24","145","2732700.0"
"174","29","29","54","36","54","54","36","54","929760.0"
"177","49","49","152","152","152","152","147","147","7009320.0"
"178","154","154","147","147","90","90","90","113","5065320.0"
"179","90","90","68","68","82","82","86","86","240600.0"
"18","9","9","9","9","46","46","9","9","6177600.0"
"182","20","20","86","86","20","20","20","20","1812060.0"
"185","14","14","86","86","82","82","82","82","7371600.0"
"187","113","113","152","152","147","147","154","154","4040580.0"
"188","49","113","113","113","49","113","49","49","3103380.0"
"189","68","68","68","68","68","68","68","68","129600.0"
"19","2","2","68","68","9","9","68","68","1968120.0"
"190","82","82","41","41","41","41","41","41","122100.0"
"192","122","122","36","36","14","14","36","14","1579620.0"
"194","14","14","14","36","14","36","14","36","2204280.0"
"195","36","36","113","113","49","49","49","113","866820.0"
"196","68","68","86","86","41","41","82","82","0.0"
"198","46","46","29","29","29","29","36","46","6071460.0"
"199","113","113","49","113","113","113","49","49","7500000.0"
"20","2","2","20","2","2","20","54","54","3206160.0"
"200","99","99","90","90","41","41","41","41","1525200.0"
"201","41","41","41","41","24","24","24","24","4015380.0"
"203","20","20","49","49","113","113","49","49","155100.0"
"205","90","90","90","90","20","20","82","82","0.0"
"206","20","20","49","49","49","49","90","90","1268880.0"
"207","46","29","46","29","46","29","46","29","1720800.0"
"208","61","61","19","19","61","61","61","61","3288840.0"
"209","54","54","38","38","38","38","46","46","709620.0"
"21","2","2","29","29","20","9","9","9","3428520.0"
"210","29","29","54","54","54","54","29","29","984600.0"
"211","20","20","147","147","154","154","113","113","517500.0"
"212","54","54","54","54","54","20","54","20","1127640.0"
"214","54","54","54","54","2","29","2","29","1449240.0"
"215","38","38","38","38","154","154","20","20","949440.0"
"218","191","191","195","195","195","195","191","191","424200.0"
"219","49","49","49","49","147","147","152","152","723420.0"
"22","61","61","19","19","19","19","19","19","488580.0"
"223","38","36","38","38","38","38","36","38","2099520.0"
"225","90","90","90","90","90","90","90","90","6919740.0"
"228","38","38","38","38","38","38","20","20","465360.0"
"229","38","36","36","38","29","29","38","38","573360.0"
"23","46","46","2","2","29","29","41","41","3112800.0"
"230","54","54","54","54","54","54","54","20","4503120.0"
"231","49","49","147","147","147","147","152","86","635760.0"
"232","41","46","41","90","46","90","86","86","759300.0"
"233","61","19","61","19","19","19","9","9","959940.0"
"234","36","36","36","36","125","125","203","203","4799160.0"
"235","68","68","68","14","68","14","14","14","2985600.0"
"236","86","86","86","86","20","90","20","90","220200.0"
"237","20","20","2","2","20","20","20","20","5455560.0"
"238","54","54","29","29","29","29","54","54","3866400.0"
"239","54","54","46","29","46","20","20","29","1250460.0"
"24","9","9","9","9","41","41","113","113","3507180.0"
"240","54","54","29","29","46","46","54","54","1102380.0"
"241","46","46","46","46","2","2","36","54","320940.0"
"242","54","54","54","54","2","2","29","29","715440.0"
"243","54","54","29","36","29","29","36","29","1094280.0"
"244","86","86","86","86","86","86","86","86","378300.0"
"245","19","19","19","68","68","19","19","19","2642160.0"
"246","61","61","19","19","61","61","36","36","404400.0"
"248","19","19","19","19","61","61","113","113","716940.0"
"249","38","38","38","38","36","36","38","38","758700.0"
"25","46","46","46","46","46","46","29","29","3041100.0"
"250","218","218","218","218","68","218","68","218","550800.0"
"251","46","46","9","9","9","9","68","68","3820440.0"
"252","54","54","54","20","54","20","20","20","409380.0"
"253","61","61","61","61","20","19","20","20","575700.0"
"254","49","49","49","49","49","49","113","113","167460.0"
"255","38","38","20","20","49","49","20","20","394680.0"
"256","38","38","9","9","54","54","36","36","3010200.0"
"257","54","54","9","9","46","46","78","78","6780960.0"
"258","54","54","54","54","29","29","29","29","1531140.0"
"259","61","61","61","61","14","14","54","54","6114180.0"
"26","2","2","54","54","54","54","9","9","3554760.0"
"260","29","29","29","29","29","29","54","54","4723380.0"
"261","38","38","38","38","20","20","24","24","588720.0"
"262","2","2","29","29","29","29","20","20","193860.0"
"263","24","24","24","24","24","36","24","24","1611540.0"
"264","78","78","78","29","78","29","54","54","194940.0"
"265","38","38","38","38","38","38","38","38","869520.0"
"266","68","68","46","46","9","9","46","68","7298100.0"
"267","2","2","54","54","54","54","2","20","7233660.0"
"268","38","38","38","20","38","20","38","20","1811040.0"
"269","38","38","38","36","38","38","36","38","1708020.0"
"27","38","38","38","38","38","38","38","38","502260.0"
"271","9","9","9","9","9","9","46","41","6629760.0"
"272","19","19","61","61","61","61","19","20","1393620.0"
"273","19","19","19","14","14","20","19","20","1850160.0"
"274","24","24","24","36","36","24","24","36","135000.0"
"277","218","218","41","41","86","86","86","86","327540.0"
"28","54","54","54","54","2","20","20","2","3499800.0"
"29","14","14","61","61","19","19","61","61","3476340.0"
"3","2","68","2","68","9","9","68","68","1531200.0"
"30","29","68","68","29","78","78","46","46","74100.0"
"31","9","9","9","9","9","9","29","29","3144660.0"
"32","54","54","46","46","29","29","46","46","2450640.0"
"33","54","54","20","54","20","54","54","54","1962360.0"
"34","14","14","19","19","19","19","9","9","1966560.0"
"35","46","46","54","54","29","46","29","46","2371800.0"
"36","29","29","46","46","9","9","9","9","1505220.0"
"37","38","61","61","38","38","38","54","54","1880100.0"
"38","2","2","46","46","9","9","9","9","4798500.0"
"39","61","61","61","36","36","61","61","36","442020.0"
"4","9","9","29","41","29","29","41","29","74100.0"
"40","19","19","61","61","19","19","19","19","1189500.0"
"41","19","19","19","20","19","19","20","19","1635780.0"
"42","54","54","54","54","20","20","2","2","464340.0"
"43","24","24","38","20","38","20","38","38","378180.0"
"44","14","14","61","61","61","61","14","14","2121840.0"
"45","54","54","29","29","29","29","20","20","597900.0"
"46","46","46","29","29","46","54","46","54","181200.0"
"47","24","24","24","20","24","24","20","24","1412160.0"
"48","2","2","9","9","9","9","36","36","3128520.0"
"49","38","68","38","68","38","38","99","99","1063080.0"
"50","38","38","38","38","38","38","38","38","1228860.0"
"52","38","38","24","24","24","24","24","24","630120.0"
"53","38","38","24","24","24","24","24","24","878820.0"
"54","46","46","2","2","9","9","9","36","247860.0"
"55","14","14","61","61","61","61","36","19","3261780.0"
"56","24","24","38","82","82","38","38","38","28860.0"
"58","86","86","86","86","90","90","86","86","672480.0"
"59","54","54","46","46","29","29","20","20","184980.0"
"6","38","38","38","38","24","24","24","24","1664580.0"
"60","24","24","49","49","38","38","36","24","237540.0"
"61","19","19","19","19","19","19","9","9","3571500.0"
"62","24","24","24","24","24","24","24","24","2402880.0"
"63","29","29","29","29","46","68","68","46","4133220.0"
"64","46","46","9","9","29","29","9","9","141000.0"
"65","19","19","20","20","61","61","19","19","44340.0"
"66","24","24","24","24","20","20","49","49","1721100.0"
"67","46","46","46","46","9","9","9","9","4611780.0"
"68","244","244","247","247","36","36","82","82","48600.0"
"7","2","2","9","9","2","2","46","46","278160.0"
"70","19","19","19","19","19","19","19","19","3166320.0"
"71","61","61","61","61","82","82","20","20","22740.0"
"72","24","24","24","24","20","20","113","113","213840.0"
"73","9","9","46","46","2","2","29","29","904320.0"
"75","38","38","38","38","24","24","24","24","1592400.0"
"77","61","61","61","61","19","19","19","19","1674000.0"
"78","46","46","46","46","9","9","29","29","2494740.0"
"79","36","36","147","147","113","113","49","49","303360.0"
"80","29","29","29","29","36","36","49","49","2018940.0"
"82","46","46","46","46","29","29","29","29","1550940.0"
"83","46","46","46","46","2","2","29","29","380280.0"
"84","24","24","24","24","24","24","24","24","1041900.0"
"85","54","54","54","54","29","99","38","29","25380.0"
"86","54","54","78","78","29","29","54","54","108540.0"
"87","2","2","9","9","9","20","9","20","3130380.0"
"89","9","9","2","2","29","29","29","29","280140.0"
"9","61","61","19","19","19","19","20","20","1704600.0"
"90","54","54","2","2","29","29","9","9","389160.0"
"91","46","46","2","2","2","29","2","29","499260.0"
"92","54","54","54","54","54","54","20","20","1865640.0"
"93","38","38","38","38","24","24","24","24","3754200.0"
"95","29","29","9","9","20","2","20","2","2623860.0"
"96","36","36","36","36","113","113","113","78","83400.0"
"97","36","36","154","154","113","113","113","113","895200.0"
"98","36","36","78","78","113","113","78","78","0.0"
"99","20","20","20","20","20","20","113","113","344700.0"
