concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,concept:name_4,lifecycle:transition_4,org:resource_4,Activity_4,Resource_4,Work_Order_Qty_4,Part_Desc__4,Worker_ID_4,Report_Type_4,Qty_Completed_4,Qty_Rejected_4,Qty_for_MRB_4,concept:name_5,lifecycle:transition_5,org:resource_5,Activity_5,Resource_5,Work_Order_Qty_5,Part_Desc__5,Worker_ID_5,Report_Type_5,Qty_Completed_5,Qty_Rejected_5,Qty_for_MRB_5,concept:name_6,lifecycle:transition_6,org:resource_6,Activity_6,Resource_6,Work_Order_Qty_6,Part_Desc__6,Worker_ID_6,Report_Type_6,Qty_Completed_6,Qty_Rejected_6,Qty_for_MRB_6,concept:name_7,lifecycle:transition_7,org:resource_7,Activity_7,Resource_7,Work_Order_Qty_7,Part_Desc__7,Worker_ID_7,Report_Type_7,Qty_Completed_7,Qty_Rejected_7,Qty_for_MRB_7,concept:name_8,lifecycle:transition_8,org:resource_8,Activity_8,Resource_8,Work_Order_Qty_8,Part_Desc__8,Worker_ID_8,Report_Type_8,Qty_Completed_8,Qty_Rejected_8,Qty_for_MRB_8,concept:name_9,lifecycle:transition_9,org:resource_9,Activity_9,Resource_9,Work_Order_Qty_9,Part_Desc__9,Worker_ID_9,Report_Type_9,Qty_Completed_9,Qty_Rejected_9,Qty_for_MRB_9,concept:name_10,lifecycle:transition_10,org:resource_10,Activity_10,Resource_10,Work_Order_Qty_10,Part_Desc__10,Worker_ID_10,Report_Type_10,Qty_Completed_10,Qty_Rejected_10,Qty_for_MRB_10,concept:name_11,lifecycle:transition_11,org:resource_11,Activity_11,Resource_11,Work_Order_Qty_11,Part_Desc__11,Worker_ID_11,Report_Type_11,Qty_Completed_11,Qty_Rejected_11,Qty_for_MRB_11,concept:name_12,lifecycle:transition_12,org:resource_12,Activity_12,Resource_12,Work_Order_Qty_12,Part_Desc__12,Worker_ID_12,Report_Type_12,Qty_Completed_12,Qty_Rejected_12,Qty_for_MRB_12,concept:name_13,lifecycle:transition_13,org:resource_13,Activity_13,Resource_13,Work_Order_Qty_13,Part_Desc__13,Worker_ID_13,Report_Type_13,Qty_Completed_13,Qty_Rejected_13,Qty_for_MRB_13,remainingTime,prediction
9,1,8,9,10,4,5,8,11,12,7,7,9,13,8,9,10,4,5,8,11,12,7,7,9,1,8,9,10,4,5,8,6,12,7,7,9,13,8,9,10,4,5,8,6,12,7,7,9,1,14,9,10,4,5,14,11,7,7,7,9,13,14,9,10,4,5,14,11,7,7,7,9,1,14,9,10,4,5,14,6,15,7,7,9,13,14,9,10,4,5,14,6,15,7,7,17,1,16,17,18,4,5,16,6,19,12,7,17,13,16,17,18,4,5,16,6,19,12,7,21,1,20,21,22,4,5,20,6,19,7,7,21,13,20,21,22,4,5,20,6,19,7,7,0,1,2,0,3,4,5,2,6,7,7,7,262800.0,530246.590704
23,1,28,23,25,26,27,28,11,12,7,7,30,1,29,30,18,26,27,29,6,7,7,7,23,13,28,23,25,26,27,28,11,12,7,7,30,13,29,30,18,26,27,29,6,7,7,7,23,1,24,23,25,26,27,24,11,7,7,7,23,13,24,23,25,26,27,24,11,7,7,7,23,1,24,23,25,26,27,24,6,31,7,7,23,13,24,23,25,26,27,24,6,31,7,7,23,1,32,23,25,26,27,32,6,33,7,7,23,13,32,23,25,26,27,32,6,33,7,7,23,1,28,23,25,26,27,28,6,34,7,7,23,13,28,23,25,26,27,28,6,34,7,7,23,1,24,23,25,26,27,24,11,12,7,7,1326420.0,1514269.51801
40,1,39,40,41,37,38,39,6,42,7,7,40,13,39,40,41,37,38,39,6,42,7,7,40,1,43,40,41,37,38,43,6,44,7,7,40,13,43,40,41,37,38,43,6,44,7,7,40,1,39,40,41,37,38,39,11,12,7,7,40,13,39,40,41,37,38,39,11,12,7,7,40,1,39,40,41,37,38,39,6,31,7,7,40,13,39,40,41,37,38,39,6,31,7,7,17,1,29,17,18,37,38,29,6,37,7,7,17,13,29,17,18,37,38,29,6,37,7,7,21,1,20,21,22,37,38,20,6,37,7,7,21,13,20,21,22,37,38,20,6,37,7,7,35,1,20,35,36,37,38,20,6,37,7,7,844800.0,663606.710903
48,1,39,48,41,46,47,39,11,7,7,7,48,13,39,48,41,46,47,39,11,7,7,7,40,1,39,40,41,46,47,39,11,7,7,7,40,13,39,40,41,46,47,39,11,7,7,7,40,1,39,40,41,46,47,39,49,7,7,7,40,13,39,40,41,46,47,39,49,7,7,7,40,1,39,40,41,46,47,39,6,42,7,7,40,13,39,40,41,46,47,39,6,42,7,7,40,1,32,40,41,46,47,32,6,31,7,7,40,13,32,40,41,46,47,32,6,31,7,7,40,1,45,40,41,46,47,45,6,50,7,7,40,13,45,40,41,46,47,45,6,50,7,7,40,1,45,40,41,46,47,45,11,7,7,7,1012260.0,841404.479823
40,1,39,40,41,51,27,39,11,7,7,7,40,13,39,40,41,51,27,39,11,7,7,7,40,1,39,40,41,51,27,39,11,7,7,7,40,13,39,40,41,51,27,39,11,7,7,7,40,1,45,40,41,51,27,45,11,7,7,7,40,13,45,40,41,51,27,45,11,7,7,7,40,1,45,40,41,51,27,45,11,7,7,7,17,1,52,17,18,51,27,52,6,7,7,7,17,13,52,17,18,51,27,52,6,7,7,7,40,13,45,40,41,51,27,45,11,7,7,7,40,1,45,40,41,51,27,45,6,50,7,7,40,13,45,40,41,51,27,45,6,50,7,7,40,1,39,40,41,51,27,39,6,19,7,7,1222320.0,1236600.66811
40,1,39,40,41,53,54,39,49,7,7,7,40,13,39,40,41,53,54,39,49,7,7,7,40,1,45,40,41,53,54,45,11,7,7,7,40,13,45,40,41,53,54,45,11,7,7,7,40,1,39,40,41,53,54,39,11,7,7,7,40,13,39,40,41,53,54,39,11,7,7,7,40,1,45,40,41,53,54,45,11,7,7,7,40,13,45,40,41,53,54,45,11,7,7,7,40,1,45,40,41,53,54,45,6,55,7,7,40,13,45,40,41,53,54,45,6,55,7,7,17,1,29,17,18,53,54,29,6,7,7,7,40,1,39,40,41,53,54,39,6,15,7,7,40,13,39,40,41,53,54,39,6,15,7,7,484380.0,509428.515538
40,1,45,40,41,58,38,45,11,7,7,7,40,13,45,40,41,58,38,45,11,7,7,7,40,1,39,40,41,58,38,39,6,58,7,7,40,13,39,40,41,58,38,39,6,58,7,7,17,1,29,17,18,58,38,29,6,58,7,7,17,13,29,17,18,58,38,29,6,58,7,7,21,1,20,21,22,58,38,20,6,58,7,7,21,13,20,21,22,58,38,20,6,58,7,7,35,1,2,35,36,58,38,2,6,58,7,7,35,13,2,35,36,58,38,2,6,58,7,7,59,1,29,59,18,58,38,29,6,7,7,7,59,13,29,59,18,58,38,29,6,7,7,7,56,1,57,56,56,58,38,57,6,58,7,7,47100.0,384199.528401
9,1,32,9,10,61,62,32,11,12,7,7,9,13,32,9,10,61,62,32,11,12,7,7,9,1,43,9,10,61,62,43,11,12,7,7,17,1,52,17,18,61,62,52,6,7,7,7,17,13,52,17,18,61,62,52,6,7,7,7,9,13,43,9,10,61,62,43,11,12,7,7,9,1,43,9,10,61,62,43,6,63,7,7,9,13,43,9,10,61,62,43,6,63,7,7,17,1,52,17,18,61,62,52,6,55,12,7,17,13,52,17,18,61,62,52,6,55,12,7,21,1,20,21,22,61,62,20,6,55,7,7,21,13,20,21,22,61,62,20,6,55,7,7,35,1,60,35,36,61,62,60,6,7,7,7,811620.0,625820.209176
9,1,8,9,10,64,65,8,11,7,7,7,9,1,14,9,10,64,65,14,11,66,7,7,9,13,8,9,10,64,65,8,11,7,7,7,9,13,14,9,10,64,65,14,11,66,7,7,17,1,29,17,18,64,65,29,6,67,7,7,9,1,43,9,10,64,65,43,11,12,7,7,9,13,43,9,10,64,65,43,11,12,7,7,9,1,43,9,10,64,65,43,6,68,7,7,17,13,29,17,18,64,65,29,6,67,7,7,9,13,43,9,10,64,65,43,6,68,7,7,9,1,8,9,10,64,65,8,6,69,7,7,17,1,29,17,18,64,65,29,6,7,7,7,17,13,29,17,18,64,65,29,6,7,7,7,1701540.0,1540563.66236
70,1,24,70,72,73,27,24,11,7,7,7,70,13,24,70,72,73,27,24,11,7,7,7,70,1,71,70,72,73,27,71,6,12,7,7,17,1,52,17,18,73,27,52,6,7,7,7,70,13,71,70,72,73,27,71,6,12,7,7,70,1,71,70,72,73,27,71,6,31,7,7,17,13,52,17,18,73,27,52,6,7,7,7,70,13,71,70,72,73,27,71,6,31,7,7,70,1,24,70,72,73,27,24,6,37,7,7,70,13,24,70,72,73,27,24,6,37,7,7,70,1,8,70,72,73,27,8,6,74,7,7,70,13,8,70,72,73,27,8,6,74,7,7,70,1,71,70,72,73,27,71,6,42,7,7,703500.0,453100.245793
