Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,prediction
109,8,14,8,14,29,43,43,43,29,43,8,29,29,17,13,29,17,18,64,65,29,6,7,7,7,1701540.0,1923323.79733
119,24,24,24,24,24,24,71,71,24,24,24,24,24,70,1,24,70,72,100,101,24,6,102,7,7,205260.0,1621686.09879
12,71,71,24,24,29,29,24,24,71,71,28,28,71,103,1,71,103,25,104,27,71,6,63,7,7,1612440.0,852561.647966
120,43,43,85,85,32,32,80,80,20,20,20,20,98,105,1,98,105,106,107,5,98,11,7,7,7,94260.0,2736920.57018
121,43,43,43,111,111,43,85,80,80,85,43,45,45,9,13,45,9,10,91,110,45,11,7,7,7,1211340.0,464094.607956
127,32,32,32,32,14,14,43,43,29,29,32,32,43,75,1,43,75,76,114,38,43,6,115,7,7,1249560.0,1629117.54097
13,28,28,28,28,24,24,57,57,29,29,98,98,29,59,1,29,59,18,88,27,29,6,88,7,7,4500.0,871300.239395
140,85,85,14,14,80,80,2,2,20,20,119,119,119,118,1,119,118,120,107,5,119,6,66,7,7,233280.0,867463.503966
145,39,39,45,45,39,39,39,39,29,29,20,20,20,0,1,20,0,3,115,121,20,6,115,7,7,843000.0,1428835.42767
178,153,153,119,119,98,98,98,2,20,98,2,20,98,151,1,98,151,94,152,5,98,6,7,7,7,4990680.0,3041837.1083
188,20,2,2,2,20,2,20,20,29,29,133,133,153,154,1,153,154,155,161,162,153,11,7,7,7,527940.0,1836027.50151
194,24,24,24,52,24,52,24,52,52,24,71,71,28,70,1,28,70,72,100,165,28,6,42,7,7,2138880.0,565344.430935
200,111,111,98,98,80,80,80,80,57,57,119,119,119,0,13,119,0,3,64,5,119,6,12,7,7,0.0,1808466.18206
212,32,32,32,32,32,29,32,29,43,43,32,32,29,17,1,29,17,18,187,38,29,6,7,12,7,1041060.0,2140638.39054
218,192,192,196,196,196,196,192,192,52,52,57,57,20,21,1,20,21,22,190,178,20,6,191,7,7,5160.0,2649897.72269
230,32,32,32,32,32,32,32,29,29,32,43,43,32,75,1,32,75,76,201,27,32,6,115,7,7,4435800.0,2085356.19087
234,52,52,52,52,133,133,206,206,133,133,52,52,52,30,13,52,30,18,126,203,52,6,7,7,7,4413180.0,2971332.2441
236,60,60,60,60,29,98,29,98,60,60,60,60,29,59,1,29,59,18,88,27,29,6,88,7,7,54420.0,843337.682376
249,45,45,45,45,52,52,45,45,45,45,8,8,52,17,1,52,17,18,220,38,52,6,221,7,7,519900.0,2437963.34281
251,85,85,8,8,8,8,16,16,20,20,16,16,2,0,1,2,0,3,107,5,2,6,107,7,7,772080.0,540203.622706
253,71,71,71,71,29,28,29,29,28,29,20,20,20,0,1,20,0,3,69,227,20,6,7,7,7,482760.0,1106775.42036
260,43,43,43,43,43,43,32,32,43,43,71,71,29,17,1,29,17,18,233,38,29,6,7,7,7,4515480.0,2326523.00961
262,14,14,43,43,43,43,29,29,29,29,20,20,20,35,1,20,35,36,78,27,20,6,7,7,7,183900.0,1367575.34588
264,89,89,89,43,89,43,32,32,29,29,14,14,85,75,1,85,75,76,235,218,85,6,107,7,7,155220.0,3515899.66248
265,45,45,45,45,45,45,45,45,45,45,29,29,20,21,1,20,21,22,19,236,20,6,19,7,7,272940.0,695177.31459
268,45,45,45,29,45,29,45,29,29,45,45,45,98,40,1,98,40,41,115,239,98,6,44,7,7,1774860.0,2377472.82955
29,24,24,71,71,28,28,71,71,71,71,71,71,80,17,1,80,17,18,181,5,80,6,140,7,7,2957640.0,2820882.27622
32,32,32,85,85,43,43,85,85,14,14,85,80,80,17,13,80,17,18,158,47,80,6,7,7,7,2386680.0,2959470.80435
35,85,85,32,32,43,85,43,85,16,16,16,16,153,21,1,153,21,22,61,5,153,6,55,7,7,2315940.0,1880526.74453
40,28,28,71,71,28,28,28,28,28,28,8,8,29,30,1,29,30,18,78,27,29,6,78,7,7,1141080.0,1440674.42614
41,28,28,28,29,28,28,29,28,71,71,20,20,80,17,1,80,17,18,88,27,80,6,88,7,7,1321080.0,1625172.23215
48,14,14,8,8,8,8,52,52,14,14,52,52,20,21,1,20,21,22,79,5,20,6,247,7,7,3105960.0,879513.487061
53,45,45,39,39,39,39,39,39,39,39,39,39,45,40,1,45,40,41,4,249,45,11,7,7,7,842400.0,544893.815835
60,39,39,20,20,45,45,52,39,52,39,45,45,52,30,1,52,30,18,61,253,52,6,7,7,7,115200.0,1067912.86754
73,8,8,85,85,14,14,43,43,85,85,8,8,8,9,1,8,9,10,64,209,8,6,141,7,7,876660.0,1479173.46075
77,71,71,71,71,28,28,28,28,71,71,24,16,16,17,13,16,17,18,100,174,16,6,58,12,7,1456800.0,1172177.68974
97,52,52,153,153,2,2,2,2,2,2,20,20,20,0,1,20,0,3,73,38,20,6,73,7,7,854460.0,1643056.82105
