Id,concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,concept:name_4,lifecycle:transition_4,org:resource_4,Activity_4,Resource_4,Work_Order_Qty_4,Part_Desc__4,Worker_ID_4,Report_Type_4,Qty_Completed_4,Qty_Rejected_4,Qty_for_MRB_4,concept:name_5,lifecycle:transition_5,org:resource_5,Activity_5,Resource_5,Work_Order_Qty_5,Part_Desc__5,Worker_ID_5,Report_Type_5,Qty_Completed_5,Qty_Rejected_5,Qty_for_MRB_5,concept:name_6,lifecycle:transition_6,org:resource_6,Activity_6,Resource_6,Work_Order_Qty_6,Part_Desc__6,Worker_ID_6,Report_Type_6,Qty_Completed_6,Qty_Rejected_6,Qty_for_MRB_6,concept:name_7,lifecycle:transition_7,org:resource_7,Activity_7,Resource_7,Work_Order_Qty_7,Part_Desc__7,Worker_ID_7,Report_Type_7,Qty_Completed_7,Qty_Rejected_7,Qty_for_MRB_7,concept:name_8,lifecycle:transition_8,org:resource_8,Activity_8,Resource_8,Work_Order_Qty_8,Part_Desc__8,Worker_ID_8,Report_Type_8,Qty_Completed_8,Qty_Rejected_8,Qty_for_MRB_8,concept:name_9,lifecycle:transition_9,org:resource_9,Activity_9,Resource_9,Work_Order_Qty_9,Part_Desc__9,Worker_ID_9,Report_Type_9,Qty_Completed_9,Qty_Rejected_9,Qty_for_MRB_9,concept:name_10,lifecycle:transition_10,org:resource_10,Activity_10,Resource_10,Work_Order_Qty_10,Part_Desc__10,Worker_ID_10,Report_Type_10,Qty_Completed_10,Qty_Rejected_10,Qty_for_MRB_10,concept:name_11,lifecycle:transition_11,org:resource_11,Activity_11,Resource_11,Work_Order_Qty_11,Part_Desc__11,Worker_ID_11,Report_Type_11,Qty_Completed_11,Qty_Rejected_11,Qty_for_MRB_11,concept:name_12,lifecycle:transition_12,org:resource_12,Activity_12,Resource_12,Work_Order_Qty_12,Part_Desc__12,Worker_ID_12,Report_Type_12,Qty_Completed_12,Qty_Rejected_12,Qty_for_MRB_12,concept:name_13,lifecycle:transition_13,org:resource_13,Activity_13,Resource_13,Work_Order_Qty_13,Part_Desc__13,Worker_ID_13,Report_Type_13,Qty_Completed_13,Qty_Rejected_13,Qty_for_MRB_13,remainingTime,prediction
101,48,1,39,48,41,46,47,39,11,7,7,7,48,13,39,48,41,46,47,39,11,7,7,7,40,1,39,40,41,46,47,39,11,7,7,7,40,13,39,40,41,46,47,39,11,7,7,7,40,1,39,40,41,46,47,39,49,7,7,7,40,13,39,40,41,46,47,39,49,7,7,7,40,1,39,40,41,46,47,39,6,42,7,7,40,13,39,40,41,46,47,39,6,42,7,7,40,1,32,40,41,46,47,32,6,31,7,7,40,13,32,40,41,46,47,32,6,31,7,7,40,1,45,40,41,46,47,45,6,50,7,7,40,13,45,40,41,46,47,45,6,50,7,7,40,1,45,40,41,46,47,45,11,7,7,7,1012260.0,1211017.2
111,82,1,8,82,10,81,5,8,11,12,7,7,82,13,8,82,10,81,5,8,11,12,7,7,82,1,8,82,10,81,5,8,6,83,7,7,82,13,8,82,10,81,5,8,6,83,7,7,82,1,14,82,10,81,5,14,6,84,7,7,82,13,14,82,10,81,5,14,6,84,7,7,82,1,85,82,10,81,5,85,6,86,7,7,82,13,85,82,10,81,5,85,6,86,7,7,82,1,8,82,10,81,5,8,6,73,7,7,82,13,8,82,10,81,5,8,6,73,7,7,82,1,14,82,10,81,5,14,6,46,7,7,82,13,14,82,10,81,5,14,6,46,7,7,30,1,80,30,18,81,5,80,6,81,7,7,1184760.0,1094012.4
114,75,1,32,75,76,88,38,32,11,12,7,7,75,13,32,75,76,88,38,32,11,12,7,7,17,1,29,17,18,88,38,29,6,7,7,7,75,1,89,75,76,88,38,89,11,7,7,7,75,13,89,75,76,88,38,89,11,7,7,7,17,13,29,17,18,88,38,29,6,7,7,7,75,1,32,75,76,88,38,32,6,74,7,7,75,13,32,75,76,88,38,32,6,74,7,7,17,1,29,17,18,88,38,29,6,74,7,7,17,13,29,17,18,88,38,29,6,74,7,7,17,1,29,17,18,88,38,29,6,7,12,7,17,13,29,17,18,88,38,29,6,7,12,7,17,1,29,17,18,88,38,29,6,7,7,7,480.0,923787.6
119,70,1,24,70,72,100,101,24,11,7,7,7,70,13,24,70,72,100,101,24,11,7,7,7,70,1,24,70,72,100,101,24,11,7,7,7,70,13,24,70,72,100,101,24,11,7,7,7,70,1,24,70,72,100,101,24,11,12,7,7,70,13,24,70,72,100,101,24,11,12,7,7,70,1,71,70,72,100,101,71,6,66,7,7,70,13,71,70,72,100,101,71,6,66,7,7,70,1,24,70,72,100,101,24,6,42,7,7,70,13,24,70,72,100,101,24,6,42,7,7,70,1,24,70,72,100,101,24,6,102,7,7,70,13,24,70,72,100,101,24,6,102,7,7,70,1,24,70,72,100,101,24,6,102,7,7,205260.0,1609706.4
140,108,1,85,108,109,107,5,85,11,66,7,7,108,13,85,108,109,107,5,85,11,66,7,7,108,1,14,108,109,107,5,14,6,50,7,7,108,13,14,108,109,107,5,14,6,50,7,7,17,1,80,17,18,107,5,80,6,50,66,7,17,13,80,17,18,107,5,80,6,50,66,7,21,1,2,21,22,107,5,2,6,50,7,7,21,13,2,21,22,107,5,2,6,50,7,7,0,1,20,0,3,107,5,20,6,50,7,7,0,13,20,0,3,107,5,20,6,50,7,7,118,1,119,118,120,107,5,119,11,12,7,7,118,13,119,118,120,107,5,119,11,12,7,7,118,1,119,118,120,107,5,119,6,66,7,7,233280.0,1048449.6
147,122,1,39,122,41,126,127,39,11,12,7,7,122,13,39,122,41,126,127,39,11,12,7,7,122,1,45,122,41,126,127,45,11,7,7,7,122,13,45,122,41,126,127,45,11,7,7,7,122,1,45,122,41,126,127,45,6,92,7,7,122,13,45,122,41,126,127,45,6,92,7,7,122,1,39,122,41,126,127,39,6,68,7,7,56,1,57,56,56,126,127,57,6,128,7,7,56,13,57,56,56,126,127,57,6,128,7,7,122,13,39,122,41,126,127,39,6,68,7,7,30,1,52,30,18,126,127,52,6,128,7,7,30,13,52,30,18,126,127,52,6,128,7,7,123,1,124,123,125,126,127,124,6,128,7,7,13200.0,1589815.2
174,75,1,43,75,76,83,38,43,11,7,7,7,75,13,43,75,76,83,38,43,11,7,7,7,75,1,32,75,76,83,38,32,11,12,7,7,17,1,52,17,18,83,38,52,11,7,7,7,75,13,32,75,76,83,38,32,11,12,7,7,75,1,32,75,76,83,38,32,6,42,7,7,17,13,52,17,18,83,38,52,11,7,7,7,75,13,32,75,76,83,38,32,6,42,7,7,75,1,89,75,76,83,38,89,6,34,7,7,75,13,89,75,76,83,38,89,6,34,7,7,75,1,45,75,76,83,38,45,6,61,7,7,75,13,45,75,76,83,38,45,6,61,7,7,75,1,43,75,76,83,38,43,6,61,7,7,890040.0,1328362.8
177,0,1,20,0,3,149,5,20,6,42,7,7,0,13,20,0,3,149,5,20,6,42,7,7,118,1,150,118,120,149,5,150,11,7,7,7,118,13,150,118,120,149,5,150,11,7,7,7,118,1,150,118,120,149,5,150,6,66,7,7,118,13,150,118,120,149,5,150,6,66,7,7,118,1,119,118,120,149,5,119,6,91,7,7,118,13,119,118,120,149,5,119,6,91,7,7,59,1,16,59,18,149,5,16,6,7,7,7,59,13,16,59,18,149,5,16,6,7,7,7,59,1,16,59,18,149,5,16,6,7,7,7,59,13,16,59,18,149,5,16,6,7,7,7,59,1,16,59,18,149,5,16,6,7,34,7,6200100.0,1596376.8
178,154,1,153,154,155,152,5,153,6,68,7,7,154,13,153,154,155,152,5,153,6,68,7,7,118,1,119,118,120,152,5,119,11,7,7,7,118,13,119,118,120,152,5,119,11,7,7,7,151,1,98,151,94,152,5,98,6,7,7,7,151,13,98,151,94,152,5,98,6,7,7,7,151,1,98,151,94,152,5,98,6,7,7,7,0,1,2,0,3,152,5,2,6,7,7,7,0,1,20,0,3,152,5,20,6,7,7,7,151,13,98,151,94,152,5,98,6,7,7,7,0,13,2,0,3,152,5,2,6,7,7,7,0,13,20,0,3,152,5,20,6,7,7,7,151,1,98,151,94,152,5,98,6,7,7,7,4990680.0,2876727.6
188,21,1,20,21,22,161,162,20,6,163,7,7,0,1,2,0,3,161,162,2,6,7,7,7,0,13,2,0,3,161,162,2,6,7,7,7,0,1,2,0,3,161,162,2,6,7,7,7,21,13,20,21,22,161,162,20,6,163,7,7,0,13,2,0,3,161,162,2,6,7,7,7,0,1,20,0,3,161,162,20,6,163,7,7,0,13,20,0,3,161,162,20,6,163,7,7,17,1,29,17,18,161,162,29,6,46,7,7,17,13,29,17,18,161,162,29,6,46,7,7,164,1,133,164,164,161,162,133,6,46,7,7,164,13,133,164,164,161,162,133,6,46,7,7,154,1,153,154,155,161,162,153,11,7,7,7,527940.0,3114040.8
