Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,prediction
100,39,39,43,43,39,39,39,39,29,29,20,20,20,35,1,20,35,36,37,38,20,6,37,7,7,844800.0,613716.0
101,39,39,39,39,39,39,39,39,32,32,45,45,45,40,1,45,40,41,46,47,45,11,7,7,7,1012260.0,1180252.8
102,39,39,39,39,45,45,45,52,52,45,45,45,39,40,1,39,40,41,51,27,39,6,19,7,7,1222320.0,859516.8
103,39,39,45,45,39,39,45,45,45,45,29,39,39,40,13,39,40,41,53,54,39,6,15,7,7,484380.0,1073820.0
108,32,32,43,52,52,43,43,43,52,52,20,20,60,35,1,60,35,36,61,62,60,6,7,7,7,811620.0,580743.6
11,24,24,71,52,71,71,52,71,24,24,8,8,71,70,1,71,70,72,73,27,71,6,42,7,7,703500.0,1830007.2
121,43,43,43,111,111,43,85,80,80,85,43,45,45,9,13,45,9,10,91,110,45,11,7,7,7,1211340.0,1228856.4
126,85,85,14,14,8,52,8,8,52,8,52,52,20,21,1,20,21,22,4,47,20,6,19,7,7,206400.0,1175479.2
147,39,39,45,45,45,45,39,57,57,39,52,52,124,123,1,124,123,125,126,127,124,6,128,7,7,13200.0,1905692.4
148,130,130,133,133,52,52,137,137,52,52,52,52,52,59,13,52,59,18,129,127,52,6,7,7,7,3180.0,1882080.0
155,45,45,45,45,45,45,45,29,29,45,29,29,2,21,1,2,21,22,140,38,2,6,141,7,7,234540.0,777144.0
178,153,153,119,119,98,98,98,2,20,98,2,20,98,151,1,98,151,94,152,5,98,6,7,7,7,4990680.0,3784534.8
185,24,24,60,60,57,57,57,57,52,52,52,52,52,17,1,52,17,18,31,5,52,6,42,7,7,7083600.0,460647.6
195,52,52,2,2,20,20,20,2,20,2,2,2,119,118,1,119,118,120,112,166,119,11,7,7,7,488040.0,2763699.6
201,80,80,80,80,39,39,39,39,39,39,39,39,39,122,1,39,122,142,88,172,39,6,12,7,7,3954240.0,1644805.2
208,71,71,28,28,71,71,71,71,24,24,28,28,71,70,1,71,70,72,63,5,71,6,102,7,7,3239220.0,1049470.8
209,32,32,45,45,45,45,85,85,32,32,43,43,29,17,1,29,17,18,179,38,29,6,179,7,7,493320.0,2324834.4
210,43,43,32,32,32,32,43,43,32,32,29,29,43,75,1,43,75,76,182,27,43,6,141,7,7,925200.0,1764673.2
212,32,32,32,32,32,29,32,29,43,43,32,32,29,17,1,29,17,18,187,38,29,6,7,12,7,1041060.0,2196244.8
223,45,52,45,45,45,45,52,45,43,43,45,45,52,17,1,52,17,18,79,38,52,6,79,7,7,1965600.0,1241131.2
234,52,52,52,52,133,133,206,206,133,133,52,52,52,30,13,52,30,18,126,203,52,6,7,7,7,4413180.0,1607052.0
236,60,60,60,60,29,98,29,98,60,60,60,60,29,59,1,29,59,18,88,27,29,6,88,7,7,54420.0,1617352.8
241,85,85,85,85,14,14,52,32,52,32,32,32,52,17,1,52,17,18,69,38,52,6,61,7,7,237600.0,1226373.6
242,32,32,32,32,14,14,43,43,32,32,52,52,52,17,1,52,17,18,100,27,52,6,7,12,7,604500.0,1251286.8
252,32,32,32,29,32,29,29,29,32,32,29,29,20,21,1,20,21,22,91,38,20,6,91,7,7,234000.0,735829.2
259,71,71,71,71,24,24,32,32,71,71,24,24,24,70,1,24,70,72,232,144,24,6,12,7,7,6066660.0,1533865.2
261,45,45,45,45,29,29,39,39,29,29,2,2,20,21,1,20,21,22,126,218,20,6,126,7,7,510600.0,1289342.4
27,45,45,45,45,45,45,45,45,45,45,45,45,45,40,1,45,40,41,91,38,45,6,91,7,7,263880.0,1250092.8
33,32,32,29,32,29,32,32,32,14,14,43,43,29,17,1,29,17,18,79,38,29,6,7,12,7,1906020.0,929287.2
54,85,85,14,14,8,8,8,52,52,8,14,14,52,17,1,52,17,18,51,38,52,6,7,50,7,181800.0,1624802.4
58,60,60,60,60,98,98,60,60,29,20,29,20,57,56,1,57,56,56,92,54,57,6,92,7,7,3600.0,655983.6
6,45,45,45,45,39,39,39,39,45,45,45,45,29,17,1,29,17,18,252,218,29,6,7,7,7,1621500.0,2400920.4
66,39,39,39,39,29,29,20,20,20,20,206,206,29,30,1,29,30,18,4,121,29,6,7,7,7,248280.0,1357886.4
7,14,14,8,8,14,14,85,85,8,8,8,8,29,17,1,29,17,18,15,218,29,6,15,7,7,229260.0,2013124.8
71,71,71,71,71,57,57,29,29,20,20,20,20,29,59,1,29,59,18,58,27,29,6,91,7,7,4500.0,340638.0
90,32,32,14,14,43,43,8,8,8,32,32,89,89,75,13,89,75,76,159,263,89,6,107,7,7,229860.0,2017731.6
99,29,29,29,29,29,29,2,2,20,20,20,20,29,59,1,29,59,18,273,144,29,6,7,7,7,113100.0,2341233.6
