Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,remainingTime,prediction
145,145,52,52,52,52,52,52,28,28,52,52,145,5065440.0,5815777.2
20,20,150,150,150,150,119,119,16,16,16,16,16,6200100.0,5957972.4
153,153,119,119,98,98,98,2,20,98,2,20,98,4990680.0,5416534.8
8,8,8,8,85,85,8,8,8,8,8,8,85,6137400.0,5991612.0
24,24,60,60,57,57,57,57,52,52,52,52,52,7083600.0,6721791.6
85,85,43,43,43,43,52,85,85,52,8,8,85,6039240.0,6029623.2
2,2,20,2,2,2,20,20,20,153,2,153,153,7498080.0,6706714.8
98,98,98,98,98,98,98,98,98,98,2,2,2,6026880.0,5976630.0
71,71,71,71,24,24,32,32,71,71,24,24,24,6066660.0,6012696.0
14,14,32,32,32,32,14,29,29,14,43,43,43,7149600.0,6776011.2
8,8,8,8,8,8,85,80,85,80,8,80,80,6565500.0,6538384.8
14,14,85,85,8,8,8,8,8,8,8,8,45,4765380.0,5104107.6
8,8,8,8,14,14,14,14,16,16,20,20,2,262800.0,404402.4
28,29,28,29,24,24,24,24,32,32,28,28,24,1326420.0,1133866.8
39,39,43,43,39,39,39,39,29,29,20,20,20,844800.0,784153.2
39,39,39,39,39,39,39,39,32,32,45,45,45,1012260.0,968853.6
39,39,39,39,45,45,45,52,52,45,45,45,39,1222320.0,1111596.0
39,39,45,45,39,39,45,45,45,45,29,39,39,484380.0,716714.4
32,32,43,52,52,43,43,43,52,52,20,20,60,811620.0,664393.2
8,14,8,14,29,43,43,43,29,43,8,29,29,1701540.0,1316230.8
24,24,71,52,71,71,52,71,24,24,8,8,71,703500.0,565983.6
8,8,8,8,14,14,85,85,8,8,14,14,80,1184760.0,736156.8
71,71,28,28,24,24,52,28,52,28,28,28,24,1272240.0,1163774.4
32,32,29,89,89,29,32,32,29,29,29,29,29,480.0,241490.4
8,8,43,43,8,8,8,8,8,52,52,52,52,1685400.0,1211157.6
60,60,60,60,98,98,57,57,60,16,16,60,60,514440.0,430459.2
43,43,43,111,111,43,85,80,80,85,43,45,45,1211340.0,982621.2
85,85,85,85,85,85,85,16,16,85,80,80,20,1785120.0,1310697.6
85,85,8,8,8,8,14,14,14,14,8,8,8,224700.0,262789.2
8,8,8,8,85,85,14,14,52,52,20,20,89,322080.0,469021.2
85,85,14,14,8,52,8,8,52,8,52,52,20,206400.0,235006.8
32,32,32,32,14,14,43,43,29,29,32,32,43,1249560.0,1170724.8
39,52,52,39,39,39,45,45,52,52,20,20,52,940260.0,873402.0
28,28,28,28,24,24,57,57,29,29,98,98,29,4500.0,231786.0
43,43,85,89,89,85,43,43,43,43,43,43,85,620820.0,727598.4
85,85,14,14,80,80,2,2,20,20,119,119,119,233280.0,203769.6
39,39,45,45,39,39,39,39,29,29,20,20,20,843000.0,773218.8
39,39,45,45,45,45,39,57,57,39,52,52,124,13200.0,118270.8
130,130,133,133,52,52,137,137,52,52,52,52,52,3180.0,158986.8
45,45,45,45,45,45,45,29,29,45,29,29,2,234540.0,379693.2
71,71,71,71,71,71,71,71,71,71,29,29,29,755460.0,671246.4
43,43,32,52,32,32,52,32,89,89,45,45,43,890040.0,1035666.0
98,98,16,16,57,57,60,60,16,16,57,57,16,2400.0,68874.0
14,14,16,16,8,8,16,16,20,20,2,2,2,243060.0,327919.2
130,130,52,52,24,24,52,24,52,24,24,24,71,1533000.0,1303298.4
111,111,98,98,80,80,80,80,57,57,119,119,119,0.0,77671.2
29,29,20,20,2,2,20,20,2,2,57,57,29,780.0,122275.2
29,29,20,20,20,20,98,98,98,98,29,29,29,1015500.0,1043840.4
85,43,85,43,85,43,85,43,43,43,32,32,43,1659600.0,1293766.8
32,32,45,45,45,45,85,85,32,32,43,43,29,493320.0,574927.2
43,43,32,32,32,32,43,43,32,32,29,29,43,925200.0,906728.4
29,29,119,119,153,153,2,2,20,20,29,29,29,133020.0,237260.4
32,32,32,32,32,29,32,29,43,43,32,32,29,1041060.0,1154654.4
32,32,32,32,14,43,14,43,29,29,32,32,32,1439520.0,1199091.6
45,45,45,45,153,153,29,29,29,29,20,20,20,760140.0,518125.2
192,192,196,196,196,196,192,192,52,52,57,57,20,5160.0,136867.2
20,20,20,20,119,119,150,150,119,119,119,119,153,695700.0,641415.6
71,71,28,28,28,28,28,28,71,71,80,80,20,349800.0,414711.6
45,45,45,45,45,45,29,29,29,29,29,29,2,296940.0,309007.2
45,52,52,45,43,43,45,45,52,52,20,20,20,390060.0,383127.6
20,20,119,119,119,119,150,60,150,60,16,16,16,413400.0,388562.4
60,60,60,60,29,98,29,98,60,60,60,60,29,54420.0,238214.4
32,32,85,43,85,29,29,43,32,32,29,29,29,555240.0,568557.6
32,32,32,32,14,14,43,43,32,32,52,52,52,604500.0,665469.6
