Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,remainingTime,prediction
106,45,45,39,39,29,29,20,20,2,2,29,29,57,47100.0,939524.4
109,8,14,8,14,29,43,43,43,29,43,8,29,29,1701540.0,2493555.6
122,85,85,85,85,85,85,85,16,16,85,80,80,20,1785120.0,1431486.0
124,8,8,8,8,85,85,14,14,52,52,20,20,89,322080.0,3775999.2
129,39,52,52,39,39,39,45,45,52,52,20,20,52,940260.0,891949.2
145,39,39,45,45,39,39,39,39,29,29,20,20,20,843000.0,613802.4
148,130,130,133,133,52,52,137,137,52,52,52,52,52,3180.0,2378002.8
163,145,145,52,52,52,52,52,52,28,28,52,52,145,5065440.0,991698.0
182,29,29,60,60,29,29,29,29,57,57,29,29,111,754440.0,1415661.6
192,130,130,52,52,24,24,52,24,52,24,24,24,71,1533000.0,1105718.4
194,24,24,24,52,24,52,24,52,52,24,71,71,28,2138880.0,2803688.4
198,85,85,43,43,43,43,52,85,85,52,8,8,85,6039240.0,1688192.4
210,43,43,32,32,32,32,43,43,32,32,29,29,43,925200.0,1196002.8
212,32,32,32,32,32,29,32,29,43,43,32,32,29,1041060.0,1723800.0
239,32,32,85,43,85,29,29,43,32,32,29,29,29,555240.0,657594.0
244,60,60,60,60,60,60,60,60,60,52,60,60,60,303720.0,640681.2
245,28,28,28,16,16,28,28,28,28,28,71,71,71,2410140.0,1626151.2
254,20,20,20,20,20,20,2,2,29,29,57,57,29,60.0,2658428.4
258,32,32,32,32,43,43,43,43,43,43,43,43,32,1486200.0,1755487.2
259,71,71,71,71,24,24,32,32,71,71,24,24,24,6066660.0,1234126.8
260,43,43,43,43,43,43,32,32,43,43,71,71,29,4515480.0,1191476.4
262,14,14,43,43,43,43,29,29,29,29,20,20,20,183900.0,1805892.0
265,45,45,45,45,45,45,45,45,45,45,29,29,20,272940.0,431775.6
271,8,8,8,8,8,8,85,80,85,80,8,80,80,6565500.0,2904632.4
3,14,16,14,16,8,8,16,16,20,20,20,20,153,207180.0,3099432.0
31,8,8,8,8,8,8,43,43,16,16,16,16,20,2687580.0,1446382.8
34,24,24,28,28,28,28,8,8,24,52,24,52,20,1784400.0,2952918.0
41,28,28,28,29,28,28,29,28,71,71,20,20,80,1321080.0,2102022.0
55,24,24,71,71,71,71,52,28,52,28,24,24,71,3089820.0,2856811.2
59,32,32,85,85,43,43,29,29,89,89,251,251,57,135180.0,1231443.6
61,28,28,28,28,28,28,8,8,28,52,28,52,71,3413160.0,1558372.8
7,14,14,8,8,14,14,85,85,8,8,8,8,29,229260.0,1730512.8
75,45,45,45,45,39,39,39,39,45,45,45,45,80,1378200.0,1401847.2
78,85,85,85,85,8,8,43,43,85,85,85,85,32,2464560.0,1855947.6
83,85,85,85,85,14,14,43,43,85,52,52,85,8,365940.0,1430421.6
84,39,39,39,39,39,39,39,39,39,39,29,29,45,853680.0,928914.0
86,32,32,89,89,43,43,32,32,89,89,89,89,52,74820.0,1292090.4
