Id,concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,concept:name_4,lifecycle:transition_4,org:resource_4,Activity_4,Resource_4,Work_Order_Qty_4,Part_Desc__4,Worker_ID_4,Report_Type_4,Qty_Completed_4,Qty_Rejected_4,Qty_for_MRB_4,concept:name_5,lifecycle:transition_5,org:resource_5,Activity_5,Resource_5,Work_Order_Qty_5,Part_Desc__5,Worker_ID_5,Report_Type_5,Qty_Completed_5,Qty_Rejected_5,Qty_for_MRB_5,concept:name_6,lifecycle:transition_6,org:resource_6,Activity_6,Resource_6,Work_Order_Qty_6,Part_Desc__6,Worker_ID_6,Report_Type_6,Qty_Completed_6,Qty_Rejected_6,Qty_for_MRB_6,concept:name_7,lifecycle:transition_7,org:resource_7,Activity_7,Resource_7,Work_Order_Qty_7,Part_Desc__7,Worker_ID_7,Report_Type_7,Qty_Completed_7,Qty_Rejected_7,Qty_for_MRB_7,concept:name_8,lifecycle:transition_8,org:resource_8,Activity_8,Resource_8,Work_Order_Qty_8,Part_Desc__8,Worker_ID_8,Report_Type_8,Qty_Completed_8,Qty_Rejected_8,Qty_for_MRB_8,concept:name_9,lifecycle:transition_9,org:resource_9,Activity_9,Resource_9,Work_Order_Qty_9,Part_Desc__9,Worker_ID_9,Report_Type_9,Qty_Completed_9,Qty_Rejected_9,Qty_for_MRB_9,concept:name_10,lifecycle:transition_10,org:resource_10,Activity_10,Resource_10,Work_Order_Qty_10,Part_Desc__10,Worker_ID_10,Report_Type_10,Qty_Completed_10,Qty_Rejected_10,Qty_for_MRB_10,concept:name_11,lifecycle:transition_11,org:resource_11,Activity_11,Resource_11,Work_Order_Qty_11,Part_Desc__11,Worker_ID_11,Report_Type_11,Qty_Completed_11,Qty_Rejected_11,Qty_for_MRB_11,concept:name_12,lifecycle:transition_12,org:resource_12,Activity_12,Resource_12,Work_Order_Qty_12,Part_Desc__12,Worker_ID_12,Report_Type_12,Qty_Completed_12,Qty_Rejected_12,Qty_for_MRB_12,concept:name_13,lifecycle:transition_13,org:resource_13,Activity_13,Resource_13,Work_Order_Qty_13,Part_Desc__13,Worker_ID_13,Report_Type_13,Qty_Completed_13,Qty_Rejected_13,Qty_for_MRB_13,remainingTime,prediction
1,9,1,8,9,10,4,5,8,11,12,7,7,9,13,8,9,10,4,5,8,11,12,7,7,9,1,8,9,10,4,5,8,6,12,7,7,9,13,8,9,10,4,5,8,6,12,7,7,9,1,14,9,10,4,5,14,11,7,7,7,9,13,14,9,10,4,5,14,11,7,7,7,9,1,14,9,10,4,5,14,6,15,7,7,9,13,14,9,10,4,5,14,6,15,7,7,17,1,16,17,18,4,5,16,6,19,12,7,17,13,16,17,18,4,5,16,6,19,12,7,21,1,20,21,22,4,5,20,6,19,7,7,21,13,20,21,22,4,5,20,6,19,7,7,0,1,2,0,3,4,5,2,6,7,7,7,262800.0,446628.84375
11,70,1,24,70,72,73,27,24,11,7,7,7,70,13,24,70,72,73,27,24,11,7,7,7,70,1,71,70,72,73,27,71,6,12,7,7,17,1,52,17,18,73,27,52,6,7,7,7,70,13,71,70,72,73,27,71,6,12,7,7,70,1,71,70,72,73,27,71,6,31,7,7,17,13,52,17,18,73,27,52,6,7,7,7,70,13,71,70,72,73,27,71,6,31,7,7,70,1,24,70,72,73,27,24,6,37,7,7,70,13,24,70,72,73,27,24,6,37,7,7,70,1,8,70,72,73,27,8,6,74,7,7,70,13,8,70,72,73,27,8,6,74,7,7,70,1,71,70,72,73,27,71,6,42,7,7,703500.0,686363.75
114,75,1,32,75,76,88,38,32,11,12,7,7,75,13,32,75,76,88,38,32,11,12,7,7,17,1,29,17,18,88,38,29,6,7,7,7,75,1,89,75,76,88,38,89,11,7,7,7,75,13,89,75,76,88,38,89,11,7,7,7,17,13,29,17,18,88,38,29,6,7,7,7,75,1,32,75,76,88,38,32,6,74,7,7,75,13,32,75,76,88,38,32,6,74,7,7,17,1,29,17,18,88,38,29,6,74,7,7,17,13,29,17,18,88,38,29,6,74,7,7,17,1,29,17,18,88,38,29,6,7,12,7,17,13,29,17,18,88,38,29,6,7,12,7,17,1,29,17,18,88,38,29,6,7,7,7,480.0,1260039.0
115,9,1,8,9,10,90,38,8,11,7,7,7,9,13,8,9,10,90,38,8,11,7,7,7,9,1,43,9,10,90,38,43,6,64,7,7,9,13,43,9,10,90,38,43,6,64,7,7,9,1,8,9,10,90,38,8,6,91,7,7,9,13,8,9,10,90,38,8,6,91,7,7,9,1,8,9,10,90,38,8,11,7,7,7,9,13,8,9,10,90,38,8,11,7,7,7,9,1,8,9,10,90,38,8,6,92,7,7,17,1,52,17,18,90,38,52,6,7,7,7,17,13,52,17,18,90,38,52,6,7,7,7,17,1,52,17,18,90,38,52,6,90,7,7,17,13,52,17,18,90,38,52,6,90,7,7,1685400.0,2105812.0
138,9,1,14,9,10,100,5,14,11,7,7,7,9,13,14,9,10,100,5,14,11,7,7,7,9,1,8,9,10,100,5,8,11,12,7,7,9,13,8,9,10,100,5,8,11,12,7,7,9,1,8,9,10,100,5,8,6,69,7,7,9,13,8,9,10,100,5,8,6,69,7,7,9,1,14,9,10,100,5,14,6,37,7,7,9,13,14,9,10,100,5,14,6,37,7,7,108,1,85,108,109,100,5,85,6,107,7,7,108,13,85,108,109,100,5,85,6,107,7,7,17,1,16,17,18,100,5,16,6,7,12,7,17,13,16,17,18,100,5,16,6,7,12,7,17,1,16,17,18,100,5,16,6,7,66,7,15180.0,778027.5
179,151,1,98,151,94,146,5,98,6,7,7,7,151,13,98,151,94,146,5,98,6,7,7,7,59,1,16,59,18,146,5,16,6,4,7,7,59,13,16,59,18,146,5,16,6,4,7,7,56,1,57,56,56,146,5,57,6,4,7,7,56,13,57,56,56,146,5,57,6,4,7,7,156,1,60,156,106,146,5,60,6,7,7,7,156,13,60,156,106,146,5,60,6,7,7,7,59,1,16,59,18,146,5,16,6,7,7,7,59,13,16,59,18,146,5,16,6,7,7,7,56,1,57,56,56,146,5,57,6,66,7,7,56,13,57,56,56,146,5,57,6,66,7,7,59,1,16,59,18,146,5,16,6,66,12,7,2400.0,2203369.0
192,131,1,130,131,132,159,127,130,6,7,7,7,131,13,130,131,132,159,127,130,6,7,7,7,17,1,52,17,18,159,127,52,6,7,7,7,17,13,52,17,18,159,127,52,6,7,7,7,23,1,24,23,25,159,127,24,11,12,7,7,23,13,24,23,25,159,127,24,11,12,7,7,17,1,52,17,18,159,127,52,6,7,7,7,23,1,24,23,25,159,127,24,11,7,7,7,17,13,52,17,18,159,127,52,6,7,7,7,23,13,24,23,25,159,127,24,11,7,7,7,23,1,24,23,25,159,127,24,6,42,7,7,23,13,24,23,25,159,127,24,6,42,7,7,23,1,71,23,25,159,127,71,6,7,7,7,1533000.0,1459265.75
20,9,1,14,9,10,169,170,14,11,12,7,7,9,13,14,9,10,169,170,14,11,12,7,7,17,1,29,17,18,169,170,29,6,7,7,7,9,1,14,9,10,169,170,14,6,15,7,7,9,13,14,9,10,169,170,14,6,15,7,7,17,13,29,17,18,169,170,29,6,7,7,7,9,1,32,9,10,169,170,32,6,88,7,7,9,13,32,9,10,169,170,32,6,88,7,7,9,1,32,9,10,169,170,32,11,66,7,7,9,13,32,9,10,169,170,32,11,66,7,7,9,1,32,9,10,169,170,32,6,141,7,7,9,13,32,9,10,169,170,32,6,141,7,7,9,1,85,9,10,169,170,85,6,58,7,7,3173460.0,1536514.625
209,75,1,32,75,76,179,38,32,11,7,7,7,75,13,32,75,76,179,38,32,11,7,7,7,75,1,45,75,76,179,38,45,11,7,7,7,75,13,45,75,76,179,38,45,11,7,7,7,75,1,45,75,76,179,38,45,6,180,7,7,75,13,45,75,76,179,38,45,6,180,7,7,75,1,85,75,76,179,38,85,49,7,7,7,75,13,85,75,76,179,38,85,49,7,7,7,75,1,32,75,76,179,38,32,6,112,7,7,75,13,32,75,76,179,38,32,6,112,7,7,75,1,43,75,76,179,38,43,6,115,7,7,75,13,43,75,76,179,38,43,6,115,7,7,17,1,29,17,18,179,38,29,6,179,7,7,493320.0,1424627.625
21,9,1,14,9,10,149,170,14,11,7,7,7,9,13,14,9,10,149,170,14,11,7,7,7,9,1,43,9,10,149,170,43,6,181,7,7,9,13,43,9,10,149,170,43,6,181,7,7,17,1,29,17,18,149,170,29,6,7,7,7,9,1,8,9,10,149,170,8,6,7,7,7,9,1,8,9,10,149,170,8,6,97,7,7,9,13,8,9,10,149,170,8,6,7,7,7,9,13,8,9,10,149,170,8,6,97,7,7,17,13,29,17,18,149,170,29,6,7,7,7,9,1,8,9,10,149,170,8,6,115,7,7,9,1,32,9,10,149,170,32,6,97,7,7,9,13,32,9,10,149,170,32,6,97,7,7,3294000.0,1153115.625
211,17,1,29,17,18,183,27,29,6,7,7,7,17,13,29,17,18,183,27,29,6,7,7,7,21,1,119,21,22,183,27,119,6,97,7,7,21,13,119,21,22,183,27,119,6,97,7,7,21,1,153,21,22,183,27,153,6,185,7,7,21,13,153,21,22,183,27,153,6,185,7,7,0,1,2,0,3,183,27,2,6,7,7,7,0,13,2,0,3,183,27,2,6,7,7,7,0,1,20,0,3,183,27,20,6,186,7,7,0,13,20,0,3,183,27,20,6,186,7,7,59,1,29,59,18,183,27,29,6,7,7,7,59,13,29,59,18,183,27,29,6,7,7,7,59,1,29,59,18,183,27,29,6,184,7,7,133020.0,960001.0
234,30,1,52,30,18,126,203,52,6,7,7,7,30,13,52,30,18,126,203,52,6,7,7,7,30,1,52,30,18,126,203,52,6,128,12,7,30,13,52,30,18,126,203,52,6,128,12,7,204,1,133,204,205,126,203,133,6,7,7,7,204,13,133,204,205,126,203,133,6,7,7,7,204,1,206,204,205,126,203,206,6,7,7,7,204,13,206,204,205,126,203,206,6,7,7,7,204,1,133,204,205,126,203,133,6,7,7,7,204,13,133,204,205,126,203,133,6,7,7,7,30,1,52,30,18,126,203,52,6,7,7,7,30,1,52,30,18,126,203,52,6,7,7,7,30,13,52,30,18,126,203,52,6,7,7,7,4413180.0,1838705.625
236,93,1,60,93,94,88,27,60,11,7,7,7,93,13,60,93,94,88,27,60,11,7,7,7,93,1,60,93,94,88,27,60,6,7,7,7,93,13,60,93,94,88,27,60,6,7,7,7,17,1,29,17,18,88,27,29,6,7,7,7,93,1,98,93,94,88,27,98,6,7,7,7,17,13,29,17,18,88,27,29,6,7,7,7,93,13,98,93,94,88,27,98,6,7,7,7,93,1,60,93,94,88,27,60,6,69,7,7,93,13,60,93,94,88,27,60,6,69,7,7,93,1,60,93,94,88,27,60,6,34,7,7,93,13,60,93,94,88,27,60,6,34,7,7,59,1,29,59,18,88,27,29,6,88,7,7,54420.0,807785.3125
