Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,prediction
8,8,8,8,14,14,14,14,16,16,20,20,2,0,1,2,0,3,4,5,2,6,7,7,7,262800.0,262799.90625
28,29,28,29,24,24,24,24,32,32,28,28,24,23,1,24,23,25,26,27,24,11,12,7,7,1326420.0,1326419.25
39,39,39,39,39,39,39,39,32,32,45,45,45,40,1,45,40,41,46,47,45,11,7,7,7,1012260.0,1012260.4375
39,39,39,39,45,45,45,52,52,45,45,45,39,40,1,39,40,41,51,27,39,6,19,7,7,1222320.0,1222319.625
45,45,39,39,29,29,20,20,2,2,29,29,57,56,1,57,56,56,58,38,57,6,58,7,7,47100.0,47100.0117188
32,32,29,89,89,29,32,32,29,29,29,29,29,17,1,29,17,18,88,38,29,6,7,7,7,480.0,480.000305176
24,24,24,24,24,24,71,71,24,24,24,24,24,70,1,24,70,72,100,101,24,6,102,7,7,205260.0,205259.953125
43,43,85,85,32,32,80,80,20,20,20,20,98,105,1,98,105,106,107,5,98,11,7,7,7,94260.0,94260.0234375
43,43,43,111,111,43,85,80,80,85,43,45,45,9,13,45,9,10,91,110,45,11,7,7,7,1211340.0,1211339.625
85,85,8,8,8,8,14,14,14,14,8,8,8,9,1,8,9,10,112,5,8,6,66,7,7,224700.0,224700.03125
8,8,8,8,85,85,14,14,52,52,20,20,89,0,1,89,0,3,91,38,89,6,91,7,7,322080.0,322080.125
85,85,14,14,8,52,8,8,52,8,52,52,20,21,1,20,21,22,4,47,20,6,19,7,7,206400.0,206400.015625
32,32,32,32,14,14,43,43,29,29,32,32,43,75,1,43,75,76,114,38,43,6,115,7,7,1249560.0,1249559.625
39,52,52,39,39,39,45,45,52,52,20,20,52,0,1,52,0,18,50,117,52,6,50,7,7,940260.0,940259.75
28,28,28,28,24,24,57,57,29,29,98,98,29,59,1,29,59,18,88,27,29,6,88,7,7,4500.0,4500.00244141
43,43,85,89,89,85,43,43,43,43,43,43,85,108,1,85,108,109,77,47,85,6,55,7,7,620820.0,620819.8125
14,14,8,8,8,8,14,14,85,85,16,16,16,17,1,16,17,18,100,5,16,6,7,66,7,15180.0,15179.9921875
39,39,45,45,39,39,39,39,29,29,20,20,20,0,1,20,0,3,115,121,20,6,115,7,7,843000.0,842999.8125
39,39,45,45,45,45,39,57,57,39,52,52,124,123,1,124,123,125,126,127,124,6,128,7,7,13200.0,13199.9941406
130,130,133,133,52,52,137,137,52,52,52,52,52,59,13,52,59,18,129,127,52,6,7,7,7,3180.0,3180.00097656
71,71,71,71,71,71,71,71,71,71,29,29,29,59,1,29,59,18,143,144,29,6,7,7,7,755460.0,755459.75
43,43,32,52,32,32,52,32,89,89,45,45,43,75,1,43,75,76,83,38,43,6,61,7,7,890040.0,890039.9375
98,98,16,16,57,57,60,60,16,16,57,57,16,59,1,16,59,18,146,5,16,6,66,12,7,2400.0,2399.99975586
29,29,60,60,29,29,29,29,57,57,29,29,111,75,1,111,75,76,158,38,111,6,107,7,7,754440.0,754439.8125
20,2,2,2,20,2,20,20,29,29,133,133,153,154,1,153,154,155,161,162,153,11,7,7,7,527940.0,527939.875
14,14,16,16,8,8,16,16,20,20,2,2,2,0,1,2,0,3,160,5,2,6,68,7,7,243060.0,243059.96875
52,52,2,2,20,20,20,2,20,2,2,2,119,118,1,119,118,120,112,166,119,11,7,7,7,488040.0,488039.875
111,111,98,98,80,80,80,80,57,57,119,119,119,0,13,119,0,3,64,5,119,6,12,7,7,0.0,-0.000464677810669
29,29,20,20,2,2,20,20,2,2,57,57,29,59,1,29,59,18,107,174,29,6,107,7,7,780.0,779.999389648
32,32,45,45,45,45,85,85,32,32,43,43,29,17,1,29,17,18,179,38,29,6,179,7,7,493320.0,493319.84375
43,43,32,32,32,32,43,43,32,32,29,29,43,75,1,43,75,76,182,27,43,6,141,7,7,925200.0,925199.75
29,29,119,119,153,153,2,2,20,20,29,29,29,59,1,29,59,18,183,27,29,6,184,7,7,133020.0,133019.96875
32,32,32,32,14,43,14,43,29,29,32,32,32,75,1,32,75,76,146,38,32,6,113,7,7,1439520.0,1439519.5
192,192,196,196,196,196,192,192,52,52,57,57,20,21,1,20,21,22,190,178,20,6,191,7,7,5160.0,5159.99853516
20,20,20,20,119,119,150,150,119,119,119,119,153,118,1,153,118,120,79,5,153,6,55,7,7,695700.0,695699.8125
71,71,28,28,28,28,28,28,71,71,80,80,20,21,1,20,21,22,107,38,20,6,34,7,7,349800.0,349800.15625
45,45,45,45,45,45,29,29,29,29,29,29,2,21,1,2,21,22,4,38,2,6,19,7,7,296940.0,296939.875
45,52,52,45,43,43,45,45,52,52,20,20,20,35,1,20,35,36,51,38,20,6,51,7,7,390060.0,390059.9375
20,20,119,119,119,119,150,60,150,60,16,16,16,173,1,16,173,18,88,5,16,6,7,7,7,413400.0,413400.125
80,85,80,98,85,98,60,60,60,60,60,60,60,105,1,60,105,106,107,5,60,6,7,7,7,537360.0,537359.6875
32,32,85,43,85,29,29,43,32,32,29,29,29,213,1,29,213,18,69,38,29,6,69,7,7,555240.0,555239.875
32,32,43,43,85,85,32,32,43,43,85,85,2,35,1,2,35,36,217,218,2,6,7,7,7,781200.0,781199.8125
32,32,32,32,14,14,43,43,32,32,52,52,52,17,1,52,17,18,100,27,52,6,7,12,7,604500.0,604499.625
32,32,43,52,43,43,52,43,29,29,20,20,20,0,1,20,0,3,4,27,20,6,19,7,7,410700.0,410699.84375
60,60,60,60,60,60,60,60,60,52,60,60,60,105,13,60,105,106,107,5,60,49,7,7,7,303720.0,303720.15625
28,28,28,28,71,71,2,2,80,80,20,20,20,35,1,20,35,36,51,47,20,6,4,7,7,669060.0,669059.8125
71,71,71,71,29,28,29,29,28,29,20,20,20,0,1,20,0,3,69,227,20,6,7,7,7,482760.0,482760.0625
20,20,20,20,20,20,2,2,29,29,57,57,29,59,1,29,59,18,228,27,29,6,228,7,7,60.0,59.9995346069
32,32,32,32,43,43,43,43,43,43,43,43,32,75,1,32,75,76,64,38,32,6,222,7,7,1486200.0,1486198.75
45,45,45,45,29,29,39,39,29,29,2,2,20,21,1,20,21,22,126,218,20,6,126,7,7,510600.0,510599.90625
14,14,43,43,43,43,29,29,29,29,20,20,20,35,1,20,35,36,78,27,20,6,7,7,7,183900.0,183900.0625
89,89,89,43,89,43,32,32,29,29,14,14,85,75,1,85,75,76,235,218,85,6,107,7,7,155220.0,155220.03125
45,45,45,45,45,45,45,45,45,45,29,29,20,21,1,20,21,22,19,236,20,6,19,7,7,272940.0,272940.09375
28,28,71,71,71,71,28,29,28,29,20,20,29,17,1,29,17,18,88,27,29,6,7,7,7,345780.0,345779.90625
28,28,28,24,24,29,28,29,20,20,20,20,20,0,1,20,0,3,91,27,20,6,91,7,7,194400.0,194400.078125
39,39,39,52,52,39,39,52,98,39,52,98,98,0,1,98,0,3,50,27,98,6,50,7,7,131400.0,131399.984375
224,224,80,80,60,60,60,60,60,60,60,60,60,0,1,60,0,3,50,5,60,6,50,7,7,104340.0,104340.015625
14,16,14,16,8,8,16,16,20,20,20,20,153,154,1,153,154,155,4,5,153,11,7,7,7,207180.0,207180.09375
71,71,71,52,52,71,71,52,71,52,71,71,24,70,1,24,70,72,4,27,24,11,66,7,7,431040.0,431040.09375
28,28,71,71,28,28,28,28,28,28,8,8,29,30,1,29,30,18,78,27,29,6,78,7,7,1141080.0,1141079.625
39,39,45,29,45,29,45,45,39,39,29,29,20,21,1,20,21,22,167,38,20,6,167,7,7,124320.0,124319.984375
32,32,43,43,43,43,29,29,45,45,29,29,29,17,13,29,17,18,61,27,29,6,7,107,7,2220.0,2219.99780273
85,85,43,43,85,32,85,32,32,32,52,52,20,21,1,20,21,22,4,38,20,6,4,7,7,123000.0,122999.976562
39,39,39,29,39,39,29,39,39,39,39,39,29,17,1,29,17,18,4,38,29,6,4,7,7,1274760.0,1274759.625
45,45,45,45,45,45,45,45,29,29,20,20,20,0,13,20,0,3,19,38,20,6,19,7,7,261120.0,261119.96875
45,45,39,39,39,39,39,39,39,39,39,39,39,40,1,39,40,41,229,38,39,6,248,7,7,573480.0,573479.8125
45,45,39,39,39,39,39,39,39,39,39,39,45,40,1,45,40,41,4,249,45,11,7,7,7,842400.0,842399.75
85,85,14,14,8,8,8,52,52,8,14,14,52,17,1,52,17,18,51,38,52,6,7,50,7,181800.0,181799.9375
39,39,45,57,57,45,45,45,29,29,20,20,20,21,1,20,21,22,51,27,20,6,51,7,7,3180.0,3180.00244141
60,60,60,60,98,98,60,60,29,20,29,20,57,56,1,57,56,56,92,54,57,6,92,7,7,3600.0,3600.00244141
32,32,85,85,43,43,29,29,89,89,251,251,57,56,1,57,56,56,4,38,57,6,42,7,7,135180.0,135180.046875
85,85,8,8,43,43,8,8,8,8,85,85,43,108,1,43,108,109,256,5,43,6,7,7,7,36180.0,36179.9921875
39,39,39,39,29,29,20,20,20,20,206,206,29,30,1,29,30,18,4,121,29,6,7,7,7,248280.0,248280.0625
14,14,8,8,14,14,85,85,8,8,8,8,29,17,1,29,17,18,15,218,29,6,15,7,7,229260.0,229260.015625
71,71,71,71,57,57,29,29,20,20,20,20,29,59,1,29,59,18,58,27,29,6,91,7,7,4500.0,4499.99755859
39,39,39,39,29,29,2,2,20,20,20,2,20,21,13,20,21,22,91,27,20,6,91,7,7,167160.0,167159.921875
8,8,85,85,14,14,43,43,85,85,8,8,8,9,1,8,9,10,64,209,8,6,141,7,7,876660.0,876659.875
45,45,45,45,39,39,39,39,45,45,45,45,80,17,1,80,17,18,4,38,80,6,4,7,7,1378200.0,1378199.125
71,71,71,71,28,28,28,28,71,71,24,16,16,17,13,16,17,18,100,174,16,6,58,12,7,1456800.0,1456799.0
43,43,43,43,52,52,20,20,2,2,20,20,150,154,1,150,154,155,37,5,150,11,7,7,7,106440.0,106440.023438
85,85,85,85,43,43,43,43,52,52,20,20,2,242,1,2,242,36,160,5,2,6,7,7,7,309000.0,309000.0625
85,85,85,85,14,14,43,43,85,52,52,85,8,108,1,8,108,109,183,47,8,6,46,7,7,365940.0,365939.9375
39,39,39,39,39,39,39,39,39,39,29,29,45,40,1,45,40,41,61,127,45,6,55,7,7,853680.0,853680.4375
32,32,89,89,43,43,32,32,89,89,89,89,52,17,1,52,17,18,250,38,52,6,4,7,7,74820.0,74819.96875
8,8,14,14,43,43,43,43,8,8,8,8,8,108,1,8,108,109,159,263,8,6,63,7,7,170160.0,170159.96875
71,71,28,28,28,28,29,29,20,20,20,20,98,93,1,98,93,94,88,27,98,11,7,7,7,410520.0,410519.8125
85,85,14,14,14,43,14,43,29,29,32,32,8,108,1,8,108,109,161,264,8,6,265,7,7,495180.0,495179.90625
52,52,52,52,2,2,2,89,2,20,89,20,137,56,1,137,56,56,159,38,137,6,271,7,7,31200.0,31199.9921875
52,52,153,153,2,2,2,2,2,2,20,20,20,0,1,20,0,3,73,38,20,6,73,7,7,854460.0,854459.6875
8,14,8,14,29,43,43,43,29,43,8,29,29,17,13,29,17,18,64,65,29,6,7,7,7,1701540.0,1701539.875
32,32,43,16,16,43,43,43,32,32,14,14,43,75,1,43,75,76,77,38,43,6,78,7,7,2323680.0,2323679.25
8,8,43,43,8,8,8,8,8,52,52,52,52,17,13,52,17,18,90,38,52,6,90,7,7,1685400.0,1685399.625
71,71,24,24,29,29,24,24,71,71,28,28,71,103,1,71,103,25,104,27,71,6,63,7,7,1612440.0,1612439.875
85,85,85,85,85,85,85,16,16,85,80,80,20,21,1,20,21,22,91,110,20,6,91,7,7,1785120.0,1785119.625
39,39,39,39,39,39,39,148,39,39,39,148,147,122,1,147,122,142,73,96,147,6,51,7,7,2709300.0,2709299.25
2,2,150,150,119,119,153,153,150,150,119,119,153,154,1,153,154,155,159,5,153,6,33,7,7,3993300.0,3993299.0
130,130,52,52,24,24,52,24,52,24,24,24,71,23,1,71,23,25,159,127,71,6,7,7,7,1533000.0,1533000.25
24,24,24,52,24,52,24,52,52,24,71,71,28,70,1,28,70,72,100,165,28,6,42,7,7,2138880.0,2138879.25
14,14,29,14,14,29,32,32,32,32,32,32,85,9,1,85,9,10,169,170,85,6,58,7,7,3173460.0,3173461.0
80,80,80,80,39,39,39,39,39,39,39,39,39,122,1,39,122,142,88,172,39,6,12,7,7,3954240.0,3954238.25
85,43,85,43,85,43,85,43,43,43,32,32,43,75,1,43,75,76,177,178,43,11,7,7,7,1659600.0,1659600.0
71,71,28,28,71,71,71,71,24,24,28,28,71,70,1,71,70,72,63,5,71,6,102,7,7,3239220.0,3239219.0
14,14,43,43,29,8,8,8,8,29,8,32,32,9,13,32,9,10,149,170,32,6,97,7,7,3294000.0,3293999.25
45,52,45,45,45,45,52,45,43,43,45,45,52,17,1,52,17,18,79,38,52,6,79,7,7,1965600.0,1965599.875
8,8,8,8,80,80,2,2,214,98,98,214,80,173,1,80,173,18,63,110,80,6,19,50,7,2809140.0,2809139.25
28,28,28,16,16,28,28,28,28,28,71,71,71,23,1,71,23,25,107,5,71,6,34,7,7,2410140.0,2410140.5
45,45,8,8,32,32,52,52,45,45,39,39,39,122,1,39,122,41,73,230,39,6,7,7,7,2991060.0,2991059.0
14,14,32,32,32,32,8,8,8,8,80,80,98,21,1,98,21,22,63,110,98,6,91,7,7,3503280.0,3503279.0
39,39,39,39,39,52,39,39,52,39,39,39,39,40,1,39,40,41,37,234,39,6,12,7,7,1534320.0,1534320.25
45,45,45,29,45,29,45,29,29,45,45,45,98,40,1,98,40,41,115,239,98,6,44,7,7,1774860.0,1774859.5
45,45,45,52,45,45,52,45,45,45,52,45,45,40,1,45,40,41,91,38,45,6,44,7,7,1632360.0,1632361.0
32,32,32,32,14,29,29,14,29,29,14,14,45,75,1,45,75,76,152,38,45,6,69,7,7,2939040.0,2939038.75
24,24,71,71,28,28,71,71,71,71,71,71,80,17,1,80,17,18,181,5,80,6,140,7,7,2957640.0,2957639.25
8,8,8,8,8,8,43,43,16,16,16,16,20,21,1,20,21,22,79,5,20,6,92,7,7,2687580.0,2687579.25
32,32,85,85,43,43,85,85,14,14,85,80,80,17,13,80,17,18,158,47,80,6,7,7,7,2386680.0,2386679.25
32,32,29,32,29,32,32,32,14,14,43,43,29,17,1,29,17,18,79,38,29,6,7,12,7,1906020.0,1906019.625
24,24,28,28,28,28,8,8,24,52,24,52,20,21,1,20,21,22,88,47,20,6,88,7,7,1784400.0,1784399.875
85,85,32,32,43,85,43,85,16,16,16,16,153,21,1,153,21,22,61,5,153,6,55,7,7,2315940.0,2315939.25
