Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,remainingTime,prediction
8,8,8,8,14,14,14,14,16,16,20,20,2,262800.0,262800.0625
28,29,28,29,24,24,24,24,32,32,28,28,24,1326420.0,1326419.625
39,39,39,39,39,39,39,39,32,32,45,45,45,1012260.0,1012259.9375
45,45,39,39,29,29,20,20,2,2,29,29,57,47100.0,47099.9882812
32,32,43,52,52,43,43,43,52,52,20,20,60,811620.0,811619.8125
8,8,8,8,14,14,85,85,8,8,14,14,80,1184760.0,1184759.0
71,71,28,28,24,24,52,28,52,28,28,28,24,1272240.0,1272240.375
32,32,29,89,89,29,32,32,29,29,29,29,29,480.0,480.000305176
8,8,43,43,8,8,8,8,8,52,52,52,52,1685400.0,1685399.625
60,60,60,60,98,98,57,57,60,16,16,60,60,514440.0,514439.90625
24,24,24,24,24,24,71,71,24,24,24,24,24,205260.0,205259.9375
71,71,24,24,29,29,24,24,71,71,28,28,71,1612440.0,1612439.125
43,43,85,85,32,32,80,80,20,20,20,20,98,94260.0,94259.984375
43,43,43,111,111,43,85,80,80,85,43,45,45,1211340.0,1211339.625
85,85,85,85,85,85,85,16,16,85,80,80,20,1785120.0,1785119.625
8,8,8,8,85,85,14,14,52,52,20,20,89,322080.0,322079.90625
85,85,14,14,8,52,8,8,52,8,52,52,20,206400.0,206399.9375
32,32,32,32,14,14,43,43,29,29,32,32,43,1249560.0,1249561.25
39,52,52,39,39,39,45,45,52,52,20,20,52,940260.0,940259.6875
28,28,28,28,24,24,57,57,29,29,98,98,29,4500.0,4500.00439453
43,43,85,89,89,85,43,43,43,43,43,43,85,620820.0,620819.8125
14,14,8,8,8,8,14,14,85,85,16,16,16,15180.0,15180.0097656
39,39,45,45,39,39,39,39,29,29,20,20,20,843000.0,842999.75
39,39,45,45,45,45,39,57,57,39,52,52,124,13200.0,13200.0
130,130,133,133,52,52,137,137,52,52,52,52,52,3180.0,3180.00244141
45,45,45,45,45,45,45,29,29,45,29,29,2,234540.0,234540.046875
71,71,71,71,71,71,71,71,71,71,29,29,29,755460.0,755459.8125
43,43,32,52,32,32,52,32,89,89,45,45,43,890040.0,890040.1875
98,98,16,16,57,57,60,60,16,16,57,57,16,2400.0,2399.99853516
29,29,60,60,29,29,29,29,57,57,29,29,111,754440.0,754439.8125
14,14,16,16,8,8,16,16,20,20,2,2,2,243060.0,243059.9375
130,130,52,52,24,24,52,24,52,24,24,24,71,1533000.0,1532999.375
111,111,98,98,80,80,80,80,57,57,119,119,119,0.0,-5.96046447754e-07
29,29,20,20,20,20,98,98,98,98,29,29,29,1015500.0,1015499.8125
85,43,85,43,85,43,85,43,43,43,32,32,43,1659600.0,1659599.625
32,32,45,45,45,45,85,85,32,32,43,43,29,493320.0,493320.09375
43,43,32,32,32,32,43,43,32,32,29,29,43,925200.0,925199.8125
29,29,119,119,153,153,2,2,20,20,29,29,29,133020.0,133019.953125
32,32,32,32,32,29,32,29,43,43,32,32,29,1041060.0,1041059.9375
32,32,32,32,14,43,14,43,29,29,32,32,32,1439520.0,1439519.5
45,45,45,45,153,153,29,29,29,29,20,20,20,760140.0,760139.75
20,20,20,20,119,119,150,150,119,119,119,119,153,695700.0,695699.8125
71,71,28,28,28,28,28,28,71,71,80,80,20,349800.0,349800.09375
45,45,45,45,45,45,29,29,29,29,29,29,2,296940.0,296940.0
45,52,52,45,43,43,45,45,52,52,20,20,20,390060.0,390059.9375
20,20,119,119,119,119,150,60,150,60,16,16,16,413400.0,413399.90625
80,85,80,98,85,98,60,60,60,60,60,60,60,537360.0,537359.5
71,28,71,28,28,28,8,8,52,52,20,20,20,845100.0,845099.8125
60,60,60,60,29,98,29,98,60,60,60,60,29,54420.0,54420.0234375
32,32,85,43,85,29,29,43,32,32,29,29,29,555240.0,555240.1875
32,32,43,43,85,85,32,32,43,43,85,85,2,781200.0,781199.75
32,32,32,32,14,14,43,43,32,32,52,52,52,604500.0,604499.5625
60,60,60,60,60,60,60,60,60,52,60,60,60,303720.0,303720.25
71,71,28,28,71,71,52,52,2,2,20,20,2,349200.0,349199.875
28,28,28,28,71,71,2,2,80,80,20,20,20,669060.0,669059.8125
224,224,224,224,16,224,16,224,224,224,224,224,20,210480.0,210479.9375
85,85,8,8,8,8,16,16,20,20,16,16,2,772080.0,772079.75
71,71,71,71,29,28,29,29,28,29,20,20,20,482760.0,482760.09375
20,20,20,20,20,20,2,2,29,29,57,57,29,60.0,60.000038147
45,45,45,45,29,29,39,39,29,29,2,2,20,510600.0,510600.09375
89,89,89,43,89,43,32,32,29,29,14,14,85,155220.0,155219.953125
45,45,45,45,45,45,45,45,45,45,29,29,20,272940.0,272939.90625
45,45,45,29,45,29,45,29,29,45,45,45,98,1774860.0,1774859.0
45,45,45,52,45,45,52,45,45,45,52,45,45,1632360.0,1632358.625
45,45,45,45,45,45,45,45,45,45,45,45,45,263880.0,263880.5625
28,28,71,71,71,71,28,29,28,29,20,20,29,345780.0,345780.1875
28,28,28,24,24,29,28,29,20,20,20,20,20,194400.0,194400.046875
39,39,39,52,52,39,39,52,98,39,52,98,98,131400.0,131400.03125
224,224,80,80,60,60,60,60,60,60,60,60,60,104340.0,104339.976562
14,16,14,16,8,8,16,16,20,20,20,20,153,207180.0,207180.046875
32,32,29,32,29,32,32,32,14,14,43,43,29,1906020.0,1906019.25
43,43,85,85,8,8,8,8,80,43,80,43,43,1457340.0,1457339.625
45,71,71,45,45,45,32,32,240,240,45,45,45,1758060.0,1758059.625
71,71,71,52,52,71,71,52,71,52,71,71,24,431040.0,431039.9375
8,8,43,80,43,43,80,43,85,85,8,8,80,14580.0,14580.0097656
28,28,71,71,28,28,28,28,28,28,8,8,29,1141080.0,1141079.125
28,28,28,29,28,28,29,28,71,71,20,20,80,1321080.0,1321079.625
39,39,45,29,45,29,45,45,39,39,29,29,20,124320.0,124319.953125
32,32,43,43,43,43,29,29,45,45,29,29,29,2220.0,2220.00244141
85,85,43,43,85,32,85,32,32,32,52,52,20,123000.0,123000.007812
39,39,39,29,39,39,29,39,39,39,39,39,29,1274760.0,1274759.375
45,16,45,16,45,45,111,111,29,29,98,98,29,595980.0,595979.8125
45,45,45,45,45,45,45,45,29,29,20,20,20,261120.0,261120.046875
85,85,14,14,8,8,8,52,52,8,14,14,52,181800.0,181799.953125
