Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,remainingTime,prediction
1,8,8,8,8,14,14,14,14,16,16,20,20,2,262800.0,1137011.75
102,39,39,39,39,45,45,45,52,52,45,45,45,39,1222320.0,2038383.625
109,8,14,8,14,29,43,43,43,29,43,8,29,29,1701540.0,807571.0625
120,43,43,85,85,32,32,80,80,20,20,20,20,98,94260.0,1908268.0
121,43,43,43,111,111,43,85,80,80,85,43,45,45,1211340.0,2845980.5
135,43,43,85,89,89,85,43,43,43,43,43,43,85,620820.0,444875.09375
138,14,14,8,8,8,8,14,14,85,85,16,16,16,15180.0,2594637.75
145,39,39,45,45,39,39,39,39,29,29,20,20,20,843000.0,812725.8125
147,39,39,45,45,45,45,39,57,57,39,52,52,124,13200.0,2811069.75
155,45,45,45,45,45,45,45,29,29,45,29,29,2,234540.0,579274.75
178,153,153,119,119,98,98,98,2,20,98,2,20,98,4990680.0,1311958.125
187,2,2,150,150,119,119,153,153,150,150,119,119,153,3993300.0,1747237.625
21,14,14,43,43,29,8,8,8,8,29,8,32,32,3294000.0,2565688.0
219,20,20,20,20,119,119,150,150,119,119,119,119,153,695700.0,1316389.375
225,98,98,98,98,98,98,98,98,98,98,2,2,2,6026880.0,984887.125
232,80,85,80,98,85,98,60,60,60,60,60,60,60,537360.0,335232.59375
244,60,60,60,60,60,60,60,60,60,52,60,60,60,303720.0,396788.375
248,28,28,28,28,71,71,2,2,80,80,20,20,20,669060.0,1977077.75
251,85,85,8,8,8,8,16,16,20,20,16,16,2,772080.0,1875792.875
258,32,32,32,32,43,43,43,43,43,43,43,43,32,1486200.0,2511419.5
260,43,43,43,43,43,43,32,32,43,43,71,71,29,4515480.0,2088238.25
263,39,39,39,39,39,52,39,39,52,39,39,39,39,1534320.0,1728753.375
266,16,16,85,85,8,8,85,16,85,85,16,52,52,7285200.0,4032762.25
267,14,14,32,32,32,32,14,29,29,14,43,43,43,7149600.0,5364373.5
28,32,32,32,32,14,29,29,14,29,29,14,14,45,2939040.0,915271.4375
35,85,85,32,32,43,85,43,85,16,16,16,16,153,2315940.0,3219337.0
37,45,71,71,45,45,45,32,32,240,240,45,45,45,1758060.0,1429485.75
39,71,71,71,52,52,71,71,52,71,52,71,71,24,431040.0,1039067.0
41,28,28,28,29,28,28,29,28,71,71,20,20,80,1321080.0,1862439.125
48,14,14,8,8,8,8,52,52,14,14,52,52,20,3105960.0,1059836.25
55,24,24,71,71,71,71,52,28,52,28,24,24,71,3089820.0,1589103.0
64,85,85,8,8,43,43,8,8,8,8,85,85,43,36180.0,2446888.5
67,85,85,85,85,8,8,8,8,14,14,8,8,71,4466460.0,1599929.625
75,45,45,45,45,39,39,39,39,45,45,45,45,80,1378200.0,1497804.375
77,71,71,71,71,28,28,28,28,71,71,24,16,16,1456800.0,2327064.25
84,39,39,39,39,39,39,39,39,39,39,29,29,45,853680.0,903151.3125
9,71,71,28,28,28,28,29,29,20,20,20,20,98,410520.0,629650.5
