Id,concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,concept:name_4,lifecycle:transition_4,org:resource_4,Activity_4,Resource_4,Work_Order_Qty_4,Part_Desc__4,Worker_ID_4,Report_Type_4,Qty_Completed_4,Qty_Rejected_4,Qty_for_MRB_4,concept:name_5,lifecycle:transition_5,org:resource_5,Activity_5,Resource_5,Work_Order_Qty_5,Part_Desc__5,Worker_ID_5,Report_Type_5,Qty_Completed_5,Qty_Rejected_5,Qty_for_MRB_5,concept:name_6,lifecycle:transition_6,org:resource_6,Activity_6,Resource_6,Work_Order_Qty_6,Part_Desc__6,Worker_ID_6,Report_Type_6,Qty_Completed_6,Qty_Rejected_6,Qty_for_MRB_6,concept:name_7,lifecycle:transition_7,org:resource_7,Activity_7,Resource_7,Work_Order_Qty_7,Part_Desc__7,Worker_ID_7,Report_Type_7,Qty_Completed_7,Qty_Rejected_7,Qty_for_MRB_7,concept:name_8,lifecycle:transition_8,org:resource_8,Activity_8,Resource_8,Work_Order_Qty_8,Part_Desc__8,Worker_ID_8,Report_Type_8,Qty_Completed_8,Qty_Rejected_8,Qty_for_MRB_8,concept:name_9,lifecycle:transition_9,org:resource_9,Activity_9,Resource_9,Work_Order_Qty_9,Part_Desc__9,Worker_ID_9,Report_Type_9,Qty_Completed_9,Qty_Rejected_9,Qty_for_MRB_9,concept:name_10,lifecycle:transition_10,org:resource_10,Activity_10,Resource_10,Work_Order_Qty_10,Part_Desc__10,Worker_ID_10,Report_Type_10,Qty_Completed_10,Qty_Rejected_10,Qty_for_MRB_10,concept:name_11,lifecycle:transition_11,org:resource_11,Activity_11,Resource_11,Work_Order_Qty_11,Part_Desc__11,Worker_ID_11,Report_Type_11,Qty_Completed_11,Qty_Rejected_11,Qty_for_MRB_11,concept:name_12,lifecycle:transition_12,org:resource_12,Activity_12,Resource_12,Work_Order_Qty_12,Part_Desc__12,Worker_ID_12,Report_Type_12,Qty_Completed_12,Qty_Rejected_12,Qty_for_MRB_12,concept:name_13,lifecycle:transition_13,org:resource_13,Activity_13,Resource_13,Work_Order_Qty_13,Part_Desc__13,Worker_ID_13,Report_Type_13,Qty_Completed_13,Qty_Rejected_13,Qty_for_MRB_13,concept:name_14,lifecycle:transition_14,org:resource_14,Activity_14,Resource_14,Work_Order_Qty_14,Part_Desc__14,Worker_ID_14,Report_Type_14,Qty_Completed_14,Qty_Rejected_14,Qty_for_MRB_14,concept:name_15,lifecycle:transition_15,org:resource_15,Activity_15,Resource_15,Work_Order_Qty_15,Part_Desc__15,Worker_ID_15,Report_Type_15,Qty_Completed_15,Qty_Rejected_15,Qty_for_MRB_15,concept:name_16,lifecycle:transition_16,org:resource_16,Activity_16,Resource_16,Work_Order_Qty_16,Part_Desc__16,Worker_ID_16,Report_Type_16,Qty_Completed_16,Qty_Rejected_16,Qty_for_MRB_16,remainingTime,prediction
1,9,10,8,9,11,4,5,8,12,13,7,7,9,1,8,9,11,4,5,8,12,13,7,7,9,10,8,9,11,4,5,8,6,13,7,7,9,1,8,9,11,4,5,8,6,13,7,7,9,10,14,9,11,4,5,14,12,7,7,7,9,1,14,9,11,4,5,14,12,7,7,7,9,10,14,9,11,4,5,14,6,15,7,7,9,1,14,9,11,4,5,14,6,15,7,7,17,10,16,17,18,4,5,16,6,19,13,7,17,1,16,17,18,4,5,16,6,19,13,7,21,10,20,21,22,4,5,20,6,19,7,7,21,1,20,21,22,4,5,20,6,19,7,7,0,10,2,0,3,4,5,2,6,7,7,7,0,10,2,0,3,4,5,2,6,7,7,7,0,1,2,0,3,4,5,2,6,7,7,7,0,1,2,0,3,4,5,2,6,7,7,7,258300.0,-279408.070003
101,49,10,38,49,40,47,48,38,12,7,7,7,49,1,38,49,40,47,48,38,12,7,7,7,39,10,38,39,40,47,48,38,12,7,7,7,39,1,38,39,40,47,48,38,12,7,7,7,39,10,38,39,40,47,48,38,50,7,7,7,39,1,38,39,40,47,48,38,50,7,7,7,39,10,38,39,40,47,48,38,6,41,7,7,39,1,38,39,40,47,48,38,6,41,7,7,39,10,33,39,40,47,48,33,6,32,7,7,39,1,33,39,40,47,48,33,6,32,7,7,39,10,46,39,40,47,48,46,6,28,7,7,39,1,46,39,40,47,48,46,6,28,7,7,39,10,46,39,40,47,48,46,12,7,7,7,39,1,46,39,40,47,48,46,12,7,7,7,39,10,46,39,40,47,48,46,6,47,7,7,39,1,46,39,40,47,48,46,6,47,7,7,991800.0,-1219780.48431
106,39,10,46,39,40,57,37,46,12,7,7,7,39,1,46,39,40,57,37,46,12,7,7,7,39,10,38,39,40,57,37,38,6,57,7,7,39,1,38,39,40,57,37,38,6,57,7,7,17,10,30,17,18,57,37,30,6,57,7,7,17,1,30,17,18,57,37,30,6,57,7,7,21,10,20,21,22,57,37,20,6,57,7,7,21,1,20,21,22,57,37,20,6,57,7,7,44,10,2,44,45,57,37,2,6,57,7,7,44,1,2,44,45,57,37,2,6,57,7,7,56,10,30,56,18,57,37,30,6,7,7,7,56,1,30,56,18,57,37,30,6,7,7,7,59,10,58,59,59,57,37,58,6,57,7,7,59,1,58,59,59,57,37,58,6,57,7,7,56,10,30,56,18,57,37,30,6,57,7,7,56,1,30,56,18,57,37,30,6,57,7,7,0.0,-502813.961018
108,9,10,33,9,11,61,62,33,12,13,7,7,9,1,33,9,11,61,62,33,12,13,7,7,9,10,42,9,11,61,62,42,12,13,7,7,17,10,52,17,18,61,62,52,6,7,7,7,17,1,52,17,18,61,62,52,6,7,7,7,9,1,42,9,11,61,62,42,12,13,7,7,9,10,42,9,11,61,62,42,6,63,7,7,9,1,42,9,11,61,62,42,6,63,7,7,17,10,52,17,18,61,62,52,6,55,13,7,17,1,52,17,18,61,62,52,6,55,13,7,21,10,20,21,22,61,62,20,6,55,7,7,21,1,20,21,22,61,62,20,6,55,7,7,44,10,64,44,45,61,62,64,6,7,7,7,44,1,64,44,45,61,62,64,6,7,7,7,44,10,60,44,45,61,62,60,6,55,7,7,44,1,60,44,45,61,62,60,6,55,7,7,728580.0,-621055.97277
121,110,10,42,110,111,93,112,42,12,13,7,7,110,1,42,110,111,93,112,42,12,13,7,7,110,10,42,110,111,93,112,42,6,43,7,7,31,10,113,31,18,93,112,113,6,93,7,7,31,1,113,31,18,93,112,113,6,93,7,7,110,1,42,110,111,93,112,42,6,43,7,7,110,10,86,110,111,93,112,86,12,7,7,7,31,10,88,31,18,93,112,88,6,43,7,7,31,1,88,31,18,93,112,88,6,43,7,7,110,1,86,110,111,93,112,86,12,7,7,7,9,10,42,9,11,93,112,42,12,7,7,7,9,10,46,9,11,93,112,46,12,7,7,7,9,1,46,9,11,93,112,46,12,7,7,7,9,1,42,9,11,93,112,42,12,7,7,7,9,10,8,9,11,93,112,8,12,7,7,7,9,1,8,9,11,93,112,8,12,7,7,7,1177680.0,-93273.9598799
129,39,10,38,39,40,28,122,38,12,7,7,7,17,10,52,17,18,28,122,52,12,7,7,7,17,1,52,17,18,28,122,52,12,7,7,7,39,1,38,39,40,28,122,38,12,7,7,7,39,10,38,39,40,28,122,38,12,13,7,7,39,1,38,39,40,28,122,38,12,13,7,7,39,10,46,39,40,28,122,46,6,67,7,7,39,1,46,39,40,28,122,46,6,67,7,7,17,10,52,17,18,28,122,52,6,28,7,7,17,1,52,17,18,28,122,52,6,28,7,7,0,10,20,0,3,28,122,20,6,28,7,7,0,1,20,0,3,28,122,20,6,28,7,7,0,10,52,0,18,28,122,52,6,28,7,7,0,1,52,0,18,28,122,52,6,28,7,7,59,10,58,59,59,28,122,58,6,28,7,7,59,1,58,59,59,28,122,58,6,28,7,7,115860.0,1748337.36987
145,128,10,38,128,40,121,127,38,12,67,7,7,128,1,38,128,40,121,127,38,12,67,7,7,128,10,46,128,40,121,127,46,6,47,7,7,128,1,46,128,40,121,127,46,6,47,7,7,128,10,38,128,40,121,127,38,6,7,7,7,128,1,38,128,40,121,127,38,6,7,7,7,128,10,38,128,40,121,127,38,6,104,7,7,128,1,38,128,40,121,127,38,6,104,7,7,31,10,30,31,18,121,127,30,6,121,7,7,31,1,30,31,18,121,127,30,6,121,7,7,44,10,20,44,45,121,127,20,6,121,7,7,44,1,20,44,45,121,127,20,6,121,7,7,0,10,20,0,3,121,127,20,6,121,7,7,0,1,20,0,3,121,127,20,6,121,7,7,56,10,30,56,18,121,127,30,6,7,7,7,56,1,30,56,18,121,127,30,6,7,7,7,598980.0,-1599174.06643
188,21,10,20,21,22,156,157,20,6,158,7,7,0,10,2,0,3,156,157,2,6,7,7,7,0,1,2,0,3,156,157,2,6,7,7,7,0,10,2,0,3,156,157,2,6,7,7,7,21,1,20,21,22,156,157,20,6,158,7,7,0,1,2,0,3,156,157,2,6,7,7,7,0,10,20,0,3,156,157,20,6,158,7,7,0,1,20,0,3,156,157,20,6,158,7,7,17,10,30,17,18,156,157,30,6,47,7,7,17,1,30,17,18,156,157,30,6,47,7,7,160,10,159,160,160,156,157,159,6,47,7,7,160,1,159,160,160,156,157,159,6,47,7,7,148,10,147,148,149,156,157,147,12,7,7,7,148,1,147,148,149,156,157,147,12,7,7,7,148,10,147,148,149,156,157,147,6,135,7,7,148,1,147,148,149,156,157,147,6,135,7,7,507840.0,7307501.16521
19,110,10,14,110,111,155,5,14,12,13,7,7,110,1,14,110,111,155,5,14,12,13,7,7,17,10,16,17,18,155,5,16,12,7,7,7,17,1,16,17,18,155,5,16,12,7,7,7,9,10,8,9,11,155,5,8,6,117,7,7,9,1,8,9,11,155,5,8,6,117,7,7,17,10,16,17,18,155,5,16,6,155,7,7,17,1,16,17,18,155,5,16,6,155,7,7,21,10,20,21,22,155,5,20,6,155,7,7,21,1,20,21,22,155,5,20,6,155,7,7,0,10,2,0,3,155,5,2,6,7,7,7,0,1,2,0,3,155,5,2,6,7,7,7,0,10,2,0,3,155,5,2,6,69,7,7,0,1,2,0,3,155,5,2,6,69,7,7,148,10,144,148,149,155,5,144,12,7,7,7,148,1,144,148,149,155,5,144,12,7,7,7,165120.0,1339860.19794
194,71,10,24,71,73,102,164,24,12,7,7,7,71,1,24,71,73,102,164,24,12,7,7,7,71,10,24,71,73,102,164,24,12,7,7,7,17,10,52,17,18,102,164,52,12,7,7,7,71,1,24,71,73,102,164,24,12,7,7,7,17,1,52,17,18,102,164,52,12,7,7,7,71,10,24,71,73,102,164,24,12,28,7,7,17,10,52,17,18,102,164,52,6,7,7,7,17,1,52,17,18,102,164,52,6,7,7,7,71,1,24,71,73,102,164,24,12,28,7,7,71,10,72,71,73,102,164,72,6,15,7,7,71,1,72,71,73,102,164,72,6,15,7,7,71,10,29,71,73,102,164,29,6,41,7,7,17,10,52,17,18,102,164,52,6,34,7,7,17,1,52,17,18,102,164,52,6,34,7,7,71,1,29,71,73,102,164,29,6,41,7,7,2117520.0,2073456.98666
195,17,10,52,17,18,116,165,52,6,116,7,7,17,1,52,17,18,116,165,52,6,116,7,7,44,10,2,44,45,116,165,2,6,7,7,7,44,1,2,44,45,116,165,2,6,7,7,7,0,10,20,0,3,116,165,20,6,102,7,7,0,1,20,0,3,116,165,20,6,102,7,7,0,10,20,0,3,116,165,20,6,102,7,7,44,10,2,44,45,116,165,2,6,106,7,7,0,1,20,0,3,116,165,20,6,102,7,7,44,1,2,44,45,116,165,2,6,106,7,7,44,10,2,44,45,116,165,2,6,43,7,7,44,1,2,44,45,116,165,2,6,43,7,7,124,10,125,124,126,116,165,125,12,7,7,7,124,1,125,124,126,116,165,125,12,7,7,7,124,10,144,124,126,116,165,144,12,7,7,7,124,1,144,124,126,116,165,144,12,7,7,7,447180.0,-2442950.72737
199,0,10,2,0,3,166,5,2,6,7,7,7,0,1,2,0,3,166,5,2,6,7,7,7,0,10,20,0,3,166,5,20,6,81,7,7,0,10,2,0,3,166,5,2,6,7,7,7,0,1,2,0,3,166,5,2,6,7,7,7,0,10,2,0,3,166,5,2,6,7,7,7,0,1,20,0,3,166,5,20,6,81,7,7,0,10,20,0,3,166,5,20,6,7,7,7,0,1,20,0,3,166,5,20,6,7,7,7,124,10,147,124,126,166,5,147,12,7,7,7,0,1,2,0,3,166,5,2,6,7,7,7,124,1,147,124,126,166,5,147,12,7,7,7,124,10,147,124,126,166,5,147,12,7,7,7,124,1,147,124,126,166,5,147,12,7,7,7,124,10,147,124,126,166,5,147,6,19,7,7,124,1,147,124,126,166,5,147,6,19,7,7,7475880.0,-8883717.85878
209,76,10,33,76,77,175,37,33,12,7,7,7,76,1,33,76,77,175,37,33,12,7,7,7,76,10,46,76,77,175,37,46,12,7,7,7,76,1,46,76,77,175,37,46,12,7,7,7,76,10,46,76,77,175,37,46,6,176,7,7,76,1,46,76,77,175,37,46,6,176,7,7,76,10,86,76,77,175,37,86,50,7,7,7,76,1,86,76,77,175,37,86,50,7,7,7,76,10,33,76,77,175,37,33,6,116,7,7,76,1,33,76,77,175,37,33,6,116,7,7,76,10,42,76,77,175,37,42,6,121,7,7,76,1,42,76,77,175,37,42,6,121,7,7,17,10,30,17,18,175,37,30,6,175,7,7,17,1,30,17,18,175,37,30,6,175,7,7,21,10,20,21,22,175,37,20,6,175,7,7,0,10,20,0,3,175,37,20,6,175,7,7,221760.0,1530381.76955
211,17,10,30,17,18,179,27,30,6,7,7,7,17,1,30,17,18,179,27,30,6,7,7,7,21,10,125,21,22,179,27,125,6,99,7,7,21,1,125,21,22,179,27,125,6,99,7,7,21,10,147,21,22,179,27,147,6,181,7,7,21,1,147,21,22,179,27,147,6,181,7,7,0,10,2,0,3,179,27,2,6,7,7,7,0,1,2,0,3,179,27,2,6,7,7,7,0,10,20,0,3,179,27,20,6,182,7,7,0,1,20,0,3,179,27,20,6,182,7,7,56,10,30,56,18,179,27,30,6,7,7,7,56,1,30,56,18,179,27,30,6,7,7,7,56,10,30,56,18,179,27,30,6,183,7,7,56,1,30,56,18,179,27,30,6,183,7,7,59,10,58,59,59,179,27,58,6,93,7,7,59,10,58,59,59,179,27,58,6,180,7,7,3600.0,2681039.46297
212,76,10,33,76,77,184,37,33,12,7,7,7,76,1,33,76,77,184,37,33,12,7,7,7,76,10,33,76,77,184,37,33,12,67,7,7,76,1,33,76,77,184,37,33,12,67,7,7,76,10,33,76,77,184,37,33,6,15,7,7,17,10,30,17,18,184,37,30,6,7,7,7,76,1,33,76,77,184,37,33,6,15,7,7,17,1,30,17,18,184,37,30,6,7,7,7,76,10,42,76,77,184,37,42,6,117,7,7,76,1,42,76,77,184,37,42,6,117,7,7,76,10,33,76,77,184,37,33,6,51,7,7,76,1,33,76,77,184,37,33,6,51,7,7,17,10,30,17,18,184,37,30,6,7,13,7,17,1,30,17,18,184,37,30,6,7,13,7,17,10,30,17,18,184,37,30,6,185,7,7,17,1,30,17,18,184,37,30,6,185,7,7,697200.0,5444355.39616
233,200,10,72,200,25,51,37,72,6,7,7,7,200,10,29,200,25,51,37,29,12,67,7,7,200,1,72,200,25,51,37,72,6,7,7,7,200,1,29,200,25,51,37,29,12,67,7,7,200,10,29,200,25,51,37,29,6,41,7,7,200,1,29,200,25,51,37,29,6,41,7,7,200,10,8,200,25,51,37,8,6,19,7,7,200,1,8,200,25,51,37,8,6,19,7,7,17,10,52,17,18,51,37,52,6,61,67,7,17,1,52,17,18,51,37,52,6,61,67,7,21,10,20,21,22,51,37,20,6,61,7,7,21,1,20,21,22,51,37,20,6,61,7,7,44,10,20,44,45,51,37,20,6,61,7,7,44,1,20,44,45,51,37,20,6,61,7,7,200,10,72,200,25,51,37,72,12,13,7,7,200,1,72,200,25,51,37,72,12,13,7,7,609300.0,-8145485.12344
