Id,concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,concept:name_4,lifecycle:transition_4,org:resource_4,Activity_4,Resource_4,Work_Order_Qty_4,Part_Desc__4,Worker_ID_4,Report_Type_4,Qty_Completed_4,Qty_Rejected_4,Qty_for_MRB_4,concept:name_5,lifecycle:transition_5,org:resource_5,Activity_5,Resource_5,Work_Order_Qty_5,Part_Desc__5,Worker_ID_5,Report_Type_5,Qty_Completed_5,Qty_Rejected_5,Qty_for_MRB_5,concept:name_6,lifecycle:transition_6,org:resource_6,Activity_6,Resource_6,Work_Order_Qty_6,Part_Desc__6,Worker_ID_6,Report_Type_6,Qty_Completed_6,Qty_Rejected_6,Qty_for_MRB_6,concept:name_7,lifecycle:transition_7,org:resource_7,Activity_7,Resource_7,Work_Order_Qty_7,Part_Desc__7,Worker_ID_7,Report_Type_7,Qty_Completed_7,Qty_Rejected_7,Qty_for_MRB_7,concept:name_8,lifecycle:transition_8,org:resource_8,Activity_8,Resource_8,Work_Order_Qty_8,Part_Desc__8,Worker_ID_8,Report_Type_8,Qty_Completed_8,Qty_Rejected_8,Qty_for_MRB_8,concept:name_9,lifecycle:transition_9,org:resource_9,Activity_9,Resource_9,Work_Order_Qty_9,Part_Desc__9,Worker_ID_9,Report_Type_9,Qty_Completed_9,Qty_Rejected_9,Qty_for_MRB_9,concept:name_10,lifecycle:transition_10,org:resource_10,Activity_10,Resource_10,Work_Order_Qty_10,Part_Desc__10,Worker_ID_10,Report_Type_10,Qty_Completed_10,Qty_Rejected_10,Qty_for_MRB_10,concept:name_11,lifecycle:transition_11,org:resource_11,Activity_11,Resource_11,Work_Order_Qty_11,Part_Desc__11,Worker_ID_11,Report_Type_11,Qty_Completed_11,Qty_Rejected_11,Qty_for_MRB_11,concept:name_12,lifecycle:transition_12,org:resource_12,Activity_12,Resource_12,Work_Order_Qty_12,Part_Desc__12,Worker_ID_12,Report_Type_12,Qty_Completed_12,Qty_Rejected_12,Qty_for_MRB_12,concept:name_13,lifecycle:transition_13,org:resource_13,Activity_13,Resource_13,Work_Order_Qty_13,Part_Desc__13,Worker_ID_13,Report_Type_13,Qty_Completed_13,Qty_Rejected_13,Qty_for_MRB_13,concept:name_14,lifecycle:transition_14,org:resource_14,Activity_14,Resource_14,Work_Order_Qty_14,Part_Desc__14,Worker_ID_14,Report_Type_14,Qty_Completed_14,Qty_Rejected_14,Qty_for_MRB_14,concept:name_15,lifecycle:transition_15,org:resource_15,Activity_15,Resource_15,Work_Order_Qty_15,Part_Desc__15,Worker_ID_15,Report_Type_15,Qty_Completed_15,Qty_Rejected_15,Qty_for_MRB_15,concept:name_16,lifecycle:transition_16,org:resource_16,Activity_16,Resource_16,Work_Order_Qty_16,Part_Desc__16,Worker_ID_16,Report_Type_16,Qty_Completed_16,Qty_Rejected_16,Qty_for_MRB_16,remainingTime,prediction
102,39,10,38,39,40,51,27,38,12,7,7,7,39,1,38,39,40,51,27,38,12,7,7,7,39,10,38,39,40,51,27,38,12,7,7,7,39,1,38,39,40,51,27,38,12,7,7,7,39,10,46,39,40,51,27,46,12,7,7,7,39,1,46,39,40,51,27,46,12,7,7,7,39,10,46,39,40,51,27,46,12,7,7,7,17,10,52,17,18,51,27,52,6,7,7,7,17,1,52,17,18,51,27,52,6,7,7,7,39,1,46,39,40,51,27,46,12,7,7,7,39,10,46,39,40,51,27,46,6,28,7,7,39,1,46,39,40,51,27,46,6,28,7,7,39,10,38,39,40,51,27,38,6,19,7,7,39,1,38,39,40,51,27,38,6,19,7,7,39,10,33,39,40,51,27,33,6,41,7,7,39,1,33,39,40,51,27,33,6,41,7,7,1196940.0,679250.4
106,39,10,46,39,40,57,37,46,12,7,7,7,39,1,46,39,40,57,37,46,12,7,7,7,39,10,38,39,40,57,37,38,6,57,7,7,39,1,38,39,40,57,37,38,6,57,7,7,17,10,30,17,18,57,37,30,6,57,7,7,17,1,30,17,18,57,37,30,6,57,7,7,21,10,20,21,22,57,37,20,6,57,7,7,21,1,20,21,22,57,37,20,6,57,7,7,44,10,2,44,45,57,37,2,6,57,7,7,44,1,2,44,45,57,37,2,6,57,7,7,56,10,30,56,18,57,37,30,6,7,7,7,56,1,30,56,18,57,37,30,6,7,7,7,59,10,58,59,59,57,37,58,6,57,7,7,59,1,58,59,59,57,37,58,6,57,7,7,56,10,30,56,18,57,37,30,6,57,7,7,56,1,30,56,18,57,37,30,6,57,7,7,0.0,696254.4
119,71,10,24,71,73,102,103,24,12,7,7,7,71,1,24,71,73,102,103,24,12,7,7,7,71,10,24,71,73,102,103,24,12,7,7,7,71,1,24,71,73,102,103,24,12,7,7,7,71,10,24,71,73,102,103,24,12,13,7,7,71,1,24,71,73,102,103,24,12,13,7,7,71,10,72,71,73,102,103,72,6,67,7,7,71,1,72,71,73,102,103,72,6,67,7,7,71,10,24,71,73,102,103,24,6,41,7,7,71,1,24,71,73,102,103,24,6,41,7,7,71,10,24,71,73,102,103,24,6,104,7,7,71,1,24,71,73,102,103,24,6,104,7,7,71,10,24,71,73,102,103,24,6,104,7,7,71,1,24,71,73,102,103,24,6,104,7,7,71,10,33,71,73,102,103,33,6,13,7,7,71,1,33,71,73,102,103,33,6,13,7,7,133020.0,1636363.2
120,110,10,42,110,111,109,5,42,12,35,7,7,110,1,42,110,111,109,5,42,12,35,7,7,110,10,86,110,111,109,5,86,12,13,7,7,110,1,86,110,111,109,5,86,12,13,7,7,110,10,33,110,111,109,5,33,50,7,7,7,110,1,33,110,111,109,5,33,50,7,7,7,17,10,88,17,18,109,5,88,6,35,13,7,17,1,88,17,18,109,5,88,6,35,13,7,21,10,20,21,22,109,5,20,6,35,7,7,21,1,20,21,22,109,5,20,6,35,7,7,0,10,20,0,3,109,5,20,6,35,7,7,0,1,20,0,3,109,5,20,6,35,7,7,107,10,100,107,108,109,5,100,12,7,7,7,107,1,100,107,108,109,5,100,12,7,7,7,107,10,100,107,108,109,5,100,12,7,7,7,107,1,100,107,108,109,5,100,12,7,7,7,75900.0,1371084.0
138,9,10,14,9,11,102,5,14,12,7,7,7,9,1,14,9,11,102,5,14,12,7,7,7,9,10,8,9,11,102,5,8,12,13,7,7,9,1,8,9,11,102,5,8,12,13,7,7,9,10,8,9,11,102,5,8,6,70,7,7,9,1,8,9,11,102,5,8,6,70,7,7,9,10,14,9,11,102,5,14,6,36,7,7,9,1,14,9,11,102,5,14,6,36,7,7,110,10,86,110,111,102,5,86,6,109,7,7,110,1,86,110,111,102,5,86,6,109,7,7,17,10,16,17,18,102,5,16,6,7,13,7,17,1,16,17,18,102,5,16,6,7,13,7,17,10,16,17,18,102,5,16,6,7,67,7,17,1,16,17,18,102,5,16,6,7,67,7,17,10,16,17,18,102,5,16,6,81,13,7,17,1,16,17,18,102,5,16,6,81,13,7,10680.0,1864965.6
17,128,10,38,128,134,74,98,38,12,7,7,7,128,1,38,128,134,74,98,38,12,7,7,7,128,10,38,128,134,74,98,38,12,7,7,7,128,1,38,128,134,74,98,38,12,7,7,7,128,10,38,128,134,74,98,38,50,7,7,7,128,1,38,128,134,74,98,38,50,7,7,7,128,10,38,128,134,74,98,38,6,7,7,7,128,10,140,128,134,74,98,140,6,141,7,7,128,1,38,128,134,74,98,38,6,7,7,7,128,10,38,128,134,74,98,38,6,109,7,7,128,1,38,128,134,74,98,38,6,109,7,7,128,1,140,128,134,74,98,140,6,141,7,7,128,10,142,128,134,74,98,142,6,51,7,7,128,1,142,128,134,74,98,142,6,51,7,7,128,10,38,128,134,74,98,38,6,13,7,7,128,1,38,128,134,74,98,38,6,13,7,7,2674620.0,2378772.0
177,0,10,20,0,3,143,5,20,6,41,7,7,0,1,20,0,3,143,5,20,6,41,7,7,124,10,144,124,126,143,5,144,12,7,7,7,124,1,144,124,126,143,5,144,12,7,7,7,124,10,144,124,126,143,5,144,6,67,7,7,124,1,144,124,126,143,5,144,6,67,7,7,124,10,125,124,126,143,5,125,6,93,7,7,124,1,125,124,126,143,5,125,6,93,7,7,56,10,16,56,18,143,5,16,6,7,7,7,56,1,16,56,18,143,5,16,6,7,7,7,56,10,16,56,18,143,5,16,6,7,7,7,56,1,16,56,18,143,5,16,6,7,7,7,56,10,16,56,18,143,5,16,6,7,35,7,56,1,16,56,18,143,5,16,6,7,35,7,56,10,16,56,18,143,5,16,6,7,35,7,56,1,16,56,18,143,5,16,6,7,35,7,6194100.0,1370578.8
178,148,10,147,148,149,146,5,147,6,69,7,7,148,1,147,148,149,146,5,147,6,69,7,7,124,10,125,124,126,146,5,125,12,7,7,7,124,1,125,124,126,146,5,125,12,7,7,7,150,10,100,150,96,146,5,100,6,7,7,7,150,1,100,150,96,146,5,100,6,7,7,7,150,10,100,150,96,146,5,100,6,7,7,7,0,10,2,0,3,146,5,2,6,7,7,7,0,10,20,0,3,146,5,20,6,7,7,7,150,1,100,150,96,146,5,100,6,7,7,7,0,1,2,0,3,146,5,2,6,7,7,7,0,1,20,0,3,146,5,20,6,7,7,7,150,10,100,150,96,146,5,100,6,7,7,7,145,10,125,145,126,146,5,125,6,135,7,7,150,1,100,150,96,146,5,100,6,7,7,7,145,1,125,145,126,146,5,125,6,135,7,7,4959120.0,3377026.8
182,17,10,30,17,18,152,37,30,6,7,7,7,17,1,30,17,18,152,37,30,6,7,7,7,153,10,64,153,108,152,37,64,6,7,7,7,153,1,64,153,108,152,37,64,6,7,7,7,56,10,30,56,18,152,37,30,6,109,13,7,56,1,30,56,18,152,37,30,6,109,13,7,17,10,30,17,18,152,37,30,6,7,28,7,17,1,30,17,18,152,37,30,6,7,28,7,59,10,58,59,59,152,37,58,6,109,7,7,59,1,58,59,59,152,37,58,6,109,7,7,17,10,30,17,18,152,37,30,6,67,7,7,17,1,30,17,18,152,37,30,6,67,7,7,76,10,113,76,77,152,37,113,6,109,7,7,76,1,113,76,77,152,37,113,6,109,7,7,21,10,20,21,22,152,37,20,6,67,7,7,21,1,20,21,22,152,37,20,6,67,7,7,261240.0,2087588.4
19,110,10,14,110,111,155,5,14,12,13,7,7,110,1,14,110,111,155,5,14,12,13,7,7,17,10,16,17,18,155,5,16,12,7,7,7,17,1,16,17,18,155,5,16,12,7,7,7,9,10,8,9,11,155,5,8,6,117,7,7,9,1,8,9,11,155,5,8,6,117,7,7,17,10,16,17,18,155,5,16,6,155,7,7,17,1,16,17,18,155,5,16,6,155,7,7,21,10,20,21,22,155,5,20,6,155,7,7,21,1,20,21,22,155,5,20,6,155,7,7,0,10,2,0,3,155,5,2,6,7,7,7,0,1,2,0,3,155,5,2,6,7,7,7,0,10,2,0,3,155,5,2,6,69,7,7,0,1,2,0,3,155,5,2,6,69,7,7,148,10,144,148,149,155,5,144,12,7,7,7,148,1,144,148,149,155,5,144,12,7,7,7,165120.0,3628230.0
