Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Event_14,Event_15,Event_16,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,prediction
10,29,30,29,30,24,24,24,24,33,33,29,29,24,24,24,24,23,1,24,23,25,26,27,24,6,28,7,7,1313760.0,824997.6
103,38,38,46,46,38,38,46,46,46,46,30,38,38,30,30,30,17,1,30,17,18,53,54,30,6,7,7,7,319440.0,783290.4
110,33,33,42,16,16,42,42,42,33,33,14,14,42,72,42,72,76,1,72,76,77,78,37,72,6,79,7,7,2259720.0,1102477.2
121,42,42,42,113,113,42,86,88,88,86,42,46,46,42,8,8,9,1,8,9,11,93,112,8,12,7,7,7,1177680.0,1519152.0
122,86,86,86,86,86,86,86,16,16,86,88,88,20,20,20,2,44,10,2,44,45,93,112,2,6,93,7,7,1778460.0,1359543.6
135,42,42,86,118,118,86,42,42,42,42,42,42,86,86,8,8,110,1,8,110,111,78,48,8,6,123,7,7,502680.0,1754979.6
155,46,46,46,46,46,46,46,30,30,46,30,30,2,2,20,20,21,1,20,21,22,92,37,20,6,133,7,7,229800.0,890826.0
18,8,8,8,8,86,86,8,8,8,8,8,8,86,14,86,86,110,10,86,110,111,151,5,86,6,70,7,7,6107400.0,3123333.6
182,30,30,64,64,30,30,30,30,58,58,30,30,113,113,20,20,21,1,20,21,22,152,37,20,6,67,7,7,261240.0,2056702.8
19,14,14,16,16,8,8,16,16,20,20,2,2,2,2,144,144,148,1,144,148,149,155,5,144,12,7,7,7,165120.0,3624403.2
201,88,88,88,88,38,38,38,38,38,38,38,38,38,38,38,38,128,1,38,128,134,141,169,38,50,7,7,7,3933300.0,1419640.8
210,42,42,33,33,33,33,42,42,33,33,30,30,42,42,33,33,76,1,33,76,77,178,27,33,6,15,7,7,867600.0,2099558.4
218,190,190,194,194,194,194,190,190,52,52,58,58,20,52,20,52,56,1,52,56,18,188,174,52,6,189,7,7,0.0,2080580.4
22,72,72,29,29,29,29,29,29,72,72,88,88,20,20,20,20,0,1,20,0,3,109,37,20,6,35,7,7,339420.0,803475.6
239,33,33,86,42,86,30,30,42,33,33,30,30,30,30,20,20,21,1,20,21,22,70,37,20,6,70,7,7,459960.0,664066.8
240,33,33,42,42,86,86,33,33,42,42,86,86,2,2,30,30,17,1,30,17,18,216,217,30,6,65,7,7,725880.0,2659754.4
245,29,29,29,16,16,29,29,29,29,29,72,72,72,72,88,88,17,1,88,17,18,109,5,88,6,109,7,7,2391420.0,1742510.4
251,86,86,8,8,8,8,16,16,20,20,16,16,2,2,213,213,214,1,213,214,215,109,5,213,6,109,7,7,309960.0,912604.8
257,33,33,8,8,86,86,118,118,42,42,86,86,42,42,86,86,110,1,86,110,111,138,5,86,6,193,7,7,6638520.0,2501904.0
259,72,72,72,72,24,24,33,33,72,72,24,24,24,24,33,33,71,1,33,71,73,229,137,33,6,133,7,7,6028200.0,1291972.8
262,14,14,42,42,42,42,30,30,30,30,20,20,20,20,2,2,44,1,2,44,45,81,27,2,6,4,7,7,179460.0,731721.6
267,14,14,33,33,33,33,14,30,30,14,42,42,42,42,72,72,9,1,72,9,11,156,157,72,6,155,7,7,7064220.0,1875958.8
268,46,46,46,30,46,30,46,30,30,46,46,46,100,100,52,52,17,1,52,17,18,121,236,52,6,87,7,7,1577040.0,1397678.4
269,46,46,46,52,46,46,52,46,46,46,52,46,46,52,46,52,17,10,52,17,18,93,37,52,6,7,7,7,1624860.0,767929.2
29,24,24,72,72,29,29,72,72,72,72,72,72,88,88,2,2,21,1,2,21,22,177,5,2,6,92,7,7,2775120.0,3762562.8
35,86,86,33,33,42,86,42,86,16,16,16,16,147,147,20,20,0,1,20,0,3,61,5,20,6,55,7,7,1274940.0,1947001.2
50,46,46,46,46,46,46,46,46,30,30,20,20,20,20,58,58,59,1,58,59,59,19,37,58,6,41,7,7,32160.0,645224.4
59,33,33,86,86,42,42,30,30,118,118,60,60,58,58,30,30,56,1,30,56,18,4,37,30,6,41,7,7,95100.0,1327416.0
67,86,86,86,86,8,8,8,8,14,14,8,8,72,72,8,16,17,10,16,17,18,138,5,16,6,7,7,7,4439100.0,1814336.4
82,86,86,86,86,42,42,42,42,52,52,20,20,2,2,20,20,0,1,20,0,3,155,5,20,6,7,7,7,233040.0,2133580.8
86,33,33,118,118,42,42,33,33,118,118,118,118,52,52,52,52,17,1,52,17,18,246,37,52,6,129,7,7,0.0,2743758.0
89,8,8,14,14,42,42,42,42,8,8,8,8,8,33,33,33,110,10,33,110,111,154,258,33,6,259,7,7,134100.0,2597319.6
9,72,72,29,29,29,29,30,30,20,20,20,20,100,100,100,100,95,1,100,95,96,141,27,100,6,141,7,7,395340.0,1493961.6
91,86,86,14,14,14,42,14,42,30,30,33,33,8,8,14,14,110,1,14,110,111,156,260,14,6,43,7,7,449580.0,1327282.8
96,52,52,52,52,2,2,2,118,2,20,118,20,171,58,171,58,59,1,58,59,59,154,37,58,6,43,7,7,27600.0,2267822.4
