Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Event_14,Event_15,Event_16,remainingTime,prediction
100,38,38,42,42,38,38,38,38,30,30,20,20,20,20,2,2,841500.0,557853.6
110,33,33,42,16,16,42,42,42,33,33,14,14,42,72,42,72,2259720.0,1619636.4
177,20,20,144,144,144,144,125,125,16,16,16,16,16,16,16,16,6194100.0,938826.0
187,2,2,144,144,125,125,147,147,144,144,125,125,147,147,144,144,3921840.0,3137062.8
194,24,24,24,52,24,52,24,52,52,24,72,72,29,52,52,29,2117520.0,2874968.4
207,86,42,86,42,86,42,86,42,42,42,33,33,42,86,86,42,1641600.0,1667917.2
209,33,33,46,46,46,46,86,86,33,33,42,42,30,30,20,20,221760.0,1273981.2
21,14,14,42,42,30,8,8,8,8,30,8,33,33,33,42,42,3282300.0,2358928.8
212,33,33,33,33,33,30,33,30,42,42,33,33,30,30,30,30,697200.0,1719494.4
215,46,46,46,46,147,147,30,30,30,30,20,20,20,20,20,20,751260.0,433570.8
24,8,8,8,8,88,88,2,2,213,100,100,213,88,88,125,2,473640.0,2614342.8
242,33,33,33,33,14,14,42,42,33,33,52,52,52,52,2,2,461700.0,1775498.4
251,86,86,8,8,8,8,16,16,20,20,16,16,2,2,213,213,309960.0,993924.0
268,46,46,46,30,46,30,46,30,30,46,46,46,100,100,52,52,1577040.0,978921.6
269,46,46,46,52,46,46,52,46,46,46,52,46,46,52,46,52,1624860.0,799975.2
273,29,29,29,24,24,30,29,30,20,20,20,20,20,20,64,64,173700.0,557611.2
274,38,38,38,52,52,38,38,52,100,38,52,100,100,100,100,100,118800.0,1751496.0
31,8,8,8,8,8,8,42,42,16,16,16,16,20,20,64,64,1344480.0,910882.8
36,42,42,86,86,8,8,8,8,88,42,88,42,42,42,86,86,1438260.0,2626903.2
38,14,14,86,86,8,8,8,8,8,8,8,8,46,46,46,46,4760880.0,2533026.0
39,72,72,72,52,52,72,72,52,72,52,72,72,24,24,72,72,374100.0,1526949.6
40,29,29,72,72,29,29,29,29,29,29,8,8,30,30,2,2,583680.0,1367247.6
46,86,86,42,42,86,33,86,33,33,33,52,52,20,20,20,52,122220.0,1722878.4
48,14,14,8,8,8,8,52,52,14,14,52,52,20,20,20,20,3098100.0,2763348.0
54,86,86,14,14,8,8,8,52,52,8,14,14,52,52,20,20,153600.0,1696436.4
59,33,33,86,86,42,42,30,30,118,118,60,60,58,58,30,30,95100.0,2363923.2
61,29,29,29,29,29,29,8,8,29,52,29,52,72,72,29,52,3385260.0,1618699.2
63,42,42,42,42,86,16,16,86,33,8,33,33,33,14,14,8,3966900.0,1211277.6
70,29,29,29,29,29,29,29,29,29,29,29,29,72,72,29,29,2866740.0,1869602.4
73,8,8,86,86,14,14,42,42,86,86,8,8,8,30,30,8,856380.0,2084770.8
86,33,33,118,118,42,42,33,33,118,118,118,118,52,52,52,52,0.0,2137813.2
9,72,72,29,29,29,29,30,30,20,20,20,20,100,100,100,100,395340.0,1077362.4
92,33,33,33,33,33,33,30,30,30,30,30,30,64,64,64,64,539880.0,1260835.2
97,52,52,147,147,2,2,2,2,2,2,20,20,20,20,52,52,322800.0,1362304.8
99,30,30,30,30,30,30,2,2,20,20,20,20,30,30,30,30,47160.0,670026.0
