Id,concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,concept:name_4,lifecycle:transition_4,org:resource_4,Activity_4,Resource_4,Work_Order_Qty_4,Part_Desc__4,Worker_ID_4,Report_Type_4,Qty_Completed_4,Qty_Rejected_4,Qty_for_MRB_4,concept:name_5,lifecycle:transition_5,org:resource_5,Activity_5,Resource_5,Work_Order_Qty_5,Part_Desc__5,Worker_ID_5,Report_Type_5,Qty_Completed_5,Qty_Rejected_5,Qty_for_MRB_5,concept:name_6,lifecycle:transition_6,org:resource_6,Activity_6,Resource_6,Work_Order_Qty_6,Part_Desc__6,Worker_ID_6,Report_Type_6,Qty_Completed_6,Qty_Rejected_6,Qty_for_MRB_6,concept:name_7,lifecycle:transition_7,org:resource_7,Activity_7,Resource_7,Work_Order_Qty_7,Part_Desc__7,Worker_ID_7,Report_Type_7,Qty_Completed_7,Qty_Rejected_7,Qty_for_MRB_7,concept:name_8,lifecycle:transition_8,org:resource_8,Activity_8,Resource_8,Work_Order_Qty_8,Part_Desc__8,Worker_ID_8,Report_Type_8,Qty_Completed_8,Qty_Rejected_8,Qty_for_MRB_8,concept:name_9,lifecycle:transition_9,org:resource_9,Activity_9,Resource_9,Work_Order_Qty_9,Part_Desc__9,Worker_ID_9,Report_Type_9,Qty_Completed_9,Qty_Rejected_9,Qty_for_MRB_9,concept:name_10,lifecycle:transition_10,org:resource_10,Activity_10,Resource_10,Work_Order_Qty_10,Part_Desc__10,Worker_ID_10,Report_Type_10,Qty_Completed_10,Qty_Rejected_10,Qty_for_MRB_10,concept:name_11,lifecycle:transition_11,org:resource_11,Activity_11,Resource_11,Work_Order_Qty_11,Part_Desc__11,Worker_ID_11,Report_Type_11,Qty_Completed_11,Qty_Rejected_11,Qty_for_MRB_11,concept:name_12,lifecycle:transition_12,org:resource_12,Activity_12,Resource_12,Work_Order_Qty_12,Part_Desc__12,Worker_ID_12,Report_Type_12,Qty_Completed_12,Qty_Rejected_12,Qty_for_MRB_12,concept:name_13,lifecycle:transition_13,org:resource_13,Activity_13,Resource_13,Work_Order_Qty_13,Part_Desc__13,Worker_ID_13,Report_Type_13,Qty_Completed_13,Qty_Rejected_13,Qty_for_MRB_13,concept:name_14,lifecycle:transition_14,org:resource_14,Activity_14,Resource_14,Work_Order_Qty_14,Part_Desc__14,Worker_ID_14,Report_Type_14,Qty_Completed_14,Qty_Rejected_14,Qty_for_MRB_14,concept:name_15,lifecycle:transition_15,org:resource_15,Activity_15,Resource_15,Work_Order_Qty_15,Part_Desc__15,Worker_ID_15,Report_Type_15,Qty_Completed_15,Qty_Rejected_15,Qty_for_MRB_15,concept:name_16,lifecycle:transition_16,org:resource_16,Activity_16,Resource_16,Work_Order_Qty_16,Part_Desc__16,Worker_ID_16,Report_Type_16,Qty_Completed_16,Qty_Rejected_16,Qty_for_MRB_16,remainingTime,prediction
10,23,10,29,23,25,26,27,29,12,13,7,7,31,10,30,31,18,26,27,30,6,7,7,7,23,1,29,23,25,26,27,29,12,13,7,7,31,1,30,31,18,26,27,30,6,7,7,7,23,10,24,23,25,26,27,24,12,7,7,7,23,1,24,23,25,26,27,24,12,7,7,7,23,10,24,23,25,26,27,24,6,32,7,7,23,1,24,23,25,26,27,24,6,32,7,7,23,10,33,23,25,26,27,33,6,34,7,7,23,1,33,23,25,26,27,33,6,34,7,7,23,10,29,23,25,26,27,29,6,35,7,7,23,1,29,23,25,26,27,29,6,35,7,7,23,10,24,23,25,26,27,24,12,13,7,7,23,1,24,23,25,26,27,24,12,13,7,7,23,10,24,23,25,26,27,24,6,28,7,7,23,1,24,23,25,26,27,24,6,28,7,7,1313760.0,787741.125
100,39,10,38,39,40,36,37,38,6,41,7,7,39,1,38,39,40,36,37,38,6,41,7,7,39,10,42,39,40,36,37,42,6,43,7,7,39,1,42,39,40,36,37,42,6,43,7,7,39,10,38,39,40,36,37,38,12,13,7,7,39,1,38,39,40,36,37,38,12,13,7,7,39,10,38,39,40,36,37,38,6,32,7,7,39,1,38,39,40,36,37,38,6,32,7,7,17,10,30,17,18,36,37,30,6,36,7,7,17,1,30,17,18,36,37,30,6,36,7,7,21,10,20,21,22,36,37,20,6,36,7,7,21,1,20,21,22,36,37,20,6,36,7,7,44,10,20,44,45,36,37,20,6,36,7,7,44,1,20,44,45,36,37,20,6,36,7,7,0,10,2,0,3,36,37,2,6,36,7,7,0,1,2,0,3,36,37,2,6,36,7,7,841500.0,336177.28125
106,39,10,46,39,40,57,37,46,12,7,7,7,39,1,46,39,40,57,37,46,12,7,7,7,39,10,38,39,40,57,37,38,6,57,7,7,39,1,38,39,40,57,37,38,6,57,7,7,17,10,30,17,18,57,37,30,6,57,7,7,17,1,30,17,18,57,37,30,6,57,7,7,21,10,20,21,22,57,37,20,6,57,7,7,21,1,20,21,22,57,37,20,6,57,7,7,44,10,2,44,45,57,37,2,6,57,7,7,44,1,2,44,45,57,37,2,6,57,7,7,56,10,30,56,18,57,37,30,6,7,7,7,56,1,30,56,18,57,37,30,6,7,7,7,59,10,58,59,59,57,37,58,6,57,7,7,59,1,58,59,59,57,37,58,6,57,7,7,56,10,30,56,18,57,37,30,6,57,7,7,56,1,30,56,18,57,37,30,6,57,7,7,0.0,308574.875
108,9,10,33,9,11,61,62,33,12,13,7,7,9,1,33,9,11,61,62,33,12,13,7,7,9,10,42,9,11,61,62,42,12,13,7,7,17,10,52,17,18,61,62,52,6,7,7,7,17,1,52,17,18,61,62,52,6,7,7,7,9,1,42,9,11,61,62,42,12,13,7,7,9,10,42,9,11,61,62,42,6,63,7,7,9,1,42,9,11,61,62,42,6,63,7,7,17,10,52,17,18,61,62,52,6,55,13,7,17,1,52,17,18,61,62,52,6,55,13,7,21,10,20,21,22,61,62,20,6,55,7,7,21,1,20,21,22,61,62,20,6,55,7,7,44,10,64,44,45,61,62,64,6,7,7,7,44,1,64,44,45,61,62,64,6,7,7,7,44,10,60,44,45,61,62,60,6,55,7,7,44,1,60,44,45,61,62,60,6,55,7,7,728580.0,250032.3125
110,76,10,33,76,77,78,37,33,12,13,7,7,76,1,33,76,77,78,37,33,12,13,7,7,76,10,42,76,77,78,37,42,12,28,7,7,17,10,16,17,18,78,37,16,6,7,7,7,17,1,16,17,18,78,37,16,6,7,7,7,76,1,42,76,77,78,37,42,12,28,7,7,76,10,42,76,77,78,37,42,6,4,7,7,76,1,42,76,77,78,37,42,6,4,7,7,76,10,33,76,77,78,37,33,6,80,7,7,76,1,33,76,77,78,37,33,6,80,7,7,76,10,14,76,77,78,37,14,6,55,7,7,76,1,14,76,77,78,37,14,6,55,7,7,76,10,42,76,77,78,37,42,6,81,7,7,76,10,72,76,77,78,37,72,6,79,7,7,76,1,42,76,77,78,37,42,6,81,7,7,76,1,72,76,77,78,37,72,6,79,7,7,2259720.0,895349.875
126,9,10,86,9,11,4,48,86,12,7,7,7,9,1,86,9,11,4,48,86,12,7,7,7,9,10,14,9,11,4,48,14,12,67,7,7,9,1,14,9,11,4,48,14,12,67,7,7,9,10,8,9,11,4,48,8,12,7,7,7,17,10,52,17,18,4,48,52,6,7,13,7,9,1,8,9,11,4,48,8,12,7,7,7,9,10,8,9,11,4,48,8,6,15,7,7,17,1,52,17,18,4,48,52,6,7,13,7,9,1,8,9,11,4,48,8,6,15,7,7,17,10,52,17,18,4,48,52,6,19,7,7,17,1,52,17,18,4,48,52,6,19,7,7,21,10,20,21,22,4,48,20,6,19,7,7,21,1,20,21,22,4,48,20,6,19,7,7,0,10,2,0,3,4,48,2,6,7,7,7,0,1,2,0,3,4,48,2,6,7,7,7,171900.0,351368.53125
138,9,10,14,9,11,102,5,14,12,7,7,7,9,1,14,9,11,102,5,14,12,7,7,7,9,10,8,9,11,102,5,8,12,13,7,7,9,1,8,9,11,102,5,8,12,13,7,7,9,10,8,9,11,102,5,8,6,70,7,7,9,1,8,9,11,102,5,8,6,70,7,7,9,10,14,9,11,102,5,14,6,36,7,7,9,1,14,9,11,102,5,14,6,36,7,7,110,10,86,110,111,102,5,86,6,109,7,7,110,1,86,110,111,102,5,86,6,109,7,7,17,10,16,17,18,102,5,16,6,7,13,7,17,1,16,17,18,102,5,16,6,7,13,7,17,10,16,17,18,102,5,16,6,7,67,7,17,1,16,17,18,102,5,16,6,7,67,7,17,10,16,17,18,102,5,16,6,81,13,7,17,1,16,17,18,102,5,16,6,81,13,7,10680.0,1023840.8125
19,110,10,14,110,111,155,5,14,12,13,7,7,110,1,14,110,111,155,5,14,12,13,7,7,17,10,16,17,18,155,5,16,12,7,7,7,17,1,16,17,18,155,5,16,12,7,7,7,9,10,8,9,11,155,5,8,6,117,7,7,9,1,8,9,11,155,5,8,6,117,7,7,17,10,16,17,18,155,5,16,6,155,7,7,17,1,16,17,18,155,5,16,6,155,7,7,21,10,20,21,22,155,5,20,6,155,7,7,21,1,20,21,22,155,5,20,6,155,7,7,0,10,2,0,3,155,5,2,6,7,7,7,0,1,2,0,3,155,5,2,6,7,7,7,0,10,2,0,3,155,5,2,6,69,7,7,0,1,2,0,3,155,5,2,6,69,7,7,148,10,144,148,149,155,5,144,12,7,7,7,148,1,144,148,149,155,5,144,12,7,7,7,165120.0,1714491.875
20,9,10,14,9,11,167,168,14,12,13,7,7,9,1,14,9,11,167,168,14,12,13,7,7,17,10,30,17,18,167,168,30,6,7,7,7,9,10,14,9,11,167,168,14,6,15,7,7,9,1,14,9,11,167,168,14,6,15,7,7,17,1,30,17,18,167,168,30,6,7,7,7,9,10,33,9,11,167,168,33,6,141,7,7,9,1,33,9,11,167,168,33,6,141,7,7,9,10,33,9,11,167,168,33,12,67,7,7,9,1,33,9,11,167,168,33,12,67,7,7,9,10,33,9,11,167,168,33,6,135,7,7,9,1,33,9,11,167,168,33,6,135,7,7,9,10,86,9,11,167,168,86,6,57,7,7,9,1,86,9,11,167,168,86,6,57,7,7,9,10,42,9,11,167,168,42,6,41,7,7,9,1,42,9,11,167,168,42,6,41,7,7,3136080.0,5764780.5
206,17,10,30,17,18,79,172,30,6,7,7,7,17,1,30,17,18,79,172,30,6,7,7,7,21,10,20,21,22,79,172,20,6,79,7,7,21,1,20,21,22,79,172,20,6,79,7,7,0,10,20,0,3,79,172,20,6,79,7,7,0,1,20,0,3,79,172,20,6,79,7,7,95,10,100,95,96,79,172,100,12,7,7,7,95,1,100,95,96,79,172,100,12,7,7,7,95,10,100,95,96,79,172,100,6,4,7,7,95,1,100,95,96,79,172,100,6,4,7,7,56,10,30,56,18,79,172,30,6,7,7,7,56,1,30,56,18,79,172,30,6,7,7,7,56,10,30,56,18,79,172,30,6,4,7,7,56,1,30,56,18,79,172,30,6,4,7,7,59,10,171,59,59,79,172,171,6,4,7,7,59,1,171,59,59,79,172,171,6,4,7,7,950400.0,1081473.75
