Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Event_14,Event_15,Event_16,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,prediction
100,38,38,42,42,38,38,38,38,30,30,20,20,20,20,2,2,0,1,2,0,3,36,37,2,6,36,7,7,841500.0,148010.203125
123,86,86,8,8,8,8,14,14,14,14,8,8,8,8,8,8,9,1,8,9,11,116,5,8,12,13,7,7,212760.0,460403.75
129,38,52,52,38,38,38,46,46,52,52,20,20,52,52,58,58,59,1,58,59,59,28,122,58,6,28,7,7,115860.0,683625.625
135,42,42,86,118,118,86,42,42,42,42,42,42,86,86,8,8,110,1,8,110,111,78,48,8,6,123,7,7,502680.0,1151351.5
156,72,72,72,72,72,72,72,72,72,72,30,30,30,30,30,30,17,1,30,17,18,136,137,30,6,90,7,7,754440.0,2322451.0
188,20,2,2,2,20,2,20,20,30,30,159,159,147,147,147,147,148,1,147,148,149,156,157,147,6,135,7,7,507840.0,6537490.0
19,14,14,16,16,8,8,16,16,20,20,2,2,2,2,144,144,148,1,144,148,149,155,5,144,12,7,7,7,165120.0,1149169.0
195,52,52,2,2,20,20,20,2,20,2,2,2,125,125,144,144,124,1,144,124,126,116,165,144,12,7,7,7,447180.0,449648.96875
198,86,86,42,42,42,42,52,86,86,52,8,8,86,86,118,118,110,1,118,110,111,74,5,118,6,133,7,7,6012240.0,674422.0625
199,2,2,20,2,2,2,20,20,20,147,2,147,147,147,147,147,124,1,147,124,126,166,5,147,6,19,7,7,7475880.0,3859600.25
20,14,14,30,14,14,30,33,33,33,33,33,33,86,86,42,42,9,1,42,9,11,167,168,42,6,41,7,7,3136080.0,4871682.5
207,86,42,86,42,86,42,86,42,42,42,33,33,42,86,86,42,76,1,42,76,77,173,174,42,12,7,7,7,1641600.0,3740832.25
21,14,14,42,42,30,8,8,8,8,30,8,33,33,33,42,42,17,1,42,17,18,143,168,42,6,7,7,7,3282300.0,4718452.5
210,42,42,33,33,33,33,42,42,33,33,30,30,42,42,33,33,76,1,33,76,77,178,27,33,6,15,7,7,867600.0,3760465.0
225,100,100,100,100,100,100,100,100,100,100,2,2,2,2,2,2,0,1,2,0,3,195,5,2,6,196,7,7,6006900.0,1146238.0
231,20,20,125,125,125,125,144,64,144,64,16,16,16,16,16,16,170,1,16,170,18,141,5,16,6,67,7,7,340800.0,6182064.5
233,72,29,72,29,29,29,8,8,52,52,20,20,20,20,72,72,200,1,72,200,25,51,37,72,12,13,7,7,609300.0,316796.28125
234,52,52,52,52,159,159,204,204,159,159,52,52,52,52,86,86,110,1,86,110,111,129,201,86,12,7,7,7,3752580.0,448951.3125
236,64,64,64,64,30,100,30,100,64,64,64,64,30,30,139,139,59,1,139,59,59,141,27,139,6,141,7,7,0.0,2095560.25
24,8,8,8,8,88,88,2,2,213,100,100,213,88,88,125,2,0,10,2,0,3,63,112,2,6,7,7,7,473640.0,2260093.0
243,33,33,42,52,42,42,52,42,30,30,20,20,20,20,144,144,124,1,144,124,126,4,27,144,12,7,7,7,324060.0,135628.0625
244,64,64,64,64,64,64,64,64,64,52,64,64,64,64,52,64,107,1,64,107,108,109,5,64,6,35,7,7,298500.0,1025872.875
246,72,72,29,29,72,72,52,52,2,2,20,20,2,2,20,20,44,1,20,44,45,81,218,20,6,70,7,7,311100.0,1500070.875
261,46,46,46,46,30,30,38,38,30,30,2,2,20,20,2,2,44,1,2,44,45,129,217,2,6,129,7,7,497580.0,636370.8125
266,16,16,86,86,8,8,86,16,86,86,16,52,52,86,8,8,110,1,8,110,111,234,5,8,12,7,7,7,7273500.0,4988760.0
29,24,24,72,72,29,29,72,72,72,72,72,72,88,88,2,2,21,1,2,21,22,177,5,2,6,92,7,7,2775120.0,904402.4375
31,8,8,8,8,8,8,42,42,16,16,16,16,20,20,64,64,44,1,64,44,45,80,5,64,6,7,7,7,1344480.0,408322.9375
38,14,14,86,86,8,8,8,8,8,8,8,8,46,46,46,46,110,1,46,110,111,176,5,46,6,7,7,7,4760880.0,4557900.5
49,46,16,46,16,46,46,113,113,30,30,100,100,30,30,20,20,21,1,20,21,22,41,37,20,6,104,7,7,72600.0,2778968.0
67,86,86,86,86,8,8,8,8,14,14,8,8,72,72,8,16,17,10,16,17,18,138,5,16,6,7,7,7,4439100.0,1597408.0
84,38,38,38,38,38,38,38,38,38,38,30,30,46,46,30,30,17,1,30,17,18,61,130,30,6,61,7,7,843720.0,892195.375
87,14,14,8,8,8,30,8,30,46,86,46,8,86,33,8,33,9,1,33,9,11,256,257,33,6,70,7,7,3048780.0,4975339.5
9,72,72,29,29,29,29,30,30,20,20,20,20,100,100,100,100,95,1,100,95,96,141,27,100,6,141,7,7,395340.0,4294851.5
91,86,86,14,14,14,42,14,42,30,30,33,33,8,8,14,14,110,1,14,110,111,156,260,14,6,43,7,7,449580.0,978559.4375
95,42,42,8,8,30,14,30,14,42,42,8,8,30,118,14,30,17,1,30,17,18,266,157,30,6,7,7,7,2569200.0,2030608.5
