Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Event_14,Event_15,Event_16,remainingTime,prediction
102,38,38,38,38,46,46,46,52,52,46,46,46,38,38,33,33,1196940.0,2418855.0
108,33,33,42,52,52,42,42,42,52,52,20,20,64,64,60,60,728580.0,924815.125
111,8,8,8,8,14,14,86,86,8,8,14,14,88,88,8,8,479160.0,273670.1875
115,8,8,42,42,8,8,8,8,8,52,52,52,52,8,2,2,1501680.0,3775356.5
12,72,72,24,24,30,30,24,24,72,72,29,29,72,72,29,29,1566060.0,2091513.625
145,38,38,46,46,38,38,38,38,30,30,20,20,20,20,30,30,598980.0,744509.0
156,72,72,72,72,72,72,72,72,72,72,30,30,30,30,30,30,754440.0,2941883.5
163,139,139,52,52,52,52,52,52,29,29,52,52,139,139,52,52,5060940.0,1181342.375
182,30,30,64,64,30,30,30,30,58,58,30,30,113,113,20,20,261240.0,893829.5625
188,20,2,2,2,20,2,20,20,30,30,159,159,147,147,147,147,507840.0,2824881.75
199,2,2,20,2,2,2,20,20,20,147,2,147,147,147,147,147,7475880.0,2563836.5
209,33,33,46,46,46,46,86,86,33,33,42,42,30,30,20,20,221760.0,641777.5
214,33,33,33,33,14,42,14,42,30,30,33,33,33,33,14,42,1400280.0,869341.125
219,20,20,20,20,125,125,144,144,125,125,125,125,147,147,88,88,562260.0,4079750.5
223,46,52,46,46,46,46,52,46,42,42,46,46,52,52,20,20,1497720.0,435657.96875
230,33,33,33,33,33,33,33,30,30,33,42,42,33,30,30,33,4403580.0,872145.4375
25,86,86,86,86,86,86,42,42,42,42,86,86,16,16,20,20,2678640.0,1067883.25
266,16,16,86,86,8,8,86,16,86,86,16,52,52,86,8,8,7273500.0,3131415.5
269,46,46,46,52,46,46,52,46,46,46,52,46,46,52,46,52,1624860.0,558506.9375
273,29,29,29,24,24,30,29,30,20,20,20,20,20,20,64,64,173700.0,1095265.75
274,38,38,38,52,52,38,38,52,100,38,52,100,100,100,100,100,118800.0,1175296.0
28,33,33,33,33,14,30,30,14,30,30,14,14,46,46,30,86,2914380.0,1078014.0
34,24,24,29,29,29,29,8,8,24,52,24,52,20,20,20,20,1777200.0,1970403.625
35,86,86,33,33,42,86,42,86,16,16,16,16,147,147,20,20,1274940.0,3482700.5
37,46,72,72,46,46,46,33,33,239,239,46,46,46,46,8,8,1717920.0,853702.0625
38,14,14,86,86,8,8,8,8,8,8,8,8,46,46,46,46,4760880.0,3617478.0
42,33,33,33,33,30,30,14,14,38,38,33,30,33,14,30,30,405060.0,288554.9375
48,14,14,8,8,8,8,52,52,14,14,52,52,20,20,20,20,3098100.0,2553200.0
53,46,46,38,38,38,38,38,38,38,38,38,38,46,52,46,52,838800.0,582958.0
70,29,29,29,29,29,29,29,29,29,29,29,29,72,72,29,29,2866740.0,2686877.25
72,38,38,38,38,30,30,2,2,20,20,20,2,20,2,58,58,45540.0,263219.96875
77,72,72,72,72,29,29,29,29,72,72,24,16,16,24,72,72,1389660.0,919055.4375
82,86,86,86,86,42,42,42,42,52,52,20,20,2,2,20,20,233040.0,1281494.25
83,86,86,86,86,14,14,42,42,86,52,52,86,8,8,42,42,326400.0,742810.375
9,72,72,29,29,29,29,30,30,20,20,20,20,100,100,100,100,395340.0,2347333.75
