Id,concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,concept:name_4,lifecycle:transition_4,org:resource_4,Activity_4,Resource_4,Work_Order_Qty_4,Part_Desc__4,Worker_ID_4,Report_Type_4,Qty_Completed_4,Qty_Rejected_4,Qty_for_MRB_4,concept:name_5,lifecycle:transition_5,org:resource_5,Activity_5,Resource_5,Work_Order_Qty_5,Part_Desc__5,Worker_ID_5,Report_Type_5,Qty_Completed_5,Qty_Rejected_5,Qty_for_MRB_5,concept:name_6,lifecycle:transition_6,org:resource_6,Activity_6,Resource_6,Work_Order_Qty_6,Part_Desc__6,Worker_ID_6,Report_Type_6,Qty_Completed_6,Qty_Rejected_6,Qty_for_MRB_6,concept:name_7,lifecycle:transition_7,org:resource_7,Activity_7,Resource_7,Work_Order_Qty_7,Part_Desc__7,Worker_ID_7,Report_Type_7,Qty_Completed_7,Qty_Rejected_7,Qty_for_MRB_7,concept:name_8,lifecycle:transition_8,org:resource_8,Activity_8,Resource_8,Work_Order_Qty_8,Part_Desc__8,Worker_ID_8,Report_Type_8,Qty_Completed_8,Qty_Rejected_8,Qty_for_MRB_8,concept:name_9,lifecycle:transition_9,org:resource_9,Activity_9,Resource_9,Work_Order_Qty_9,Part_Desc__9,Worker_ID_9,Report_Type_9,Qty_Completed_9,Qty_Rejected_9,Qty_for_MRB_9,concept:name_10,lifecycle:transition_10,org:resource_10,Activity_10,Resource_10,Work_Order_Qty_10,Part_Desc__10,Worker_ID_10,Report_Type_10,Qty_Completed_10,Qty_Rejected_10,Qty_for_MRB_10,concept:name_11,lifecycle:transition_11,org:resource_11,Activity_11,Resource_11,Work_Order_Qty_11,Part_Desc__11,Worker_ID_11,Report_Type_11,Qty_Completed_11,Qty_Rejected_11,Qty_for_MRB_11,concept:name_12,lifecycle:transition_12,org:resource_12,Activity_12,Resource_12,Work_Order_Qty_12,Part_Desc__12,Worker_ID_12,Report_Type_12,Qty_Completed_12,Qty_Rejected_12,Qty_for_MRB_12,concept:name_13,lifecycle:transition_13,org:resource_13,Activity_13,Resource_13,Work_Order_Qty_13,Part_Desc__13,Worker_ID_13,Report_Type_13,Qty_Completed_13,Qty_Rejected_13,Qty_for_MRB_13,concept:name_14,lifecycle:transition_14,org:resource_14,Activity_14,Resource_14,Work_Order_Qty_14,Part_Desc__14,Worker_ID_14,Report_Type_14,Qty_Completed_14,Qty_Rejected_14,Qty_for_MRB_14,concept:name_15,lifecycle:transition_15,org:resource_15,Activity_15,Resource_15,Work_Order_Qty_15,Part_Desc__15,Worker_ID_15,Report_Type_15,Qty_Completed_15,Qty_Rejected_15,Qty_for_MRB_15,concept:name_16,lifecycle:transition_16,org:resource_16,Activity_16,Resource_16,Work_Order_Qty_16,Part_Desc__16,Worker_ID_16,Report_Type_16,Qty_Completed_16,Qty_Rejected_16,Qty_for_MRB_16,concept:name_17,lifecycle:transition_17,org:resource_17,Activity_17,Resource_17,Work_Order_Qty_17,Part_Desc__17,Worker_ID_17,Report_Type_17,Qty_Completed_17,Qty_Rejected_17,Qty_for_MRB_17,concept:name_18,lifecycle:transition_18,org:resource_18,Activity_18,Resource_18,Work_Order_Qty_18,Part_Desc__18,Worker_ID_18,Report_Type_18,Qty_Completed_18,Qty_Rejected_18,Qty_for_MRB_18,concept:name_19,lifecycle:transition_19,org:resource_19,Activity_19,Resource_19,Work_Order_Qty_19,Part_Desc__19,Worker_ID_19,Report_Type_19,Qty_Completed_19,Qty_Rejected_19,Qty_for_MRB_19,remainingTime,prediction
110,82,1,35,82,83,80,41,35,6,11,7,7,82,12,35,82,83,80,41,35,6,11,7,7,82,1,46,82,83,80,41,46,6,38,7,7,17,1,16,17,18,80,41,16,13,7,7,7,17,12,16,17,18,80,41,16,13,7,7,7,82,12,46,82,83,80,41,46,6,38,7,7,82,1,46,82,83,80,41,46,13,4,7,7,82,12,46,82,83,80,41,46,13,4,7,7,82,1,35,82,83,80,41,35,13,84,7,7,82,12,35,82,83,80,41,35,13,84,7,7,82,1,14,82,83,80,41,14,13,60,7,7,82,12,14,82,83,80,41,14,13,60,7,7,82,1,46,82,83,80,41,46,13,85,7,7,82,1,76,82,83,80,41,76,13,86,7,7,82,12,46,82,83,80,41,46,13,85,7,7,82,12,76,82,83,80,41,76,13,86,7,7,17,1,32,17,18,80,41,32,13,7,7,7,17,12,32,17,18,80,41,32,13,7,7,7,17,1,32,17,18,80,41,32,13,81,11,7,2084760.0,1212977.9664
122,118,1,92,118,119,101,122,92,6,11,7,7,118,12,92,118,119,101,122,92,6,11,7,7,118,1,92,118,119,101,122,92,13,47,7,7,118,12,92,118,119,101,122,92,13,47,7,7,118,1,92,118,119,101,122,92,6,11,7,7,118,12,92,118,119,101,122,92,6,11,7,7,118,1,92,118,119,101,122,92,13,47,7,7,17,1,16,17,18,101,122,16,13,7,7,7,17,12,16,17,18,101,122,16,13,7,7,7,118,12,92,118,119,101,122,92,13,47,7,7,17,1,94,17,18,101,122,94,13,101,7,7,17,12,94,17,18,101,122,94,13,101,7,7,21,1,20,21,22,101,122,20,13,101,7,7,21,12,20,21,22,101,122,20,13,101,7,7,124,1,20,124,125,101,122,20,13,101,7,7,48,1,23,48,49,101,122,23,13,101,7,7,124,12,20,124,125,101,122,20,13,101,7,7,48,12,23,48,49,101,122,23,13,101,7,7,24,1,20,24,25,101,122,20,13,101,7,7,1763640.0,-2784430.74772
124,9,1,8,9,10,101,41,8,6,11,7,7,9,12,8,9,10,101,41,8,6,11,7,7,9,1,8,9,10,101,41,8,13,71,7,7,9,12,8,9,10,101,41,8,13,71,7,7,9,1,92,9,10,101,41,92,13,7,7,7,9,12,92,9,10,101,41,92,13,7,7,7,9,1,14,9,10,101,41,14,13,19,7,7,9,12,14,9,10,101,41,14,13,19,7,7,17,1,56,17,18,101,41,56,13,101,7,7,17,12,56,17,18,101,41,56,13,101,7,7,21,1,20,21,22,101,41,20,13,101,7,7,21,12,20,21,22,101,41,20,13,101,7,7,24,1,128,24,25,101,41,128,13,101,7,7,24,12,128,24,25,101,41,128,13,101,7,7,113,1,56,113,18,101,41,56,13,7,7,7,113,12,56,113,18,101,41,56,13,7,7,7,113,1,56,113,18,101,41,56,13,101,7,7,113,12,56,113,18,101,41,56,13,101,7,7,111,1,110,111,111,101,41,110,13,101,7,7,3600.0,-3325651.20816
135,118,1,46,118,119,80,51,46,6,11,7,7,118,12,46,118,119,80,51,46,6,11,7,7,118,1,92,118,119,80,51,92,6,7,7,7,118,1,128,118,119,80,51,128,6,7,7,7,118,12,128,118,119,80,51,128,6,7,7,7,118,12,92,118,119,80,51,92,6,7,7,7,118,1,46,118,119,80,51,46,6,7,7,7,118,12,46,118,119,80,51,46,6,7,7,7,118,1,46,118,119,80,51,46,6,7,7,7,118,12,46,118,119,80,51,46,6,7,7,7,118,1,46,118,119,80,51,46,13,60,7,7,118,12,46,118,119,80,51,46,13,60,7,7,118,1,92,118,119,80,51,92,13,60,7,7,118,12,92,118,119,80,51,92,13,60,7,7,118,1,8,118,119,80,51,8,13,133,7,7,118,12,8,118,119,80,51,8,13,133,7,7,118,1,35,118,119,80,51,35,13,86,7,7,118,12,35,118,119,80,51,35,13,86,7,7,118,1,35,118,119,80,51,35,13,88,7,7,477420.0,4574193.6578
185,75,1,27,75,77,34,5,27,13,71,7,7,75,12,27,75,77,34,5,27,13,71,7,7,153,1,65,153,105,34,5,65,13,7,7,7,153,12,65,153,105,34,5,65,13,7,7,7,111,1,110,111,111,34,5,110,13,57,7,7,111,1,110,111,111,34,5,110,13,7,7,7,111,12,110,111,111,34,5,110,13,57,7,7,111,12,110,111,111,34,5,110,13,7,7,7,113,1,56,113,18,34,5,56,13,57,7,7,113,12,56,113,18,34,5,56,13,57,7,7,17,1,56,17,18,34,5,56,13,7,7,7,17,12,56,17,18,34,5,56,13,7,7,7,17,1,56,17,18,34,5,56,13,45,7,7,17,12,56,17,18,34,5,56,13,45,7,7,21,1,20,21,22,34,5,20,13,45,7,7,21,12,20,21,22,34,5,20,13,45,7,7,24,1,20,24,25,34,5,20,13,45,7,7,24,12,20,24,25,34,5,20,13,45,7,7,113,1,56,113,18,34,5,56,13,7,7,57,5175600.0,3577636.56042
187,24,1,23,24,25,160,5,23,13,7,7,7,24,12,23,24,25,160,5,23,13,7,7,7,0,1,134,0,3,160,5,134,6,7,7,7,0,12,134,0,3,160,5,134,6,7,7,7,0,1,67,0,3,160,5,67,6,71,7,7,0,12,67,0,3,160,5,67,6,71,7,7,0,1,2,0,3,160,5,2,13,161,7,7,0,12,2,0,3,160,5,2,13,161,7,7,0,1,134,0,3,160,5,134,13,108,7,7,0,12,134,0,3,160,5,134,13,108,7,7,0,1,67,0,3,160,5,67,13,4,7,7,0,12,67,0,3,160,5,67,13,4,7,7,0,1,2,0,3,160,5,2,13,36,7,7,0,12,2,0,3,160,5,2,13,36,7,7,0,1,134,0,3,160,5,134,13,86,7,7,0,12,134,0,3,160,5,134,13,86,7,7,0,1,109,0,3,160,5,109,13,162,7,7,0,12,109,0,3,160,5,109,13,162,7,7,0,1,2,0,3,160,5,2,13,45,7,7,3891240.0,-960010.747032
194,75,1,27,75,77,39,172,27,6,7,7,7,75,12,27,75,77,39,172,27,6,7,7,7,75,1,27,75,77,39,172,27,6,7,7,7,17,1,56,17,18,39,172,56,6,7,7,7,75,12,27,75,77,39,172,27,6,7,7,7,17,12,56,17,18,39,172,56,6,7,7,7,75,1,27,75,77,39,172,27,6,38,7,7,17,1,56,17,18,39,172,56,13,7,7,7,17,12,56,17,18,39,172,56,13,7,7,7,75,12,27,75,77,39,172,27,6,38,7,7,75,1,76,75,77,39,172,76,13,15,7,7,75,12,76,75,77,39,172,76,13,15,7,7,75,1,31,75,77,39,172,31,13,45,7,7,17,1,56,17,18,39,172,56,13,36,7,7,17,12,56,17,18,39,172,56,13,36,7,7,75,12,31,75,77,39,172,31,13,45,7,7,75,1,27,75,77,39,172,27,13,88,7,7,75,12,27,75,77,39,172,27,13,88,7,7,170,1,8,170,171,39,172,8,13,97,7,7,2044800.0,8575438.62237
198,118,1,92,118,119,78,5,92,6,7,7,7,118,12,92,118,119,78,5,92,6,7,7,7,118,1,46,118,119,78,5,46,6,11,7,7,118,12,46,118,119,78,5,46,6,11,7,7,118,1,46,118,119,78,5,46,13,144,7,7,118,12,46,118,119,78,5,46,13,144,7,7,17,1,56,17,18,78,5,56,13,7,11,7,118,1,92,118,119,78,5,92,6,11,7,7,118,12,92,118,119,78,5,92,6,11,7,7,17,12,56,17,18,78,5,56,13,7,11,7,118,1,8,118,119,78,5,8,13,47,7,7,118,12,8,118,119,78,5,8,13,47,7,7,118,1,92,118,119,78,5,92,13,71,7,7,118,12,92,118,119,78,5,92,13,71,7,7,118,1,128,118,119,78,5,128,13,144,7,7,118,12,128,118,119,78,5,128,13,144,7,7,118,1,8,118,119,78,5,8,13,161,7,7,118,12,8,118,119,78,5,8,13,161,7,7,17,1,94,17,18,78,5,94,13,174,7,7,5899140.0,5266889.63141
206,17,1,32,17,18,86,180,32,13,7,7,7,17,12,32,17,18,86,180,32,13,7,7,7,21,1,20,21,22,86,180,20,13,86,7,7,21,12,20,21,22,86,180,20,13,86,7,7,24,1,20,24,25,86,180,20,13,86,7,7,24,12,20,24,25,86,180,20,13,86,7,7,104,1,109,104,105,86,180,109,6,7,7,7,104,12,109,104,105,86,180,109,6,7,7,7,104,1,109,104,105,86,180,109,13,4,7,7,104,12,109,104,105,86,180,109,13,4,7,7,113,1,32,113,18,86,180,32,13,7,7,7,113,12,32,113,18,86,180,32,13,7,7,7,113,1,32,113,18,86,180,32,13,4,7,7,113,12,32,113,18,86,180,32,13,4,7,7,111,1,181,111,111,86,180,181,13,4,7,7,111,12,181,111,111,86,180,181,13,4,7,7,120,1,65,120,121,86,180,65,6,7,7,7,120,12,65,120,121,86,180,65,6,7,7,7,120,1,65,120,121,86,180,65,13,57,7,7,723600.0,5233614.06669
214,82,1,35,82,83,147,41,35,6,71,7,7,82,12,35,82,83,147,41,35,6,71,7,7,82,1,35,82,83,147,41,35,13,19,7,7,82,12,35,82,83,147,41,35,13,19,7,7,82,1,14,82,83,147,41,14,13,71,7,7,82,1,46,82,83,147,41,46,13,133,7,7,82,12,14,82,83,147,41,14,13,71,7,7,82,12,46,82,83,147,41,46,13,133,7,7,17,1,32,17,18,147,41,32,13,7,71,7,17,12,32,17,18,147,41,32,13,7,71,7,82,1,35,82,83,147,41,35,6,11,7,7,82,12,35,82,83,147,41,35,6,11,7,7,82,1,35,82,83,147,41,35,13,127,7,7,82,12,35,82,83,147,41,35,13,127,7,7,82,1,14,82,83,147,41,14,13,15,7,7,82,1,46,82,83,147,41,46,13,72,7,7,82,12,14,82,83,147,41,14,13,15,7,7,82,12,46,82,83,147,41,46,13,72,7,7,17,1,32,17,18,147,41,32,13,7,7,7,1359240.0,-6589826.38018
