Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Event_14,Event_15,Event_16,Event_17,Event_18,Event_19,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,prediction
1,8,8,8,8,14,14,14,14,16,16,20,20,23,23,23,23,23,23,2,0,1,2,0,3,4,5,2,6,7,7,7,229620.0,-355117.333128
100,42,42,46,46,42,42,42,42,32,32,20,20,20,20,23,23,2,2,2,0,1,2,0,3,40,41,2,13,40,7,7,678120.0,930460.23108
112,76,76,31,31,27,27,56,31,56,31,31,31,27,27,35,35,31,31,31,26,1,31,26,28,96,41,31,13,97,7,7,1209000.0,1241266.7187
115,8,8,46,46,8,8,8,8,8,56,56,56,56,8,23,23,23,23,23,48,1,23,48,49,99,41,23,13,100,7,7,1439700.0,1721872.98047
12,76,76,27,27,32,32,27,27,76,76,31,31,76,76,31,31,31,31,76,116,1,76,116,28,117,30,76,13,57,7,7,1533780.0,1484778.53987
121,46,46,46,123,123,46,92,94,94,92,46,54,54,46,8,8,8,8,94,17,1,94,17,18,101,122,94,13,47,7,7,1137780.0,3509723.91698
135,46,46,92,128,128,92,46,46,46,46,46,46,92,92,8,8,35,35,35,118,1,35,118,119,80,51,35,13,88,7,7,477420.0,3156085.63088
177,20,20,134,134,134,134,67,67,16,16,16,16,16,16,16,16,109,109,110,111,1,110,111,111,152,5,110,13,45,7,7,3978900.0,1663020.33214
187,23,23,134,134,67,67,2,2,134,134,67,67,2,2,134,134,109,109,2,0,1,2,0,3,160,5,2,13,45,7,7,3891240.0,1660385.54576
206,32,32,20,20,20,20,109,109,109,109,32,32,32,32,181,181,65,65,65,120,1,65,120,121,86,180,65,13,57,7,7,723600.0,2362778.92848
210,46,46,35,35,35,35,46,46,35,35,32,32,46,46,35,35,32,32,32,17,1,32,17,18,187,30,32,13,187,7,7,831360.0,2553639.58407
215,54,54,54,54,2,2,32,32,32,32,20,20,20,20,20,20,20,20,32,113,1,32,113,18,190,41,32,13,7,7,7,180660.0,2063324.60942
219,20,20,20,20,67,67,134,134,67,67,67,67,2,2,94,94,94,94,110,111,1,110,111,111,84,5,110,13,79,7,7,90000.0,1656517.81938
223,54,56,54,54,54,54,56,54,46,46,54,54,56,56,20,20,23,23,23,48,1,23,48,49,84,41,23,13,7,7,7,1386000.0,1888896.64795
228,54,54,54,54,54,54,32,32,32,32,32,32,23,20,23,20,32,32,32,113,1,32,113,18,4,41,32,13,19,7,7,141660.0,-280459.880705
240,35,35,46,46,92,92,35,35,46,46,92,92,23,23,32,32,20,20,23,48,1,23,48,49,213,214,23,13,69,7,7,722160.0,3166832.90627
244,65,65,65,65,65,65,65,65,65,56,65,65,65,65,56,65,56,56,56,113,1,56,113,18,57,5,56,13,37,7,7,131700.0,669547.546589
245,31,31,31,16,16,31,31,31,31,31,76,76,76,76,94,94,20,20,23,24,1,23,24,25,57,5,23,13,7,7,7,694800.0,1517807.65392
248,31,31,31,31,76,76,23,23,94,94,20,20,20,20,23,20,20,23,2,66,1,2,66,68,55,51,2,6,7,7,7,620340.0,912314.563313
251,92,92,8,8,8,8,16,16,20,20,16,16,23,23,210,210,16,16,16,113,1,16,113,18,57,5,16,13,7,7,7,196500.0,1457132.27252
269,54,54,54,56,54,54,56,54,54,54,56,54,54,56,54,56,56,54,56,17,1,56,17,18,101,41,56,13,101,7,7,1567860.0,1468214.32639
27,54,54,54,54,54,54,54,54,54,54,54,54,54,54,32,32,109,109,109,104,1,109,104,105,101,41,109,6,7,7,7,235680.0,676424.320453
271,8,8,8,8,8,8,92,94,92,94,8,94,94,8,94,92,92,23,94,17,12,94,17,18,147,5,94,13,234,7,7,6513540.0,54257.6285104
29,27,27,76,76,31,31,76,76,76,76,76,76,94,94,23,23,235,76,235,75,12,235,75,77,186,5,235,13,7,38,7,2719440.0,6452495.90884
40,31,31,76,76,31,31,31,31,31,31,8,8,32,32,23,23,20,20,110,111,1,110,111,111,85,30,110,13,85,7,7,42780.0,1634953.00465
61,31,31,31,31,31,31,8,8,31,56,31,56,76,76,31,56,31,31,56,17,12,56,17,18,39,172,56,13,7,7,7,3381660.0,773184.828251
66,42,42,42,42,32,32,20,20,20,20,201,201,32,32,20,20,20,20,110,111,1,110,111,111,4,139,110,13,4,7,7,33960.0,955651.975133
73,8,8,92,92,14,14,46,46,92,92,8,8,8,32,32,8,14,54,14,9,12,14,9,10,69,204,14,13,34,7,7,836520.0,1261997.10755
78,92,92,92,92,8,8,46,46,92,92,92,92,35,35,35,35,14,14,46,118,1,46,118,119,253,5,46,13,37,7,7,2331960.0,4437838.96179
80,46,46,46,46,56,56,20,20,23,23,20,20,134,134,134,2,134,67,2,0,12,2,0,3,40,5,2,13,62,7,7,66600.0,-657643.047885
87,14,14,8,8,8,32,8,32,54,92,54,8,92,35,8,35,32,32,54,9,1,54,9,10,255,256,54,13,144,7,7,3043860.0,2939879.46804
90,35,35,14,14,46,46,8,8,8,35,35,128,128,8,128,128,8,35,35,82,12,35,82,83,160,257,35,13,69,7,7,152220.0,2775434.64866
95,46,46,8,8,32,14,32,14,46,46,8,8,32,128,14,32,14,128,8,9,1,8,9,10,264,164,8,13,84,7,7,2523540.0,5733538.67398
