Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Event_14,Event_15,Event_16,Event_17,Event_18,Event_19,remainingTime,prediction
101,42,42,42,42,42,42,42,42,35,35,54,54,54,54,54,54,32,32,20,918300.0,1642809.59771
102,42,42,42,42,54,54,54,56,56,54,54,54,42,42,35,35,54,54,54,1173300.0,1505521.48211
108,35,35,46,56,56,46,46,46,56,56,20,20,65,65,61,61,61,61,61,712740.0,1687345.9009
109,8,14,8,14,32,46,46,46,32,46,8,32,32,8,32,32,20,20,67,331020.0,1354521.25974
123,92,92,8,8,8,8,14,14,14,14,8,8,8,8,8,8,14,14,14,204060.0,746036.554292
140,92,92,14,14,94,94,23,23,20,20,67,67,67,67,67,67,65,65,134,32940.0,1475903.98278
177,20,20,134,134,134,134,67,67,16,16,16,16,16,16,16,16,109,109,110,3978900.0,2095042.83363
178,2,2,67,67,109,109,109,23,20,109,23,20,109,67,109,67,134,134,65,4929780.0,1426868.22792
192,167,167,56,56,27,27,56,27,56,27,27,27,76,76,56,27,56,27,31,1482480.0,-312487.154969
195,56,56,23,23,20,20,20,23,20,23,23,23,67,67,134,134,134,134,65,316860.0,1058764.19014
198,92,92,46,46,46,46,56,92,92,56,8,8,92,92,128,128,8,8,94,5899140.0,1456306.4918
207,92,46,92,46,92,46,92,46,46,46,35,35,46,92,92,46,92,92,92,1619220.0,-14822.3085762
215,54,54,54,54,2,2,32,32,32,32,20,20,20,20,20,20,20,20,32,180660.0,1049181.20771
22,76,76,31,31,31,31,31,31,76,76,94,94,20,20,20,20,65,65,65,331680.0,920925.440106
228,54,54,54,54,54,54,32,32,32,32,32,32,23,20,23,20,32,32,32,141660.0,1443453.71893
23,92,92,14,14,46,46,94,94,92,94,94,92,92,92,20,20,20,20,65,2926080.0,1265537.653
241,92,92,92,92,14,14,56,35,56,35,35,35,56,56,20,20,20,20,56,48600.0,741353.935852
248,31,31,31,31,76,76,23,23,94,94,20,20,20,20,23,20,20,23,2,620340.0,1706569.58098
252,35,35,35,32,35,32,32,32,35,35,32,32,20,20,20,20,32,32,94,63540.0,1298424.92548
256,54,54,8,8,35,35,56,56,54,54,42,42,42,42,42,42,35,35,54,2944200.0,1231054.37046
260,46,46,46,46,46,46,35,35,46,46,76,76,32,35,32,35,14,14,32,4399920.0,1638483.04925
266,16,16,92,92,8,8,92,16,92,92,16,56,56,92,8,8,8,8,92,7235640.0,255678.638479
269,54,54,54,56,54,54,56,54,54,54,56,54,54,56,54,56,56,54,56,1567860.0,1509525.21729
271,8,8,8,8,8,8,92,94,92,94,8,94,94,8,94,92,92,23,94,6513540.0,-71070.0691624
274,42,42,42,56,56,42,42,56,109,42,56,109,109,109,109,109,56,56,20,50100.0,1284835.48001
3,14,16,14,16,8,8,16,16,20,20,20,20,2,134,2,134,134,134,134,185160.0,2131241.49716
4,8,8,46,94,46,46,94,46,92,92,8,8,94,94,20,20,94,20,94,60.0,1005813.6083
43,42,42,54,32,54,32,54,54,42,42,32,32,20,20,20,20,32,32,110,3600.0,1315506.50628
53,54,54,42,42,42,42,42,42,42,42,42,42,54,56,54,56,54,54,56,819600.0,1402678.0391
67,92,92,92,92,8,8,8,8,14,14,8,8,76,76,8,16,16,8,14,4406940.0,1218904.75056
84,42,42,42,42,42,42,42,42,42,42,32,32,54,54,32,32,20,20,20,601560.0,1609303.22364
9,76,76,31,31,31,31,32,32,20,20,20,20,109,109,109,109,20,20,56,128400.0,1496489.59937
97,56,56,2,2,23,23,23,23,23,23,20,20,20,20,56,56,56,56,110,31200.0,922113.615125
