Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Event_14,Event_15,Event_16,Event_17,Event_18,Event_19,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,prediction
116,65,65,65,65,109,109,110,110,65,16,16,65,65,65,65,65,65,65,65,104,1,65,104,105,106,107,65,13,7,7,7,58440.0,2590221.6
12,76,76,27,27,32,32,27,27,76,76,31,31,76,76,31,31,31,31,76,116,1,76,116,28,117,30,76,13,57,7,7,1533780.0,603207.6
121,46,46,46,123,123,46,92,94,94,92,46,54,54,46,8,8,8,8,94,17,1,94,17,18,101,122,94,13,47,7,7,1137780.0,2091630.0
127,35,35,35,35,14,14,46,46,32,32,35,35,46,46,46,23,46,54,23,24,12,23,24,25,129,41,23,13,7,7,7,1231380.0,763555.2
135,46,46,92,128,128,92,46,46,46,46,46,46,92,92,8,8,35,35,35,118,1,35,118,119,80,51,35,13,88,7,7,477420.0,2421000.0
155,54,54,54,54,54,54,54,32,32,54,32,32,23,23,20,20,23,23,32,113,1,32,113,18,103,41,32,13,7,7,7,213840.0,365343.6
174,46,46,35,56,35,35,56,35,128,128,54,54,46,46,35,35,56,56,56,17,1,56,17,18,90,41,56,13,108,7,7,790320.0,1132705.2
199,23,23,20,23,23,23,20,20,20,2,23,2,2,2,2,2,23,23,67,24,1,67,24,25,175,5,67,13,7,7,7,7442160.0,2791142.4
201,94,94,94,94,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,140,1,42,140,142,88,178,42,13,11,7,7,3781920.0,1302798.0
206,32,32,20,20,20,20,109,109,109,109,32,32,32,32,181,181,65,65,65,120,1,65,120,121,86,180,65,13,57,7,7,723600.0,582620.4
21,14,14,46,46,32,8,8,8,8,32,8,35,35,35,46,46,35,8,32,17,1,32,17,18,152,177,32,13,7,7,7,3245220.0,2467178.4
210,46,46,35,35,35,35,46,46,35,35,32,32,46,46,35,35,32,32,32,17,1,32,17,18,187,30,32,13,187,7,7,831360.0,2135817.6
214,35,35,35,35,14,46,14,46,32,32,35,35,35,35,14,46,14,46,32,17,1,32,17,18,147,41,32,13,7,7,7,1359240.0,3109824.0
229,54,56,56,54,46,46,54,54,56,56,20,20,20,23,20,23,56,56,56,113,1,56,113,18,55,41,56,13,55,7,7,57600.0,228308.4
23,92,92,14,14,46,46,94,94,92,94,94,92,92,92,20,20,20,20,65,120,1,65,120,121,64,122,65,6,115,7,7,2926080.0,1070714.4
230,35,35,35,35,35,35,35,32,32,35,46,46,35,32,32,35,8,8,128,82,1,128,82,83,197,30,128,13,62,7,7,4388880.0,2748111.6
232,94,92,94,109,92,109,65,65,65,65,65,65,65,65,65,65,65,65,65,104,1,65,104,105,57,5,65,13,71,7,7,511800.0,1389603.6
235,16,16,16,27,16,27,27,27,27,27,27,27,16,16,27,27,76,76,76,75,1,76,75,77,64,202,76,13,38,7,7,2378760.0,525073.2
244,65,65,65,65,65,65,65,65,65,56,65,65,65,65,56,65,56,56,56,113,1,56,113,18,57,5,56,13,37,7,7,131700.0,612176.4
249,54,54,54,54,56,56,54,54,54,54,8,8,56,56,20,20,20,20,109,104,1,109,104,105,216,41,109,6,7,7,7,412620.0,2246818.8
258,35,35,35,35,46,46,46,46,46,46,46,46,35,35,32,32,32,32,20,21,1,20,21,22,69,41,20,13,69,7,7,486720.0,919648.8
264,128,128,128,46,128,46,35,35,32,32,14,14,92,92,35,35,128,32,128,82,12,128,82,83,229,214,128,13,71,7,7,105360.0,3205362.0
268,54,54,54,32,54,32,54,32,32,54,54,54,109,109,56,56,54,56,54,43,12,54,43,44,131,233,54,13,45,7,7,1532340.0,1374302.4
27,54,54,54,54,54,54,54,54,54,54,54,54,54,54,32,32,109,109,109,104,1,109,104,105,101,41,109,6,7,7,7,235680.0,943368.0
31,8,8,8,8,8,8,46,46,16,16,16,16,20,20,65,65,61,61,23,48,1,23,48,49,84,5,23,13,7,7,7,1262580.0,680368.8
37,54,76,76,54,54,54,35,35,237,237,54,54,54,54,8,8,20,20,32,17,1,32,17,18,85,41,32,13,85,7,7,1358340.0,891066.0
38,14,14,92,92,8,8,8,8,8,8,8,8,54,54,54,54,14,14,92,118,1,92,118,119,185,5,92,13,15,7,7,4736220.0,4765666.8
39,76,76,76,56,56,76,76,56,76,56,76,76,27,27,76,76,76,56,56,17,12,56,17,18,4,30,56,13,7,7,7,357420.0,1154060.4
41,31,31,31,32,31,31,32,31,76,76,20,20,94,94,20,20,20,20,134,0,1,134,0,3,88,30,134,6,7,7,7,458280.0,464180.4
6,54,54,54,54,42,42,42,42,54,54,54,54,32,32,42,32,32,42,54,43,1,54,43,44,245,214,54,13,47,7,7,1571760.0,1927735.2
78,92,92,92,92,8,8,46,46,92,92,92,92,35,35,35,35,14,14,46,118,1,46,118,119,253,5,46,13,37,7,7,2331960.0,3643986.0
9,76,76,31,31,31,31,32,32,20,20,20,20,109,109,109,109,20,20,56,113,1,56,113,18,88,30,56,13,7,7,7,128400.0,402615.6
91,92,92,14,14,14,46,14,46,32,32,35,35,8,8,14,14,46,46,8,118,1,8,118,119,163,259,8,13,100,7,7,411780.0,2162442.0
