Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Event_14,Event_15,Event_16,Event_17,Event_18,Event_19,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,prediction
10,31,32,31,32,27,27,27,27,35,35,31,31,27,27,27,27,35,35,27,26,1,27,26,28,29,30,27,6,11,7,7,1241280.0,769048.9375
100,42,42,46,46,42,42,42,42,32,32,20,20,20,20,23,23,2,2,2,0,1,2,0,3,40,41,2,13,40,7,7,678120.0,1401002.0
101,42,42,42,42,42,42,42,42,35,35,54,54,54,54,54,54,32,32,20,48,1,20,48,49,50,51,20,13,50,7,7,918300.0,803775.3125
102,42,42,42,42,54,54,54,56,56,54,54,54,42,42,35,35,54,54,54,43,1,54,43,44,55,30,54,6,11,7,7,1173300.0,771306.1875
119,27,27,27,27,27,27,76,76,27,27,27,27,27,27,35,35,27,27,35,75,1,35,75,77,39,114,35,13,37,7,7,72240.0,854908.6875
12,76,76,27,27,32,32,27,27,76,76,31,31,76,76,31,31,31,31,76,116,1,76,116,28,117,30,76,13,57,7,7,1533780.0,448703.5625
120,46,46,92,92,35,35,94,94,20,20,20,20,109,109,109,109,67,67,67,0,1,67,0,3,57,5,67,13,7,7,7,62220.0,621640.8125
121,46,46,46,123,123,46,92,94,94,92,46,54,54,46,8,8,8,8,94,17,1,94,17,18,101,122,94,13,47,7,7,1137780.0,1730008.625
123,92,92,8,8,8,8,14,14,14,14,8,8,8,8,8,8,14,14,14,9,1,14,9,10,126,5,14,13,108,7,7,204060.0,1193812.125
201,94,94,94,94,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,140,1,42,140,142,88,178,42,13,11,7,7,3781920.0,992936.875
214,35,35,35,35,14,46,14,46,32,32,35,35,35,35,14,46,14,46,32,17,1,32,17,18,147,41,32,13,7,7,7,1359240.0,3486104.25
22,76,76,31,31,31,31,31,31,76,76,94,94,20,20,20,20,65,65,65,120,1,65,120,121,57,41,65,13,37,7,7,331680.0,1222233.625
232,94,92,94,109,92,109,65,65,65,65,65,65,65,65,65,65,65,65,65,104,1,65,104,105,57,5,65,13,71,7,7,511800.0,149791.796875
235,16,16,16,27,16,27,27,27,27,27,27,27,16,16,27,27,76,76,76,75,1,76,75,77,64,202,76,13,38,7,7,2378760.0,1817951.875
240,35,35,46,46,92,92,35,35,46,46,92,92,23,23,32,32,20,20,23,48,1,23,48,49,213,214,23,13,69,7,7,722160.0,2614876.5
258,35,35,35,35,46,46,46,46,46,46,46,46,35,35,32,32,32,32,20,21,1,20,21,22,69,41,20,13,69,7,7,486720.0,1207671.625
261,54,54,54,54,32,32,42,42,32,32,23,23,20,20,23,23,110,110,32,113,1,32,113,18,149,214,32,13,149,7,7,60.0,2636659.5
264,128,128,128,46,128,46,35,35,32,32,14,14,92,92,35,35,128,32,128,82,12,128,82,83,229,214,128,13,71,7,7,105360.0,2566005.5
28,35,35,35,35,14,32,32,14,32,32,14,14,54,54,32,92,32,92,8,82,1,8,82,83,156,41,8,13,11,7,7,2815980.0,2725866.0
33,35,35,32,35,32,35,35,35,14,14,46,46,32,32,32,32,20,20,32,17,1,32,17,18,84,41,32,13,7,7,7,690660.0,1433471.875
34,27,27,31,31,31,31,8,8,27,56,27,56,20,20,20,20,20,109,109,120,12,109,120,121,88,51,109,6,7,7,7,1775940.0,205403.46875
36,46,46,92,92,8,8,8,8,94,46,94,46,46,46,92,92,8,8,94,17,1,94,17,18,88,5,94,13,88,7,7,1395180.0,2532625.25
44,27,27,76,76,76,76,27,27,27,27,76,76,8,8,76,76,8,32,32,17,12,32,17,18,240,241,32,13,7,7,7,1964040.0,4469917.5
47,42,42,42,32,42,42,32,42,42,42,42,42,32,32,23,23,20,20,20,24,1,20,24,25,4,41,20,13,11,7,7,477240.0,738534.3125
49,54,16,54,16,54,54,123,123,32,32,109,109,32,32,20,20,20,20,110,111,1,110,111,111,45,41,110,13,115,7,7,30780.0,1355674.5
54,92,92,14,14,8,8,8,56,56,8,14,14,56,56,20,20,20,20,56,17,1,56,17,18,55,41,56,13,86,7,7,147600.0,490895.90625
61,31,31,31,31,31,31,8,8,31,56,31,56,76,76,31,56,31,31,56,17,12,56,17,18,39,172,56,13,7,7,7,3381660.0,573570.3125
63,46,46,46,46,92,16,16,92,35,8,35,35,35,14,14,8,16,16,109,21,1,109,21,22,247,5,109,13,248,7,7,3709260.0,3038016.0
7,14,14,8,8,14,14,92,92,8,8,8,8,32,32,20,20,20,32,20,48,12,20,48,49,15,214,20,13,15,7,7,114420.0,1026609.9375
83,92,92,92,92,14,14,46,46,92,56,56,92,8,8,46,46,56,56,23,24,1,23,24,25,254,51,23,13,7,7,7,58200.0,3009520.5
87,14,14,8,8,8,32,8,32,54,92,54,8,92,35,8,35,32,32,54,9,1,54,9,10,255,256,54,13,144,7,7,3043860.0,3611899.25
90,35,35,14,14,46,46,8,8,8,35,35,128,128,8,128,128,8,35,35,82,12,35,82,83,160,257,35,13,69,7,7,152220.0,5383403.5
91,92,92,14,14,14,46,14,46,32,32,35,35,8,8,14,14,46,46,8,118,1,8,118,119,163,259,8,13,100,7,7,411780.0,3809239.25
