Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Event_14,Event_15,Event_16,Event_17,Event_18,Event_19,remainingTime,prediction
10,31,32,31,32,27,27,27,27,35,35,31,31,27,27,27,27,35,35,27,1241280.0,1525268.375
100,42,42,46,46,42,42,42,42,32,32,20,20,20,20,23,23,2,2,2,678120.0,1161750.125
101,42,42,42,42,42,42,42,42,35,35,54,54,54,54,54,54,32,32,20,918300.0,1460103.625
102,42,42,42,42,54,54,54,56,56,54,54,54,42,42,35,35,54,54,54,1173300.0,874328.5
11,27,27,76,56,76,76,56,76,27,27,8,8,76,76,56,76,76,56,76,620460.0,723527.25
111,8,8,8,8,14,14,92,92,8,8,14,14,94,94,8,8,14,14,35,431760.0,4987858.5
112,76,76,31,31,27,27,56,31,56,31,31,31,27,27,35,35,31,31,31,1209000.0,564697.875
122,92,92,92,92,92,92,92,16,16,92,94,94,20,20,20,23,20,23,20,1763640.0,2811659.5
129,42,56,56,42,42,42,54,54,56,56,20,20,56,56,110,110,56,56,20,2640.0,247432.21875
135,46,46,92,128,128,92,46,46,46,46,46,46,92,92,8,8,35,35,35,477420.0,3004890.5
174,46,46,35,56,35,35,56,35,128,128,54,54,46,46,35,35,56,56,56,790320.0,2271457.25
18,8,8,8,8,92,92,8,8,8,8,8,8,92,14,92,92,14,92,8,6092040.0,481766.3125
182,32,32,65,65,32,32,32,32,110,110,32,32,123,123,20,20,23,23,32,113400.0,1456368.625
194,27,27,27,56,27,56,27,56,56,27,76,76,31,56,56,31,27,27,8,2044800.0,1032421.25
208,76,76,31,31,76,76,76,76,27,27,31,31,76,76,27,27,94,94,20,3111600.0,649214.4375
215,54,54,54,54,2,2,32,32,32,32,20,20,20,20,20,20,20,20,32,180660.0,274787.96875
219,20,20,20,20,67,67,134,134,67,67,67,67,2,2,94,94,94,94,110,90000.0,629937.5
225,109,109,109,109,109,109,109,109,109,109,23,23,23,23,23,23,2,2,23,5879700.0,715608.875
24,8,8,8,8,94,94,23,23,210,109,109,210,94,94,67,23,20,20,67,466800.0,1157108.25
241,92,92,92,92,14,14,56,35,56,35,35,35,56,56,20,20,20,20,56,48600.0,1969055.625
250,220,220,220,220,16,220,16,220,220,220,220,220,20,20,16,16,16,16,16,145200.0,2151745.75
26,14,14,35,35,35,35,8,8,8,8,94,94,109,109,20,20,65,65,65,3144540.0,5883320.0
271,8,8,8,8,8,8,92,94,92,94,8,94,94,8,94,92,92,23,94,6513540.0,642010.8125
272,31,31,76,76,76,76,31,32,31,32,20,20,32,20,20,32,20,20,134,162360.0,86454.5859375
29,27,27,76,76,31,31,76,76,76,76,76,76,94,94,23,23,235,76,235,2719440.0,882766.6875
33,35,35,32,35,32,35,35,35,14,14,46,46,32,32,32,32,20,20,32,690660.0,3296532.25
42,35,35,35,35,32,32,14,14,42,42,35,32,35,14,32,32,32,20,20,405000.0,972432.0625
43,42,42,54,32,54,32,54,54,42,42,32,32,20,20,20,20,32,32,110,3600.0,202126.34375
6,54,54,54,54,42,42,42,42,54,54,54,54,32,32,42,32,32,42,54,1571760.0,756765.0625
66,42,42,42,42,32,32,20,20,20,20,201,201,32,32,20,20,20,20,110,33960.0,265666.6875
72,42,42,42,42,32,32,23,23,20,20,20,23,20,23,110,110,110,110,32,60.0,168992.140625
95,46,46,8,8,32,14,32,14,46,46,8,8,32,128,14,32,14,128,8,2523540.0,2448580.0
97,56,56,2,2,23,23,23,23,23,23,20,20,20,20,56,56,56,56,110,31200.0,869564.3125
