Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Event_14,Event_15,Event_16,Event_17,Event_18,Event_19,Event_20,remainingTime,prediction
1,9,9,9,9,15,15,15,15,16,16,20,20,2,2,2,2,2,2,23,2,228120.0,1276773.16622
112,76,76,31,31,27,27,55,31,55,31,31,31,27,27,35,35,31,31,31,31,1181520.0,868330.958664
116,65,65,65,65,109,109,110,110,65,16,16,65,65,65,65,65,65,65,65,65,53580.0,1721553.036
120,46,46,91,91,35,35,93,93,20,20,20,20,109,109,109,109,67,67,67,67,61740.0,2786983.63281
127,35,35,35,35,15,15,46,46,32,32,35,35,46,46,46,2,46,54,2,54,1212780.0,1138264.08141
129,42,55,55,42,42,42,54,54,55,55,20,20,55,55,110,110,55,55,20,20,0.0,2031853.39561
156,76,76,76,76,76,76,76,76,76,76,32,32,32,32,32,32,23,23,61,61,512760.0,1795973.71184
182,32,32,65,65,32,32,32,32,110,110,32,32,123,123,20,20,2,2,32,32,84780.0,2498704.10204
194,27,27,27,55,27,55,27,55,55,27,76,76,31,55,55,31,27,27,9,9,2030400.0,559764.72602
20,15,15,32,15,15,32,35,35,35,35,35,35,91,91,46,46,35,35,32,15,3057000.0,1913127.1654
208,76,76,31,31,76,76,76,76,27,27,31,31,76,76,27,27,93,93,20,20,3108420.0,1168254.64838
215,54,54,54,54,23,23,32,32,32,32,20,20,20,20,20,20,20,20,32,32,167700.0,1563676.49429
22,76,76,31,31,31,31,31,31,76,76,93,93,20,20,20,20,65,65,65,65,325680.0,365347.412725
229,54,55,55,54,46,46,54,54,55,55,20,20,20,2,20,2,55,55,55,55,55800.0,1548320.08254
23,91,91,15,15,46,46,93,93,91,93,93,91,91,91,20,20,20,20,65,65,2901840.0,977429.057885
233,76,31,76,31,31,31,9,9,55,55,20,20,20,20,76,76,76,76,55,55,601980.0,1563481.42356
235,16,16,16,27,16,27,27,27,27,27,27,27,16,16,27,27,76,76,76,76,2355480.0,920890.925663
24,9,9,9,9,93,93,2,2,210,109,109,210,93,93,67,2,20,20,67,67,466740.0,203124.843151
242,35,35,35,35,15,15,46,46,35,35,55,55,55,55,2,2,54,20,20,54,417540.0,900143.523231
243,35,35,46,55,46,46,55,46,32,32,20,20,20,20,135,135,135,135,32,32,235140.0,1354667.44591
245,31,31,31,16,16,31,31,31,31,31,76,76,76,76,93,93,20,20,2,2,690300.0,1530750.08242
246,76,76,31,31,76,76,55,55,2,2,20,20,2,2,20,20,55,55,148,148,0.0,770734.456596
248,31,31,31,31,76,76,2,2,93,93,20,20,20,20,2,20,20,2,23,23,611700.0,1231192.77592
249,54,54,54,54,55,55,54,54,54,54,9,9,55,55,20,20,20,20,109,109,409980.0,1857601.53628
253,76,76,76,76,32,31,32,32,31,32,20,20,20,20,20,20,20,20,2,2,431100.0,1708431.66208
257,35,35,9,9,91,91,128,128,46,46,91,91,46,46,91,91,35,9,35,35,6515100.0,1020136.76896
266,16,16,91,91,9,9,91,16,91,91,16,55,55,91,9,9,9,9,91,91,7216560.0,2124222.22539
27,54,54,54,54,54,54,54,54,54,54,54,54,54,54,32,32,109,109,109,109,232080.0,1098383.86166
277,220,220,93,93,65,65,65,65,65,65,65,65,65,65,65,65,65,65,148,148,44940.0,831518.043729
42,35,35,35,35,32,32,15,15,42,42,35,32,35,15,32,32,32,20,20,20,405000.0,1458003.92862
54,91,91,15,15,9,9,9,55,55,9,15,15,55,55,20,20,20,20,55,55,144660.0,896398.718507
91,91,91,15,15,15,46,15,46,32,32,35,35,9,9,15,15,46,46,9,32,403560.0,463850.875885
92,35,35,35,35,35,35,32,32,32,32,32,32,65,65,65,65,65,65,65,65,535380.0,1498294.65822
