concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,concept:name_4,lifecycle:transition_4,org:resource_4,Activity_4,Resource_4,Work_Order_Qty_4,Part_Desc__4,Worker_ID_4,Report_Type_4,Qty_Completed_4,Qty_Rejected_4,Qty_for_MRB_4,remainingTime,prediction
0,9,2,0,3,4,5,2,10,7,8,8,0,1,2,0,3,4,5,2,10,7,8,8,0,9,2,0,3,4,5,2,6,7,8,8,0,1,2,0,3,4,5,2,6,7,8,8,1534680.0,729450.971409
17,9,16,17,18,14,15,16,10,7,8,8,11,9,12,11,13,14,15,12,6,8,8,8,17,1,16,17,18,14,15,16,10,7,8,8,11,1,12,11,13,14,15,12,6,8,8,8,1431900.0,1323501.34727
19,9,25,19,21,30,15,25,10,8,8,8,19,1,25,19,21,30,15,25,10,8,8,8,19,9,25,19,21,30,15,25,10,8,8,8,19,1,25,19,21,30,15,25,10,8,8,8,1294620.0,847708.288105
19,9,25,19,21,32,33,25,34,8,8,8,19,1,25,19,21,32,33,25,34,8,8,8,19,9,31,19,21,32,33,31,10,8,8,8,19,1,31,19,21,32,33,31,10,8,8,8,583740.0,930397.438302
35,9,20,35,36,37,5,20,10,7,8,8,35,1,20,35,36,37,5,20,10,7,8,8,35,9,20,35,36,37,5,20,6,38,8,8,35,1,20,35,36,37,5,20,6,38,8,8,97680.0,736590.475087
0,9,41,0,3,39,40,41,10,8,8,8,0,1,41,0,3,39,40,41,10,8,8,8,0,9,2,0,3,39,40,2,6,39,8,8,0,1,2,0,3,39,40,2,6,39,8,8,0.0,455401.903975
19,9,31,19,21,42,23,31,10,8,8,8,19,1,31,19,21,42,23,31,10,8,8,8,19,9,25,19,21,42,23,25,6,42,8,8,19,1,25,19,21,42,23,25,6,42,8,8,577620.0,658191.411389
0,9,46,0,3,39,45,46,10,7,8,8,0,1,46,0,3,39,45,46,10,7,8,8,0,9,20,0,3,39,45,20,10,7,8,8,43,9,44,43,13,39,45,44,6,8,8,8,959220.0,582198.281716
52,9,51,52,53,50,15,51,10,8,8,8,52,1,51,52,53,50,15,51,10,8,8,8,52,9,54,52,53,50,15,54,6,7,8,8,43,9,44,43,13,50,15,44,6,8,8,8,796260.0,730946.552966
60,9,2,60,3,61,5,2,10,7,8,8,60,1,2,60,3,61,5,2,10,7,8,8,60,9,2,60,3,61,5,2,6,62,8,8,60,1,2,60,3,61,5,2,6,62,8,8,1297020.0,459315.38407
