Event_1,Event_2,Event_3,Event_4,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,prediction
2,2,2,2,0,1,2,0,3,4,5,2,6,7,8,8,1534680.0,859323.537402
16,12,16,12,11,1,12,11,13,14,15,12,6,8,8,8,1431900.0,831407.65601
25,25,25,25,19,1,25,19,21,30,15,25,10,8,8,8,1294620.0,964935.947433
25,25,31,31,19,1,31,19,21,32,33,31,10,8,8,8,583740.0,967943.283992
20,20,20,20,35,1,20,35,36,37,5,20,6,38,8,8,97680.0,761368.891235
41,41,2,2,0,1,2,0,3,39,40,2,6,39,8,8,0.0,595250.165365
31,31,25,25,19,1,25,19,21,42,23,25,6,42,8,8,577620.0,709998.984627
51,51,54,44,43,9,44,43,13,50,15,44,6,8,8,8,796260.0,917871.494411
2,2,2,2,60,1,2,60,3,61,5,2,6,62,8,8,1297020.0,708731.787909
2,2,20,20,35,1,20,35,36,64,5,20,10,64,8,8,70980.0,991389.792679
46,46,12,66,57,9,66,57,58,67,23,66,10,8,8,8,608040.0,1056558.9926
2,2,20,20,0,1,20,0,3,68,23,20,6,47,8,8,1708260.0,833847.771251
70,70,70,70,69,1,70,69,71,72,73,70,6,74,8,8,573720.0,543322.694889
78,78,46,46,57,1,46,57,58,4,23,46,10,7,8,8,135000.0,750265.771175
51,51,51,51,52,1,51,52,53,79,80,51,10,8,8,8,697680.0,832163.822795
54,54,51,51,81,1,51,81,18,82,15,51,10,7,8,8,1867860.0,804826.856243
20,20,78,78,35,1,78,35,36,83,5,78,10,7,8,8,1503900.0,1126384.92144
20,20,20,85,11,9,85,11,13,86,87,85,6,86,8,8,1947780.0,918908.639838
46,46,41,41,57,1,41,57,58,89,23,41,10,7,8,8,14820.0,866935.852508
78,78,41,41,0,1,41,0,3,4,28,41,10,49,8,8,497340.0,712886.411729
25,44,44,25,19,1,25,19,21,59,91,25,10,8,8,8,1176600.0,837587.159529
16,16,16,16,81,1,16,81,18,67,15,16,6,49,8,8,71160.0,671092.168668
78,78,2,2,0,1,2,0,3,92,93,2,10,7,8,8,40800.0,570411.451023
2,2,2,2,0,1,2,0,3,92,93,2,10,7,8,8,107100.0,943931.867713
20,20,78,66,35,9,66,35,36,56,28,66,10,8,8,8,698520.0,1331726.96875
46,46,46,46,57,1,46,57,58,94,23,46,6,86,8,8,5160.0,614732.893362
78,78,2,2,0,1,2,0,3,39,28,2,10,7,8,8,200340.0,635987.166698
78,78,41,41,35,1,41,35,36,83,5,41,6,59,8,8,905280.0,499488.384544
44,44,44,44,43,1,44,43,13,22,23,44,6,22,8,8,0.0,693641.743523
97,97,96,96,95,1,96,95,13,7,5,96,6,7,8,8,0.0,554426.51779
76,76,44,44,95,1,44,95,13,101,23,44,6,101,8,8,0.0,362361.891695
25,25,31,31,98,1,31,98,21,102,103,31,10,8,8,8,97380.0,797630.606016
12,12,12,12,111,1,12,111,112,22,23,12,6,8,49,8,30720.0,52108.7410674
70,70,70,70,69,1,70,69,71,117,28,70,6,84,8,8,274500.0,552552.818519
96,96,119,119,118,1,119,118,120,27,23,119,6,121,8,8,394200.0,534904.060345
31,31,31,31,19,1,31,19,21,89,23,31,6,8,8,8,562920.0,750044.585759
20,20,46,44,43,9,44,43,13,62,23,44,10,8,8,8,946020.0,1222139.45846
44,44,44,44,122,1,44,122,13,126,127,44,6,8,7,8,0.0,519902.103572
12,12,70,70,143,1,70,143,144,145,23,70,6,8,8,8,1900140.0,882475.298443
55,55,55,55,43,1,55,43,13,142,152,55,6,8,7,8,212400.0,569313.28019
41,41,55,55,43,1,55,43,13,37,5,55,10,8,8,8,2047620.0,942780.13648
44,44,148,148,111,1,148,111,112,88,156,148,6,8,8,8,910200.0,880604.710158
55,55,70,70,140,1,70,140,71,79,5,70,6,8,8,8,125460.0,652751.486311
85,85,139,139,140,1,139,140,71,47,5,139,6,8,8,8,1577760.0,713625.647096
12,12,132,132,113,1,132,113,114,83,163,132,6,83,8,8,321960.0,904959.108844
139,139,139,139,69,1,139,69,71,74,164,139,6,8,8,8,102600.0,405500.835905
20,20,46,46,57,1,46,57,58,170,15,46,10,7,8,8,1050900.0,990170.10469
31,31,31,31,19,1,31,19,21,174,23,31,6,107,8,8,1006980.0,615247.492848
179,179,176,176,175,1,176,175,177,178,167,176,6,99,8,8,539940.0,134090.102785
54,54,16,16,17,1,16,17,18,83,23,16,10,49,8,8,494160.0,729271.109412
55,55,55,55,43,1,55,43,13,79,163,55,10,8,8,8,285600.0,741360.703089
76,76,44,44,95,1,44,95,13,4,163,44,6,4,8,8,0.0,392642.68988
31,31,31,31,19,1,31,19,21,4,23,31,10,8,8,8,480600.0,954665.734167
31,44,44,31,19,1,31,19,21,30,23,31,10,8,8,8,630000.0,905013.318957
132,132,135,135,128,1,135,128,130,67,5,135,10,7,8,8,668640.0,704266.300232
96,78,96,139,113,9,139,113,114,83,5,139,6,84,8,8,1313940.0,861128.805683
54,16,54,16,186,1,16,186,18,30,23,16,10,49,8,8,989340.0,821492.836975
46,46,20,20,57,1,20,57,58,194,40,20,10,7,8,8,1159140.0,761273.779131
78,78,78,78,57,1,78,57,58,153,23,78,10,8,8,8,863100.0,795236.449346
46,46,46,46,57,1,46,57,58,79,15,46,6,59,8,8,754800.0,655030.286677
46,46,20,44,43,9,44,43,13,4,15,44,6,8,8,8,1116420.0,885541.102208
70,70,70,70,133,1,70,133,134,83,5,70,6,59,8,8,406080.0,578686.744335
54,54,16,16,17,1,16,17,18,158,195,16,6,26,8,8,523200.0,422700.513166
16,16,16,16,17,1,16,17,18,30,28,16,6,26,8,8,830280.0,775419.745033
