Id,Event_1,Event_2,Event_3,Event_4,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,prediction
101,25,25,25,25,19,1,25,19,21,27,28,25,10,8,8,8,1043820.0,952873.167361
125,46,46,41,41,57,1,41,57,58,89,23,41,10,7,8,8,14820.0,1630388.99201
127,46,46,46,46,57,1,46,57,58,90,23,46,6,84,8,8,1351140.0,1601410.42937
135,20,20,78,66,35,9,66,35,36,56,28,66,10,8,8,8,698520.0,890413.423697
146,76,76,44,44,95,1,44,95,13,101,23,44,6,101,8,8,0.0,1895584.33551
150,12,12,12,12,111,1,12,111,112,22,23,12,6,8,49,8,30720.0,12078232.8612
153,70,70,70,70,69,1,70,69,71,117,28,70,6,84,8,8,274500.0,1989793.18511
156,54,54,54,54,17,1,54,17,18,94,124,54,6,79,8,8,1275000.0,1784805.4644
178,137,137,135,135,128,1,135,128,130,136,5,135,10,8,8,8,6185700.0,2608775.05891
198,78,78,20,20,35,1,20,35,36,50,5,20,10,7,8,8,6100740.0,1605828.46838
203,12,12,132,132,113,1,132,113,114,83,163,132,6,83,8,8,321960.0,1268301.76736
205,139,139,139,139,69,1,139,69,71,74,164,139,6,8,8,8,102600.0,2093309.62551
206,12,12,132,132,113,1,132,113,114,101,165,132,6,101,8,8,2127900.0,1459581.48105
209,46,46,31,31,57,1,31,57,58,168,23,31,10,8,8,8,739140.0,2307642.57352
214,46,46,46,46,57,1,46,57,58,125,23,46,6,173,8,8,1501740.0,2090141.32452
218,179,179,176,176,175,1,176,175,177,178,167,176,6,99,8,8,539940.0,3520071.48782
22,54,54,16,16,17,1,16,17,18,83,23,16,10,49,8,8,494160.0,1777199.7217
228,31,31,31,31,19,1,31,19,21,4,23,31,10,8,8,8,480600.0,793254.045334
231,132,132,135,135,128,1,135,128,130,67,5,135,10,7,8,8,668640.0,1997488.85707
235,55,55,55,51,52,9,51,52,53,162,189,51,10,8,8,8,3181920.0,2497726.73696
24,2,2,2,2,35,1,2,35,36,162,87,2,6,86,8,8,3617820.0,2004556.22546
240,46,46,20,20,57,1,20,57,58,194,40,20,10,7,8,8,1159140.0,2576085.21655
243,46,46,20,44,43,9,44,43,13,4,15,44,6,8,8,8,1116420.0,1020338.97151
244,70,70,70,70,133,1,70,133,134,83,5,70,6,59,8,8,406080.0,1686172.9791
245,16,16,16,55,43,9,55,43,13,83,5,55,10,8,8,8,2707800.0,1768261.32217
250,198,198,198,198,197,1,198,197,199,200,201,198,10,8,8,8,630000.0,3873569.47262
252,46,46,46,12,57,9,12,57,58,86,23,12,6,8,8,8,495600.0,1020486.29845
260,20,20,20,20,57,1,20,57,58,206,23,20,10,7,8,8,4745040.0,2415837.47904
261,31,31,31,31,19,1,31,19,21,102,40,31,6,181,8,8,610080.0,1816836.2353
271,2,2,2,2,35,1,2,35,36,125,5,2,10,8,8,8,6660000.0,1595168.45551
33,46,46,12,46,57,9,46,57,58,181,23,46,10,7,8,8,1975920.0,2886878.62684
38,41,41,78,78,35,1,78,35,36,126,5,78,10,7,8,8,4820880.0,1730293.64808
4,2,2,20,96,43,9,96,43,13,39,5,96,6,7,8,8,82560.0,1504729.93716
44,51,51,54,54,212,1,54,212,53,213,214,54,10,7,8,8,2151900.0,2828023.06742
45,46,46,20,20,57,1,20,57,58,39,15,20,10,7,8,8,636540.0,1269460.00367
46,78,78,20,20,57,1,20,57,58,4,23,20,10,8,8,8,205380.0,1283432.02765
48,41,41,2,2,0,1,2,0,3,181,5,2,10,49,8,8,3160020.0,2460468.46565
55,51,51,54,54,212,1,54,212,53,217,40,54,10,8,8,8,3297180.0,2593038.62709
69,31,31,76,76,75,1,76,75,75,83,23,76,6,83,8,8,35880.0,1339208.14206
74,76,76,44,44,95,1,44,95,13,59,23,44,6,8,8,8,27960.0,1340497.68614
80,20,20,20,20,35,1,20,35,36,22,5,20,6,146,8,8,2052480.0,977471.750286
81,12,12,12,12,43,1,12,43,13,183,40,12,6,8,8,8,79740.0,1939447.72868
86,46,46,66,66,57,1,66,57,58,217,23,66,10,84,8,8,161340.0,2780545.41778
97,44,44,137,137,113,1,137,113,114,50,23,137,6,238,8,8,924420.0,1404899.98529
