Event_1,Event_2,Event_3,Event_4,remainingTime,prediction
2,2,2,2,1534680.0,892119.945736
25,25,25,25,1294620.0,830457.177089
25,25,31,31,583740.0,836734.147736
20,20,20,20,97680.0,843862.126795
41,41,2,2,0.0,746761.028824
46,46,20,44,959220.0,874433.512021
2,41,2,41,1732020.0,1251352.72301
51,51,54,44,796260.0,710774.369844
2,2,2,2,1297020.0,892119.945736
54,54,16,16,1352760.0,712954.321363
46,46,12,66,608040.0,1025410.88012
2,2,20,20,1708260.0,910950.857677
70,70,70,70,573720.0,709812.629735
76,76,76,76,36060.0,693726.690088
51,51,51,51,697680.0,760751.438618
54,54,51,51,1867860.0,749569.983471
20,20,78,78,1503900.0,904539.509716
20,20,20,85,1947780.0,1189113.22843
78,78,78,78,2012460.0,688364.710206
78,78,2,2,309180.0,608856.415343
2,2,2,2,464520.0,892119.945736
46,46,41,41,14820.0,768925.579451
46,46,46,46,1351140.0,774156.388324
16,16,16,16,71160.0,854586.086559
78,78,2,2,40800.0,608856.415343
2,2,2,2,107100.0,892119.945736
46,46,46,46,5160.0,774156.388324
78,78,2,2,200340.0,608856.415343
78,78,41,41,905280.0,649656.724549
44,44,44,44,0.0,779518.368206
97,97,96,96,0.0,636379.739549
25,25,31,31,1970820.0,836734.147736
25,25,31,31,97380.0,836734.147736
12,12,12,12,30720.0,865310.046324
70,70,70,70,274500.0,709812.629735
96,96,119,119,394200.0,664168.612078
31,31,31,31,562920.0,814371.237442
54,54,54,54,1275000.0,752708.468794
20,20,46,44,946020.0,860439.222112
44,44,44,44,0.0,779518.368206
55,55,55,55,212400.0,750027.478853
41,41,55,55,2047620.0,802207.602873
44,44,148,148,910200.0,888319.192755
55,55,70,70,125460.0,765719.905471
85,85,139,139,1577760.0,726090.516441
46,46,31,31,739140.0,758463.961706
20,20,46,46,1050900.0,871062.332932
12,12,135,135,536100.0,993987.944589
46,46,46,46,1143360.0,774156.388324
31,31,31,31,1006980.0,814371.237442
179,179,176,176,539940.0,414446.240823
132,132,132,132,1063500.0,543591.253382
54,54,16,16,494160.0,712954.321363
55,55,55,55,285600.0,750027.478853
76,76,44,44,0.0,660249.513304
31,44,44,31,630000.0,809615.158947
96,78,96,139,1313940.0,798312.027903
54,16,54,16,989340.0,402686.788375
70,70,70,70,263700.0,709812.629735
78,78,78,78,863100.0,688364.710206
46,46,46,46,754800.0,774156.388324
46,46,20,44,1116420.0,874433.512021
70,70,70,70,406080.0,709812.629735
198,198,198,198,630000.0,366645.917264
46,46,46,12,495600.0,593563.504392
54,54,54,54,583500.0,752708.468794
132,132,132,132,325500.0,543591.253382
31,31,12,12,899220.0,794494.163726
46,46,46,46,1638600.0,774156.388324
31,31,31,31,610080.0,814371.237442
41,41,20,20,220140.0,765591.940765
25,25,25,25,1666920.0,830457.177089
66,66,66,20,248460.0,476205.040651
31,31,31,44,1717860.0,883421.457768
31,31,31,31,518100.0,814371.237442
16,16,54,54,1421880.0,894340.233991
16,16,16,51,1907760.0,1040490.5259
25,25,25,44,150900.0,931376.729874
198,198,96,96,562440.0,259937.416264
41,55,41,55,1580340.0,916516.693974
20,55,55,20,95220.0,831057.30008
46,46,12,46,1975920.0,919179.771922
20,20,78,78,1512540.0,904539.509716
31,54,54,31,1937640.0,805956.637029
2,2,20,96,82560.0,1314629.06882
16,16,16,12,1652460.0,833339.86492
46,46,46,46,496800.0,774156.388324
25,25,31,12,387600.0,735814.59495
46,46,20,20,636540.0,746956.182187
78,78,20,20,205380.0,627687.327285
25,25,25,12,1420200.0,761406.956762
31,55,31,55,1268580.0,1035437.56192
31,31,31,31,0.0,814371.237442
31,31,25,25,890880.0,808094.266795
78,78,41,41,294240.0,649656.724549
25,25,31,76,44340.0,1075754.14117
70,70,70,70,904980.0,709812.629735
46,46,78,78,416040.0,807633.565108
31,31,31,31,1795140.0,814371.237442
25,25,132,132,409200.0,942396.486961
78,78,2,2,256200.0,608856.415343
16,16,12,12,691260.0,850401.439461
25,25,25,25,1800000.0,830457.177089
224,224,223,223,163800.0,295894.017019
31,31,76,76,35880.0,861448.517294
41,41,2,2,358200.0,746761.028824
54,54,54,54,606180.0,752708.468794
25,25,25,25,671400.0,830457.177089
2,2,78,78,941040.0,971628.240599
76,76,44,44,27960.0,660249.513304
31,31,31,31,1621200.0,814371.237442
70,70,76,76,33540.0,716089.600383
54,54,54,54,1787760.0,752708.468794
44,44,135,135,383040.0,874719.089687
20,20,20,20,2052480.0,843862.126795
78,78,78,78,1594620.0,688364.710206
78,78,78,78,425640.0,688364.710206
25,25,25,25,1092480.0,830457.177089
46,46,46,46,48840.0,774156.388324
46,46,66,66,161340.0,795079.623814
2,2,41,41,317340.0,932920.254942
54,54,16,16,1841160.0,712954.321363
46,46,41,41,436620.0,768925.579451
46,46,46,46,1905600.0,774156.388324
44,44,44,44,140340.0,779518.368206
44,44,137,137,924420.0,876811.413236
44,44,66,66,64800.0,802533.927245
