Id,Event_1,Event_2,Event_3,Event_4,remainingTime,prediction
102,25,25,25,25,1294620.0,1515325.26762
108,46,46,20,44,959220.0,1837966.33307
116,70,70,70,70,573720.0,1800407.40214
135,20,20,78,66,698520.0,1218887.89384
163,97,97,44,44,6326280.0,2171632.04488
17,25,25,25,25,2740620.0,1515325.26762
175,44,44,44,44,0.0,1635693.27997
188,132,148,148,148,3116580.0,2151907.53435
20,41,41,12,41,3235980.0,1836663.61743
201,96,96,96,96,4147200.0,1965121.52431
206,12,12,132,132,2127900.0,979740.971758
21,41,41,20,20,3436440.0,1696002.57042
211,12,12,135,135,536100.0,968410.290888
219,132,132,132,132,1063500.0,2193187.23194
227,76,76,44,44,0.0,1959278.94935
228,31,31,31,31,480600.0,1553336.21889
229,31,44,44,31,630000.0,1470286.23445
230,46,46,46,46,4696200.0,1648363.59706
231,132,132,135,135,668640.0,2181856.55107
234,44,44,44,44,4870260.0,1635693.27997
241,78,78,78,78,863100.0,1851088.6705
244,70,70,70,70,406080.0,1800407.40214
255,31,31,12,12,899220.0,1625097.19772
256,31,31,2,2,3048960.0,1662866.13396
262,41,41,20,20,220140.0,1696002.57042
266,55,55,78,78,7376760.0,1618511.47064
269,31,31,31,44,1717860.0,1602846.44903
277,198,198,96,96,562440.0,2996550.84547
28,46,46,46,46,3521700.0,1648363.59706
32,46,46,78,78,2530800.0,1527503.00112
40,16,16,54,54,1217940.0,1314786.88303
44,51,51,54,54,2151900.0,1668708.70892
49,31,55,31,55,1268580.0,1673465.62127
54,78,78,41,41,294240.0,1990833.73456
59,46,46,78,78,416040.0,1527503.00112
63,20,20,20,20,4246320.0,1483649.47489
64,78,78,2,2,256200.0,2138132.58586
70,16,16,16,16,3245640.0,1458308.84071
76,70,70,76,76,33540.0,1777746.0404
80,20,20,20,20,2052480.0,1483649.47489
81,12,12,12,12,79740.0,1432968.20653
83,78,78,78,78,425640.0,1851088.6705
95,20,20,2,2,2659380.0,1551633.56011
98,44,44,66,66,64800.0,1552601.62026
